GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
61897747-36dc-4aad-b17a-fe935c605ca3	1	3301765	42946798	21374	-0.0324
61897747-36dc-4aad-b17a-fe935c605ca3	1	42947982	54585140	6037	-0.4136
61897747-36dc-4aad-b17a-fe935c605ca3	1	54588923	73101370	12529	-0.381
61897747-36dc-4aad-b17a-fe935c605ca3	1	73105640	73834305	428	-0.4154
61897747-36dc-4aad-b17a-fe935c605ca3	1	73834322	73834333	2	-3.3868
61897747-36dc-4aad-b17a-fe935c605ca3	1	73839919	112894488	23273	-0.385
61897747-36dc-4aad-b17a-fe935c605ca3	1	112901488	112904238	2	-2.1423
61897747-36dc-4aad-b17a-fe935c605ca3	1	112906231	119979137	4379	-0.3913
61897747-36dc-4aad-b17a-fe935c605ca3	1	119979978	151966287	833	-0.0743
61897747-36dc-4aad-b17a-fe935c605ca3	1	151970551	153657648	983	0.0296
61897747-36dc-4aad-b17a-fe935c605ca3	1	153661377	156552747	1295	-0.0568
61897747-36dc-4aad-b17a-fe935c605ca3	1	156553295	191686815	22681	-0.0035
61897747-36dc-4aad-b17a-fe935c605ca3	1	191689687	191691704	2	-1.4881
61897747-36dc-4aad-b17a-fe935c605ca3	1	191695184	209312681	10986	0.0001
61897747-36dc-4aad-b17a-fe935c605ca3	1	209314560	209492515	143	0.3727
61897747-36dc-4aad-b17a-fe935c605ca3	1	209492941	210043536	433	0.0639
61897747-36dc-4aad-b17a-fe935c605ca3	1	210043601	214051409	2635	-0.0063
61897747-36dc-4aad-b17a-fe935c605ca3	1	214054164	215286793	934	0.0522
61897747-36dc-4aad-b17a-fe935c605ca3	1	215286911	232246203	10534	-0.0098
61897747-36dc-4aad-b17a-fe935c605ca3	1	232246527	234659492	1927	0.0262
61897747-36dc-4aad-b17a-fe935c605ca3	1	234660117	247556601	8128	-0.0221
61897747-36dc-4aad-b17a-fe935c605ca3	1	247559822	247565660	10	-0.6441
61897747-36dc-4aad-b17a-fe935c605ca3	1	247567547	247650984	50	-0.037
61897747-36dc-4aad-b17a-fe935c605ca3	2	480597	16273307	10125	0.098
61897747-36dc-4aad-b17a-fe935c605ca3	2	16275008	16516636	202	0.1182
61897747-36dc-4aad-b17a-fe935c605ca3	2	16518255	20183899	2679	0.161
61897747-36dc-4aad-b17a-fe935c605ca3	2	20185168	78700059	33111	0.1148
61897747-36dc-4aad-b17a-fe935c605ca3	2	78700202	133416104	23570	0.094
61897747-36dc-4aad-b17a-fe935c605ca3	2	133416461	133606185	145	-0.2272
61897747-36dc-4aad-b17a-fe935c605ca3	2	133624526	134159434	422	0.1557
61897747-36dc-4aad-b17a-fe935c605ca3	2	134160983	134256545	78	-0.2212
61897747-36dc-4aad-b17a-fe935c605ca3	2	134260216	148410092	7780	0.0768
61897747-36dc-4aad-b17a-fe935c605ca3	2	148410298	178953811	18442	0.1137
61897747-36dc-4aad-b17a-fe935c605ca3	2	178953953	186024241	3613	0.09
61897747-36dc-4aad-b17a-fe935c605ca3	2	186024533	186208246	106	-0.389
61897747-36dc-4aad-b17a-fe935c605ca3	2	186213158	241537572	31851	0.0915
61897747-36dc-4aad-b17a-fe935c605ca3	3	2170634	25389344	13784	-0.4029
61897747-36dc-4aad-b17a-fe935c605ca3	3	25389683	25389743	2	-3.0218
61897747-36dc-4aad-b17a-fe935c605ca3	3	25389898	61589250	20213	-0.3962
61897747-36dc-4aad-b17a-fe935c605ca3	3	61594919	61745399	43	-0.7822
61897747-36dc-4aad-b17a-fe935c605ca3	3	61748288	69570515	5841	-0.3876
61897747-36dc-4aad-b17a-fe935c605ca3	3	69570840	69571470	4	-1.7389
61897747-36dc-4aad-b17a-fe935c605ca3	3	69571640	91462299	11322	-0.4081
61897747-36dc-4aad-b17a-fe935c605ca3	3	94015345	106501867	6734	-0.0062
61897747-36dc-4aad-b17a-fe935c605ca3	3	106507376	111355546	2581	0.4321
61897747-36dc-4aad-b17a-fe935c605ca3	3	111356213	112121763	500	0.5095
61897747-36dc-4aad-b17a-fe935c605ca3	3	112122456	113288678	746	0.4513
61897747-36dc-4aad-b17a-fe935c605ca3	3	113288730	118648097	3435	0.4042
61897747-36dc-4aad-b17a-fe935c605ca3	3	118648122	124250804	3005	0.4497
61897747-36dc-4aad-b17a-fe935c605ca3	3	124251211	124251838	2	-1.2571
61897747-36dc-4aad-b17a-fe935c605ca3	3	124252017	124947879	539	0.4466
61897747-36dc-4aad-b17a-fe935c605ca3	3	124947909	163177799	20653	0.5668
61897747-36dc-4aad-b17a-fe935c605ca3	3	163206216	179160118	7827	0.7382
