GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
7c8784ea-f79d-40ee-90db-1c01f146a7fc	1	3301765	71581351	37482	0.1046
7c8784ea-f79d-40ee-90db-1c01f146a7fc	1	71583990	71705154	79	-0.4287
7c8784ea-f79d-40ee-90db-1c01f146a7fc	1	71708397	72078008	196	-0.7691
7c8784ea-f79d-40ee-90db-1c01f146a7fc	1	72080872	72273050	105	-0.4369
7c8784ea-f79d-40ee-90db-1c01f146a7fc	1	72273186	149910462	27059	0.0837
7c8784ea-f79d-40ee-90db-1c01f146a7fc	1	149913375	154912119	2297	0.3632
7c8784ea-f79d-40ee-90db-1c01f146a7fc	1	154914341	155422683	200	0.9592
7c8784ea-f79d-40ee-90db-1c01f146a7fc	1	155424706	204124361	29038	0.343
7c8784ea-f79d-40ee-90db-1c01f146a7fc	1	204126350	204810387	522	0.5427
7c8784ea-f79d-40ee-90db-1c01f146a7fc	1	204813419	245258894	25336	0.1117
7c8784ea-f79d-40ee-90db-1c01f146a7fc	1	245259275	245259486	2	-2.6921
7c8784ea-f79d-40ee-90db-1c01f146a7fc	1	245259539	247650984	967	0.1073
7c8784ea-f79d-40ee-90db-1c01f146a7fc	2	480597	6646483	3496	0.0062
7c8784ea-f79d-40ee-90db-1c01f146a7fc	2	6647399	6647758	3	-2.0853
7c8784ea-f79d-40ee-90db-1c01f146a7fc	2	6647879	73885287	37640	0.0006
7c8784ea-f79d-40ee-90db-1c01f146a7fc	2	73887170	73887270	2	-2.7903
7c8784ea-f79d-40ee-90db-1c01f146a7fc	2	73889403	85201667	5872	-0.0117
7c8784ea-f79d-40ee-90db-1c01f146a7fc	2	85201737	85211107	3	-2.0954
7c8784ea-f79d-40ee-90db-1c01f146a7fc	2	85214276	95144871	1326	-0.0233
7c8784ea-f79d-40ee-90db-1c01f146a7fc	2	95146116	140650275	21812	0.0855
7c8784ea-f79d-40ee-90db-1c01f146a7fc	2	140653435	140768643	72	-0.2326
7c8784ea-f79d-40ee-90db-1c01f146a7fc	2	140768756	141612736	491	-0.8013
7c8784ea-f79d-40ee-90db-1c01f146a7fc	2	141614249	143646102	1226	0.019
