GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
6ac8acdc-936a-4308-865e-25b09ddacb4e	1	3301765	27481107	13088	0.0874
6ac8acdc-936a-4308-865e-25b09ddacb4e	1	27518482	27699460	81	0.4042
6ac8acdc-936a-4308-865e-25b09ddacb4e	1	27709470	54237196	14072	0.0749
6ac8acdc-936a-4308-865e-25b09ddacb4e	1	54238029	54238095	2	1.1609
6ac8acdc-936a-4308-865e-25b09ddacb4e	1	54239709	71464602	11910	0.0751
6ac8acdc-936a-4308-865e-25b09ddacb4e	1	71464683	83645785	7026	0.0456
6ac8acdc-936a-4308-865e-25b09ddacb4e	1	83646788	84613727	675	0.0801
6ac8acdc-936a-4308-865e-25b09ddacb4e	1	84614480	100961534	10115	-0.0184
6ac8acdc-936a-4308-865e-25b09ddacb4e	1	100963997	106467179	2813	-0.0452
6ac8acdc-936a-4308-865e-25b09ddacb4e	1	106468024	119979137	8362	-0.0091
6ac8acdc-936a-4308-865e-25b09ddacb4e	1	119979978	186953248	23078	0.0623
6ac8acdc-936a-4308-865e-25b09ddacb4e	1	186955064	199351657	7220	0.0301
6ac8acdc-936a-4308-865e-25b09ddacb4e	1	199355136	247650984	31351	0.0626
6ac8acdc-936a-4308-865e-25b09ddacb4e	2	480597	7922381	4548	0.0445
6ac8acdc-936a-4308-865e-25b09ddacb4e	2	7923328	47432341	24015	0.0606
6ac8acdc-936a-4308-865e-25b09ddacb4e	2	47436329	57223101	5186	0.0381
6ac8acdc-936a-4308-865e-25b09ddacb4e	2	57223479	57228337	2	-1.562
6ac8acdc-936a-4308-865e-25b09ddacb4e	2	57233909	69036179	6973	0.0533
6ac8acdc-936a-4308-865e-25b09ddacb4e	2	69039159	72257910	2030	0.0812
6ac8acdc-936a-4308-865e-25b09ddacb4e	2	72257991	100183352	10071	0.0441
6ac8acdc-936a-4308-865e-25b09ddacb4e	2	100185405	102579450	1585	0.0822
6ac8acdc-936a-4308-865e-25b09ddacb4e	2	102579706	114745106	6396	0.0467
6ac8acdc-936a-4308-865e-25b09ddacb4e	2	114747975	117788317	1316	0.0153
6ac8acdc-936a-4308-865e-25b09ddacb4e	2	117788364	137444015	10251	0.0575
6ac8acdc-936a-4308-865e-25b09ddacb4e	2	137451628	141883881	2281	-0.0878
6ac8acdc-936a-4308-865e-25b09ddacb4e	2	141884046	141954703	65	-0.578
6ac8acdc-936a-4308-865e-25b09ddacb4e	2	141958085	211278205	38976	-0.0707
6ac8acdc-936a-4308-865e-25b09ddacb4e	2	211282055	211624625	273	0.1805
6ac8acdc-936a-4308-865e-25b09ddacb4e	2	211626037	219702258	4875	-0.0765
6ac8acdc-936a-4308-865e-25b09ddacb4e	2	219702670	219702688	2	-1.2271
6ac8acdc-936a-4308-865e-25b09ddacb4e	2	219703372	241537572	13384	-0.0759
6ac8acdc-936a-4308-865e-25b09ddacb4e	3	2170634	16589932	8931	-0.3905
6ac8acdc-936a-4308-865e-25b09ddacb4e	3	16594673	16775949	139	0.0656
6ac8acdc-936a-4308-865e-25b09ddacb4e	3	16781686	27345655	5731	-0.3893
6ac8acdc-936a-4308-865e-25b09ddacb4e	3	27351432	27405374	26	0.0178
6ac8acdc-936a-4308-865e-25b09ddacb4e	3	27412504	28000831	391	-0.388
6ac8acdc-936a-4308-865e-25b09ddacb4e	3	28002224	28065401	37	0.1163
6ac8acdc-936a-4308-865e-25b09ddacb4e	3	28067125	29410747	880	-0.3881
6ac8acdc-936a-4308-865e-25b09ddacb4e	3	29410924	29417093	12	-0.938
6ac8acdc-936a-4308-865e-25b09ddacb4e	3	29422914	34799061	3377	-0.386
6ac8acdc-936a-4308-865e-25b09ddacb4e	3	34799752	34918484	90	0.0773
6ac8acdc-936a-4308-865e-25b09ddacb4e	3	34921311	48674644	7813	-0.3758
6ac8acdc-936a-4308-865e-25b09ddacb4e	3	48674989	48675358	2	-1.6327
6ac8acdc-936a-4308-865e-25b09ddacb4e	3	48676234	50859538	832	-0.3676
6ac8acdc-936a-4308-865e-25b09ddacb4e	3	50859547	50859548	2	0.8331
6ac8acdc-936a-4308-865e-25b09ddacb4e	3	50859955	51325239	214	-0.3475
6ac8acdc-936a-4308-865e-25b09ddacb4e	3	51326140	51589542	98	0.0811
6ac8acdc-936a-4308-865e-25b09ddacb4e	3	51591066	54270164	1417	-0.405
6ac8acdc-936a-4308-865e-25b09ddacb4e	3	54273136	54339429	48	0.1019
6ac8acdc-936a-4308-865e-25b09ddacb4e	3	54342247	54355298	8	-0.3307
6ac8acdc-936a-4308-865e-25b09ddacb4e	3	54359604	54410012	39	0.0422
6ac8acdc-936a-4308-865e-25b09ddacb4e	3	54421779	62636592	4715	-0.3956
6ac8acdc-936a-4308-865e-25b09ddacb4e	3	62639126	62639491	2	-2.9571
6ac8acdc-936a-4308-865e-25b09ddacb4e	3	62640416	65533282	2374	-0.4114
6ac8acdc-936a-4308-865e-25b09ddacb4e	3	65534604	65536149	3	-1.7508
6ac8acdc-936a-4308-865e-25b09ddacb4e	3	65536240	71167904	3876	-0.4091
6ac8acdc-936a-4308-865e-25b09ddacb4e	3	71170643	71364981	147	-1.1636
6ac8acdc-936a-4308-865e-25b09ddacb4e	3	71372663	91462299	10063	-0.4158
6ac8acdc-936a-4308-865e-25b09ddacb4e	3	94015345	106776477	6927	0.3584
6ac8acdc-936a-4308-865e-25b09ddacb4e	3	106776847	120961820	8324	0.3864
6ac8acdc-936a-4308-865e-25b09ddacb4e	3	120968229	121909550	355	0.3588
6ac8acdc-936a-4308-865e-25b09ddacb4e	3	121910169	128710537	4118	0.42
6ac8acdc-936a-4308-865e-25b09ddacb4e	3	128711771	128712082	3	-1.6994
6ac8acdc-936a-4308-865e-25b09ddacb4e	3	128714553	130416162	763	0.3987
6ac8acdc-936a-4308-865e-25b09ddacb4e	3	130416226	130416240	2	-1.4421
6ac8acdc-936a-4308-865e-25b09ddacb4e	3	130416596	134078188	2335	0.3961
6ac8acdc-936a-4308-865e-25b09ddacb4e	3	134081603	134082151	3	-0.7956
6ac8acdc-936a-4308-865e-25b09ddacb4e	3	134083844	136200447	1276	0.4226
6ac8acdc-936a-4308-865e-25b09ddacb4e	3	136201958	161982542	13658	0.3799
6ac8acdc-936a-4308-865e-25b09ddacb4e	3	161982729	165375845	1389	0.329
6ac8acdc-936a-4308-865e-25b09ddacb4e	3	165375987	167418166	822	0.3692
6ac8acdc-936a-4308-865e-25b09ddacb4e	3	167420135	174571114	3896	0.8682
6ac8acdc-936a-4308-865e-25b09ddacb4e	3	174572001	175086598	333	0.7814
6ac8acdc-936a-4308-865e-25b09ddacb4e	3	175087178	175090139	2	1.9986
6ac8acdc-936a-4308-865e-25b09ddacb4e	3	175090542	179159575	1844	0.8451
6ac8acdc-936a-4308-865e-25b09ddacb4e	3	179159695	179246058	166	0.7229
6ac8acdc-936a-4308-865e-25b09ddacb4e	3	179246543	184739851	2451	0.8584
6ac8acdc-936a-4308-865e-25b09ddacb4e	3	184742088	184742153	2	-0.4847
6ac8acdc-936a-4308-865e-25b09ddacb4e	3	184746732	197812401	7250	0.8681
6ac8acdc-936a-4308-865e-25b09ddacb4e	4	1059384	16054940	9182	-0.3808
6ac8acdc-936a-4308-865e-25b09ddacb4e	4	16056071	39327250	14741	-0.4089
6ac8acdc-936a-4308-865e-25b09ddacb4e	4	39391069	40218276	321	0.0625
6ac8acdc-936a-4308-865e-25b09ddacb4e	4	40218336	40220055	4	0.6117
6ac8acdc-936a-4308-865e-25b09ddacb4e	4	40220156	43442995	1768	0.08
6ac8acdc-936a-4308-865e-25b09ddacb4e	4	43457891	47055441	1751	0.0349
6ac8acdc-936a-4308-865e-25b09ddacb4e	4	47055742	57486107	4264	0.0755
6ac8acdc-936a-4308-865e-25b09ddacb4e	4	57486231	66802839	5112	0.0397
6ac8acdc-936a-4308-865e-25b09ddacb4e	4	66807848	72931059	2792	0.0564
6ac8acdc-936a-4308-865e-25b09ddacb4e	4	72933322	72997733	45	0.1655
6ac8acdc-936a-4308-865e-25b09ddacb4e	4	72998092	91003114	10828	0.0679
6ac8acdc-936a-4308-865e-25b09ddacb4e	4	91003221	91280417	170	0.1573
6ac8acdc-936a-4308-865e-25b09ddacb4e	4	91281892	163433233	39970	0.0533
6ac8acdc-936a-4308-865e-25b09ddacb4e	4	163436408	163758554	169	0.1727
6ac8acdc-936a-4308-865e-25b09ddacb4e	4	163758621	187842528	12396	0.0479
6ac8acdc-936a-4308-865e-25b09ddacb4e	5	913983	5640631	3298	0.6729
6ac8acdc-936a-4308-865e-25b09ddacb4e	5	5641233	5641732	3	-0.3499
6ac8acdc-936a-4308-865e-25b09ddacb4e	5	5646714	19583570	8644	0.6525
6ac8acdc-936a-4308-865e-25b09ddacb4e	5	19586443	31061356	6017	0.6267
6ac8acdc-936a-4308-865e-25b09ddacb4e	5	31062658	31833709	677	0.6742
6ac8acdc-936a-4308-865e-25b09ddacb4e	5	31840500	31840611	2	1.6211
6ac8acdc-936a-4308-865e-25b09ddacb4e	5	31841173	45383300	7501	0.6551
6ac8acdc-936a-4308-865e-25b09ddacb4e	5	50828231	85599273	19674	0.0546
6ac8acdc-936a-4308-865e-25b09ddacb4e	5	85602955	85744499	57	0.4267
6ac8acdc-936a-4308-865e-25b09ddacb4e	5	85748450	98998704	6895	0.0437
6ac8acdc-936a-4308-865e-25b09ddacb4e	5	99002990	108546736	4304	0.0269
6ac8acdc-936a-4308-865e-25b09ddacb4e	5	108547058	160925536	32049	0.0515
6ac8acdc-936a-4308-865e-25b09ddacb4e	5	160925626	166837021	3645	0.0237
6ac8acdc-936a-4308-865e-25b09ddacb4e	5	166837968	178486061	7112	0.0615
6ac8acdc-936a-4308-865e-25b09ddacb4e	5	178486225	178550678	41	0.4483
6ac8acdc-936a-4308-865e-25b09ddacb4e	5	178551515	178608533	29	0.708
6ac8acdc-936a-4308-865e-25b09ddacb4e	5	178612061	179669317	619	0.4199
6ac8acdc-936a-4308-865e-25b09ddacb4e	5	179669479	179681642	11	-0.0235
6ac8acdc-936a-4308-865e-25b09ddacb4e	5	179683849	180934240	578	0.4217
6ac8acdc-936a-4308-865e-25b09ddacb4e	6	1011760	14743894	9979	0.0702
6ac8acdc-936a-4308-865e-25b09ddacb4e	6	14744001	30603694	9166	0.0462
6ac8acdc-936a-4308-865e-25b09ddacb4e	6	30610096	57341496	15003	0.066
6ac8acdc-936a-4308-865e-25b09ddacb4e	6	57341687	70070803	4572	0.0224
6ac8acdc-936a-4308-865e-25b09ddacb4e	6	70071143	88564935	10524	0.048
6ac8acdc-936a-4308-865e-25b09ddacb4e	6	88565404	88565820	3	-1.0803
6ac8acdc-936a-4308-865e-25b09ddacb4e	6	88567475	104503631	8523	0.0374
6ac8acdc-936a-4308-865e-25b09ddacb4e	6	104503818	127207493	12986	0.0597
6ac8acdc-936a-4308-865e-25b09ddacb4e	6	127207717	169138593	25735	0.0371
6ac8acdc-936a-4308-865e-25b09ddacb4e	6	169139039	170596889	695	0.0723
6ac8acdc-936a-4308-865e-25b09ddacb4e	7	664936	7292787	2450	0.407
6ac8acdc-936a-4308-865e-25b09ddacb4e	7	7292949	7934586	593	0.3754
6ac8acdc-936a-4308-865e-25b09ddacb4e	7	7937712	7945757	15	0.0046
6ac8acdc-936a-4308-865e-25b09ddacb4e	7	7947025	11681766	1635	0.3622
6ac8acdc-936a-4308-865e-25b09ddacb4e	7	11743022	13106170	987	0.0563
6ac8acdc-936a-4308-865e-25b09ddacb4e	7	13106532	13107471	5	-0.599
6ac8acdc-936a-4308-865e-25b09ddacb4e	7	13107555	16130033	2213	0.0325
6ac8acdc-936a-4308-865e-25b09ddacb4e	7	16131935	16132634	2	-1.1095
6ac8acdc-936a-4308-865e-25b09ddacb4e	7	16137216	40677627	15417	0.0585
6ac8acdc-936a-4308-865e-25b09ddacb4e	7	40685332	40852265	101	-0.4413
6ac8acdc-936a-4308-865e-25b09ddacb4e	7	40857405	51643148	6886	0.0608
6ac8acdc-936a-4308-865e-25b09ddacb4e	7	51643261	54182345	1750	0.0205
6ac8acdc-936a-4308-865e-25b09ddacb4e	7	54182777	54186079	2	1.011
6ac8acdc-936a-4308-865e-25b09ddacb4e	7	54193232	54372920	116	-0.0065
6ac8acdc-936a-4308-865e-25b09ddacb4e	7	54372935	66938024	2259	0.0586
6ac8acdc-936a-4308-865e-25b09ddacb4e	7	66943020	69827169	1658	0.1332
6ac8acdc-936a-4308-865e-25b09ddacb4e	7	69827914	101781777	15395	0.0639
6ac8acdc-936a-4308-865e-25b09ddacb4e	7	101782696	101948758	72	-0.4143
6ac8acdc-936a-4308-865e-25b09ddacb4e	7	101955872	102091195	79	0.0424
6ac8acdc-936a-4308-865e-25b09ddacb4e	7	102091238	158592540	30317	-0.4109
6ac8acdc-936a-4308-865e-25b09ddacb4e	8	667625	4940284	2217	0.079
6ac8acdc-936a-4308-865e-25b09ddacb4e	8	4940309	4956104	35	-0.4367
6ac8acdc-936a-4308-865e-25b09ddacb4e	8	4959666	32716065	17291	0.0772
6ac8acdc-936a-4308-865e-25b09ddacb4e	8	32716102	100425938	36200	0.054
6ac8acdc-936a-4308-865e-25b09ddacb4e	8	100428181	102189244	1196	0.0765
6ac8acdc-936a-4308-865e-25b09ddacb4e	8	102191499	102410834	85	0.4178
6ac8acdc-936a-4308-865e-25b09ddacb4e	8	102413424	108564158	3373	0.0593
6ac8acdc-936a-4308-865e-25b09ddacb4e	8	108564526	114613873	3068	0.0305
6ac8acdc-936a-4308-865e-25b09ddacb4e	8	114615067	134971997	14105	0.072
6ac8acdc-936a-4308-865e-25b09ddacb4e	8	134972035	138389773	2429	0.043
6ac8acdc-936a-4308-865e-25b09ddacb4e	8	138390083	144182542	2249	0.0742
6ac8acdc-936a-4308-865e-25b09ddacb4e	9	789794	1759811	428	0.0911
6ac8acdc-936a-4308-865e-25b09ddacb4e	9	1760175	31732622	18824	0.0599
6ac8acdc-936a-4308-865e-25b09ddacb4e	9	31735437	38721211	4319	0.0841
6ac8acdc-936a-4308-865e-25b09ddacb4e	9	38721645	84056850	10927	0.0658
6ac8acdc-936a-4308-865e-25b09ddacb4e	9	84057641	100784405	10824	0.0837
6ac8acdc-936a-4308-865e-25b09ddacb4e	9	100784705	104685959	2263	0.0521
6ac8acdc-936a-4308-865e-25b09ddacb4e	9	104685979	132282644	18385	0.0815
6ac8acdc-936a-4308-865e-25b09ddacb4e	9	132297025	132298505	7	-0.5713
6ac8acdc-936a-4308-865e-25b09ddacb4e	9	132298863	138044505	2525	0.0883
