GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
1ef66914-49a3-43de-a17d-86f923e1ab9f	1	3301765	8797045	3414	-0.0189
1ef66914-49a3-43de-a17d-86f923e1ab9f	1	8800155	8967855	105	0.3785
1ef66914-49a3-43de-a17d-86f923e1ab9f	1	8975955	49381559	21322	-0.0007
1ef66914-49a3-43de-a17d-86f923e1ab9f	1	49382064	49443468	31	-0.3754
1ef66914-49a3-43de-a17d-86f923e1ab9f	1	49448451	58397978	5484	-0.0136
1ef66914-49a3-43de-a17d-86f923e1ab9f	1	58398533	68419361	7090	0.0289
1ef66914-49a3-43de-a17d-86f923e1ab9f	1	68420052	82360420	7857	-0.0071
1ef66914-49a3-43de-a17d-86f923e1ab9f	1	82360761	95358126	8190	0.0318
1ef66914-49a3-43de-a17d-86f923e1ab9f	1	95359474	168381652	25751	-0.0031
1ef66914-49a3-43de-a17d-86f923e1ab9f	1	168385848	169775506	1120	0.0681
1ef66914-49a3-43de-a17d-86f923e1ab9f	1	169775811	180779181	6598	0.0035
1ef66914-49a3-43de-a17d-86f923e1ab9f	1	180781437	180784347	4	-1.511
1ef66914-49a3-43de-a17d-86f923e1ab9f	1	180786525	192170104	7028	0.0081
1ef66914-49a3-43de-a17d-86f923e1ab9f	1	192172707	192341117	94	-0.4154
1ef66914-49a3-43de-a17d-86f923e1ab9f	1	192341420	247650984	35393	0.0031
1ef66914-49a3-43de-a17d-86f923e1ab9f	2	480597	8286088	4737	-0.0168
1ef66914-49a3-43de-a17d-86f923e1ab9f	2	8288152	21766570	9205	0.0256
1ef66914-49a3-43de-a17d-86f923e1ab9f	2	21768485	28372375	3373	0.0008
1ef66914-49a3-43de-a17d-86f923e1ab9f	2	28374757	28374779	2	-2.0778
1ef66914-49a3-43de-a17d-86f923e1ab9f	2	28376463	114755923	43361	0.011
1ef66914-49a3-43de-a17d-86f923e1ab9f	2	114756023	119186147	2260	-0.0151
1ef66914-49a3-43de-a17d-86f923e1ab9f	2	119188377	119194869	2	-1.1354
1ef66914-49a3-43de-a17d-86f923e1ab9f	2	119196902	119489910	225	-0.0055
1ef66914-49a3-43de-a17d-86f923e1ab9f	2	119490277	119490335	2	-1.9499
1ef66914-49a3-43de-a17d-86f923e1ab9f	2	119490362	128542723	4480	0.0044
1ef66914-49a3-43de-a17d-86f923e1ab9f	2	128545033	128548424	2	-1.4418
1ef66914-49a3-43de-a17d-86f923e1ab9f	2	128548990	130874668	1103	-0.0479
1ef66914-49a3-43de-a17d-86f923e1ab9f	2	130875237	130875789	2	-1.4771
1ef66914-49a3-43de-a17d-86f923e1ab9f	2	130876272	131589090	183	-0.0593
1ef66914-49a3-43de-a17d-86f923e1ab9f	2	131595248	132937929	403	0.0242
1ef66914-49a3-43de-a17d-86f923e1ab9f	2	132942572	132942736	2	-1.0663
1ef66914-49a3-43de-a17d-86f923e1ab9f	2	132943711	135798959	1701	0.0224
1ef66914-49a3-43de-a17d-86f923e1ab9f	2	135799235	148879084	7181	-0.0194
1ef66914-49a3-43de-a17d-86f923e1ab9f	2	148879309	171953136	13744	0.0191
1ef66914-49a3-43de-a17d-86f923e1ab9f	2	171955079	173767418	1329	0.0687
1ef66914-49a3-43de-a17d-86f923e1ab9f	2	173769769	206518835	17397	0.0208
1ef66914-49a3-43de-a17d-86f923e1ab9f	2	206519413	223181763	10337	-0.0054
1ef66914-49a3-43de-a17d-86f923e1ab9f	2	223184695	237489522	8706	0.0131
1ef66914-49a3-43de-a17d-86f923e1ab9f	2	237489539	237489879	4	-1.1628
1ef66914-49a3-43de-a17d-86f923e1ab9f	2	237492059	241537572	2239	-0.0008
1ef66914-49a3-43de-a17d-86f923e1ab9f	3	2170634	10360761	4678	0.0083
1ef66914-49a3-43de-a17d-86f923e1ab9f	3	10369869	10370143	2	-1.6222
1ef66914-49a3-43de-a17d-86f923e1ab9f	3	10371842	16623040	4262	0.0063
1ef66914-49a3-43de-a17d-86f923e1ab9f	3	16623307	16943601	220	-0.3998
1ef66914-49a3-43de-a17d-86f923e1ab9f	3	16947467	29568997	7095	-0.0008
1ef66914-49a3-43de-a17d-86f923e1ab9f	3	29575776	31479039	1374	0.0669
1ef66914-49a3-43de-a17d-86f923e1ab9f	3	31480981	167872082	73715	0.0066
1ef66914-49a3-43de-a17d-86f923e1ab9f	3	167872669	172302632	2484	0.0514
1ef66914-49a3-43de-a17d-86f923e1ab9f	3	172303216	175204531	1587	0.0059
1ef66914-49a3-43de-a17d-86f923e1ab9f	3	175205736	175360729	169	-0.4254
1ef66914-49a3-43de-a17d-86f923e1ab9f	3	176041258	197812401	11441	0.0147
1ef66914-49a3-43de-a17d-86f923e1ab9f	4	1059384	72662467	39689	-0.0141
1ef66914-49a3-43de-a17d-86f923e1ab9f	4	72662887	107600629	20125	0.0089
1ef66914-49a3-43de-a17d-86f923e1ab9f	4	107600885	107610113	5	-1.3804
1ef66914-49a3-43de-a17d-86f923e1ab9f	4	107613202	187842528	43531	-0.0075
1ef66914-49a3-43de-a17d-86f923e1ab9f	5	913983	1428399	127	0.0325
1ef66914-49a3-43de-a17d-86f923e1ab9f	5	1428688	6572093	3917	-0.0414
1ef66914-49a3-43de-a17d-86f923e1ab9f	5	6572245	10986572	3159	0.0223
1ef66914-49a3-43de-a17d-86f923e1ab9f	5	10990595	13494181	1358	-0.0528
1ef66914-49a3-43de-a17d-86f923e1ab9f	5	13495179	14242283	633	0.0179
1ef66914-49a3-43de-a17d-86f923e1ab9f	5	14242797	16781797	1294	0.0622
1ef66914-49a3-43de-a17d-86f923e1ab9f	5	16782519	29017318	6195	-0.0025
1ef66914-49a3-43de-a17d-86f923e1ab9f	5	29017353	29023197	3	-1.0881
1ef66914-49a3-43de-a17d-86f923e1ab9f	5	29023356	59331016	14836	0.0008
1ef66914-49a3-43de-a17d-86f923e1ab9f	5	59332891	60071707	517	0.0885
1ef66914-49a3-43de-a17d-86f923e1ab9f	5	60077222	67361734	3904	-0.0056
1ef66914-49a3-43de-a17d-86f923e1ab9f	5	67361909	76346924	4477	0.0391
1ef66914-49a3-43de-a17d-86f923e1ab9f	5	76346946	95302581	10204	-0.0001
1ef66914-49a3-43de-a17d-86f923e1ab9f	5	95304598	100768887	2298	0.0443
1ef66914-49a3-43de-a17d-86f923e1ab9f	5	100769099	108431910	3992	0.016
1ef66914-49a3-43de-a17d-86f923e1ab9f	5	108434624	114650431	3973	-0.0168
1ef66914-49a3-43de-a17d-86f923e1ab9f	5	114655023	116243080	872	0.0402
1ef66914-49a3-43de-a17d-86f923e1ab9f	5	116243113	122945956	3888	-0.0211
1ef66914-49a3-43de-a17d-86f923e1ab9f	5	122947475	126750820	2352	0.0406
1ef66914-49a3-43de-a17d-86f923e1ab9f	5	126753051	127114233	179	0.322
1ef66914-49a3-43de-a17d-86f923e1ab9f	5	127114943	128445770	786	0.076
1ef66914-49a3-43de-a17d-86f923e1ab9f	5	128446086	149089128	12179	0.0129
1ef66914-49a3-43de-a17d-86f923e1ab9f	5	149093933	151279504	1425	0.044
1ef66914-49a3-43de-a17d-86f923e1ab9f	5	151279643	180934240	18401	-0.0061
1ef66914-49a3-43de-a17d-86f923e1ab9f	6	1011760	160919448	92265	0.0067
1ef66914-49a3-43de-a17d-86f923e1ab9f	6	160919650	163930388	1799	-0.0572
1ef66914-49a3-43de-a17d-86f923e1ab9f	6	163930489	170596889	2950	0.0037
1ef66914-49a3-43de-a17d-86f923e1ab9f	7	664936	12190933	5057	-0.007
1ef66914-49a3-43de-a17d-86f923e1ab9f	7	12192191	18077790	3635	0.0413
1ef66914-49a3-43de-a17d-86f923e1ab9f	7	18082620	37069552	12313	0.0054
1ef66914-49a3-43de-a17d-86f923e1ab9f	7	37073025	44222151	4245	-0.0294
1ef66914-49a3-43de-a17d-86f923e1ab9f	7	44223804	68411103	9892	-0.001
1ef66914-49a3-43de-a17d-86f923e1ab9f	7	68412245	73317954	2484	-0.0402
