GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
a2a21ed4-9579-46ef-b75a-b54cd64b24f0	1	3301765	115566237	65320	0.0025
a2a21ed4-9579-46ef-b75a-b54cd64b24f0	1	115569308	115578367	3	-1.4768
a2a21ed4-9579-46ef-b75a-b54cd64b24f0	1	115582296	247650984	64315	0.005
a2a21ed4-9579-46ef-b75a-b54cd64b24f0	2	480597	241537572	132096	0.0006
a2a21ed4-9579-46ef-b75a-b54cd64b24f0	3	2170634	197812401	107111	0.003
a2a21ed4-9579-46ef-b75a-b54cd64b24f0	4	1059384	124538250	69470	0.003
a2a21ed4-9579-46ef-b75a-b54cd64b24f0	4	124539196	124541780	3	-1.6659
a2a21ed4-9579-46ef-b75a-b54cd64b24f0	4	124541870	187842528	33921	0.0057
a2a21ed4-9579-46ef-b75a-b54cd64b24f0	5	913983	22964681	13458	0.0028
a2a21ed4-9579-46ef-b75a-b54cd64b24f0	5	22966760	22981017	8	-0.7237
a2a21ed4-9579-46ef-b75a-b54cd64b24f0	5	22984015	158749094	74105	0.0028
a2a21ed4-9579-46ef-b75a-b54cd64b24f0	5	158751314	158753307	5	-1.0091
a2a21ed4-9579-46ef-b75a-b54cd64b24f0	5	158757095	180934240	13453	0.0014
a2a21ed4-9579-46ef-b75a-b54cd64b24f0	6	1011760	40998463	24439	0.0041
a2a21ed4-9579-46ef-b75a-b54cd64b24f0	6	40999002	41004039	2	-1.5137
a2a21ed4-9579-46ef-b75a-b54cd64b24f0	6	41004072	78541947	19120	0.0041
a2a21ed4-9579-46ef-b75a-b54cd64b24f0	6	78542738	78546902	2	-1.5106
a2a21ed4-9579-46ef-b75a-b54cd64b24f0	6	78547294	170596889	53518	0.002
a2a21ed4-9579-46ef-b75a-b54cd64b24f0	7	664936	158592540	81876	0.0025
a2a21ed4-9579-46ef-b75a-b54cd64b24f0	8	667625	144182542	82167	0.0042
a2a21ed4-9579-46ef-b75a-b54cd64b24f0	9	789794	138044505	68430	0.0045
a2a21ed4-9579-46ef-b75a-b54cd64b24f0	10	366509	133411599	81238	0.0035
a2a21ed4-9579-46ef-b75a-b54cd64b24f0	11	456012	134272740	77517	0.0029
a2a21ed4-9579-46ef-b75a-b54cd64b24f0	12	780472	132605822	74270	0.0043
a2a21ed4-9579-46ef-b75a-b54cd64b24f0	13	18874255	42029063	14701	0.0046
a2a21ed4-9579-46ef-b75a-b54cd64b24f0	13	42030158	42035086	3	-1.4306
a2a21ed4-9579-46ef-b75a-b54cd64b24f0	13	42035278	114226675	42240	0.0002
a2a21ed4-9579-46ef-b75a-b54cd64b24f0	14	20033191	105533894	49747	0.0022
a2a21ed4-9579-46ef-b75a-b54cd64b24f0	15	23437561	101344124	44750	0.0012
a2a21ed4-9579-46ef-b75a-b54cd64b24f0	16	603333	89317317	41189	0.0037
a2a21ed4-9579-46ef-b75a-b54cd64b24f0	17	1074619	82959812	37270	0.0016
a2a21ed4-9579-46ef-b75a-b54cd64b24f0	18	326691	79349796	42920	0.0022
a2a21ed4-9579-46ef-b75a-b54cd64b24f0	19	283868	38725953	15983	-0.0005
a2a21ed4-9579-46ef-b75a-b54cd64b24f0	19	38740263	38759064	5	0.9332
a2a21ed4-9579-46ef-b75a-b54cd64b24f0	19	38759697	38788941	31	0.509
a2a21ed4-9579-46ef-b75a-b54cd64b24f0	19	38793127	58370362	8128	0.0036
a2a21ed4-9579-46ef-b75a-b54cd64b24f0	20	472817	63588502	37541	-0.0005
a2a21ed4-9579-46ef-b75a-b54cd64b24f0	21	13974127	46262057	20578	0.0032
a2a21ed4-9579-46ef-b75a-b54cd64b24f0	22	16934932	48940621	17085	0.0033
a2a21ed4-9579-46ef-b75a-b54cd64b24f0	X	3236359	155677414	63820	0.0073
