GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
632e3744-82cd-4344-8747-9e44d727f646	1	3301765	63003832	33576	0.0034
632e3744-82cd-4344-8747-9e44d727f646	1	63005821	63006432	3	-1.1892
632e3744-82cd-4344-8747-9e44d727f646	1	63007197	175434940	50416	-0.0008
632e3744-82cd-4344-8747-9e44d727f646	1	175434953	175440761	3	-1.1413
632e3744-82cd-4344-8747-9e44d727f646	1	175440983	247650984	45702	-0.0021
632e3744-82cd-4344-8747-9e44d727f646	2	480597	41140264	24364	0.0052
632e3744-82cd-4344-8747-9e44d727f646	2	41140380	41145494	3	1.1651
632e3744-82cd-4344-8747-9e44d727f646	2	41357637	241537572	107812	0.0021
632e3744-82cd-4344-8747-9e44d727f646	3	2170634	144851817	79837	0.0014
632e3744-82cd-4344-8747-9e44d727f646	3	144858229	144861506	5	-1.0926
632e3744-82cd-4344-8747-9e44d727f646	3	144865356	188212725	22399	-0.0051
632e3744-82cd-4344-8747-9e44d727f646	3	188213864	188215573	2	-1.2892
632e3744-82cd-4344-8747-9e44d727f646	3	188217061	197812401	4902	0.0014
632e3744-82cd-4344-8747-9e44d727f646	4	1059384	29314452	17820	0.001
632e3744-82cd-4344-8747-9e44d727f646	4	29316617	29316627	2	-2.6433
632e3744-82cd-4344-8747-9e44d727f646	4	29316643	187842528	85646	-0.0011
632e3744-82cd-4344-8747-9e44d727f646	5	913983	180934240	101093	-0.001
632e3744-82cd-4344-8747-9e44d727f646	6	1011760	170596889	97143	-0.0041
632e3744-82cd-4344-8747-9e44d727f646	7	664936	158592540	81923	0.001
632e3744-82cd-4344-8747-9e44d727f646	8	667625	144182542	82202	-0.0007
632e3744-82cd-4344-8747-9e44d727f646	9	789794	138044505	68471	0.0045
632e3744-82cd-4344-8747-9e44d727f646	10	366509	133411599	81264	0.0008
632e3744-82cd-4344-8747-9e44d727f646	11	456012	65985114	35170	0.0019
632e3744-82cd-4344-8747-9e44d727f646	11	65988237	65989869	4	-0.9138
632e3744-82cd-4344-8747-9e44d727f646	11	65996659	134272740	42368	0.003
632e3744-82cd-4344-8747-9e44d727f646	12	780472	132605822	74340	-0.0023
632e3744-82cd-4344-8747-9e44d727f646	13	18874255	114226675	56991	0.0012
632e3744-82cd-4344-8747-9e44d727f646	14	20033191	26294421	2983	0.0081
632e3744-82cd-4344-8747-9e44d727f646	14	26300516	26300519	3	0.9449
632e3744-82cd-4344-8747-9e44d727f646	14	26300708	48861820	11834	0.0076
632e3744-82cd-4344-8747-9e44d727f646	14	48864091	48865531	3	-1.0872
632e3744-82cd-4344-8747-9e44d727f646	14	48868229	73953773	15513	0.0075
632e3744-82cd-4344-8747-9e44d727f646	14	73957074	73957079	2	1.2746
632e3744-82cd-4344-8747-9e44d727f646	14	73958353	105533894	19427	0.0035
632e3744-82cd-4344-8747-9e44d727f646	15	23437561	101344124	44777	0.0032
632e3744-82cd-4344-8747-9e44d727f646	16	603333	89317317	41199	0.003
632e3744-82cd-4344-8747-9e44d727f646	17	1074619	82959812	37273	0.0053
632e3744-82cd-4344-8747-9e44d727f646	18	326691	79349796	42960	0.004
632e3744-82cd-4344-8747-9e44d727f646	19	283868	58370362	24147	-0.0006
632e3744-82cd-4344-8747-9e44d727f646	20	472817	63588502	37539	-0.0018
632e3744-82cd-4344-8747-9e44d727f646	21	13974127	46262057	20593	0.0052
632e3744-82cd-4344-8747-9e44d727f646	22	16934932	48940621	17083	0.005
632e3744-82cd-4344-8747-9e44d727f646	X	3236359	9240940	1180	-0.0262
632e3744-82cd-4344-8747-9e44d727f646	X	9242377	9243878	2	-3.1587
632e3744-82cd-4344-8747-9e44d727f646	X	9244308	87559338	32183	0.003
632e3744-82cd-4344-8747-9e44d727f646	X	87559382	87562617	5	-1.0397
632e3744-82cd-4344-8747-9e44d727f646	X	87567910	155677414	29750	-0.001
