GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
6086fce5-5225-4e01-8b27-e32cbb33d52e	1	3301765	9217229	3644	-0.0249
6086fce5-5225-4e01-8b27-e32cbb33d52e	1	9217671	9927601	265	-0.6774
6086fce5-5225-4e01-8b27-e32cbb33d52e	1	9928480	10408661	220	0.0251
6086fce5-5225-4e01-8b27-e32cbb33d52e	1	10424359	10809488	187	-0.708
6086fce5-5225-4e01-8b27-e32cbb33d52e	1	10809674	10809865	2	-2.8627
6086fce5-5225-4e01-8b27-e32cbb33d52e	1	10811885	11010638	104	-0.6545
6086fce5-5225-4e01-8b27-e32cbb33d52e	1	11014193	14058329	1400	-0.025
6086fce5-5225-4e01-8b27-e32cbb33d52e	1	14060416	14968837	707	-0.7761
6086fce5-5225-4e01-8b27-e32cbb33d52e	1	14970679	15224342	205	-0.0381
6086fce5-5225-4e01-8b27-e32cbb33d52e	1	15227268	15761329	261	-0.7046
6086fce5-5225-4e01-8b27-e32cbb33d52e	1	15761501	26522133	5711	-0.0232
6086fce5-5225-4e01-8b27-e32cbb33d52e	1	26523804	27014061	152	-0.6467
6086fce5-5225-4e01-8b27-e32cbb33d52e	1	27014714	31377810	2185	-0.0134
6086fce5-5225-4e01-8b27-e32cbb33d52e	1	31380033	31417723	31	-0.7567
6086fce5-5225-4e01-8b27-e32cbb33d52e	1	31424411	46608469	7995	-0.0195
6086fce5-5225-4e01-8b27-e32cbb33d52e	1	46611309	108121219	37488	-0.0385
6086fce5-5225-4e01-8b27-e32cbb33d52e	1	108124524	228702304	55891	-0.0168
6086fce5-5225-4e01-8b27-e32cbb33d52e	1	228705524	228713161	2	-2.1433
6086fce5-5225-4e01-8b27-e32cbb33d52e	1	228713832	247650984	12465	-0.0209
6086fce5-5225-4e01-8b27-e32cbb33d52e	2	480597	241537572	131416	-0.0248
6086fce5-5225-4e01-8b27-e32cbb33d52e	3	2170634	28212659	15321	-0.0286
6086fce5-5225-4e01-8b27-e32cbb33d52e	3	28216174	28229753	10	-0.9282
6086fce5-5225-4e01-8b27-e32cbb33d52e	3	28232536	54778684	14881	-0.0222
6086fce5-5225-4e01-8b27-e32cbb33d52e	3	54780549	54793010	18	-0.7955
6086fce5-5225-4e01-8b27-e32cbb33d52e	3	54794455	62867764	4585	-0.0196
6086fce5-5225-4e01-8b27-e32cbb33d52e	3	62867970	65395977	2054	-0.4403
6086fce5-5225-4e01-8b27-e32cbb33d52e	3	65396297	65633647	194	-0.7455
6086fce5-5225-4e01-8b27-e32cbb33d52e	3	65634413	87760453	12721	-0.4382
6086fce5-5225-4e01-8b27-e32cbb33d52e	3	87909425	126545217	19583	-0.0267
6086fce5-5225-4e01-8b27-e32cbb33d52e	3	126546482	127375175	465	-0.2816
6086fce5-5225-4e01-8b27-e32cbb33d52e	3	127377412	138900690	6314	-0.0321
6086fce5-5225-4e01-8b27-e32cbb33d52e	3	138900718	142701858	2170	-0.2597
6086fce5-5225-4e01-8b27-e32cbb33d52e	3	142705704	176935042	17316	-0.0334
