GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
2791d2ae-3139-47d6-99e8-94b4146cc0a9	1	3301765	11863925	4895	0.0117
2791d2ae-3139-47d6-99e8-94b4146cc0a9	1	11863970	11866999	2	-1.2553
2791d2ae-3139-47d6-99e8-94b4146cc0a9	1	11868657	15201838	1848	0.0089
2791d2ae-3139-47d6-99e8-94b4146cc0a9	1	15201991	15359510	119	0.2638
2791d2ae-3139-47d6-99e8-94b4146cc0a9	1	15360563	15686162	168	-0.0014
2791d2ae-3139-47d6-99e8-94b4146cc0a9	1	15761329	15783174	8	-0.7719
2791d2ae-3139-47d6-99e8-94b4146cc0a9	1	15786144	33203403	8847	0.0142
2791d2ae-3139-47d6-99e8-94b4146cc0a9	1	33204173	33366485	79	-0.282
2791d2ae-3139-47d6-99e8-94b4146cc0a9	1	33368103	51880393	9900	0.0056
2791d2ae-3139-47d6-99e8-94b4146cc0a9	1	51882677	51883181	5	-1.0355
2791d2ae-3139-47d6-99e8-94b4146cc0a9	1	51885178	61784977	6913	0.0034
2791d2ae-3139-47d6-99e8-94b4146cc0a9	1	61785492	61802833	14	-0.4237
2791d2ae-3139-47d6-99e8-94b4146cc0a9	1	61808859	63834104	1357	-0.0028
2791d2ae-3139-47d6-99e8-94b4146cc0a9	1	63835258	63967872	85	0.258
2791d2ae-3139-47d6-99e8-94b4146cc0a9	1	63976633	149906351	33899	-0.0062
2791d2ae-3139-47d6-99e8-94b4146cc0a9	1	149907993	154088004	1963	0.3507
2791d2ae-3139-47d6-99e8-94b4146cc0a9	1	154096304	154096749	2	-1.405
2791d2ae-3139-47d6-99e8-94b4146cc0a9	1	154099022	155241876	563	0.3599
2791d2ae-3139-47d6-99e8-94b4146cc0a9	1	155242476	162924843	4689	0.2284
2791d2ae-3139-47d6-99e8-94b4146cc0a9	1	162924881	163116968	159	-0.04
2791d2ae-3139-47d6-99e8-94b4146cc0a9	1	163117295	174010281	7798	0.2151
2791d2ae-3139-47d6-99e8-94b4146cc0a9	1	174017820	205054884	18929	0.1739
2791d2ae-3139-47d6-99e8-94b4146cc0a9	1	205055496	215869996	7174	-0.1956
2791d2ae-3139-47d6-99e8-94b4146cc0a9	1	215873436	216000216	119	-0.0326
2791d2ae-3139-47d6-99e8-94b4146cc0a9	1	216001546	225047098	5914	0.0382
2791d2ae-3139-47d6-99e8-94b4146cc0a9	1	225047378	226303961	562	0.2786
2791d2ae-3139-47d6-99e8-94b4146cc0a9	1	226306814	231680490	3273	0.0383
2791d2ae-3139-47d6-99e8-94b4146cc0a9	1	231680730	232129515	268	0.2469
2791d2ae-3139-47d6-99e8-94b4146cc0a9	1	232129864	232130552	6	-0.2787
2791d2ae-3139-47d6-99e8-94b4146cc0a9	1	232134451	232183818	58	0.243
2791d2ae-3139-47d6-99e8-94b4146cc0a9	1	232184278	236012938	2703	0.2793
2791d2ae-3139-47d6-99e8-94b4146cc0a9	1	236013411	244150193	5923	0.228
2791d2ae-3139-47d6-99e8-94b4146cc0a9	1	244152616	244153694	4	-0.9158
2791d2ae-3139-47d6-99e8-94b4146cc0a9	1	244154983	247650984	1532	0.2365
2791d2ae-3139-47d6-99e8-94b4146cc0a9	2	480597	6442313	3513	-0.0138
2791d2ae-3139-47d6-99e8-94b4146cc0a9	2	6443129	6867489	326	0.1654
2791d2ae-3139-47d6-99e8-94b4146cc0a9	2	6868627	15432710	5748	-0.0138
2791d2ae-3139-47d6-99e8-94b4146cc0a9	2	15437009	15643321	119	-0.2721
2791d2ae-3139-47d6-99e8-94b4146cc0a9	2	15644640	53720656	22264	-0.013
2791d2ae-3139-47d6-99e8-94b4146cc0a9	2	53725354	53989913	163	-0.3442
2791d2ae-3139-47d6-99e8-94b4146cc0a9	2	54475237	110818077	26686	-0.008
2791d2ae-3139-47d6-99e8-94b4146cc0a9	2	110820580	110821004	2	-1.477
2791d2ae-3139-47d6-99e8-94b4146cc0a9	2	110821480	146647662	18490	-0.0075
2791d2ae-3139-47d6-99e8-94b4146cc0a9	2	146648284	154165093	4496	-0.2103
2791d2ae-3139-47d6-99e8-94b4146cc0a9	2	154167255	170074327	9211	-0.0028
2791d2ae-3139-47d6-99e8-94b4146cc0a9	2	170076270	170182913	96	0.2518
2791d2ae-3139-47d6-99e8-94b4146cc0a9	2	170183996	186236724	9266	-0.0047
2791d2ae-3139-47d6-99e8-94b4146cc0a9	2	186240151	186772183	284	0.204
2791d2ae-3139-47d6-99e8-94b4146cc0a9	2	186772859	191054628	2159	-0.0065
2791d2ae-3139-47d6-99e8-94b4146cc0a9	2	191057148	191407227	246	-0.2953
2791d2ae-3139-47d6-99e8-94b4146cc0a9	2	191411466	212975469	11721	-0.0044
2791d2ae-3139-47d6-99e8-94b4146cc0a9	2	212978980	213096754	101	-0.3188
2791d2ae-3139-47d6-99e8-94b4146cc0a9	2	213099483	229603975	10506	-0.0065
2791d2ae-3139-47d6-99e8-94b4146cc0a9	2	229607242	229712080	89	-0.3786
2791d2ae-3139-47d6-99e8-94b4146cc0a9	2	230031484	236240496	3655	0.0022
2791d2ae-3139-47d6-99e8-94b4146cc0a9	2	236241523	236241735	2	-1.3291
2791d2ae-3139-47d6-99e8-94b4146cc0a9	2	236242198	241537572	3104	0.0044
2791d2ae-3139-47d6-99e8-94b4146cc0a9	3	2170634	7298477	2602	-0.0471
2791d2ae-3139-47d6-99e8-94b4146cc0a9	3	7299337	7309686	11	-0.5756
2791d2ae-3139-47d6-99e8-94b4146cc0a9	3	7315201	11245469	2762	-0.0251
