GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
102ec488-7980-426b-943b-8263c8c16bdf	1	3301765	247650984	128310	0.0003
102ec488-7980-426b-943b-8263c8c16bdf	2	480597	241537572	130791	0.0056
102ec488-7980-426b-943b-8263c8c16bdf	3	2170634	132741060	72344	-0.0008
102ec488-7980-426b-943b-8263c8c16bdf	3	132745693	132859103	78	0.4018
102ec488-7980-426b-943b-8263c8c16bdf	3	132867621	197812401	33519	-0.001
102ec488-7980-426b-943b-8263c8c16bdf	4	1059384	123869922	68407	0
102ec488-7980-426b-943b-8263c8c16bdf	4	123870354	123914224	27	0.544
102ec488-7980-426b-943b-8263c8c16bdf	4	123915963	187842528	33907	-0.0004
102ec488-7980-426b-943b-8263c8c16bdf	5	913983	57638199	30058	0.0031
102ec488-7980-426b-943b-8263c8c16bdf	5	57639194	57641018	2	-2.3347
102ec488-7980-426b-943b-8263c8c16bdf	5	57641454	180934240	69948	0.0006
102ec488-7980-426b-943b-8263c8c16bdf	6	1011760	170596889	96028	0.0007
102ec488-7980-426b-943b-8263c8c16bdf	7	665647	158592540	81076	0.0003
102ec488-7980-426b-943b-8263c8c16bdf	8	667625	144182542	81331	0.0001
102ec488-7980-426b-943b-8263c8c16bdf	9	789794	138044505	67594	0.0014
102ec488-7980-426b-943b-8263c8c16bdf	10	366509	133411599	80372	0.0009
102ec488-7980-426b-943b-8263c8c16bdf	11	456012	134272740	76631	-0.0002
102ec488-7980-426b-943b-8263c8c16bdf	12	780472	132605822	73502	0.0016
102ec488-7980-426b-943b-8263c8c16bdf	13	18874255	114226675	56301	0.0039
102ec488-7980-426b-943b-8263c8c16bdf	14	20033191	105533894	49185	-0.0054
102ec488-7980-426b-943b-8263c8c16bdf	15	23437561	101344124	44258	-0.0018
102ec488-7980-426b-943b-8263c8c16bdf	16	603333	89317317	40746	-0.0018
102ec488-7980-426b-943b-8263c8c16bdf	17	1074619	82959812	36897	-0.0032
102ec488-7980-426b-943b-8263c8c16bdf	18	326691	79349796	42468	0.0021
102ec488-7980-426b-943b-8263c8c16bdf	19	283868	58370362	23958	0.0001
102ec488-7980-426b-943b-8263c8c16bdf	20	472817	63588502	37097	-0.0009
102ec488-7980-426b-943b-8263c8c16bdf	21	13974127	46262057	20362	-0.0024
102ec488-7980-426b-943b-8263c8c16bdf	22	16934932	48940621	16897	-0.0018
102ec488-7980-426b-943b-8263c8c16bdf	X	3236359	155677414	63407	0.0016
