GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
b985fa26-fc29-4a61-8051-fcd9d723e29e	1	3301765	7867396	2958	-0.3836
b985fa26-fc29-4a61-8051-fcd9d723e29e	1	7867450	13674974	2565	-0.426
b985fa26-fc29-4a61-8051-fcd9d723e29e	1	13676749	19446353	3520	-0.3719
b985fa26-fc29-4a61-8051-fcd9d723e29e	1	19446939	19448998	2	-2.6779
b985fa26-fc29-4a61-8051-fcd9d723e29e	1	19449072	24624303	2873	-0.3928
b985fa26-fc29-4a61-8051-fcd9d723e29e	1	24625978	28564850	1578	-0.443
b985fa26-fc29-4a61-8051-fcd9d723e29e	1	28568638	31148580	1492	-0.3627
b985fa26-fc29-4a61-8051-fcd9d723e29e	1	31150820	31152499	2	-3.1285
b985fa26-fc29-4a61-8051-fcd9d723e29e	1	31152542	32414093	563	-0.4153
b985fa26-fc29-4a61-8051-fcd9d723e29e	1	32417542	32507670	30	1.9924
b985fa26-fc29-4a61-8051-fcd9d723e29e	1	32508317	46441668	7490	1.0385
b985fa26-fc29-4a61-8051-fcd9d723e29e	1	46446249	50928422	2406	-0.3603
b985fa26-fc29-4a61-8051-fcd9d723e29e	1	50929560	55254764	2350	-0.4054
b985fa26-fc29-4a61-8051-fcd9d723e29e	1	55254782	74920024	13120	-0.3552
b985fa26-fc29-4a61-8051-fcd9d723e29e	1	74921253	76269846	888	0.5019
b985fa26-fc29-4a61-8051-fcd9d723e29e	1	76273458	84613346	4986	-0.3294
b985fa26-fc29-4a61-8051-fcd9d723e29e	1	84613727	94883114	6428	-0.3764
b985fa26-fc29-4a61-8051-fcd9d723e29e	1	94883353	97557609	1651	-0.3293
b985fa26-fc29-4a61-8051-fcd9d723e29e	1	97560261	97564906	4	-1.8811
b985fa26-fc29-4a61-8051-fcd9d723e29e	1	97565044	100351723	1674	-0.3462
b985fa26-fc29-4a61-8051-fcd9d723e29e	1	100356474	100357491	3	-1.9545
b985fa26-fc29-4a61-8051-fcd9d723e29e	1	100359037	108552214	4436	-0.3388
b985fa26-fc29-4a61-8051-fcd9d723e29e	1	108552580	112242649	2333	-0.3983
b985fa26-fc29-4a61-8051-fcd9d723e29e	1	112242712	112244774	3	-1.6276
b985fa26-fc29-4a61-8051-fcd9d723e29e	1	112245488	117850275	3525	-0.3819
b985fa26-fc29-4a61-8051-fcd9d723e29e	1	117850340	119984772	1236	-0.336
b985fa26-fc29-4a61-8051-fcd9d723e29e	1	146716041	152376602	1027	0.3757
b985fa26-fc29-4a61-8051-fcd9d723e29e	1	152377208	156374120	1988	0.4528
b985fa26-fc29-4a61-8051-fcd9d723e29e	1	156375401	160185135	2421	0.5123
b985fa26-fc29-4a61-8051-fcd9d723e29e	1	160189313	161933744	925	0.4545
b985fa26-fc29-4a61-8051-fcd9d723e29e	1	161933893	163551883	1376	0.5255
b985fa26-fc29-4a61-8051-fcd9d723e29e	1	163554603	164866103	884	0.5885
b985fa26-fc29-4a61-8051-fcd9d723e29e	1	164866448	164866680	2	1.703
b985fa26-fc29-4a61-8051-fcd9d723e29e	1	164868642	165452405	562	0.5646
b985fa26-fc29-4a61-8051-fcd9d723e29e	1	165452421	176855566	7305	0.501
b985fa26-fc29-4a61-8051-fcd9d723e29e	1	176856777	178652420	1181	0.5784
b985fa26-fc29-4a61-8051-fcd9d723e29e	1	178655594	186699999	5260	0.5028
b985fa26-fc29-4a61-8051-fcd9d723e29e	1	186700123	199202675	7275	0.5357
b985fa26-fc29-4a61-8051-fcd9d723e29e	1	199202699	207778376	5428	0.4627
b985fa26-fc29-4a61-8051-fcd9d723e29e	1	207779312	210817195	2401	0.5122
b985fa26-fc29-4a61-8051-fcd9d723e29e	1	210818448	213249883	1446	0.4493
b985fa26-fc29-4a61-8051-fcd9d723e29e	1	213254690	216851065	2553	0.5313
b985fa26-fc29-4a61-8051-fcd9d723e29e	1	216851589	223443840	4329	0.4918
b985fa26-fc29-4a61-8051-fcd9d723e29e	1	223446392	223863737	249	0.5349
b985fa26-fc29-4a61-8051-fcd9d723e29e	1	223863935	232422006	5107	0.4623
b985fa26-fc29-4a61-8051-fcd9d723e29e	1	232425071	232451562	32	1.0068
b985fa26-fc29-4a61-8051-fcd9d723e29e	1	232456179	237013029	3242	0.482
b985fa26-fc29-4a61-8051-fcd9d723e29e	1	237013136	237038520	22	-0.0252
b985fa26-fc29-4a61-8051-fcd9d723e29e	1	237043889	241846770	3736	0.5179
b985fa26-fc29-4a61-8051-fcd9d723e29e	1	241846942	247650984	2921	0.4685
b985fa26-fc29-4a61-8051-fcd9d723e29e	2	480597	18287302	11579	0.2198
b985fa26-fc29-4a61-8051-fcd9d723e29e	2	18289493	23826583	3697	0.2582
b985fa26-fc29-4a61-8051-fcd9d723e29e	2	23826664	29024979	2328	0.1839
b985fa26-fc29-4a61-8051-fcd9d723e29e	2	29025738	34703918	3341	0.2318
b985fa26-fc29-4a61-8051-fcd9d723e29e	2	34706468	34706510	2	-0.7728
b985fa26-fc29-4a61-8051-fcd9d723e29e	2	34707772	36822144	1202	0.247
b985fa26-fc29-4a61-8051-fcd9d723e29e	2	36822420	48607132	7032	0.2092
b985fa26-fc29-4a61-8051-fcd9d723e29e	2	48607301	60480453	6634	0.2392
b985fa26-fc29-4a61-8051-fcd9d723e29e	2	60480541	65768063	2682	0.1795
b985fa26-fc29-4a61-8051-fcd9d723e29e	2	65768377	67780846	1519	0.2497
b985fa26-fc29-4a61-8051-fcd9d723e29e	2	67784610	75155237	4174	0.1869
b985fa26-fc29-4a61-8051-fcd9d723e29e	2	75155265	84921963	5263	0.2469
b985fa26-fc29-4a61-8051-fcd9d723e29e	2	84925467	99757235	3097	0.174
b985fa26-fc29-4a61-8051-fcd9d723e29e	2	99758108	108390953	5491	0.2065
b985fa26-fc29-4a61-8051-fcd9d723e29e	2	108397234	113105612	1950	0.1701
b985fa26-fc29-4a61-8051-fcd9d723e29e	2	113109814	113161924	25	0.7801
b985fa26-fc29-4a61-8051-fcd9d723e29e	2	113162939	177243462	35636	0.207
b985fa26-fc29-4a61-8051-fcd9d723e29e	2	177249904	177472984	126	-1.144
b985fa26-fc29-4a61-8051-fcd9d723e29e	2	177476574	181287104	2357	0.1998
b985fa26-fc29-4a61-8051-fcd9d723e29e	2	181287425	181288401	3	-1.0691
b985fa26-fc29-4a61-8051-fcd9d723e29e	2	181292063	192248799	5470	0.2007
b985fa26-fc29-4a61-8051-fcd9d723e29e	2	192250115	192415600	99	-1.1586
b985fa26-fc29-4a61-8051-fcd9d723e29e	2	192419478	193091885	176	0.2009
b985fa26-fc29-4a61-8051-fcd9d723e29e	2	193099570	193527980	179	-1.0712
b985fa26-fc29-4a61-8051-fcd9d723e29e	2	193529380	200436168	3445	0.1972
b985fa26-fc29-4a61-8051-fcd9d723e29e	2	200438287	203725348	1568	0.1525
b985fa26-fc29-4a61-8051-fcd9d723e29e	2	203725612	218321391	9155	0.2059
b985fa26-fc29-4a61-8051-fcd9d723e29e	2	218326343	219051149	330	0.1141
b985fa26-fc29-4a61-8051-fcd9d723e29e	2	219051564	230046220	6967	0.2102
b985fa26-fc29-4a61-8051-fcd9d723e29e	2	230046247	232967800	1406	0.1539
b985fa26-fc29-4a61-8051-fcd9d723e29e	2	232968540	241266056	5197	0.202
b985fa26-fc29-4a61-8051-fcd9d723e29e	2	241269377	241415487	68	-0.4108
b985fa26-fc29-4a61-8051-fcd9d723e29e	2	241415952	241537572	81	0.107
b985fa26-fc29-4a61-8051-fcd9d723e29e	3	2170634	9036212	4006	-0.4057
b985fa26-fc29-4a61-8051-fcd9d723e29e	3	9036436	14508863	3508	-0.4575
b985fa26-fc29-4a61-8051-fcd9d723e29e	3	14509936	14513708	4	-1.7533
b985fa26-fc29-4a61-8051-fcd9d723e29e	3	14516649	17549761	1958	-0.4737
b985fa26-fc29-4a61-8051-fcd9d723e29e	3	17551244	42370524	14687	-0.4236
b985fa26-fc29-4a61-8051-fcd9d723e29e	3	42373412	53762060	5471	-0.4743
b985fa26-fc29-4a61-8051-fcd9d723e29e	3	53762307	54934679	868	-0.4017
b985fa26-fc29-4a61-8051-fcd9d723e29e	3	54936955	55119187	176	-0.5605
b985fa26-fc29-4a61-8051-fcd9d723e29e	3	55121751	56848510	1229	-0.4064
b985fa26-fc29-4a61-8051-fcd9d723e29e	3	56849462	59439065	1422	-0.467
b985fa26-fc29-4a61-8051-fcd9d723e29e	3	59439924	64438428	2857	-0.4083
b985fa26-fc29-4a61-8051-fcd9d723e29e	3	64439297	64439342	2	-2.3542
b985fa26-fc29-4a61-8051-fcd9d723e29e	3	64441426	70937857	4697	-0.3938
b985fa26-fc29-4a61-8051-fcd9d723e29e	3	70939584	73008543	1465	-0.4774
b985fa26-fc29-4a61-8051-fcd9d723e29e	3	73008901	91462299	8910	-0.3973
b985fa26-fc29-4a61-8051-fcd9d723e29e	3	94015345	118403969	13847	0.9572
b985fa26-fc29-4a61-8051-fcd9d723e29e	3	118404427	143886989	14260	1.2679
b985fa26-fc29-4a61-8051-fcd9d723e29e	3	143888316	179169846	18018	1.2931
b985fa26-fc29-4a61-8051-fcd9d723e29e	3	179174436	179174457	2	-0.3004
b985fa26-fc29-4a61-8051-fcd9d723e29e	3	179174560	179781217	410	1.212
b985fa26-fc29-4a61-8051-fcd9d723e29e	3	179781427	182918821	1644	1.3243
b985fa26-fc29-4a61-8051-fcd9d723e29e	3	182919334	188698019	3183	1.2407
b985fa26-fc29-4a61-8051-fcd9d723e29e	3	188701738	194773244	3786	1.2903
b985fa26-fc29-4a61-8051-fcd9d723e29e	3	194774232	197812401	784	1.2437
b985fa26-fc29-4a61-8051-fcd9d723e29e	4	1059384	37797986	22885	-0.3978
b985fa26-fc29-4a61-8051-fcd9d723e29e	4	37798113	37798618	4	-3.449
b985fa26-fc29-4a61-8051-fcd9d723e29e	4	37801730	52866891	6020	-0.4112
b985fa26-fc29-4a61-8051-fcd9d723e29e	4	52867439	53355461	268	-1.2006
b985fa26-fc29-4a61-8051-fcd9d723e29e	4	53358782	61541609	5221	-0.398
b985fa26-fc29-4a61-8051-fcd9d723e29e	4	61541880	61543437	2	-2.3001
b985fa26-fc29-4a61-8051-fcd9d723e29e	4	61547349	187842528	69099	-0.4028
b985fa26-fc29-4a61-8051-fcd9d723e29e	5	913983	1937809	151	0.3182
b985fa26-fc29-4a61-8051-fcd9d723e29e	5	1938512	31396745	18144	0.3877
b985fa26-fc29-4a61-8051-fcd9d723e29e	5	31401521	45383300	7854	0.3568
b985fa26-fc29-4a61-8051-fcd9d723e29e	5	50828231	56817615	3788	-0.3676
b985fa26-fc29-4a61-8051-fcd9d723e29e	5	56818023	56818089	2	-1.9252
b985fa26-fc29-4a61-8051-fcd9d723e29e	5	56819209	59002533	1419	-0.3466
b985fa26-fc29-4a61-8051-fcd9d723e29e	5	59005784	59005957	2	-2.0695
b985fa26-fc29-4a61-8051-fcd9d723e29e	5	59006663	74514479	8080	-0.3697
b985fa26-fc29-4a61-8051-fcd9d723e29e	5	74514605	82255853	4492	-0.4072
b985fa26-fc29-4a61-8051-fcd9d723e29e	5	82256578	83932171	1021	-0.3561
b985fa26-fc29-4a61-8051-fcd9d723e29e	5	83932278	83934708	3	-1.9551
b985fa26-fc29-4a61-8051-fcd9d723e29e	5	83935934	101605018	8484	-0.3716
b985fa26-fc29-4a61-8051-fcd9d723e29e	5	101606706	131047957	17044	-0.2454
b985fa26-fc29-4a61-8051-fcd9d723e29e	5	131048521	134915908	2247	-0.3
b985fa26-fc29-4a61-8051-fcd9d723e29e	5	134915993	137553118	1877	-0.2439
b985fa26-fc29-4a61-8051-fcd9d723e29e	5	137559336	143504981	3064	-0.3081
b985fa26-fc29-4a61-8051-fcd9d723e29e	5	143507744	149175727	3664	-0.2396
b985fa26-fc29-4a61-8051-fcd9d723e29e	5	149176362	151138971	1286	-0.3139
b985fa26-fc29-4a61-8051-fcd9d723e29e	5	151139427	155281249	2749	-0.249
b985fa26-fc29-4a61-8051-fcd9d723e29e	5	155283350	155284297	2	-2.3757
b985fa26-fc29-4a61-8051-fcd9d723e29e	5	155289383	160423496	3390	-0.2558
b985fa26-fc29-4a61-8051-fcd9d723e29e	5	160430521	160430757	2	-2.3587
b985fa26-fc29-4a61-8051-fcd9d723e29e	5	160432451	171281698	7220	-0.2427
b985fa26-fc29-4a61-8051-fcd9d723e29e	5	171282174	180934240	5166	-0.2951
b985fa26-fc29-4a61-8051-fcd9d723e29e	6	1011760	6854533	4312	0.0676
b985fa26-fc29-4a61-8051-fcd9d723e29e	6	6857036	6857087	2	-1.5193
b985fa26-fc29-4a61-8051-fcd9d723e29e	6	6859093	9035818	1625	0.0655
b985fa26-fc29-4a61-8051-fcd9d723e29e	6	9042023	9042981	3	-1.046
b985fa26-fc29-4a61-8051-fcd9d723e29e	6	9045696	10251992	831	0.0962
b985fa26-fc29-4a61-8051-fcd9d723e29e	6	10253380	18401332	5491	0.0447
b985fa26-fc29-4a61-8051-fcd9d723e29e	6	18401377	21502537	2248	0.0912
b985fa26-fc29-4a61-8051-fcd9d723e29e	6	21502987	21503503	2	-2.1003
b985fa26-fc29-4a61-8051-fcd9d723e29e	6	21506195	22903102	1054	0.0946
b985fa26-fc29-4a61-8051-fcd9d723e29e	6	22905088	22905603	4	0.9207
b985fa26-fc29-4a61-8051-fcd9d723e29e	6	22909104	24506826	1126	0.0809
b985fa26-fc29-4a61-8051-fcd9d723e29e	6	24507023	38329775	5709	0.025
b985fa26-fc29-4a61-8051-fcd9d723e29e	6	38329914	41403380	2330	0.0862
b985fa26-fc29-4a61-8051-fcd9d723e29e	6	41404297	44305965	1552	0.0278
b985fa26-fc29-4a61-8051-fcd9d723e29e	6	44307826	62707665	8350	0.1035
b985fa26-fc29-4a61-8051-fcd9d723e29e	6	62710405	62710458	2	1.5137
b985fa26-fc29-4a61-8051-fcd9d723e29e	6	62712100	86760397	13484	0.1055
b985fa26-fc29-4a61-8051-fcd9d723e29e	6	86764378	89996498	1957	0.064
