GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
03747cab-19ad-4316-93ce-6c642a7fb5bf	1	3301765	4652424	927	-0.7632
03747cab-19ad-4316-93ce-6c642a7fb5bf	1	4657280	5415272	534	0.0393
03747cab-19ad-4316-93ce-6c642a7fb5bf	1	5415441	16132181	5719	0.1097
03747cab-19ad-4316-93ce-6c642a7fb5bf	1	16136202	16171553	20	0.5598
03747cab-19ad-4316-93ce-6c642a7fb5bf	1	16179532	33957368	9216	0.1135
03747cab-19ad-4316-93ce-6c642a7fb5bf	1	33957611	33958861	3	-1.1248
03747cab-19ad-4316-93ce-6c642a7fb5bf	1	33958890	40601637	3560	0.0773
03747cab-19ad-4316-93ce-6c642a7fb5bf	1	40603710	60195120	11686	0.1132
03747cab-19ad-4316-93ce-6c642a7fb5bf	1	60195821	68734009	6085	0.0952
03747cab-19ad-4316-93ce-6c642a7fb5bf	1	68741599	77868783	5072	0.0312
03747cab-19ad-4316-93ce-6c642a7fb5bf	1	77868869	79145931	588	0.1163
03747cab-19ad-4316-93ce-6c642a7fb5bf	1	79146392	88549308	6106	0.0502
03747cab-19ad-4316-93ce-6c642a7fb5bf	1	88553104	93487912	2781	0.0846
03747cab-19ad-4316-93ce-6c642a7fb5bf	1	93488616	94840770	953	0.1475
03747cab-19ad-4316-93ce-6c642a7fb5bf	1	94841510	96713959	1209	0.0804
03747cab-19ad-4316-93ce-6c642a7fb5bf	1	96715189	103168659	3844	-0.3291
03747cab-19ad-4316-93ce-6c642a7fb5bf	1	103169002	116306276	7636	-0.702
03747cab-19ad-4316-93ce-6c642a7fb5bf	1	116306978	119648979	1998	-0.1324
03747cab-19ad-4316-93ce-6c642a7fb5bf	1	119650141	152992224	1619	0.09
03747cab-19ad-4316-93ce-6c642a7fb5bf	1	152992682	168172154	9763	0.5466
03747cab-19ad-4316-93ce-6c642a7fb5bf	1	168172406	179652797	7172	0.5128
03747cab-19ad-4316-93ce-6c642a7fb5bf	1	179652946	187164290	4902	0.5574
03747cab-19ad-4316-93ce-6c642a7fb5bf	1	187165806	200079264	7480	0.481
03747cab-19ad-4316-93ce-6c642a7fb5bf	1	200079505	208606591	5595	0.5471
03747cab-19ad-4316-93ce-6c642a7fb5bf	1	208607756	208637871	32	0.08
03747cab-19ad-4316-93ce-6c642a7fb5bf	1	208643790	216666772	5502	0.5259
03747cab-19ad-4316-93ce-6c642a7fb5bf	1	216666884	216755748	79	0.4011
03747cab-19ad-4316-93ce-6c642a7fb5bf	1	216756583	216756688	2	-0.8852
03747cab-19ad-4316-93ce-6c642a7fb5bf	1	216760416	217425506	557	0.456
03747cab-19ad-4316-93ce-6c642a7fb5bf	1	217425968	217425988	2	-0.7636
03747cab-19ad-4316-93ce-6c642a7fb5bf	1	217427924	217934746	265	0.4348
03747cab-19ad-4316-93ce-6c642a7fb5bf	1	217935591	235901939	11363	0.5412
03747cab-19ad-4316-93ce-6c642a7fb5bf	1	235903172	238161733	1801	0.4884
03747cab-19ad-4316-93ce-6c642a7fb5bf	1	238165372	241341246	2434	0.4418
03747cab-19ad-4316-93ce-6c642a7fb5bf	1	241342579	247650984	3305	0.4851
03747cab-19ad-4316-93ce-6c642a7fb5bf	2	480597	8305211	4776	0.0442
03747cab-19ad-4316-93ce-6c642a7fb5bf	2	8307073	12478266	3000	0.1263
03747cab-19ad-4316-93ce-6c642a7fb5bf	2	12478471	19109394	4414	0.0513
03747cab-19ad-4316-93ce-6c642a7fb5bf	2	19109785	21138002	1387	0.1447
03747cab-19ad-4316-93ce-6c642a7fb5bf	2	21138338	21148614	7	-0.4163
03747cab-19ad-4316-93ce-6c642a7fb5bf	2	21151426	31908881	6101	0.0868
03747cab-19ad-4316-93ce-6c642a7fb5bf	2	31913097	36719756	2351	0.0425
03747cab-19ad-4316-93ce-6c642a7fb5bf	2	36721330	40046838	1588	0.1063
