GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
005ed438-3056-4458-9d7c-e067a5f945b1	1	3301765	247650984	129778	0.002
005ed438-3056-4458-9d7c-e067a5f945b1	2	480597	57223101	33746	0.0035
005ed438-3056-4458-9d7c-e067a5f945b1	2	57223479	57228337	2	-1.6069
005ed438-3056-4458-9d7c-e067a5f945b1	2	57233909	241537572	98480	0.0022
005ed438-3056-4458-9d7c-e067a5f945b1	3	2170634	96346428	52483	-0.0021
005ed438-3056-4458-9d7c-e067a5f945b1	3	96351360	99005666	1356	-0.1789
005ed438-3056-4458-9d7c-e067a5f945b1	3	99008104	197812401	53365	-0.0003
005ed438-3056-4458-9d7c-e067a5f945b1	4	1059384	137017324	75642	0.0002
005ed438-3056-4458-9d7c-e067a5f945b1	4	137017547	137017561	2	1.4095
005ed438-3056-4458-9d7c-e067a5f945b1	4	137050960	187842528	27864	-0.0059
005ed438-3056-4458-9d7c-e067a5f945b1	5	914118	85603097	45804	-0.0004
005ed438-3056-4458-9d7c-e067a5f945b1	5	85603213	85744499	55	0.4832
005ed438-3056-4458-9d7c-e067a5f945b1	5	85748450	157186354	40725	-0.0002
005ed438-3056-4458-9d7c-e067a5f945b1	5	157187185	163971004	4400	-0.034
005ed438-3056-4458-9d7c-e067a5f945b1	5	163995230	180934240	10154	-0.0024
005ed438-3056-4458-9d7c-e067a5f945b1	6	1011760	170596889	97186	-0.0002
005ed438-3056-4458-9d7c-e067a5f945b1	7	664936	134044418	68868	0.0009
005ed438-3056-4458-9d7c-e067a5f945b1	7	134044457	158592540	13088	0.0888
005ed438-3056-4458-9d7c-e067a5f945b1	8	667625	144182542	82237	0.0025
005ed438-3056-4458-9d7c-e067a5f945b1	9	789794	138044505	68499	-0.0028
005ed438-3056-4458-9d7c-e067a5f945b1	10	366509	38462431	26210	-0.0022
005ed438-3056-4458-9d7c-e067a5f945b1	10	38462598	38462993	2	-1.7483
005ed438-3056-4458-9d7c-e067a5f945b1	10	38466746	133411599	55098	-0.0009
005ed438-3056-4458-9d7c-e067a5f945b1	11	456012	134272740	77593	0.0007
005ed438-3056-4458-9d7c-e067a5f945b1	12	780472	132605822	74360	0.0007
005ed438-3056-4458-9d7c-e067a5f945b1	13	18874255	48397442	18842	0.0052
005ed438-3056-4458-9d7c-e067a5f945b1	13	48409557	69980031	10111	-0.0229
005ed438-3056-4458-9d7c-e067a5f945b1	13	69980328	114226675	28047	-0.0017
005ed438-3056-4458-9d7c-e067a5f945b1	14	20033191	105533894	49794	-0.0034
005ed438-3056-4458-9d7c-e067a5f945b1	15	23437561	83056208	33855	-0.0004
005ed438-3056-4458-9d7c-e067a5f945b1	15	83057427	83057515	2	-1.4093
005ed438-3056-4458-9d7c-e067a5f945b1	15	83058667	101344124	10941	-0.0006
005ed438-3056-4458-9d7c-e067a5f945b1	16	603333	8514754	3750	-0.0036
005ed438-3056-4458-9d7c-e067a5f945b1	16	8515121	8515339	3	-1.0968
005ed438-3056-4458-9d7c-e067a5f945b1	16	8516628	89317317	37465	0.0022
005ed438-3056-4458-9d7c-e067a5f945b1	17	1074619	8844084	3817	-0.0682
005ed438-3056-4458-9d7c-e067a5f945b1	17	8844475	82959812	33470	-0.002
005ed438-3056-4458-9d7c-e067a5f945b1	18	326691	79349796	42975	-0.002
005ed438-3056-4458-9d7c-e067a5f945b1	19	283868	48251558	20073	-0.0065
005ed438-3056-4458-9d7c-e067a5f945b1	19	48252973	48254203	2	-1.5419
005ed438-3056-4458-9d7c-e067a5f945b1	19	48254330	58370362	4078	-0.004
005ed438-3056-4458-9d7c-e067a5f945b1	20	472817	63588502	37570	0.0022
005ed438-3056-4458-9d7c-e067a5f945b1	21	13974127	21603563	4921	-0.001
005ed438-3056-4458-9d7c-e067a5f945b1	21	21603791	21608555	4	-0.9088
005ed438-3056-4458-9d7c-e067a5f945b1	21	21610253	46262057	15680	-0.0021
005ed438-3056-4458-9d7c-e067a5f945b1	22	16934932	48940621	17097	-0.0011
005ed438-3056-4458-9d7c-e067a5f945b1	X	3236359	155677414	63794	0.0103
