GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
6f417a24-f868-4cd1-a60b-37df5f098c76	1	3301765	6221607	1987	-0.6324
6f417a24-f868-4cd1-a60b-37df5f098c76	1	6226641	48482405	22276	-0.5578
6f417a24-f868-4cd1-a60b-37df5f098c76	1	48497431	48643970	112	-0.0289
6f417a24-f868-4cd1-a60b-37df5f098c76	1	48647085	54452993	2926	-0.5339
6f417a24-f868-4cd1-a60b-37df5f098c76	1	54453786	54483368	10	-1.2208
6f417a24-f868-4cd1-a60b-37df5f098c76	1	54484145	62562527	5909	-0.5511
6f417a24-f868-4cd1-a60b-37df5f098c76	1	62581387	62743233	81	-1.205
6f417a24-f868-4cd1-a60b-37df5f098c76	1	62744274	91595888	17981	-0.5326
6f417a24-f868-4cd1-a60b-37df5f098c76	1	91598525	91679376	60	1.1712
6f417a24-f868-4cd1-a60b-37df5f098c76	1	91745053	91797405	30	0.826
6f417a24-f868-4cd1-a60b-37df5f098c76	1	91803305	97802804	3568	-0.0317
6f417a24-f868-4cd1-a60b-37df5f098c76	1	97814579	97853179	17	0.8429
6f417a24-f868-4cd1-a60b-37df5f098c76	1	97853484	119984738	13063	-0.5372
6f417a24-f868-4cd1-a60b-37df5f098c76	1	119984772	158847684	4601	0.589
6f417a24-f868-4cd1-a60b-37df5f098c76	1	158847809	160814400	1268	0.8235
6f417a24-f868-4cd1-a60b-37df5f098c76	1	160816880	164280131	2284	1.2454
6f417a24-f868-4cd1-a60b-37df5f098c76	1	164280491	165533138	1126	1.3108
6f417a24-f868-4cd1-a60b-37df5f098c76	1	165533625	166714224	881	1.2372
6f417a24-f868-4cd1-a60b-37df5f098c76	1	166715054	170038728	2491	1.3001
6f417a24-f868-4cd1-a60b-37df5f098c76	1	170053838	170245171	146	0.3148
6f417a24-f868-4cd1-a60b-37df5f098c76	1	170253127	172893961	1701	1.2647
6f417a24-f868-4cd1-a60b-37df5f098c76	1	172904853	173460643	371	1.5873
6f417a24-f868-4cd1-a60b-37df5f098c76	1	173464446	173804131	175	1.2677
6f417a24-f868-4cd1-a60b-37df5f098c76	1	173810247	176539142	1256	0.3052
6f417a24-f868-4cd1-a60b-37df5f098c76	1	176539157	176541594	5	-0.3291
6f417a24-f868-4cd1-a60b-37df5f098c76	1	176544401	179370127	1888	0.3078
6f417a24-f868-4cd1-a60b-37df5f098c76	1	179370199	179370280	2	-0.7602
6f417a24-f868-4cd1-a60b-37df5f098c76	1	179370419	179552797	88	0.2584
6f417a24-f868-4cd1-a60b-37df5f098c76	1	179562473	179579132	17	-0.1991
6f417a24-f868-4cd1-a60b-37df5f098c76	1	179582418	205710710	16221	0.3153
6f417a24-f868-4cd1-a60b-37df5f098c76	1	205713981	208061758	1294	-1.3894
6f417a24-f868-4cd1-a60b-37df5f098c76	1	208062467	208063929	3	-6.787
6f417a24-f868-4cd1-a60b-37df5f098c76	1	208064332	208378428	271	-1.4685
6f417a24-f868-4cd1-a60b-37df5f098c76	1	208379243	208380196	2	-7.4011
6f417a24-f868-4cd1-a60b-37df5f098c76	1	208380362	229163591	13084	-1.4267
6f417a24-f868-4cd1-a60b-37df5f098c76	1	229163736	229168934	8	-4.4832
6f417a24-f868-4cd1-a60b-37df5f098c76	1	229169106	230139950	668	-1.4732
6f417a24-f868-4cd1-a60b-37df5f098c76	1	230143158	235081682	3608	0.3353
6f417a24-f868-4cd1-a60b-37df5f098c76	1	235085097	235100678	2	-0.8547
6f417a24-f868-4cd1-a60b-37df5f098c76	1	235101118	238882060	2772	0.3023
6f417a24-f868-4cd1-a60b-37df5f098c76	1	238882443	238883251	2	-1.3325
6f417a24-f868-4cd1-a60b-37df5f098c76	1	238885634	245843320	4544	0.2935
6f417a24-f868-4cd1-a60b-37df5f098c76	1	245847334	245865791	37	0.5542
6f417a24-f868-4cd1-a60b-37df5f098c76	1	245873895	246026700	119	0.2743
6f417a24-f868-4cd1-a60b-37df5f098c76	1	246435044	247572466	388	0.5704
6f417a24-f868-4cd1-a60b-37df5f098c76	1	247578120	247650984	48	0.3209
6f417a24-f868-4cd1-a60b-37df5f098c76	2	480597	5810513	2946	0.2836
6f417a24-f868-4cd1-a60b-37df5f098c76	2	5813170	10624303	3419	0.3279
6f417a24-f868-4cd1-a60b-37df5f098c76	2	10624829	10803756	117	0.5003
6f417a24-f868-4cd1-a60b-37df5f098c76	2	10807176	21736486	7476	0.319
6f417a24-f868-4cd1-a60b-37df5f098c76	2	21739951	22537704	401	0.2655
6f417a24-f868-4cd1-a60b-37df5f098c76	2	22541672	22581655	24	-1.3378
6f417a24-f868-4cd1-a60b-37df5f098c76	2	22583635	23844241	901	0.2904
6f417a24-f868-4cd1-a60b-37df5f098c76	2	23849853	23886625	19	0.8764
6f417a24-f868-4cd1-a60b-37df5f098c76	2	23886808	41143238	9067	0.3189
6f417a24-f868-4cd1-a60b-37df5f098c76	2	41145494	47647375	4333	0.0231
6f417a24-f868-4cd1-a60b-37df5f098c76	2	47647574	57471598	5163	-0.0132
6f417a24-f868-4cd1-a60b-37df5f098c76	2	57471855	62123028	2706	0.0336
6f417a24-f868-4cd1-a60b-37df5f098c76	2	62126078	68253839	3720	0.3784
6f417a24-f868-4cd1-a60b-37df5f098c76	2	68257781	69358044	661	0.6599
6f417a24-f868-4cd1-a60b-37df5f098c76	2	69359161	88831554	9847	0.5812
6f417a24-f868-4cd1-a60b-37df5f098c76	2	94675825	94696525	9	0.1611
6f417a24-f868-4cd1-a60b-37df5f098c76	2	94703406	100130395	1978	-0.0373
6f417a24-f868-4cd1-a60b-37df5f098c76	2	100132706	102781875	1764	-0.0025
6f417a24-f868-4cd1-a60b-37df5f098c76	2	102784014	141828631	20072	-0.0412
6f417a24-f868-4cd1-a60b-37df5f098c76	2	141829723	141931524	85	0.5539
6f417a24-f868-4cd1-a60b-37df5f098c76	2	141935039	142125253	113	-0.0696
6f417a24-f868-4cd1-a60b-37df5f098c76	2	142125638	142827435	413	0.3284
6f417a24-f868-4cd1-a60b-37df5f098c76	2	142827968	152412232	5554	-0.0298
6f417a24-f868-4cd1-a60b-37df5f098c76	2	152413856	152563850	113	-0.5455
6f417a24-f868-4cd1-a60b-37df5f098c76	2	152566160	160077036	4295	-0.03
6f417a24-f868-4cd1-a60b-37df5f098c76	2	160089216	160275585	111	-0.4781
6f417a24-f868-4cd1-a60b-37df5f098c76	2	160280145	165151781	2644	-0.0134
6f417a24-f868-4cd1-a60b-37df5f098c76	2	165157717	165677696	312	0.6486
6f417a24-f868-4cd1-a60b-37df5f098c76	2	165680584	171127769	3469	-0.0143
6f417a24-f868-4cd1-a60b-37df5f098c76	2	171130473	171395939	137	-1.3494
6f417a24-f868-4cd1-a60b-37df5f098c76	2	171397246	175830446	2806	-0.0077
