GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
b7576c59-132d-4a3f-bfe1-7164091fb24d	1	3301765	5746289	1760	-0.0851
b7576c59-132d-4a3f-bfe1-7164091fb24d	1	5751483	12764432	3603	-0.0414
b7576c59-132d-4a3f-bfe1-7164091fb24d	1	12765316	15232743	1408	-0.0948
b7576c59-132d-4a3f-bfe1-7164091fb24d	1	15233292	28306755	6660	-0.0255
b7576c59-132d-4a3f-bfe1-7164091fb24d	1	28309378	39241888	5913	-0.065
b7576c59-132d-4a3f-bfe1-7164091fb24d	1	39246176	39912235	298	-0.0212
b7576c59-132d-4a3f-bfe1-7164091fb24d	1	39915619	39947226	21	0.4466
b7576c59-132d-4a3f-bfe1-7164091fb24d	1	39951177	71583990	19503	-0.037
b7576c59-132d-4a3f-bfe1-7164091fb24d	1	71584050	83113796	6747	-0.0634
b7576c59-132d-4a3f-bfe1-7164091fb24d	1	83114799	235580692	76087	-0.032
b7576c59-132d-4a3f-bfe1-7164091fb24d	1	235584340	237095547	1079	-0.0629
b7576c59-132d-4a3f-bfe1-7164091fb24d	1	237095946	237096244	2	-1.8867
b7576c59-132d-4a3f-bfe1-7164091fb24d	1	237098167	247650984	6600	-0.0497
b7576c59-132d-4a3f-bfe1-7164091fb24d	2	480597	8026343	4574	-0.0709
b7576c59-132d-4a3f-bfe1-7164091fb24d	2	8026388	233951968	122860	-0.0386
b7576c59-132d-4a3f-bfe1-7164091fb24d	2	233956263	241537572	4702	-0.066
b7576c59-132d-4a3f-bfe1-7164091fb24d	3	2170634	3627702	909	-0.0646
b7576c59-132d-4a3f-bfe1-7164091fb24d	3	3631924	3631939	2	-2.264
b7576c59-132d-4a3f-bfe1-7164091fb24d	3	3631957	35993279	19328	-0.0489
b7576c59-132d-4a3f-bfe1-7164091fb24d	3	35993893	35994059	3	-1.7914
b7576c59-132d-4a3f-bfe1-7164091fb24d	3	35994878	197812401	86872	-0.0395
b7576c59-132d-4a3f-bfe1-7164091fb24d	4	1059384	37105819	22311	-0.0442
b7576c59-132d-4a3f-bfe1-7164091fb24d	4	37105909	38765921	1263	0.0289
b7576c59-132d-4a3f-bfe1-7164091fb24d	4	38766912	57243851	8231	-0.0355
b7576c59-132d-4a3f-bfe1-7164091fb24d	4	57243955	67162938	5560	-0.0608
b7576c59-132d-4a3f-bfe1-7164091fb24d	4	67163204	100450960	18515	-0.0277
b7576c59-132d-4a3f-bfe1-7164091fb24d	4	100451577	100551166	62	-1.2238
b7576c59-132d-4a3f-bfe1-7164091fb24d	4	100555531	175674047	41447	-0.0345
b7576c59-132d-4a3f-bfe1-7164091fb24d	4	175677825	183321324	4008	-0.078
b7576c59-132d-4a3f-bfe1-7164091fb24d	4	183327209	187842528	2063	-0.0087
b7576c59-132d-4a3f-bfe1-7164091fb24d	5	914118	2765328	871	-0.0505
b7576c59-132d-4a3f-bfe1-7164091fb24d	5	2765568	6622972	3233	-0.103
b7576c59-132d-4a3f-bfe1-7164091fb24d	5	6624258	13957203	4831	-0.0584
b7576c59-132d-4a3f-bfe1-7164091fb24d	5	13957282	16131775	1083	0.0295
b7576c59-132d-4a3f-bfe1-7164091fb24d	5	16134071	31826957	8594	-0.0672
b7576c59-132d-4a3f-bfe1-7164091fb24d	5	31827318	152955454	65165	-0.0401
b7576c59-132d-4a3f-bfe1-7164091fb24d	5	152956625	180934240	17298	-0.0616
b7576c59-132d-4a3f-bfe1-7164091fb24d	6	1011760	1822110	664	-0.0202
b7576c59-132d-4a3f-bfe1-7164091fb24d	6	1823210	2016445	124	-0.9952
b7576c59-132d-4a3f-bfe1-7164091fb24d	6	2020836	158775571	90125	-0.0375
b7576c59-132d-4a3f-bfe1-7164091fb24d	6	158778487	158780481	4	-1.4029
b7576c59-132d-4a3f-bfe1-7164091fb24d	6	158781208	170596889	6200	-0.0508
b7576c59-132d-4a3f-bfe1-7164091fb24d	7	664936	40397070	23169	-0.0375
b7576c59-132d-4a3f-bfe1-7164091fb24d	7	40398891	41227098	485	-0.077
b7576c59-132d-4a3f-bfe1-7164091fb24d	7	41230764	43279502	1098	-0.1161
b7576c59-132d-4a3f-bfe1-7164091fb24d	7	43282243	52005374	5821	-0.0516
b7576c59-132d-4a3f-bfe1-7164091fb24d	7	52006062	52006354	2	-2.5429
b7576c59-132d-4a3f-bfe1-7164091fb24d	7	52006626	72523231	7059	-0.0857
b7576c59-132d-4a3f-bfe1-7164091fb24d	7	72523346	133379438	30757	-0.0418
b7576c59-132d-4a3f-bfe1-7164091fb24d	7	133379684	133379822	2	-1.984
b7576c59-132d-4a3f-bfe1-7164091fb24d	7	133380563	136491542	1980	-0.0448
b7576c59-132d-4a3f-bfe1-7164091fb24d	7	136491652	136492089	3	-1.7105
b7576c59-132d-4a3f-bfe1-7164091fb24d	7	136492143	158592540	11514	-0.0415
b7576c59-132d-4a3f-bfe1-7164091fb24d	8	667625	6421990	2720	0.3925
b7576c59-132d-4a3f-bfe1-7164091fb24d	8	6423784	17030684	5699	0.4308
b7576c59-132d-4a3f-bfe1-7164091fb24d	8	17030830	17590041	381	0.5092
b7576c59-132d-4a3f-bfe1-7164091fb24d	8	17592148	17592226	3	-0.4959
b7576c59-132d-4a3f-bfe1-7164091fb24d	8	17596651	19436149	1611	0.4761
b7576c59-132d-4a3f-bfe1-7164091fb24d	8	19436643	20056792	452	0.4277
b7576c59-132d-4a3f-bfe1-7164091fb24d	8	20056974	20633225	546	0.3571
b7576c59-132d-4a3f-bfe1-7164091fb24d	8	20634144	20634720	3	1.3426
b7576c59-132d-4a3f-bfe1-7164091fb24d	8	20636369	21344264	598	0.3774
b7576c59-132d-4a3f-bfe1-7164091fb24d	8	21348248	60265103	20848	0.43
b7576c59-132d-4a3f-bfe1-7164091fb24d	8	60270367	62384165	1386	0.4832
b7576c59-132d-4a3f-bfe1-7164091fb24d	8	62384352	75298505	7573	0.4171
b7576c59-132d-4a3f-bfe1-7164091fb24d	8	75301806	82689988	4043	0.456
b7576c59-132d-4a3f-bfe1-7164091fb24d	8	82691661	89321506	3498	0.4247
b7576c59-132d-4a3f-bfe1-7164091fb24d	8	89321628	89321705	2	2.1242
b7576c59-132d-4a3f-bfe1-7164091fb24d	8	89321732	114086330	13902	0.4321
b7576c59-132d-4a3f-bfe1-7164091fb24d	8	114086547	116957693	1529	0.3937
b7576c59-132d-4a3f-bfe1-7164091fb24d	8	116959956	128927803	8234	0.4607
b7576c59-132d-4a3f-bfe1-7164091fb24d	8	128931934	131832124	1964	0.4078
b7576c59-132d-4a3f-bfe1-7164091fb24d	8	131836046	134063067	1800	0.4675
b7576c59-132d-4a3f-bfe1-7164091fb24d	8	134063431	144182542	5470	0.4086
b7576c59-132d-4a3f-bfe1-7164091fb24d	9	789794	31033691	18805	0.3376
b7576c59-132d-4a3f-bfe1-7164091fb24d	9	31035430	31035784	3	-0.9654
b7576c59-132d-4a3f-bfe1-7164091fb24d	9	31038198	71737821	7332	0.3508
b7576c59-132d-4a3f-bfe1-7164091fb24d	9	71739974	71833886	62	0.0122
b7576c59-132d-4a3f-bfe1-7164091fb24d	9	71838694	72738075	546	0.3391
b7576c59-132d-4a3f-bfe1-7164091fb24d	9	72739414	73515351	427	0.4299
b7576c59-132d-4a3f-bfe1-7164091fb24d	9	73517155	85005325	8060	0.3362
b7576c59-132d-4a3f-bfe1-7164091fb24d	9	85005505	88732531	2543	0.2807
b7576c59-132d-4a3f-bfe1-7164091fb24d	9	88734055	100802697	7569	0.3267
b7576c59-132d-4a3f-bfe1-7164091fb24d	9	100803365	114684862	9316	0.3557
b7576c59-132d-4a3f-bfe1-7164091fb24d	9	114687964	138044505	13837	0.3223
b7576c59-132d-4a3f-bfe1-7164091fb24d	10	366509	6623387	4214	-0.0427
b7576c59-132d-4a3f-bfe1-7164091fb24d	10	6624346	10775696	3100	-0.0933
b7576c59-132d-4a3f-bfe1-7164091fb24d	10	10775959	79278256	39991	-0.0524
b7576c59-132d-4a3f-bfe1-7164091fb24d	10	79283950	79283986	2	-1.8707
b7576c59-132d-4a3f-bfe1-7164091fb24d	10	79284428	94308511	9167	-0.0499
b7576c59-132d-4a3f-bfe1-7164091fb24d	10	94308723	94309297	2	-1.9931
b7576c59-132d-4a3f-bfe1-7164091fb24d	10	94310375	103388931	5052	-0.0443
b7576c59-132d-4a3f-bfe1-7164091fb24d	10	103464215	104685122	798	0.0289
b7576c59-132d-4a3f-bfe1-7164091fb24d	10	104687313	109732401	3353	-0.0556
b7576c59-132d-4a3f-bfe1-7164091fb24d	10	109734229	115644881	4011	-0.0144
b7576c59-132d-4a3f-bfe1-7164091fb24d	10	115646401	120346567	3238	-0.057
b7576c59-132d-4a3f-bfe1-7164091fb24d	10	120356836	120366301	9	-1.139
b7576c59-132d-4a3f-bfe1-7164091fb24d	10	120366760	133411599	8292	-0.06
b7576c59-132d-4a3f-bfe1-7164091fb24d	11	456012	134272740	77515	-0.041
b7576c59-132d-4a3f-bfe1-7164091fb24d	12	780472	132605822	74311	-0.0387
b7576c59-132d-4a3f-bfe1-7164091fb24d	13	18874255	114226675	56935	-0.0441
b7576c59-132d-4a3f-bfe1-7164091fb24d	14	20033191	78160932	33029	-0.0372
b7576c59-132d-4a3f-bfe1-7164091fb24d	14	78161633	85712603	4998	-0.0761
b7576c59-132d-4a3f-bfe1-7164091fb24d	14	85713047	85714406	3	-1.3826
b7576c59-132d-4a3f-bfe1-7164091fb24d	14	85714481	87847773	1248	-0.0907
b7576c59-132d-4a3f-bfe1-7164091fb24d	14	87847878	96186963	5395	-0.0386
b7576c59-132d-4a3f-bfe1-7164091fb24d	14	96188809	96190350	2	-1.6684
b7576c59-132d-4a3f-bfe1-7164091fb24d	14	96190755	97524463	898	-0.0518
b7576c59-132d-4a3f-bfe1-7164091fb24d	14	97525580	99015636	1099	-0.1011
b7576c59-132d-4a3f-bfe1-7164091fb24d	14	99017759	105533894	3097	-0.0338
b7576c59-132d-4a3f-bfe1-7164091fb24d	15	23437561	27855797	2712	-0.1133
b7576c59-132d-4a3f-bfe1-7164091fb24d	15	28213684	101344124	42055	-0.041
b7576c59-132d-4a3f-bfe1-7164091fb24d	16	603333	5305178	1784	-0.026
b7576c59-132d-4a3f-bfe1-7164091fb24d	16	5305349	64975983	24231	-0.0593
b7576c59-132d-4a3f-bfe1-7164091fb24d	16	64977309	76488336	6143	-0.0317
b7576c59-132d-4a3f-bfe1-7164091fb24d	16	76488522	78600154	1863	-0.0991
b7576c59-132d-4a3f-bfe1-7164091fb24d	16	78605683	78659981	50	-0.9312
b7576c59-132d-4a3f-bfe1-7164091fb24d	16	78660312	78706783	61	-0.5447
b7576c59-132d-4a3f-bfe1-7164091fb24d	16	78714855	79326906	470	-0.1082
b7576c59-132d-4a3f-bfe1-7164091fb24d	16	79327916	79328056	2	-1.8239
b7576c59-132d-4a3f-bfe1-7164091fb24d	16	79330945	89317317	6591	-0.0517
b7576c59-132d-4a3f-bfe1-7164091fb24d	17	1074619	82959812	37259	-0.0392
b7576c59-132d-4a3f-bfe1-7164091fb24d	18	326691	2108164	532	-0.0453
b7576c59-132d-4a3f-bfe1-7164091fb24d	18	2108766	4718844	1697	-0.0082
b7576c59-132d-4a3f-bfe1-7164091fb24d	18	4720644	11901932	4686	-0.0659
b7576c59-132d-4a3f-bfe1-7164091fb24d	18	11901947	24800393	3453	-0.015
b7576c59-132d-4a3f-bfe1-7164091fb24d	18	24803088	30278580	3331	-0.0756
b7576c59-132d-4a3f-bfe1-7164091fb24d	18	30278616	35804960	3342	-0.0005
b7576c59-132d-4a3f-bfe1-7164091fb24d	18	35806820	47228890	6949	-0.0597
b7576c59-132d-4a3f-bfe1-7164091fb24d	18	47229147	74675292	15833	-0.0281
b7576c59-132d-4a3f-bfe1-7164091fb24d	18	74675418	79349796	3121	-0.0627
b7576c59-132d-4a3f-bfe1-7164091fb24d	19	283868	14999787	5472	-0.0465
b7576c59-132d-4a3f-bfe1-7164091fb24d	19	15000298	15000768	3	-1.5849
b7576c59-132d-4a3f-bfe1-7164091fb24d	19	15001239	19773382	2220	-0.0383
b7576c59-132d-4a3f-bfe1-7164091fb24d	19	19774931	32270772	4731	-0.1021
b7576c59-132d-4a3f-bfe1-7164091fb24d	19	32273225	36423446	2412	-0.0334
b7576c59-132d-4a3f-bfe1-7164091fb24d	19	36424129	37995552	769	-0.1219
