GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
34692c7e-7293-4990-938c-de05e78f7436	1	3301765	31371818	15045	0.0058
34692c7e-7293-4990-938c-de05e78f7436	1	31377810	31417723	32	-0.9617
34692c7e-7293-4990-938c-de05e78f7436	1	31424411	247650984	113849	0.0004
34692c7e-7293-4990-938c-de05e78f7436	2	480597	214033410	114627	0.0082
34692c7e-7293-4990-938c-de05e78f7436	2	214034173	214040286	4	-1.3567
34692c7e-7293-4990-938c-de05e78f7436	2	214042314	241537572	16782	0.0039
34692c7e-7293-4990-938c-de05e78f7436	3	2170634	28212659	15317	0.0004
34692c7e-7293-4990-938c-de05e78f7436	3	28216174	28229753	10	-1.0222
34692c7e-7293-4990-938c-de05e78f7436	3	28232536	197812401	91223	0.0002
34692c7e-7293-4990-938c-de05e78f7436	4	1059384	187842528	102913	-0.0016
34692c7e-7293-4990-938c-de05e78f7436	5	913983	180934240	100562	-0.0021
34692c7e-7293-4990-938c-de05e78f7436	6	1011760	28441867	18313	-0.005
34692c7e-7293-4990-938c-de05e78f7436	6	28447141	28564407	59	0.5622
34692c7e-7293-4990-938c-de05e78f7436	6	28564847	28598050	14	0.0022
34692c7e-7293-4990-938c-de05e78f7436	6	28599467	28686375	45	0.6156
34692c7e-7293-4990-938c-de05e78f7436	6	28692453	170596889	78163	-0.0013
34692c7e-7293-4990-938c-de05e78f7436	7	664936	158592540	81477	0.0008
34692c7e-7293-4990-938c-de05e78f7436	8	667625	144182542	81739	0
34692c7e-7293-4990-938c-de05e78f7436	9	789794	138044505	68055	0.0003
34692c7e-7293-4990-938c-de05e78f7436	10	366509	133411599	80852	0.0012
34692c7e-7293-4990-938c-de05e78f7436	11	456012	127065382	72293	0.0024
34692c7e-7293-4990-938c-de05e78f7436	11	127066539	127066661	3	-1.4732
34692c7e-7293-4990-938c-de05e78f7436	11	127068441	134272740	4775	0.0008
34692c7e-7293-4990-938c-de05e78f7436	12	780472	104207666	58220	0.0025
34692c7e-7293-4990-938c-de05e78f7436	12	104211450	104381867	102	0.5681
34692c7e-7293-4990-938c-de05e78f7436	12	104384376	132605822	15579	0.0031
34692c7e-7293-4990-938c-de05e78f7436	13	18874255	114226675	56623	-0.0006
34692c7e-7293-4990-938c-de05e78f7436	14	20033191	105533894	49471	0.0029
34692c7e-7293-4990-938c-de05e78f7436	15	23437561	101344124	44485	0.0039
34692c7e-7293-4990-938c-de05e78f7436	16	603333	89317317	40964	0.0037
34692c7e-7293-4990-938c-de05e78f7436	17	1074619	82959812	37061	0.0031
34692c7e-7293-4990-938c-de05e78f7436	18	326691	79349796	42698	0.0027
34692c7e-7293-4990-938c-de05e78f7436	19	283868	42550436	17549	0.0041
34692c7e-7293-4990-938c-de05e78f7436	19	42550662	42555811	2	-1.9568
34692c7e-7293-4990-938c-de05e78f7436	19	42558919	47898254	2145	0.0061
34692c7e-7293-4990-938c-de05e78f7436	19	47959373	47960126	2	-1.7712
34692c7e-7293-4990-938c-de05e78f7436	19	47960688	58370362	4327	0.0115
34692c7e-7293-4990-938c-de05e78f7436	20	472817	63588502	37344	0.0033
34692c7e-7293-4990-938c-de05e78f7436	21	13974127	46262057	20472	0.0027
34692c7e-7293-4990-938c-de05e78f7436	22	16934932	48940621	17000	0.0089
34692c7e-7293-4990-938c-de05e78f7436	X	3236359	155677414	63603	0.0025
