GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
5a218ca4-5c68-4182-97fe-9a94d43e6a20	1	3301765	19500302	9091	0.0015
5a218ca4-5c68-4182-97fe-9a94d43e6a20	1	19502918	24694981	2865	0.0392
5a218ca4-5c68-4182-97fe-9a94d43e6a20	1	24695540	26290022	706	0.0094
5a218ca4-5c68-4182-97fe-9a94d43e6a20	1	26306290	26408867	70	0.2884
5a218ca4-5c68-4182-97fe-9a94d43e6a20	1	26413442	38339196	6080	0.0133
5a218ca4-5c68-4182-97fe-9a94d43e6a20	1	38340920	38379285	31	0.2855
5a218ca4-5c68-4182-97fe-9a94d43e6a20	1	38379363	46608469	4333	0.0246
5a218ca4-5c68-4182-97fe-9a94d43e6a20	1	46611309	47242697	321	0.1054
5a218ca4-5c68-4182-97fe-9a94d43e6a20	1	47243471	49146778	1293	0.0208
5a218ca4-5c68-4182-97fe-9a94d43e6a20	1	49150153	49249600	37	-0.377
5a218ca4-5c68-4182-97fe-9a94d43e6a20	1	49254231	49586603	104	-0.1326
5a218ca4-5c68-4182-97fe-9a94d43e6a20	1	49587012	58381264	5464	0.02
5a218ca4-5c68-4182-97fe-9a94d43e6a20	1	58381398	61153384	1886	0.0658
5a218ca4-5c68-4182-97fe-9a94d43e6a20	1	61154824	67109771	4265	0.0306
5a218ca4-5c68-4182-97fe-9a94d43e6a20	1	67110392	67157615	35	0.2837
5a218ca4-5c68-4182-97fe-9a94d43e6a20	1	67164760	83748488	9626	0.0236
5a218ca4-5c68-4182-97fe-9a94d43e6a20	1	83748726	96229222	7890	0.0533
5a218ca4-5c68-4182-97fe-9a94d43e6a20	1	96230230	99139867	1651	-0.0059
5a218ca4-5c68-4182-97fe-9a94d43e6a20	1	99144158	102465039	2089	0.0546
5a218ca4-5c68-4182-97fe-9a94d43e6a20	1	102465714	106709731	2022	0.0092
5a218ca4-5c68-4182-97fe-9a94d43e6a20	1	106710169	110273092	1993	0.0493
5a218ca4-5c68-4182-97fe-9a94d43e6a20	1	110273530	110418974	101	-0.0175
5a218ca4-5c68-4182-97fe-9a94d43e6a20	1	110422031	110492196	63	0.2873
5a218ca4-5c68-4182-97fe-9a94d43e6a20	1	110494095	116971426	4277	0.0352
5a218ca4-5c68-4182-97fe-9a94d43e6a20	1	116971712	117110881	85	-0.2046
5a218ca4-5c68-4182-97fe-9a94d43e6a20	1	117111003	168536904	13093	0.0296
5a218ca4-5c68-4182-97fe-9a94d43e6a20	1	168538539	169212152	604	0.0916
5a218ca4-5c68-4182-97fe-9a94d43e6a20	1	169213918	174493038	3325	0.0387
5a218ca4-5c68-4182-97fe-9a94d43e6a20	1	174497239	177258985	1431	-0.0122
5a218ca4-5c68-4182-97fe-9a94d43e6a20	1	177259376	180025493	1795	0.0361
5a218ca4-5c68-4182-97fe-9a94d43e6a20	1	180025955	180065205	20	0.4238
5a218ca4-5c68-4182-97fe-9a94d43e6a20	1	180065467	181202632	706	0.0575
5a218ca4-5c68-4182-97fe-9a94d43e6a20	1	181202737	181251852	49	0.2803
5a218ca4-5c68-4182-97fe-9a94d43e6a20	1	181253143	207746444	16227	0.0408
5a218ca4-5c68-4182-97fe-9a94d43e6a20	1	207747443	211354623	2704	0.0055
5a218ca4-5c68-4182-97fe-9a94d43e6a20	1	211356125	213797058	1543	0.0562
5a218ca4-5c68-4182-97fe-9a94d43e6a20	1	213797366	223797715	6686	0.0166
5a218ca4-5c68-4182-97fe-9a94d43e6a20	1	223800801	235213191	7216	0.0449
5a218ca4-5c68-4182-97fe-9a94d43e6a20	1	235213510	238599798	2487	0.0015
5a218ca4-5c68-4182-97fe-9a94d43e6a20	1	238601440	241587229	2272	0.053
5a218ca4-5c68-4182-97fe-9a94d43e6a20	1	241589300	247650984	3094	0.0158
5a218ca4-5c68-4182-97fe-9a94d43e6a20	2	480597	8185644	4683	0.1399
5a218ca4-5c68-4182-97fe-9a94d43e6a20	2	8185908	21088913	8850	0.1855
5a218ca4-5c68-4182-97fe-9a94d43e6a20	2	21089022	35170778	7623	0.1581
5a218ca4-5c68-4182-97fe-9a94d43e6a20	2	35170935	40048393	2448	0.2
5a218ca4-5c68-4182-97fe-9a94d43e6a20	2	40048523	40788094	523	0.1185
5a218ca4-5c68-4182-97fe-9a94d43e6a20	2	40792743	50409673	6167	0.1763
5a218ca4-5c68-4182-97fe-9a94d43e6a20	2	50412462	50512631	89	0.3771
5a218ca4-5c68-4182-97fe-9a94d43e6a20	2	50515512	53688646	1541	0.1695
5a218ca4-5c68-4182-97fe-9a94d43e6a20	2	53689600	105529850	24253	0.0431
5a218ca4-5c68-4182-97fe-9a94d43e6a20	2	105529918	105535647	2	-1.3818
5a218ca4-5c68-4182-97fe-9a94d43e6a20	2	105535795	128779228	11704	0.0436
5a218ca4-5c68-4182-97fe-9a94d43e6a20	2	128779256	134333889	2476	0.0011
5a218ca4-5c68-4182-97fe-9a94d43e6a20	2	134335582	145761806	6416	-0.3274
5a218ca4-5c68-4182-97fe-9a94d43e6a20	2	145764519	151012380	2966	-0.2832
5a218ca4-5c68-4182-97fe-9a94d43e6a20	2	151013673	154954430	2425	-0.3193
5a218ca4-5c68-4182-97fe-9a94d43e6a20	2	154961253	163056944	4539	-0.276
5a218ca4-5c68-4182-97fe-9a94d43e6a20	2	163060357	164580989	846	-0.3206
5a218ca4-5c68-4182-97fe-9a94d43e6a20	2	164581034	164981774	215	0.081
5a218ca4-5c68-4182-97fe-9a94d43e6a20	2	164981910	165007539	8	-0.438
5a218ca4-5c68-4182-97fe-9a94d43e6a20	2	165008929	165677696	389	0.0506
5a218ca4-5c68-4182-97fe-9a94d43e6a20	2	165680584	167409574	1003	0.0073
5a218ca4-5c68-4182-97fe-9a94d43e6a20	2	167412295	173241141	3801	0.0628
5a218ca4-5c68-4182-97fe-9a94d43e6a20	2	173247799	173308999	43	0.3522
5a218ca4-5c68-4182-97fe-9a94d43e6a20	2	173309251	177330518	2566	0.0416
5a218ca4-5c68-4182-97fe-9a94d43e6a20	2	177330881	177476574	70	0.2142
5a218ca4-5c68-4182-97fe-9a94d43e6a20	2	177479215	185433729	4493	0.0319
5a218ca4-5c68-4182-97fe-9a94d43e6a20	2	186024241	186329408	159	-0.2102
5a218ca4-5c68-4182-97fe-9a94d43e6a20	2	186331963	191411466	2650	0.0621
5a218ca4-5c68-4182-97fe-9a94d43e6a20	2	191412645	191414330	4	-1.715
5a218ca4-5c68-4182-97fe-9a94d43e6a20	2	191414819	209098480	9403	0.0579
5a218ca4-5c68-4182-97fe-9a94d43e6a20	2	209098961	221077499	7367	0.0236
5a218ca4-5c68-4182-97fe-9a94d43e6a20	2	221079456	235916055	9105	0.049
5a218ca4-5c68-4182-97fe-9a94d43e6a20	2	235916423	241074641	3017	-0.008
5a218ca4-5c68-4182-97fe-9a94d43e6a20	2	241074746	241537572	265	0.04
5a218ca4-5c68-4182-97fe-9a94d43e6a20	3	2170634	3570914	842	-0.1191
5a218ca4-5c68-4182-97fe-9a94d43e6a20	3	3572598	10604833	4063	-0.0479
5a218ca4-5c68-4182-97fe-9a94d43e6a20	3	10606240	11375932	540	-0.116
5a218ca4-5c68-4182-97fe-9a94d43e6a20	3	11375953	29428702	10708	-0.0511
5a218ca4-5c68-4182-97fe-9a94d43e6a20	3	29428806	30308900	596	0.0009
5a218ca4-5c68-4182-97fe-9a94d43e6a20	3	30311789	30339345	30	0.2355
5a218ca4-5c68-4182-97fe-9a94d43e6a20	3	30340435	32142175	1269	-0.0029
5a218ca4-5c68-4182-97fe-9a94d43e6a20	3	32145477	54363705	11998	-0.0548
5a218ca4-5c68-4182-97fe-9a94d43e6a20	3	54364345	55562732	997	-0.106
5a218ca4-5c68-4182-97fe-9a94d43e6a20	3	55563389	61473657	2906	-0.0475
5a218ca4-5c68-4182-97fe-9a94d43e6a20	3	61475361	61600507	91	-0.2802
5a218ca4-5c68-4182-97fe-9a94d43e6a20	3	61602742	62890458	968	-0.0822
5a218ca4-5c68-4182-97fe-9a94d43e6a20	3	62890505	65595083	2225	-0.0067
5a218ca4-5c68-4182-97fe-9a94d43e6a20	3	65599863	67798605	1469	-0.0452
5a218ca4-5c68-4182-97fe-9a94d43e6a20	3	67803911	67863146	27	0.3117
5a218ca4-5c68-4182-97fe-9a94d43e6a20	3	67867359	86956127	10896	-0.0579
5a218ca4-5c68-4182-97fe-9a94d43e6a20	3	86958491	87661956	391	0.0277
5a218ca4-5c68-4182-97fe-9a94d43e6a20	3	87662177	101562865	5130	-0.057
5a218ca4-5c68-4182-97fe-9a94d43e6a20	3	101566695	104272557	1451	-0.018
5a218ca4-5c68-4182-97fe-9a94d43e6a20	3	104275640	104471952	107	0.1872
5a218ca4-5c68-4182-97fe-9a94d43e6a20	3	104472197	112451718	4569	-0.0211
5a218ca4-5c68-4182-97fe-9a94d43e6a20	3	112451935	116381941	2318	-0.0571
5a218ca4-5c68-4182-97fe-9a94d43e6a20	3	116383032	116769188	318	-0.3869
5a218ca4-5c68-4182-97fe-9a94d43e6a20	3	116769652	116814636	47	-0.1429
5a218ca4-5c68-4182-97fe-9a94d43e6a20	3	116814651	117239160	339	-0.3637
5a218ca4-5c68-4182-97fe-9a94d43e6a20	3	117242038	117744866	360	-0.1206
5a218ca4-5c68-4182-97fe-9a94d43e6a20	3	117749462	125820054	4611	-0.0321
5a218ca4-5c68-4182-97fe-9a94d43e6a20	3	125820482	141392908	8926	-0.0633
5a218ca4-5c68-4182-97fe-9a94d43e6a20	3	141394470	141469557	50	0.4765
5a218ca4-5c68-4182-97fe-9a94d43e6a20	3	141473644	144668436	1473	-0.0471
5a218ca4-5c68-4182-97fe-9a94d43e6a20	3	144668597	144756647	48	0.4992
5a218ca4-5c68-4182-97fe-9a94d43e6a20	3	144759276	167752797	11578	-0.0502
5a218ca4-5c68-4182-97fe-9a94d43e6a20	3	167753757	177790452	5218	-0.0103
5a218ca4-5c68-4182-97fe-9a94d43e6a20	3	177790833	179296367	902	-0.0471
5a218ca4-5c68-4182-97fe-9a94d43e6a20	3	179304740	181814620	1293	-0.083
5a218ca4-5c68-4182-97fe-9a94d43e6a20	3	181815177	197812401	8361	-0.0267
5a218ca4-5c68-4182-97fe-9a94d43e6a20	4	1059384	4344338	1260	0.2397
5a218ca4-5c68-4182-97fe-9a94d43e6a20	4	4344646	6308640	1527	0.1832
5a218ca4-5c68-4182-97fe-9a94d43e6a20	4	6310277	12243979	3594	0.2567
5a218ca4-5c68-4182-97fe-9a94d43e6a20	4	12248070	20176288	5475	0.204
5a218ca4-5c68-4182-97fe-9a94d43e6a20	4	20181931	20187824	4	-0.3721
5a218ca4-5c68-4182-97fe-9a94d43e6a20	4	20188445	22557420	1616	-0.073
5a218ca4-5c68-4182-97fe-9a94d43e6a20	4	22564065	26962728	2788	-0.0287
5a218ca4-5c68-4182-97fe-9a94d43e6a20	4	26963595	37113257	6046	-0.063
5a218ca4-5c68-4182-97fe-9a94d43e6a20	4	37113502	38986967	1421	-0.0122
5a218ca4-5c68-4182-97fe-9a94d43e6a20	4	38988060	42235495	1749	-0.0479
5a218ca4-5c68-4182-97fe-9a94d43e6a20	4	42235881	45376829	1497	-0.1044
5a218ca4-5c68-4182-97fe-9a94d43e6a20	4	45378046	53291111	2158	-0.0468
5a218ca4-5c68-4182-97fe-9a94d43e6a20	4	53293606	53362380	31	-0.7212
5a218ca4-5c68-4182-97fe-9a94d43e6a20	4	53369196	57784693	3088	-0.05
5a218ca4-5c68-4182-97fe-9a94d43e6a20	4	57785097	63093342	2865	-0.0831
5a218ca4-5c68-4182-97fe-9a94d43e6a20	4	63093980	67941210	2687	-0.0456
5a218ca4-5c68-4182-97fe-9a94d43e6a20	4	67941896	73597557	2427	-0.032
5a218ca4-5c68-4182-97fe-9a94d43e6a20	4	73597880	74988359	841	0.0238
5a218ca4-5c68-4182-97fe-9a94d43e6a20	4	74991666	79072668	2674	-0.0294
5a218ca4-5c68-4182-97fe-9a94d43e6a20	4	79072883	79079627	2	-1.5398
5a218ca4-5c68-4182-97fe-9a94d43e6a20	4	79080556	83838220	2730	-0.0383
5a218ca4-5c68-4182-97fe-9a94d43e6a20	4	83838490	90963257	4246	-0.0649
5a218ca4-5c68-4182-97fe-9a94d43e6a20	4	90964204	91017784	54	-0.2714
5a218ca4-5c68-4182-97fe-9a94d43e6a20	4	91017908	103235017	6640	-0.0633
5a218ca4-5c68-4182-97fe-9a94d43e6a20	4	103235423	120273570	9717	-0.0389
5a218ca4-5c68-4182-97fe-9a94d43e6a20	4	120275233	123998584	2065	-0.0636
