GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
ef7b93ff-5eaf-430d-992c-05e161fab12d	1	3301765	5861525	1823	-0.0092
ef7b93ff-5eaf-430d-992c-05e161fab12d	1	5861727	13468357	3555	0.0332
ef7b93ff-5eaf-430d-992c-05e161fab12d	1	13468981	14744955	1000	-0.0133
ef7b93ff-5eaf-430d-992c-05e161fab12d	1	14745239	28848434	7242	0.0352
ef7b93ff-5eaf-430d-992c-05e161fab12d	1	28848540	40080953	6137	0.0118
ef7b93ff-5eaf-430d-992c-05e161fab12d	1	40081615	48717967	4782	0.0389
ef7b93ff-5eaf-430d-992c-05e161fab12d	1	48721499	49082282	254	-0.0521
ef7b93ff-5eaf-430d-992c-05e161fab12d	1	49083781	49352462	114	-0.6036
ef7b93ff-5eaf-430d-992c-05e161fab12d	1	49355791	49397304	24	-1.31
ef7b93ff-5eaf-430d-992c-05e161fab12d	1	49399080	49448451	21	-0.5174
ef7b93ff-5eaf-430d-992c-05e161fab12d	1	49533594	58437666	5530	0.0162
ef7b93ff-5eaf-430d-992c-05e161fab12d	1	58438061	62071034	2528	0.0511
ef7b93ff-5eaf-430d-992c-05e161fab12d	1	62073441	68398535	4534	0.0249
ef7b93ff-5eaf-430d-992c-05e161fab12d	1	68399524	83543866	8570	0.0079
ef7b93ff-5eaf-430d-992c-05e161fab12d	1	83550251	95960240	7875	0.0356
ef7b93ff-5eaf-430d-992c-05e161fab12d	1	95960496	101554702	3423	-0.0052
ef7b93ff-5eaf-430d-992c-05e161fab12d	1	101554776	161341429	16902	0.0219
ef7b93ff-5eaf-430d-992c-05e161fab12d	1	161344865	189063349	18299	0.0356
ef7b93ff-5eaf-430d-992c-05e161fab12d	1	189065103	189065645	4	-0.898
ef7b93ff-5eaf-430d-992c-05e161fab12d	1	189068745	198358486	5235	0.0302
ef7b93ff-5eaf-430d-992c-05e161fab12d	1	198359421	200133240	1104	-0.0158
ef7b93ff-5eaf-430d-992c-05e161fab12d	1	200135403	215869996	10508	0.0333
ef7b93ff-5eaf-430d-992c-05e161fab12d	1	215873436	222544356	4568	-0.004
ef7b93ff-5eaf-430d-992c-05e161fab12d	1	222547946	235599911	8126	0.035
ef7b93ff-5eaf-430d-992c-05e161fab12d	1	235605484	247650984	7676	0.0045
ef7b93ff-5eaf-430d-992c-05e161fab12d	2	480597	7750260	4419	0.0126
ef7b93ff-5eaf-430d-992c-05e161fab12d	2	7750991	12055656	2931	0.0492
ef7b93ff-5eaf-430d-992c-05e161fab12d	2	12055815	15660633	2377	0.0268
ef7b93ff-5eaf-430d-992c-05e161fab12d	2	15664270	15664726	3	-0.8364
ef7b93ff-5eaf-430d-992c-05e161fab12d	2	15666037	17264846	1136	0.0111
ef7b93ff-5eaf-430d-992c-05e161fab12d	2	17264918	17538522	169	0.1142
ef7b93ff-5eaf-430d-992c-05e161fab12d	2	17540546	19902887	1826	0.0156
ef7b93ff-5eaf-430d-992c-05e161fab12d	2	19904811	20489772	336	0.0999
ef7b93ff-5eaf-430d-992c-05e161fab12d	2	20490489	22688855	1257	-0.0044
ef7b93ff-5eaf-430d-992c-05e161fab12d	2	22689630	22690202	3	-1.0383
ef7b93ff-5eaf-430d-992c-05e161fab12d	2	22697714	120524009	49348	0.0213
ef7b93ff-5eaf-430d-992c-05e161fab12d	2	120525054	146166137	13292	0.0009
ef7b93ff-5eaf-430d-992c-05e161fab12d	2	146166590	150673030	2488	0.0313
ef7b93ff-5eaf-430d-992c-05e161fab12d	2	150675005	154425689	2389	0.0015
ef7b93ff-5eaf-430d-992c-05e161fab12d	2	154426311	162713467	4701	0.0422
ef7b93ff-5eaf-430d-992c-05e161fab12d	2	162714146	167583148	2712	0.0132
ef7b93ff-5eaf-430d-992c-05e161fab12d	2	167586042	169045562	1073	0.0502
ef7b93ff-5eaf-430d-992c-05e161fab12d	2	169045709	169053793	2	-0.7905
ef7b93ff-5eaf-430d-992c-05e161fab12d	2	169058693	170431167	864	0.058
ef7b93ff-5eaf-430d-992c-05e161fab12d	2	170431200	171976435	874	0.007
ef7b93ff-5eaf-430d-992c-05e161fab12d	2	171977645	174202634	1581	0.0615
ef7b93ff-5eaf-430d-992c-05e161fab12d	2	174202729	180391687	3796	0.009
ef7b93ff-5eaf-430d-992c-05e161fab12d	2	180393156	199317834	9273	0.0385
ef7b93ff-5eaf-430d-992c-05e161fab12d	2	199321192	199328077	6	-0.6458
ef7b93ff-5eaf-430d-992c-05e161fab12d	2	199329022	202458457	1749	0.0276
ef7b93ff-5eaf-430d-992c-05e161fab12d	2	202459701	202513810	14	-0.589
ef7b93ff-5eaf-430d-992c-05e161fab12d	2	202522980	202813490	57	-1.7791
ef7b93ff-5eaf-430d-992c-05e161fab12d	2	202814777	202858276	19	-0.554
ef7b93ff-5eaf-430d-992c-05e161fab12d	2	202860066	210728764	4715	0.0248
ef7b93ff-5eaf-430d-992c-05e161fab12d	2	210728779	221364666	6667	-0.0093
ef7b93ff-5eaf-430d-992c-05e161fab12d	2	221364914	241212170	12020	0.0232
ef7b93ff-5eaf-430d-992c-05e161fab12d	2	241214256	241269377	31	-0.8027
ef7b93ff-5eaf-430d-992c-05e161fab12d	2	241278212	241537572	148	0.0413
ef7b93ff-5eaf-430d-992c-05e161fab12d	3	2170634	8675655	3754	0.0151
ef7b93ff-5eaf-430d-992c-05e161fab12d	3	8729817	8739645	13	-0.7938
ef7b93ff-5eaf-430d-992c-05e161fab12d	3	8741201	8880822	100	-0.0304
ef7b93ff-5eaf-430d-992c-05e161fab12d	3	8882641	15053261	4041	0.0332
ef7b93ff-5eaf-430d-992c-05e161fab12d	3	15057550	26535575	6502	0.0009
ef7b93ff-5eaf-430d-992c-05e161fab12d	3	26535592	53824514	15313	0.0274
ef7b93ff-5eaf-430d-992c-05e161fab12d	3	53831406	56398132	1972	-0.0122
ef7b93ff-5eaf-430d-992c-05e161fab12d	3	56400047	71001395	9282	0.0164
ef7b93ff-5eaf-430d-992c-05e161fab12d	3	71002201	71614097	382	-0.039
ef7b93ff-5eaf-430d-992c-05e161fab12d	3	71614588	71616219	2	-1.1587
ef7b93ff-5eaf-430d-992c-05e161fab12d	3	71616408	76333239	2783	0.0158
ef7b93ff-5eaf-430d-992c-05e161fab12d	3	76350248	76495020	99	-0.395
ef7b93ff-5eaf-430d-992c-05e161fab12d	3	76496317	99433917	9857	0.0047
ef7b93ff-5eaf-430d-992c-05e161fab12d	3	99435014	167112711	37047	0.0205
ef7b93ff-5eaf-430d-992c-05e161fab12d	3	167113455	173321402	3532	0.0553
ef7b93ff-5eaf-430d-992c-05e161fab12d	3	173324164	197812401	12561	0.0283
ef7b93ff-5eaf-430d-992c-05e161fab12d	4	1059384	6144633	2677	-0.0061
ef7b93ff-5eaf-430d-992c-05e161fab12d	4	6146596	12710515	3989	0.0265
ef7b93ff-5eaf-430d-992c-05e161fab12d	4	12711240	15884987	2345	-0.0185
ef7b93ff-5eaf-430d-992c-05e161fab12d	4	15887008	16788292	668	0.0572
ef7b93ff-5eaf-430d-992c-05e161fab12d	4	16788526	21953175	3419	0.0015
ef7b93ff-5eaf-430d-992c-05e161fab12d	4	21957053	26016441	2644	0.0439
ef7b93ff-5eaf-430d-992c-05e161fab12d	4	26019586	36710599	6346	0.0033
ef7b93ff-5eaf-430d-992c-05e161fab12d	4	36711139	38599685	1377	0.0598
ef7b93ff-5eaf-430d-992c-05e161fab12d	4	38601324	57250911	8366	0.0135
ef7b93ff-5eaf-430d-992c-05e161fab12d	4	57256871	69555844	6269	-0.0153
ef7b93ff-5eaf-430d-992c-05e161fab12d	4	69555883	73023671	1908	0.0132
ef7b93ff-5eaf-430d-992c-05e161fab12d	4	73026718	74148207	617	0.0828
ef7b93ff-5eaf-430d-992c-05e161fab12d	4	74149053	74149177	2	-1.1949
ef7b93ff-5eaf-430d-992c-05e161fab12d	4	74150033	74770466	365	0.0702
ef7b93ff-5eaf-430d-992c-05e161fab12d	4	74770646	93430095	10916	0.0265
ef7b93ff-5eaf-430d-992c-05e161fab12d	4	93432038	94821559	764	0.0687
ef7b93ff-5eaf-430d-992c-05e161fab12d	4	94827164	100689036	3395	-0.0028
ef7b93ff-5eaf-430d-992c-05e161fab12d	4	100689279	116260080	8837	0.0268
ef7b93ff-5eaf-430d-992c-05e161fab12d	4	116260364	149812221	18151	0.0084
ef7b93ff-5eaf-430d-992c-05e161fab12d	4	149820015	149914635	40	0.3449
ef7b93ff-5eaf-430d-992c-05e161fab12d	4	149924276	161555930	6745	0.0155
ef7b93ff-5eaf-430d-992c-05e161fab12d	4	161556032	161559297	2	-1.7766
ef7b93ff-5eaf-430d-992c-05e161fab12d	4	161559759	162830834	769	0.0338
ef7b93ff-5eaf-430d-992c-05e161fab12d	4	162832524	165834489	1547	-0.0212
ef7b93ff-5eaf-430d-992c-05e161fab12d	4	165834594	170738662	2691	0.0252
ef7b93ff-5eaf-430d-992c-05e161fab12d	4	170738888	171113837	208	-0.7469
ef7b93ff-5eaf-430d-992c-05e161fab12d	4	171117062	175837335	2498	0.0247
ef7b93ff-5eaf-430d-992c-05e161fab12d	4	175840746	182576610	3873	-0.0113
ef7b93ff-5eaf-430d-992c-05e161fab12d	4	182576623	184501635	492	0.0441
ef7b93ff-5eaf-430d-992c-05e161fab12d	4	184503135	184503535	2	-0.9841
ef7b93ff-5eaf-430d-992c-05e161fab12d	4	184504008	187842528	1615	0.0481
ef7b93ff-5eaf-430d-992c-05e161fab12d	5	913983	6518325	4009	-0.0106
ef7b93ff-5eaf-430d-992c-05e161fab12d	5	6518505	11065899	3267	0.0227
ef7b93ff-5eaf-430d-992c-05e161fab12d	5	11067195	13619843	1423	-0.0145
ef7b93ff-5eaf-430d-992c-05e161fab12d	5	13621095	13637727	10	-0.9357
ef7b93ff-5eaf-430d-992c-05e161fab12d	5	13638826	16782540	1808	0.0425
ef7b93ff-5eaf-430d-992c-05e161fab12d	5	16784676	27535302	5467	-0.0043
ef7b93ff-5eaf-430d-992c-05e161fab12d	5	27535366	27741480	82	-0.6874
ef7b93ff-5eaf-430d-992c-05e161fab12d	5	27741710	38808308	6528	0.0061
ef7b93ff-5eaf-430d-992c-05e161fab12d	5	38808544	78953492	19478	0.028
