GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
248f8bb1-d192-42c4-9446-b4389c89cd2c	1	3301765	14112547	5883	0.4774
248f8bb1-d192-42c4-9446-b4389c89cd2c	1	14112714	14529813	338	0.2181
248f8bb1-d192-42c4-9446-b4389c89cd2c	1	14531147	29543942	7747	0.4796
248f8bb1-d192-42c4-9446-b4389c89cd2c	1	29544163	33738088	2263	0.1987
248f8bb1-d192-42c4-9446-b4389c89cd2c	1	33738276	39004815	3022	0.502
248f8bb1-d192-42c4-9446-b4389c89cd2c	1	39013615	47217792	4252	0.214
248f8bb1-d192-42c4-9446-b4389c89cd2c	1	47217935	52123316	2489	0.2917
248f8bb1-d192-42c4-9446-b4389c89cd2c	1	52127417	55074160	1762	0.2354
248f8bb1-d192-42c4-9446-b4389c89cd2c	1	55076008	59775540	3635	0.2788
248f8bb1-d192-42c4-9446-b4389c89cd2c	1	59778254	59819019	23	0.4623
248f8bb1-d192-42c4-9446-b4389c89cd2c	1	59819715	66466702	4678	0.3194
248f8bb1-d192-42c4-9446-b4389c89cd2c	1	66467577	84974138	11045	0.3535
248f8bb1-d192-42c4-9446-b4389c89cd2c	1	84985043	85035427	28	0.4201
248f8bb1-d192-42c4-9446-b4389c89cd2c	1	85035659	85691054	434	0.8467
248f8bb1-d192-42c4-9446-b4389c89cd2c	1	85720696	87556713	1153	0.3557
248f8bb1-d192-42c4-9446-b4389c89cd2c	1	87558411	88995854	984	1.2629
248f8bb1-d192-42c4-9446-b4389c89cd2c	1	88995971	89814783	514	1.1394
248f8bb1-d192-42c4-9446-b4389c89cd2c	1	89815556	91321022	909	1.2468
248f8bb1-d192-42c4-9446-b4389c89cd2c	1	91327260	91337198	23	0.7923
248f8bb1-d192-42c4-9446-b4389c89cd2c	1	91337226	91750863	260	1.2475
248f8bb1-d192-42c4-9446-b4389c89cd2c	1	91752640	91753511	3	0.9987
248f8bb1-d192-42c4-9446-b4389c89cd2c	1	91754578	92627194	434	0.3033
248f8bb1-d192-42c4-9446-b4389c89cd2c	1	92629019	94314618	935	1.2076
248f8bb1-d192-42c4-9446-b4389c89cd2c	1	94320032	95968880	1143	0.8807
248f8bb1-d192-42c4-9446-b4389c89cd2c	1	95969174	97943397	1145	0.3396
248f8bb1-d192-42c4-9446-b4389c89cd2c	1	97944672	99917461	1260	0.9125
248f8bb1-d192-42c4-9446-b4389c89cd2c	1	99917839	101638503	1068	0.8457
248f8bb1-d192-42c4-9446-b4389c89cd2c	1	101639888	101643772	2	-0.5185
248f8bb1-d192-42c4-9446-b4389c89cd2c	1	101644198	101712103	31	0.8134
248f8bb1-d192-42c4-9446-b4389c89cd2c	1	101712244	107841776	3269	0.915
248f8bb1-d192-42c4-9446-b4389c89cd2c	1	107842499	115140120	4316	0.8103
248f8bb1-d192-42c4-9446-b4389c89cd2c	1	115140476	116376077	925	0.882
248f8bb1-d192-42c4-9446-b4389c89cd2c	1	116380231	117890316	943	0.8144
