GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
2f28c6ef-1ad3-4089-8456-fca7a3fb5a59	1	3301765	7861892	2947	-0.4145
2f28c6ef-1ad3-4089-8456-fca7a3fb5a59	1	7862249	11530071	1764	-0.3217
2f28c6ef-1ad3-4089-8456-fca7a3fb5a59	1	11531747	11538613	2	-2.3621
2f28c6ef-1ad3-4089-8456-fca7a3fb5a59	1	11539717	12750808	628	-0.3134
2f28c6ef-1ad3-4089-8456-fca7a3fb5a59	1	12752136	13702138	179	-0.4088
2f28c6ef-1ad3-4089-8456-fca7a3fb5a59	1	13704218	15082660	1120	-0.4715
2f28c6ef-1ad3-4089-8456-fca7a3fb5a59	1	15083026	27130682	6267	-0.3663
2f28c6ef-1ad3-4089-8456-fca7a3fb5a59	1	27135418	28974776	713	0.3007
2f28c6ef-1ad3-4089-8456-fca7a3fb5a59	1	28981442	30629786	1138	0.1899
2f28c6ef-1ad3-4089-8456-fca7a3fb5a59	1	30631228	33408370	1190	0.2664
2f28c6ef-1ad3-4089-8456-fca7a3fb5a59	1	33415212	34768789	1000	0.16
2f28c6ef-1ad3-4089-8456-fca7a3fb5a59	1	34772446	36418201	709	0.2503
2f28c6ef-1ad3-4089-8456-fca7a3fb5a59	1	36418315	39734182	1853	-0.3895
2f28c6ef-1ad3-4089-8456-fca7a3fb5a59	1	39740215	45757414	3341	0.2176
2f28c6ef-1ad3-4089-8456-fca7a3fb5a59	1	45760946	50973481	2605	-0.4813
2f28c6ef-1ad3-4089-8456-fca7a3fb5a59	1	50973975	50996083	12	-1.818
2f28c6ef-1ad3-4089-8456-fca7a3fb5a59	1	50999981	55315260	2373	-0.4036
2f28c6ef-1ad3-4089-8456-fca7a3fb5a59	1	55316500	59019605	3006	-0.5351
2f28c6ef-1ad3-4089-8456-fca7a3fb5a59	1	59019704	61949717	1968	1.0838
2f28c6ef-1ad3-4089-8456-fca7a3fb5a59	1	61952343	62463883	369	1.7752
2f28c6ef-1ad3-4089-8456-fca7a3fb5a59	1	62475245	62498053	12	2.9168
2f28c6ef-1ad3-4089-8456-fca7a3fb5a59	1	62507382	70948625	5624	-0.5219
2f28c6ef-1ad3-4089-8456-fca7a3fb5a59	1	70993290	71006192	5	1.9212
