GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
87189890-3810-47c7-aa8b-f710608d5440	1	3301765	98059627	55162	0.0175
87189890-3810-47c7-aa8b-f710608d5440	1	98059888	98178140	42	0.5887
87189890-3810-47c7-aa8b-f710608d5440	1	98179473	208984013	49536	0.02
87189890-3810-47c7-aa8b-f710608d5440	1	208986691	208986962	2	-1.67
87189890-3810-47c7-aa8b-f710608d5440	1	208989583	220588265	7967	0.0233
87189890-3810-47c7-aa8b-f710608d5440	1	220589182	220589568	2	-1.2932
87189890-3810-47c7-aa8b-f710608d5440	1	220592537	223025800	1538	0.0226
87189890-3810-47c7-aa8b-f710608d5440	1	223030659	223043718	2	-1.4982
87189890-3810-47c7-aa8b-f710608d5440	1	223116005	247650984	15533	0.0215
87189890-3810-47c7-aa8b-f710608d5440	2	480597	241537572	132238	0.0176
87189890-3810-47c7-aa8b-f710608d5440	3	2170634	197812401	107212	0.0194
87189890-3810-47c7-aa8b-f710608d5440	4	1059384	187842528	103508	0.0189
87189890-3810-47c7-aa8b-f710608d5440	5	913983	180934240	101148	0.0182
87189890-3810-47c7-aa8b-f710608d5440	6	1011760	170596889	97205	0.0182
87189890-3810-47c7-aa8b-f710608d5440	7	664936	158592540	81973	0.02
87189890-3810-47c7-aa8b-f710608d5440	8	667625	144182542	82250	0.0175
87189890-3810-47c7-aa8b-f710608d5440	9	789794	138044505	68502	0.0182
87189890-3810-47c7-aa8b-f710608d5440	10	366509	133411599	81307	0.0185
87189890-3810-47c7-aa8b-f710608d5440	11	456012	41866037	26392	0.0178
87189890-3810-47c7-aa8b-f710608d5440	11	41866351	41866440	3	-1.2136
87189890-3810-47c7-aa8b-f710608d5440	11	41872055	134272740	51206	0.0165
87189890-3810-47c7-aa8b-f710608d5440	12	780472	24611758	14102	0.0169
87189890-3810-47c7-aa8b-f710608d5440	12	24613769	24615467	2	-1.4997
87189890-3810-47c7-aa8b-f710608d5440	12	24615513	128489271	58761	0.0186
87189890-3810-47c7-aa8b-f710608d5440	12	128491528	128505357	11	-1.1116
87189890-3810-47c7-aa8b-f710608d5440	12	128506003	132605822	1496	0.0137
87189890-3810-47c7-aa8b-f710608d5440	13	18874255	107703712	53032	0.0176
87189890-3810-47c7-aa8b-f710608d5440	13	107703981	107707651	2	-1.6869
87189890-3810-47c7-aa8b-f710608d5440	13	107707869	114226675	3988	0.0208
87189890-3810-47c7-aa8b-f710608d5440	14	20033191	54387230	18386	0.0133
87189890-3810-47c7-aa8b-f710608d5440	14	54388077	54392587	4	-1.2069
87189890-3810-47c7-aa8b-f710608d5440	14	54395003	94623530	25066	0.0211
87189890-3810-47c7-aa8b-f710608d5440	14	94625605	94626062	2	-1.5929
87189890-3810-47c7-aa8b-f710608d5440	14	94628665	105533894	6345	0.0144
87189890-3810-47c7-aa8b-f710608d5440	15	23437561	91470672	38656	0.0172
87189890-3810-47c7-aa8b-f710608d5440	15	91474401	91474765	2	-1.7714
87189890-3810-47c7-aa8b-f710608d5440	15	91480507	101344124	6145	0.0176
87189890-3810-47c7-aa8b-f710608d5440	16	603333	89317317	41222	0.0153
87189890-3810-47c7-aa8b-f710608d5440	17	1074619	82959812	37294	0.0161
87189890-3810-47c7-aa8b-f710608d5440	18	326691	79349796	42969	0.0155
87189890-3810-47c7-aa8b-f710608d5440	19	283868	58370362	24149	0.0151
87189890-3810-47c7-aa8b-f710608d5440	20	472817	63588502	37570	0.016
87189890-3810-47c7-aa8b-f710608d5440	21	13974127	46262057	20606	0.0193
87189890-3810-47c7-aa8b-f710608d5440	22	16934932	48940621	17092	0.0134
87189890-3810-47c7-aa8b-f710608d5440	X	3236359	58086886	23990	0.0157
87189890-3810-47c7-aa8b-f710608d5440	X	58103835	58291715	21	0.5402
87189890-3810-47c7-aa8b-f710608d5440	X	62952913	155677414	39978	0.0196
