GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
610f75b1-4e33-4c63-976f-b257f846db85	1	3301765	180779181	87042	0.0016
610f75b1-4e33-4c63-976f-b257f846db85	1	180781437	180784347	4	-1.2692
610f75b1-4e33-4c63-976f-b257f846db85	1	180786525	185878892	3396	-0.0007
610f75b1-4e33-4c63-976f-b257f846db85	1	185884322	185885675	4	-1.4139
610f75b1-4e33-4c63-976f-b257f846db85	1	185885848	225944621	25230	0.0046
610f75b1-4e33-4c63-976f-b257f846db85	1	225946771	225948890	2	-1.7559
610f75b1-4e33-4c63-976f-b257f846db85	1	225949023	247650984	13906	0.0044
610f75b1-4e33-4c63-976f-b257f846db85	2	480597	241537572	132050	0.001
610f75b1-4e33-4c63-976f-b257f846db85	3	2170634	197812401	107087	0.0045
610f75b1-4e33-4c63-976f-b257f846db85	4	1059384	83863512	46497	0.0024
610f75b1-4e33-4c63-976f-b257f846db85	4	83863621	83864453	3	-1.16
610f75b1-4e33-4c63-976f-b257f846db85	4	83868321	187842528	56889	0.0047
610f75b1-4e33-4c63-976f-b257f846db85	5	913983	180934240	101032	0.0019
610f75b1-4e33-4c63-976f-b257f846db85	6	1011760	170596889	97047	0.0015
610f75b1-4e33-4c63-976f-b257f846db85	7	664936	158592540	81857	0.002
610f75b1-4e33-4c63-976f-b257f846db85	8	667625	144182542	82131	0.002
610f75b1-4e33-4c63-976f-b257f846db85	9	789794	138044505	68417	-0.0009
610f75b1-4e33-4c63-976f-b257f846db85	10	366509	133411599	81186	-0.0003
610f75b1-4e33-4c63-976f-b257f846db85	11	456012	134272740	77486	0.0018
610f75b1-4e33-4c63-976f-b257f846db85	12	780472	10228083	5166	0.0033
610f75b1-4e33-4c63-976f-b257f846db85	12	10228329	10234383	3	-1.5233
610f75b1-4e33-4c63-976f-b257f846db85	12	10236191	132605822	69084	-0.0004
610f75b1-4e33-4c63-976f-b257f846db85	13	18874255	114226675	56925	0.0019
610f75b1-4e33-4c63-976f-b257f846db85	14	20033191	105533894	49745	0.0037
610f75b1-4e33-4c63-976f-b257f846db85	15	23437561	46852188	11634	0.0008
610f75b1-4e33-4c63-976f-b257f846db85	15	46854513	46862667	15	-0.8233
610f75b1-4e33-4c63-976f-b257f846db85	15	46864381	101344124	33086	0.0037
610f75b1-4e33-4c63-976f-b257f846db85	16	603333	89317317	41173	-0.0029
610f75b1-4e33-4c63-976f-b257f846db85	17	1074619	73061005	33306	0.0037
610f75b1-4e33-4c63-976f-b257f846db85	17	73061414	73061483	2	-1.8515
610f75b1-4e33-4c63-976f-b257f846db85	17	73062575	82959812	3937	-0.0013
610f75b1-4e33-4c63-976f-b257f846db85	18	326691	79349796	42908	-0.0007
610f75b1-4e33-4c63-976f-b257f846db85	19	283868	58370362	24129	-0.001
610f75b1-4e33-4c63-976f-b257f846db85	20	472817	63588502	37537	-0.0011
610f75b1-4e33-4c63-976f-b257f846db85	21	13974127	46262057	20578	0.0005
610f75b1-4e33-4c63-976f-b257f846db85	22	16934932	48940621	17081	-0.0047
610f75b1-4e33-4c63-976f-b257f846db85	X	3236359	32295373	13402	0.0096
610f75b1-4e33-4c63-976f-b257f846db85	X	32298399	32300430	3	-3.503
610f75b1-4e33-4c63-976f-b257f846db85	X	32300582	155677414	50376	0.0056
