GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	3301765	7939542	3003	0.3371
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	7940502	9409030	722	0.2591
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	9414367	9553813	53	0.9275
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	9556164	10107889	208	1.2737
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	10111373	10344188	135	0.8235
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	10344362	15502267	2797	0.2974
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	15504368	15592573	52	0.8689
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	15595360	15610359	10	-0.5991
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	15612422	16071582	157	0.8211
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	16077226	18856284	1548	0.3266
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	18859635	19186570	194	0.9164
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	19192686	21014234	1166	0.2734
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	21015709	21113697	44	0.8194
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	21115178	21329486	90	1.2444
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	21332392	21898797	271	0.9057
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	21899250	21949565	36	0.251
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	21956126	22740506	396	0.9355
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	22744949	23286534	342	0.3201
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	23288799	23443513	106	0.5591
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	23446741	27435843	1711	0.2398
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	27439161	27628596	54	0.7754
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	27628886	29104334	586	0.1971
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	29106297	30938231	1211	0.3205
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	30940072	33267767	996	0.2381
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	33269046	34857739	1110	0.3453
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	34858468	35445467	262	0.9065
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	35448211	38707413	1776	0.2949
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	38712625	39562913	423	0.8511
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	39569510	40874397	622	0.235
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	40918052	40950593	33	0.9699
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	40953994	58485522	10335	0.2852
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	58486549	59887093	915	0.2138
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	59892297	61427457	1058	0.2729
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	61429230	61765765	256	0.9101
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	61778180	65912823	2915	0.2702
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	65917061	66900866	775	0.8595
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	66907847	103459037	21815	0.223
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	103462283	106860013	1651	0.3021
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	106860406	106860447	2	2.4573
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	106860535	110343210	1933	0.2879
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	110343781	110352364	2	-1.2873
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	110355952	110934361	406	0.2688
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	110937265	111565047	435	0.1827
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	111565553	116257394	3045	0.282
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	116257579	116260109	2	-2.294
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	116261870	149928056	2262	0.2679
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	149936215	153775140	1816	0.2444
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	153780901	154129622	137	0.8542
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	154131663	155243333	552	0.2232
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	155244916	155903523	291	1.307
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	155904432	156032988	41	1.695
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	156039096	156194514	66	0.9064
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	156201505	156264478	39	0.7586
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	156270634	157015638	375	0.2668
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	157019615	157102534	55	0.8233
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	157104310	164622701	4978	0.2385
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	164624167	164624793	2	-1.8865
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	164628022	167854874	2588	0.2541
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	167854896	168470227	376	0.8303
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	168474407	182730389	9042	0.2613
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	182733066	183216961	293	0.81
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	183219758	200899752	10467	0.2114
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	200902088	202630615	1135	0.3049
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	202633069	203694666	715	0.2387
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	203695097	204615581	626	0.8536
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	204616610	206069352	944	0.294
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	206076064	206605975	181	0.8326
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	206615113	214103539	5184	0.2465
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	214106388	214435361	281	0.9433
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	214436135	223301817	5881	0.2211
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	223302400	232472109	5477	0.2627
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	1	232472272	247650984	9841	0.2243
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	2	480597	4113329	1697	0.2596
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	2	4114137	4464555	248	0.5231
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	2	4464679	9942248	3919	0.2106
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	2	9942503	10517598	404	0.8531
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	2	10526909	12188385	1244	0.2249
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	2	12195212	12259113	59	0.4957
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	2	12261797	14661539	1459	0.1955
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	2	14665318	14750360	54	-0.2154
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	2	14750810	14930968	95	0.2008
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	2	14931031	15078028	142	-0.2271
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	2	15081370	23950056	5968	0.2321
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	2	23955418	24087235	52	0.798
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	2	24092348	24094188	3	0.1474
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	2	24108967	24925225	383	0.8415
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	2	24927224	44006326	10357	0.2236
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	2	44008094	44046571	21	0.8296
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	2	44076908	45457386	891	0.2274
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	2	45459911	45493519	22	0.7667
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	2	45493675	49422295	2558	0.2211
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	2	49422379	65307161	8466	0.1869
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	2	65314200	67849718	1893	0.2258
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	2	67854047	67971691	53	0.8739
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	2	67973664	68058997	51	1.285
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	2	68065273	68102593	29	0.8061
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	2	68102666	70323294	1283	0.1683
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	2	70323358	75553625	2941	0.2403
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	2	75553879	75555687	2	-2.1575
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	2	75556546	76274785	375	0.2258
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	2	76276636	83791070	3943	0.1479
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	2	83796033	100483769	4268	0.2097
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	2	100489186	100955786	356	0.8546
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	2	100956788	112681560	6127	0.199
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	2	112682490	112730611	70	0.5314
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	2	112731158	113101568	339	0.181
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	2	113104310	113507498	162	0.8171
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	2	113513764	120230738	3482	0.2019
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	2	120234464	120951960	433	1.3147
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	2	120957459	121005989	42	0.9918
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	2	121006639	122632539	999	0.2664
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	2	122632712	126328446	1424	0.1668
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	2	126330973	137541018	5854	0.22
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	2	137541338	167472216	16816	0.1583
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	2	167472782	168079511	407	0.228
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	2	168082993	168565637	354	0.808
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	2	168569409	178320149	6181	0.2373
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	2	178320324	181463230	1936	0.1641
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	2	181463487	182142282	412	0.7657
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	2	182142775	183195941	613	0.1991
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	2	183199092	183271899	35	-0.2405
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	2	183272363	186196753	1064	0.1598
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	2	186197356	190274955	2027	0.2553
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	2	190278865	202150023	6029	0.1667
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	2	202156307	202213666	35	0.5419
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	2	202216309	202277615	23	0.6885
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	2	202277824	202425310	69	1.2081
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	2	202448915	203068754	177	0.8208
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	2	203072841	215367398	7412	0.168
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	2	215367833	220962660	3589	0.2391
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	2	220962736	234522080	8222	0.1883
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	2	234522495	241266056	4058	0.2637
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	2	241269377	241537572	149	0.1953
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	3	2170634	46900695	26494	-0.8145
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	3	46905597	47718883	301	0.2274
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	3	47726865	48733299	418	-0.7448
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	3	48735965	49694700	323	0.1996
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	3	49697440	49883046	62	0.8271
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	3	49886976	55344495	3035	0.2648
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	3	55347920	55715867	310	0.908
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	3	55718271	66026638	6378	0.25
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	3	66030774	66344929	107	0.8599
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	3	66346421	66714301	270	1.2621
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	3	66714806	66788562	61	1.5041
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	3	66788606	66939699	97	1.2123
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	3	66940075	66947848	11	0.7337
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	3	66948222	67016836	45	1.282
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	3	67017074	67421840	306	0.861
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	3	67432354	77397523	6281	0.2229
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	3	77397589	112747613	16644	0.1887
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	3	112749919	113592326	536	0.8536
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	3	113593165	122923853	5426	0.228
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	3	122924319	128465228	3439	0.2959
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	3	128465573	132085293	1855	0.2432
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	3	132086219	132302976	181	0.8484
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	3	132309099	132823011	275	0.1901
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	3	132824930	143469714	5797	0.2727
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	3	143477055	148707430	2490	0.1792
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	3	148709247	148730972	25	0.9075
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	3	148734388	161839447	7323	0.2262
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	3	161841092	165304048	1472	0.1659
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	3	165304486	165305126	2	-1.338
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	3	165312891	166766271	581	0.1683
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	3	166767006	166785333	11	-0.4985
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	3	166786258	168326046	713	0.1646
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	3	168337272	169290234	573	0.8359
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	3	169290406	169290536	2	-0.846
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	3	169293847	169621407	254	0.8631
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	3	169624083	169704734	48	0.1707
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	3	169707073	169789304	35	0.8905
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	3	169791127	170079183	191	0.1774
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	3	170080147	170113396	21	0.8616
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	3	170114328	171355827	698	-0.8387
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	3	171360331	172599832	624	0.166
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	3	172600018	173258243	402	-0.8216
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	3	173259778	173405749	84	0.1864
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	3	173409716	176426530	1234	-0.8693
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	3	176426679	181899056	2930	-0.7773
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	3	181899675	197812401	8236	-0.8351
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	4	1059384	1668869	166	-2.0687
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	4	1670369	1802549	65	0.5672
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	4	1814963	1927290	42	-0.1315
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	4	1928159	7262931	3108	-2.0381
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	4	7264218	7707373	331	-2.568
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	4	7708913	12299719	2607	-2.01
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	4	12300289	12449663	80	-3.843
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	4	12450210	12476080	14	-2.1137
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	4	12476193	12519598	23	-1.4972
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	4	12524049	12537733	8	-2.3987
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	4	12537824	12869205	242	-4.8555
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	4	12871907	15985025	2303	-1.9706
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	4	15986874	16222619	187	-0.7888
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	4	16223115	20318723	2598	-1.882
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	4	20325581	39612089	12002	-0.8257
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	4	39614928	39807311	92	0.2057
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	4	39809929	39826027	11	1.3662
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	4	39828075	39993535	66	0.8441
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	4	39994616	47826890	4014	0.2043
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	4	47827124	52872244	687	0.2722
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	4	52872349	52872357	2	-1.2411
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	4	52873095	57703135	3287	0.2512
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	4	57703590	81075637	12537	0.1864
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	4	81075771	90272543	5549	0.22
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	4	90273044	90350293	73	-1.0032
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	4	90355112	109489513	10448	0.1825
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	4	109491081	109491330	2	-1.7723
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	4	109492420	118344088	5136	0.1602
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	4	118344827	123998343	3140	0.2001
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	4	123998369	123998688	3	-1.1499
4b7aa468-4b8f-45a2-a072-d774c7a8a1ff	4	124002972	129451533	2832	0.2119
