GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
482cf036-d94b-43da-9aee-4952684b4f75	1	3301765	29035656	13662	-0.2705
482cf036-d94b-43da-9aee-4952684b4f75	1	29042755	29080755	14	0.0599
482cf036-d94b-43da-9aee-4952684b4f75	1	29082649	29468618	213	0.4772
482cf036-d94b-43da-9aee-4952684b4f75	1	29469187	29535498	44	1.0131
482cf036-d94b-43da-9aee-4952684b4f75	1	29537643	29948348	318	0.5442
482cf036-d94b-43da-9aee-4952684b4f75	1	29949749	58007625	15827	0.1677
482cf036-d94b-43da-9aee-4952684b4f75	1	58010208	70559313	8493	-0.2448
482cf036-d94b-43da-9aee-4952684b4f75	1	70560505	86083886	9170	-0.2113
482cf036-d94b-43da-9aee-4952684b4f75	1	86086181	149906351	20183	-0.2386
482cf036-d94b-43da-9aee-4952684b4f75	1	149909846	157015638	3330	0.6859
482cf036-d94b-43da-9aee-4952684b4f75	1	157019615	157090101	42	0.9285
482cf036-d94b-43da-9aee-4952684b4f75	1	157091758	159212079	1414	1.0518
482cf036-d94b-43da-9aee-4952684b4f75	1	159212305	161961470	1569	0.8974
482cf036-d94b-43da-9aee-4952684b4f75	1	161963258	163602121	1362	0.4643
482cf036-d94b-43da-9aee-4952684b4f75	1	163604204	163609898	5	-0.2771
482cf036-d94b-43da-9aee-4952684b4f75	1	163609952	165569886	1554	0.4691
482cf036-d94b-43da-9aee-4952684b4f75	1	165570081	172157365	4652	0.1615
482cf036-d94b-43da-9aee-4952684b4f75	1	172157842	172265487	79	-0.1813
482cf036-d94b-43da-9aee-4952684b4f75	1	172269745	174451232	1260	0.1726
482cf036-d94b-43da-9aee-4952684b4f75	1	174454069	174587570	80	-0.2053
482cf036-d94b-43da-9aee-4952684b4f75	1	174587653	174590044	6	-2.3794
482cf036-d94b-43da-9aee-4952684b4f75	1	174602571	186722992	7481	-0.2506
482cf036-d94b-43da-9aee-4952684b4f75	1	186723430	192615665	3417	-0.2141
482cf036-d94b-43da-9aee-4952684b4f75	1	192617179	192703454	66	-0.3208
482cf036-d94b-43da-9aee-4952684b4f75	1	192703651	193293423	448	0.1424
