GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
4163c7ea-de9c-4bec-a9f3-35f02ad35a1a	1	3301765	64820793	34800	-0.5306
4163c7ea-de9c-4bec-a9f3-35f02ad35a1a	1	64823323	64834245	15	-1.5263
4163c7ea-de9c-4bec-a9f3-35f02ad35a1a	1	64835928	67645112	2093	-0.5409
4163c7ea-de9c-4bec-a9f3-35f02ad35a1a	1	67646045	83970345	9440	-0.4979
4163c7ea-de9c-4bec-a9f3-35f02ad35a1a	1	83971628	95102482	6991	-0.535
4163c7ea-de9c-4bec-a9f3-35f02ad35a1a	1	95102609	104668641	5425	-0.507
4163c7ea-de9c-4bec-a9f3-35f02ad35a1a	1	104668654	104672277	3	-2.1752
4163c7ea-de9c-4bec-a9f3-35f02ad35a1a	1	104676798	107294820	1464	-0.4955
4163c7ea-de9c-4bec-a9f3-35f02ad35a1a	1	107294969	112507301	3236	-0.5691
4163c7ea-de9c-4bec-a9f3-35f02ad35a1a	1	112509564	112512351	3	-1.8092
4163c7ea-de9c-4bec-a9f3-35f02ad35a1a	1	112512401	113219653	380	-0.5261
4163c7ea-de9c-4bec-a9f3-35f02ad35a1a	1	113220131	113257859	25	-0.8673
4163c7ea-de9c-4bec-a9f3-35f02ad35a1a	1	113260087	114443949	696	-0.5227
4163c7ea-de9c-4bec-a9f3-35f02ad35a1a	1	114449632	114464344	7	-1.2175
4163c7ea-de9c-4bec-a9f3-35f02ad35a1a	1	114467106	114727382	132	-0.5344
4163c7ea-de9c-4bec-a9f3-35f02ad35a1a	1	114731332	119984772	3338	0.1803
4163c7ea-de9c-4bec-a9f3-35f02ad35a1a	1	146716041	151070735	423	0.5116
4163c7ea-de9c-4bec-a9f3-35f02ad35a1a	1	151073507	151083587	3	-0.2281
4163c7ea-de9c-4bec-a9f3-35f02ad35a1a	1	151084174	152079779	474	0.523
4163c7ea-de9c-4bec-a9f3-35f02ad35a1a	1	152087104	153296708	737	0.6115
4163c7ea-de9c-4bec-a9f3-35f02ad35a1a	1	153296888	156451862	1415	0.5187
4163c7ea-de9c-4bec-a9f3-35f02ad35a1a	1	156453066	160175898	2374	0.5874
4163c7ea-de9c-4bec-a9f3-35f02ad35a1a	1	160175917	162224708	1224	0.5408
4163c7ea-de9c-4bec-a9f3-35f02ad35a1a	1	162224786	165305654	2361	0.631
