GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
8f1e78c7-d264-4497-bba0-0999e6dcd2c4	1	3301765	7819070	2919	0.2287
8f1e78c7-d264-4497-bba0-0999e6dcd2c4	1	7819173	11178006	1586	0.1843
8f1e78c7-d264-4497-bba0-0999e6dcd2c4	1	11178359	14377945	1569	0.2424
8f1e78c7-d264-4497-bba0-0999e6dcd2c4	1	14378106	14506152	116	-0.1157
8f1e78c7-d264-4497-bba0-0999e6dcd2c4	1	14511210	15297670	610	0.2583
8f1e78c7-d264-4497-bba0-0999e6dcd2c4	1	15302806	26467917	5933	0.313
8f1e78c7-d264-4497-bba0-0999e6dcd2c4	1	26468621	26946353	137	0.2079
8f1e78c7-d264-4497-bba0-0999e6dcd2c4	1	26946373	29425071	960	-0.0987
8f1e78c7-d264-4497-bba0-0999e6dcd2c4	1	29425113	34808034	3134	-0.0385
8f1e78c7-d264-4497-bba0-0999e6dcd2c4	1	34808276	35326673	222	-0.1062
8f1e78c7-d264-4497-bba0-0999e6dcd2c4	1	35326835	36990619	864	-0.5784
8f1e78c7-d264-4497-bba0-0999e6dcd2c4	1	37003475	47500646	5542	-0.0604
8f1e78c7-d264-4497-bba0-0999e6dcd2c4	1	47501028	48208073	553	-0.0076
8f1e78c7-d264-4497-bba0-0999e6dcd2c4	1	48208216	48208264	2	-1.4581
8f1e78c7-d264-4497-bba0-0999e6dcd2c4	1	48208392	51131249	1343	-0.0011
8f1e78c7-d264-4497-bba0-0999e6dcd2c4	1	51135580	51199331	29	0.3461
8f1e78c7-d264-4497-bba0-0999e6dcd2c4	1	51203084	51277212	30	-0.0154
8f1e78c7-d264-4497-bba0-0999e6dcd2c4	1	51280383	53592799	1222	-0.0549
8f1e78c7-d264-4497-bba0-0999e6dcd2c4	1	53593633	60587907	5016	0.1291
8f1e78c7-d264-4497-bba0-0999e6dcd2c4	1	60593429	60597975	6	-0.7023
8f1e78c7-d264-4497-bba0-0999e6dcd2c4	1	60600727	69345301	6107	0.1134
8f1e78c7-d264-4497-bba0-0999e6dcd2c4	1	69355319	77376996	4492	-0.0485
8f1e78c7-d264-4497-bba0-0999e6dcd2c4	1	77377176	77466481	67	0.3043
8f1e78c7-d264-4497-bba0-0999e6dcd2c4	1	77466932	119984772	25376	-0.0437
8f1e78c7-d264-4497-bba0-0999e6dcd2c4	1	146716041	151977814	833	0.5376
8f1e78c7-d264-4497-bba0-0999e6dcd2c4	1	151979060	152211075	128	0.0335
8f1e78c7-d264-4497-bba0-0999e6dcd2c4	1	152211122	152211673	3	-0.7716
8f1e78c7-d264-4497-bba0-0999e6dcd2c4	1	152230794	152494491	132	0.0518
8f1e78c7-d264-4497-bba0-0999e6dcd2c4	1	152495537	153499809	642	0.6198
8f1e78c7-d264-4497-bba0-0999e6dcd2c4	1	153504815	154402801	348	0.4786
