GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
69273715-27ed-4cee-8fe4-0bb2bfcad836	1	3301765	3902772	315	0.0534
69273715-27ed-4cee-8fe4-0bb2bfcad836	1	3905307	41937246	20508	0.0041
69273715-27ed-4cee-8fe4-0bb2bfcad836	1	41937451	55474696	7241	0.0362
69273715-27ed-4cee-8fe4-0bb2bfcad836	1	55477585	55493567	13	0.6102
69273715-27ed-4cee-8fe4-0bb2bfcad836	1	55493842	98059627	27091	0.0315
69273715-27ed-4cee-8fe4-0bb2bfcad836	1	98059888	98180880	46	0.5719
69273715-27ed-4cee-8fe4-0bb2bfcad836	1	98183904	247650984	74577	0.0263
69273715-27ed-4cee-8fe4-0bb2bfcad836	2	480597	22688855	14452	0.0254
69273715-27ed-4cee-8fe4-0bb2bfcad836	2	22689630	22690202	3	-2.4029
69273715-27ed-4cee-8fe4-0bb2bfcad836	2	22697714	121721563	50035	0.0201
69273715-27ed-4cee-8fe4-0bb2bfcad836	2	121721705	121722033	3	-1.2857
69273715-27ed-4cee-8fe4-0bb2bfcad836	2	121724566	138627255	8112	0.0043
69273715-27ed-4cee-8fe4-0bb2bfcad836	2	138630141	138637434	13	-0.7683
69273715-27ed-4cee-8fe4-0bb2bfcad836	2	138644571	155715990	10026	0.0162
69273715-27ed-4cee-8fe4-0bb2bfcad836	2	155724196	155724217	2	-1.5069
69273715-27ed-4cee-8fe4-0bb2bfcad836	2	155724737	156053200	190	-0.002
69273715-27ed-4cee-8fe4-0bb2bfcad836	2	156053950	178604659	13574	0.0334
69273715-27ed-4cee-8fe4-0bb2bfcad836	2	178611425	178638099	18	0.5039
69273715-27ed-4cee-8fe4-0bb2bfcad836	2	178638484	199382426	10422	0.0462
69273715-27ed-4cee-8fe4-0bb2bfcad836	2	199382786	221559824	13332	0.0232
69273715-27ed-4cee-8fe4-0bb2bfcad836	2	221560701	221605925	39	0.0914
69273715-27ed-4cee-8fe4-0bb2bfcad836	2	221606293	221606796	3	1.0875
69273715-27ed-4cee-8fe4-0bb2bfcad836	2	221607842	231764413	6104	0.0429
69273715-27ed-4cee-8fe4-0bb2bfcad836	2	231764838	241537572	5900	-0.0122
69273715-27ed-4cee-8fe4-0bb2bfcad836	3	2170634	101038976	54895	0.0204
69273715-27ed-4cee-8fe4-0bb2bfcad836	3	101040223	101040314	2	-2.8199
69273715-27ed-4cee-8fe4-0bb2bfcad836	3	101041874	103621142	1356	0.058
69273715-27ed-4cee-8fe4-0bb2bfcad836	3	103624153	115072300	6554	-0.7436
69273715-27ed-4cee-8fe4-0bb2bfcad836	3	115079212	141040859	15228	0.0184
69273715-27ed-4cee-8fe4-0bb2bfcad836	3	141042042	194830339	28422	0.0407
69273715-27ed-4cee-8fe4-0bb2bfcad836	3	194836484	197352400	654	0.011
69273715-27ed-4cee-8fe4-0bb2bfcad836	3	197352715	197561209	40	0.5309
69273715-27ed-4cee-8fe4-0bb2bfcad836	3	197607658	197812401	50	0.0107
69273715-27ed-4cee-8fe4-0bb2bfcad836	4	1059384	6144538	2674	0.0042
69273715-27ed-4cee-8fe4-0bb2bfcad836	4	6144633	57723509	29561	0.0336
69273715-27ed-4cee-8fe4-0bb2bfcad836	4	57723592	67071891	5091	0.0055
69273715-27ed-4cee-8fe4-0bb2bfcad836	4	67072134	104133644	20654	0.0482
69273715-27ed-4cee-8fe4-0bb2bfcad836	4	104137830	104324884	79	-0.5088
69273715-27ed-4cee-8fe4-0bb2bfcad836	4	104328953	106565102	1230	0.0569
69273715-27ed-4cee-8fe4-0bb2bfcad836	4	106579107	106579682	3	-1.5723
69273715-27ed-4cee-8fe4-0bb2bfcad836	4	106582052	187842528	44227	0.0365
69273715-27ed-4cee-8fe4-0bb2bfcad836	5	913983	13447661	8548	0.0053
69273715-27ed-4cee-8fe4-0bb2bfcad836	5	13452689	16835687	1999	0.0703
69273715-27ed-4cee-8fe4-0bb2bfcad836	5	16835713	34760600	9484	0.0023
69273715-27ed-4cee-8fe4-0bb2bfcad836	5	34761588	59809784	11903	0.0274
69273715-27ed-4cee-8fe4-0bb2bfcad836	5	59809825	59880747	58	-0.7031
69273715-27ed-4cee-8fe4-0bb2bfcad836	5	59884152	84610012	13270	0.0205
69273715-27ed-4cee-8fe4-0bb2bfcad836	5	84610141	84614983	3	-1.2303
