GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
91249a4c-811d-49cb-afba-643d073ce5d0	1	3301765	10428498	4156	-0.0051
91249a4c-811d-49cb-afba-643d073ce5d0	1	10436285	10463352	14	0.4538
91249a4c-811d-49cb-afba-643d073ce5d0	1	10464058	49068050	20607	0.0074
91249a4c-811d-49cb-afba-643d073ce5d0	1	49073039	49199968	59	-0.7571
91249a4c-811d-49cb-afba-643d073ce5d0	1	49200925	49934370	248	-0.0034
91249a4c-811d-49cb-afba-643d073ce5d0	1	49942995	50190401	129	0.5372
91249a4c-811d-49cb-afba-643d073ce5d0	1	50195466	79467566	18369	-0.0075
91249a4c-811d-49cb-afba-643d073ce5d0	1	79469490	82796831	2119	-0.0558
91249a4c-811d-49cb-afba-643d073ce5d0	1	82799222	102180994	12109	0.0023
91249a4c-811d-49cb-afba-643d073ce5d0	1	102181169	108069598	3056	-0.044
91249a4c-811d-49cb-afba-643d073ce5d0	1	108071643	185834751	29642	-0.0035
91249a4c-811d-49cb-afba-643d073ce5d0	1	185836360	187523411	1062	0.0619
91249a4c-811d-49cb-afba-643d073ce5d0	1	187523622	190684481	1821	-0.0166
91249a4c-811d-49cb-afba-643d073ce5d0	1	190684779	194691029	2493	0.0293
91249a4c-811d-49cb-afba-643d073ce5d0	1	194691052	225194764	19582	-0.0067
91249a4c-811d-49cb-afba-643d073ce5d0	1	225194777	236139434	6871	0.0147
91249a4c-811d-49cb-afba-643d073ce5d0	1	236144590	241214335	3960	-0.05
91249a4c-811d-49cb-afba-643d073ce5d0	1	241216332	247650984	3416	-0.0066
91249a4c-811d-49cb-afba-643d073ce5d0	2	480597	47751907	28749	-0.0039
91249a4c-811d-49cb-afba-643d073ce5d0	2	47754957	50604596	1729	-0.0395
91249a4c-811d-49cb-afba-643d073ce5d0	2	50610356	50610570	2	-1.109
91249a4c-811d-49cb-afba-643d073ce5d0	2	50612068	52022162	612	-0.0354
91249a4c-811d-49cb-afba-643d073ce5d0	2	52022604	64430159	6545	0.0014
91249a4c-811d-49cb-afba-643d073ce5d0	2	64435913	64436348	3	-1.0281
91249a4c-811d-49cb-afba-643d073ce5d0	2	64436848	75587539	6816	0.0077
91249a4c-811d-49cb-afba-643d073ce5d0	2	75588123	83273880	4011	-0.046
91249a4c-811d-49cb-afba-643d073ce5d0	2	83274345	86679003	1821	0.0042
91249a4c-811d-49cb-afba-643d073ce5d0	2	86686007	108048505	7472	-0.0225
91249a4c-811d-49cb-afba-643d073ce5d0	2	108048649	114168262	2682	0.0132
91249a4c-811d-49cb-afba-643d073ce5d0	2	114170455	121721047	4022	-0.0342
91249a4c-811d-49cb-afba-643d073ce5d0	2	121721563	121722033	4	-1.3558
91249a4c-811d-49cb-afba-643d073ce5d0	2	121724566	146383779	12672	-0.0274
91249a4c-811d-49cb-afba-643d073ce5d0	2	146391474	146405624	8	-0.9539
91249a4c-811d-49cb-afba-643d073ce5d0	2	146413289	148650541	1093	-0.018
91249a4c-811d-49cb-afba-643d073ce5d0	2	148650670	167587109	11062	-0.0017
91249a4c-811d-49cb-afba-643d073ce5d0	2	167589408	170206018	1752	0.0388
91249a4c-811d-49cb-afba-643d073ce5d0	2	170206686	181273860	6975	-0.0011
91249a4c-811d-49cb-afba-643d073ce5d0	2	181274381	181274781	3	-1.3926
91249a4c-811d-49cb-afba-643d073ce5d0	2	181277946	186190715	2237	-0.0068
91249a4c-811d-49cb-afba-643d073ce5d0	2	186193553	186236724	32	-0.9142
91249a4c-811d-49cb-afba-643d073ce5d0	2	186240151	209112676	12098	0.0064
