GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
265cfe54-10da-45c9-b0d1-2d5c65308be1	1	3301765	247556601	129584	0.0033
265cfe54-10da-45c9-b0d1-2d5c65308be1	1	247559822	247565660	10	-0.9274
265cfe54-10da-45c9-b0d1-2d5c65308be1	1	247567547	247650984	50	0.0193
265cfe54-10da-45c9-b0d1-2d5c65308be1	2	480597	241537572	132119	0.0044
265cfe54-10da-45c9-b0d1-2d5c65308be1	3	2170634	197812401	107114	0.0061
265cfe54-10da-45c9-b0d1-2d5c65308be1	4	1059384	145989438	80811	0.006
265cfe54-10da-45c9-b0d1-2d5c65308be1	4	145991823	146008917	3	-1.3456
265cfe54-10da-45c9-b0d1-2d5c65308be1	4	146009116	161273387	8741	0.005
265cfe54-10da-45c9-b0d1-2d5c65308be1	4	161273991	161298971	15	-0.7774
265cfe54-10da-45c9-b0d1-2d5c65308be1	4	161299185	187842528	13858	0.0046
265cfe54-10da-45c9-b0d1-2d5c65308be1	5	913983	180934240	101054	0.0044
265cfe54-10da-45c9-b0d1-2d5c65308be1	6	1011760	170596889	97108	0.0044
265cfe54-10da-45c9-b0d1-2d5c65308be1	7	664936	158592540	81905	0.0014
265cfe54-10da-45c9-b0d1-2d5c65308be1	8	667625	144182542	82194	0.0036
265cfe54-10da-45c9-b0d1-2d5c65308be1	9	789794	111570485	52692	0.0051
265cfe54-10da-45c9-b0d1-2d5c65308be1	9	111570854	111571024	2	-2.2537
265cfe54-10da-45c9-b0d1-2d5c65308be1	9	111576361	138044505	15757	0.0032
265cfe54-10da-45c9-b0d1-2d5c65308be1	10	366509	19681959	14058	0.0004
265cfe54-10da-45c9-b0d1-2d5c65308be1	10	19684167	19755866	44	-0.972
265cfe54-10da-45c9-b0d1-2d5c65308be1	10	19757747	133411599	67135	0.0046
265cfe54-10da-45c9-b0d1-2d5c65308be1	11	456012	134272740	77541	0.0067
265cfe54-10da-45c9-b0d1-2d5c65308be1	12	780472	132605822	74302	0.0049
265cfe54-10da-45c9-b0d1-2d5c65308be1	13	18874255	114226675	56955	0.0031
265cfe54-10da-45c9-b0d1-2d5c65308be1	14	20033191	105533894	49749	0.0032
265cfe54-10da-45c9-b0d1-2d5c65308be1	15	23437561	101344124	44766	-0.0002
265cfe54-10da-45c9-b0d1-2d5c65308be1	16	603333	89317317	41191	0.0053
265cfe54-10da-45c9-b0d1-2d5c65308be1	17	1074619	82959812	37270	0.006
265cfe54-10da-45c9-b0d1-2d5c65308be1	18	326691	79349796	42936	0.0017
265cfe54-10da-45c9-b0d1-2d5c65308be1	19	283868	58370362	24140	0.007
265cfe54-10da-45c9-b0d1-2d5c65308be1	20	472817	63588502	37539	0.006
265cfe54-10da-45c9-b0d1-2d5c65308be1	21	13974127	21603791	4923	0.0016
265cfe54-10da-45c9-b0d1-2d5c65308be1	21	21607552	21607896	2	-1.6894
265cfe54-10da-45c9-b0d1-2d5c65308be1	21	21608555	46262057	15669	0.0056
265cfe54-10da-45c9-b0d1-2d5c65308be1	22	16934932	48940621	17085	0.0077
265cfe54-10da-45c9-b0d1-2d5c65308be1	X	3236359	12252758	2993	0.0027
265cfe54-10da-45c9-b0d1-2d5c65308be1	X	12252859	12253489	3	-2.0025
265cfe54-10da-45c9-b0d1-2d5c65308be1	X	12253978	49672824	17738	0.004
265cfe54-10da-45c9-b0d1-2d5c65308be1	X	49674312	49674879	2	-4.3709
265cfe54-10da-45c9-b0d1-2d5c65308be1	X	49675128	51436286	883	0.0224
265cfe54-10da-45c9-b0d1-2d5c65308be1	X	51442114	51447630	4	-2.2747
265cfe54-10da-45c9-b0d1-2d5c65308be1	X	51448305	155677414	42214	0.0091
