GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
21cc6d1e-53c9-4860-829f-4dc994608288	1	3301765	7940502	2985	-0.1233
21cc6d1e-53c9-4860-829f-4dc994608288	1	7940828	12297031	2100	-0.1836
21cc6d1e-53c9-4860-829f-4dc994608288	1	12297928	32869438	10542	-0.1157
21cc6d1e-53c9-4860-829f-4dc994608288	1	32877136	41815631	4941	1.2221
21cc6d1e-53c9-4860-829f-4dc994608288	1	41815656	43334330	919	1.0743
21cc6d1e-53c9-4860-829f-4dc994608288	1	43338273	43481763	87	0.9151
21cc6d1e-53c9-4860-829f-4dc994608288	1	43486660	44089050	344	1.062
21cc6d1e-53c9-4860-829f-4dc994608288	1	44091299	47459112	1546	0.8753
21cc6d1e-53c9-4860-829f-4dc994608288	1	47463751	48187210	565	0.451
21cc6d1e-53c9-4860-829f-4dc994608288	1	48189542	51285351	1420	0.9649
21cc6d1e-53c9-4860-829f-4dc994608288	1	51285926	55595396	2528	0.8626
21cc6d1e-53c9-4860-829f-4dc994608288	1	55595458	66490195	7873	0.9241
21cc6d1e-53c9-4860-829f-4dc994608288	1	66490468	117933258	30546	-0.2691
21cc6d1e-53c9-4860-829f-4dc994608288	1	117937968	150573148	1383	-0.124
21cc6d1e-53c9-4860-829f-4dc994608288	1	150590838	152012496	659	1.1596
21cc6d1e-53c9-4860-829f-4dc994608288	1	152014151	153504815	874	0.445
21cc6d1e-53c9-4860-829f-4dc994608288	1	153508655	154178592	244	1.1259
21cc6d1e-53c9-4860-829f-4dc994608288	1	154179953	154372448	86	1.5177
21cc6d1e-53c9-4860-829f-4dc994608288	1	154372912	154895579	323	0.8701
21cc6d1e-53c9-4860-829f-4dc994608288	1	154902467	156792225	802	0.7723
21cc6d1e-53c9-4860-829f-4dc994608288	1	156795592	179587800	14926	0.9066
21cc6d1e-53c9-4860-829f-4dc994608288	1	179588435	185248639	3698	0.4205
21cc6d1e-53c9-4860-829f-4dc994608288	1	185250548	196073532	6435	-0.2795
21cc6d1e-53c9-4860-829f-4dc994608288	1	196076923	196077113	2	-2.5857
21cc6d1e-53c9-4860-829f-4dc994608288	1	196081377	199782731	1994	-0.2878
21cc6d1e-53c9-4860-829f-4dc994608288	1	199783896	206960691	4514	-0.3615
21cc6d1e-53c9-4860-829f-4dc994608288	1	206960817	247650984	26237	-0.3118
21cc6d1e-53c9-4860-829f-4dc994608288	2	480597	7337055	4199	0.3398
21cc6d1e-53c9-4860-829f-4dc994608288	2	7344667	12042284	3098	0.2983
21cc6d1e-53c9-4860-829f-4dc994608288	2	12042443	23775644	7836	0.363
21cc6d1e-53c9-4860-829f-4dc994608288	2	23796501	29237002	2523	0.268
21cc6d1e-53c9-4860-829f-4dc994608288	2	29237952	53669630	13999	0.3362
21cc6d1e-53c9-4860-829f-4dc994608288	2	53669776	54475237	188	0.8261
21cc6d1e-53c9-4860-829f-4dc994608288	2	54475339	59505822	2918	0.3513
21cc6d1e-53c9-4860-829f-4dc994608288	2	59506066	62797554	1860	0.5844
21cc6d1e-53c9-4860-829f-4dc994608288	2	62798181	84787651	12301	0.3009
21cc6d1e-53c9-4860-829f-4dc994608288	2	84788224	88826632	1415	0.2187
21cc6d1e-53c9-4860-829f-4dc994608288	2	88826703	95832876	256	0.553
21cc6d1e-53c9-4860-829f-4dc994608288	2	95834706	96965961	372	0.2918
21cc6d1e-53c9-4860-829f-4dc994608288	2	96969577	114419130	9093	0.2228
