GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
dff30a92-8ee8-4c61-a8f2-04a7437a945e	1	3301765	53614176	26879	0.0365
dff30a92-8ee8-4c61-a8f2-04a7437a945e	1	53614291	117214741	39639	0.0736
dff30a92-8ee8-4c61-a8f2-04a7437a945e	1	117214905	182695675	22043	0.057
dff30a92-8ee8-4c61-a8f2-04a7437a945e	1	182695755	199137632	9706	0.0804
dff30a92-8ee8-4c61-a8f2-04a7437a945e	1	199138096	236259198	24184	0.0579
dff30a92-8ee8-4c61-a8f2-04a7437a945e	1	236259762	247650984	7308	0.0755
dff30a92-8ee8-4c61-a8f2-04a7437a945e	2	480597	119716687	63411	0.0554
dff30a92-8ee8-4c61-a8f2-04a7437a945e	2	119717031	119724011	2	-1.834
dff30a92-8ee8-4c61-a8f2-04a7437a945e	2	119724403	141476596	10886	0.0564
dff30a92-8ee8-4c61-a8f2-04a7437a945e	2	141477512	187365744	26596	0.0711
dff30a92-8ee8-4c61-a8f2-04a7437a945e	2	187367266	187373679	5	-0.9154
dff30a92-8ee8-4c61-a8f2-04a7437a945e	2	187377226	215930368	15629	0.0699
dff30a92-8ee8-4c61-a8f2-04a7437a945e	2	215930568	219881766	2428	0.0364
dff30a92-8ee8-4c61-a8f2-04a7437a945e	2	219882757	229503591	6322	0.0667
dff30a92-8ee8-4c61-a8f2-04a7437a945e	2	229503690	241537572	6921	0.0382
dff30a92-8ee8-4c61-a8f2-04a7437a945e	3	2170634	16793447	9080	0.0604
dff30a92-8ee8-4c61-a8f2-04a7437a945e	3	16796606	33993980	9989	0.0806
dff30a92-8ee8-4c61-a8f2-04a7437a945e	3	33994948	61762063	15034	0.0602
dff30a92-8ee8-4c61-a8f2-04a7437a945e	3	61762959	62188858	371	-0.445
dff30a92-8ee8-4c61-a8f2-04a7437a945e	3	62189079	197812401	72704	0.073
dff30a92-8ee8-4c61-a8f2-04a7437a945e	4	1059384	10544928	5006	0.0446
dff30a92-8ee8-4c61-a8f2-04a7437a945e	4	10545154	145858744	75775	0.0782
dff30a92-8ee8-4c61-a8f2-04a7437a945e	4	145859580	145878289	15	-1.2024
dff30a92-8ee8-4c61-a8f2-04a7437a945e	4	145879428	180603978	19444	0.0819
dff30a92-8ee8-4c61-a8f2-04a7437a945e	4	180604429	181206324	46	-0.3872
dff30a92-8ee8-4c61-a8f2-04a7437a945e	4	181206947	181373744	148	-0.8694
dff30a92-8ee8-4c61-a8f2-04a7437a945e	4	181374121	181561820	146	-1.6275
dff30a92-8ee8-4c61-a8f2-04a7437a945e	4	181565884	181631890	10	-1.215
dff30a92-8ee8-4c61-a8f2-04a7437a945e	4	181635401	181675887	46	-0.631
dff30a92-8ee8-4c61-a8f2-04a7437a945e	4	181676786	181743596	81	-0.3723
dff30a92-8ee8-4c61-a8f2-04a7437a945e	4	181744273	187842528	2763	0.0698
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	913983	993728	34	0.6633
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	995155	1021104	17	-1.0621
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	1287276	1315228	16	0.5504
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	1321758	2354617	410	-1.047
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	2355764	2466683	115	0.6345
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	2468144	2545294	65	-1.0773
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	2548330	2608755	68	0.637
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	2609236	2816290	204	1.2941
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	2816872	2825635	5	0.6298
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	2827506	2953674	92	1.2646
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	2955634	3648189	623	0.6296
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	3648935	4628466	723	-1.0119
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	4629702	5196331	505	0.6483
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	5196633	5234106	45	1.3811
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	5235902	5238321	7	0.5871
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	5238700	5390811	149	1.2638
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	5390879	5441850	45	0.6408
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	5444552	5498891	36	1.0977
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	5506647	5719374	167	0.607
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	5722059	5728950	7	-0.9
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	5732033	5736528	4	0.3333
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	5745075	5778740	34	-0.9464
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	5779117	5958142	164	0.0807
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	5961018	6508759	458	-1.0159
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	6509639	6585361	68	0.6606
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	6594049	6658372	69	1.3187
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	6660568	6687444	24	0.6043
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	6690135	6834468	114	1.2257
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	6835786	6945985	128	0.6174
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	6946991	7067555	77	-0.9456
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	7070517	7168841	88	0.6134
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	7204503	7230289	19	-1.044
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	7255871	7267836	9	0.2341
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	7272975	7281087	10	-0.942
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	7285718	7302780	4	-0.0848
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	7303763	7327059	15	-0.9452
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	7328063	7341804	17	0.6825
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	7345734	7409916	38	-0.9744
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	7473941	7581122	99	1.2833
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	7582195	7675785	58	0.6604
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	7678180	7712697	33	1.3404
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	7714889	7752305	26	0.6843
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	7752658	7756623	4	-1.1911
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	7757754	7758955	3	0.1254
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	7762048	7804297	25	0.9743
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	7804391	7933858	102	1.3309
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	7938169	8080936	137	0.7021
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	8096321	8109306	13	1.5926
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	8123381	8153472	35	0.7079
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	8155141	8309770	120	0.6434
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	8312995	8351680	33	-1.0576
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	8358386	8440791	48	0.6917
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	8442527	8444778	5	-0.8449
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	8444854	8459420	23	0.6372
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	8462465	8701808	209	0.0671
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	8749664	8909601	132	1.019
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	8911027	9074616	126	0.0327
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	9076987	9088053	11	0.7128
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	9090238	9294956	202	1.3007
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	9294966	9295264	2	0.6676
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	9298005	9308450	10	-1.0254
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	9310104	9406978	36	0.7008
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	9410906	9607436	176	-1.0018
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	9607960	9608240	2	-6.6001
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	9608791	9877498	223	-1.0295
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	9883040	9962533	42	0.6137
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	9964193	10025939	61	-1.0186
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	10031030	10403885	287	0.6389
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	10406303	10448135	26	1.3406
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	10449830	10525504	66	0.6528
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	10532403	10704510	131	-1.0777
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	10959194	11154335	166	0.6562
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	11156700	11299931	123	-0.9839
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	11302397	11608418	249	0.6901
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	11610008	12035881	281	-1.0434
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	12041508	12468135	222	0.6434
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	12478690	12550899	46	1.3838
dff30a92-8ee8-4c61-a8f2-04a7437a945e	5	12552940	12595871	23	0.6749
