GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
9586dd0a-8c03-4e80-a563-96b033fe28b2	1	3301765	14200344	5970	0.0702
9586dd0a-8c03-4e80-a563-96b033fe28b2	1	14201355	14378956	125	-0.1517
9586dd0a-8c03-4e80-a563-96b033fe28b2	1	14381155	15363497	774	0.0721
9586dd0a-8c03-4e80-a563-96b033fe28b2	1	15372621	15418612	41	0.6613
9586dd0a-8c03-4e80-a563-96b033fe28b2	1	15425619	33330628	9047	0.0706
9586dd0a-8c03-4e80-a563-96b033fe28b2	1	33334283	48029150	8133	0.0961
9586dd0a-8c03-4e80-a563-96b033fe28b2	1	48029964	51841719	1767	0.1571
9586dd0a-8c03-4e80-a563-96b033fe28b2	1	51842298	55060394	1895	0.0946
9586dd0a-8c03-4e80-a563-96b033fe28b2	1	55061170	69203802	10208	0.1648
9586dd0a-8c03-4e80-a563-96b033fe28b2	1	69209230	70633202	768	0.2395
9586dd0a-8c03-4e80-a563-96b033fe28b2	1	70633536	70650568	16	-0.2156
9586dd0a-8c03-4e80-a563-96b033fe28b2	1	70650754	78482416	4393	0.2161
9586dd0a-8c03-4e80-a563-96b033fe28b2	1	78483453	84225644	3448	0.2486
9586dd0a-8c03-4e80-a563-96b033fe28b2	1	84226243	90741312	4251	0.2117
9586dd0a-8c03-4e80-a563-96b033fe28b2	1	90742051	94886474	2448	0.1623
9586dd0a-8c03-4e80-a563-96b033fe28b2	1	94886559	99885660	3067	0.2411
9586dd0a-8c03-4e80-a563-96b033fe28b2	1	99886079	101609747	1085	0.1808
9586dd0a-8c03-4e80-a563-96b033fe28b2	1	101610443	106158764	2143	0.2608
9586dd0a-8c03-4e80-a563-96b033fe28b2	1	106161030	106859442	454	0.1877
9586dd0a-8c03-4e80-a563-96b033fe28b2	1	106859466	106859534	3	-0.7362
9586dd0a-8c03-4e80-a563-96b033fe28b2	1	106860013	107144025	170	0.1832
9586dd0a-8c03-4e80-a563-96b033fe28b2	1	107144355	108025998	640	0.2445
9586dd0a-8c03-4e80-a563-96b033fe28b2	1	108026300	118018346	6140	0.1581
9586dd0a-8c03-4e80-a563-96b033fe28b2	1	118019135	119195699	626	0.2265
9586dd0a-8c03-4e80-a563-96b033fe28b2	1	119200656	119984772	532	0.1686
9586dd0a-8c03-4e80-a563-96b033fe28b2	1	146716041	150686697	255	1.503
9586dd0a-8c03-4e80-a563-96b033fe28b2	1	150687555	150687778	2	3.2019
9586dd0a-8c03-4e80-a563-96b033fe28b2	1	150687834	153685711	1570	1.5579
9586dd0a-8c03-4e80-a563-96b033fe28b2	1	153686632	156725712	1360	1.0318
9586dd0a-8c03-4e80-a563-96b033fe28b2	1	156725745	159170559	1589	1.5192
9586dd0a-8c03-4e80-a563-96b033fe28b2	1	159174938	159655876	319	1.1678
9586dd0a-8c03-4e80-a563-96b033fe28b2	1	159659979	161698933	1092	1.063
9586dd0a-8c03-4e80-a563-96b033fe28b2	1	161699509	165305654	2824	1.6111
9586dd0a-8c03-4e80-a563-96b033fe28b2	1	165306476	166503626	968	1.5176
9586dd0a-8c03-4e80-a563-96b033fe28b2	1	166504609	166656532	120	1.6628
9586dd0a-8c03-4e80-a563-96b033fe28b2	1	166658175	174717556	5353	-0.0589
9586dd0a-8c03-4e80-a563-96b033fe28b2	1	174719170	181389428	3988	0.3072
