GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
fb43b6dc-1336-4365-b852-969887186019	1	3301765	55060394	27722	0.0895
fb43b6dc-1336-4365-b852-969887186019	1	55061170	108048560	33104	0.124
fb43b6dc-1336-4365-b852-969887186019	1	108048943	112003977	2283	0.0779
fb43b6dc-1336-4365-b852-969887186019	1	112004602	112273258	247	0.1566
fb43b6dc-1336-4365-b852-969887186019	1	112273589	119981279	4712	-0.6612
fb43b6dc-1336-4365-b852-969887186019	1	119981332	151571622	620	0.0246
fb43b6dc-1336-4365-b852-969887186019	1	151578125	153593211	1167	0.1092
fb43b6dc-1336-4365-b852-969887186019	1	153594303	156381275	1233	0.0274
fb43b6dc-1336-4365-b852-969887186019	1	156382605	162965475	4257	0.0759
fb43b6dc-1336-4365-b852-969887186019	1	162965769	242708510	52013	0.113
fb43b6dc-1336-4365-b852-969887186019	1	242709407	247650984	2314	0.0882
fb43b6dc-1336-4365-b852-969887186019	2	480597	6956326	3904	0.1336
fb43b6dc-1336-4365-b852-969887186019	2	6956858	11302969	2902	0.0962
fb43b6dc-1336-4365-b852-969887186019	2	11303322	23857404	8475	0.1498
fb43b6dc-1336-4365-b852-969887186019	2	23857430	29111565	2377	0.086
fb43b6dc-1336-4365-b852-969887186019	2	29112977	53334437	14013	0.1365
fb43b6dc-1336-4365-b852-969887186019	2	53336115	53347048	7	-0.6953
fb43b6dc-1336-4365-b852-969887186019	2	53350292	85988537	18335	0.1308
fb43b6dc-1336-4365-b852-969887186019	2	85991001	88538749	600	0.0585
fb43b6dc-1336-4365-b852-969887186019	2	88541547	88831554	146	0.1575
fb43b6dc-1336-4365-b852-969887186019	2	94675825	99890715	1862	0.5356
fb43b6dc-1336-4365-b852-969887186019	2	99890769	129688850	15969	0.585
fb43b6dc-1336-4365-b852-969887186019	2	129689214	130454138	205	0.5413
fb43b6dc-1336-4365-b852-969887186019	2	130455273	140411610	4778	-0.6299
fb43b6dc-1336-4365-b852-969887186019	2	140414411	140529715	71	0.1911
fb43b6dc-1336-4365-b852-969887186019	2	140529748	140577168	34	0.5591
fb43b6dc-1336-4365-b852-969887186019	2	140583057	140639019	42	0.1672
fb43b6dc-1336-4365-b852-969887186019	2	140641259	141438986	494	-0.5931
fb43b6dc-1336-4365-b852-969887186019	2	141441852	141441892	2	-2.6126
fb43b6dc-1336-4365-b852-969887186019	2	141442187	142014138	467	-0.6
fb43b6dc-1336-4365-b852-969887186019	2	142023119	142099215	54	-2.8557
fb43b6dc-1336-4365-b852-969887186019	2	142102109	169392308	15756	-0.6076
fb43b6dc-1336-4365-b852-969887186019	2	169393292	169752776	200	0.1288
fb43b6dc-1336-4365-b852-969887186019	2	169755455	179373147	5976	0.5994
fb43b6dc-1336-4365-b852-969887186019	2	179377210	179714418	243	-0.7027
fb43b6dc-1336-4365-b852-969887186019	2	179715274	183870992	2457	-0.6023
fb43b6dc-1336-4365-b852-969887186019	2	183871519	186820418	1109	-0.5257
fb43b6dc-1336-4365-b852-969887186019	2	186820517	217612230	17015	-0.614
fb43b6dc-1336-4365-b852-969887186019	2	217616829	217617264	3	-2.898
fb43b6dc-1336-4365-b852-969887186019	2	217617313	230111946	7688	-0.6236
fb43b6dc-1336-4365-b852-969887186019	2	230112557	237667726	4570	-0.6755
fb43b6dc-1336-4365-b852-969887186019	2	237667801	237668016	2	-5.9836
fb43b6dc-1336-4365-b852-969887186019	2	237668575	241537572	2087	-0.6995
fb43b6dc-1336-4365-b852-969887186019	3	2170634	17357514	9335	-0.6483
fb43b6dc-1336-4365-b852-969887186019	3	17357789	31899872	8456	-0.5907
fb43b6dc-1336-4365-b852-969887186019	3	31903685	31920901	13	0.1002
fb43b6dc-1336-4365-b852-969887186019	3	31924266	42302810	6133	-0.6096
fb43b6dc-1336-4365-b852-969887186019	3	42302838	55769073	7103	-0.6506
fb43b6dc-1336-4365-b852-969887186019	3	55769407	55771419	3	-3.6967
fb43b6dc-1336-4365-b852-969887186019	3	55773043	67983012	7504	-0.6507
fb43b6dc-1336-4365-b852-969887186019	3	67986194	68188748	111	0.55
fb43b6dc-1336-4365-b852-969887186019	3	68189264	68593581	313	0.9165
fb43b6dc-1336-4365-b852-969887186019	3	68598771	68794045	121	0.5855
fb43b6dc-1336-4365-b852-969887186019	3	68802057	70720916	1423	-0.6237
fb43b6dc-1336-4365-b852-969887186019	3	70721566	73768375	2184	-0.6814
fb43b6dc-1336-4365-b852-969887186019	3	73768432	91462299	8289	-0.6031
fb43b6dc-1336-4365-b852-969887186019	3	94015345	125353756	17847	0.5791
fb43b6dc-1336-4365-b852-969887186019	3	125364084	130174126	2471	0.5251
fb43b6dc-1336-4365-b852-969887186019	3	130176612	197812401	35597	0.5719
fb43b6dc-1336-4365-b852-969887186019	4	1059384	8704195	4285	-0.7303
fb43b6dc-1336-4365-b852-969887186019	4	8704538	27597866	12295	-0.6501
fb43b6dc-1336-4365-b852-969887186019	4	27598719	27607818	10	-1.5718
fb43b6dc-1336-4365-b852-969887186019	4	27608352	52162088	11782	-0.6281
fb43b6dc-1336-4365-b852-969887186019	4	52162705	52163493	2	-3.4187
fb43b6dc-1336-4365-b852-969887186019	4	52163606	53801317	982	-0.6475
fb43b6dc-1336-4365-b852-969887186019	4	53802973	53917782	96	-0.7524
fb43b6dc-1336-4365-b852-969887186019	4	53923138	57640131	2523	0.1075
fb43b6dc-1336-4365-b852-969887186019	4	57641851	70424919	6413	0.1492
fb43b6dc-1336-4365-b852-969887186019	4	70425761	71260725	428	0.0554
fb43b6dc-1336-4365-b852-969887186019	4	71261604	75371236	2378	0.1489
fb43b6dc-1336-4365-b852-969887186019	4	75372303	80719501	3245	0.1122
fb43b6dc-1336-4365-b852-969887186019	4	80722139	80724069	2	-1.6896
fb43b6dc-1336-4365-b852-969887186019	4	80725801	114091887	19110	0.134
fb43b6dc-1336-4365-b852-969887186019	4	114091976	114092247	2	-1.3223
fb43b6dc-1336-4365-b852-969887186019	4	114093536	138850287	13071	0.1368
fb43b6dc-1336-4365-b852-969887186019	4	138850848	141194537	1544	0.0885
fb43b6dc-1336-4365-b852-969887186019	4	141195342	187842528	25131	0.1356
fb43b6dc-1336-4365-b852-969887186019	5	914118	22050791	13025	0.5851
fb43b6dc-1336-4365-b852-969887186019	5	22051548	160891155	76017	0.1211
fb43b6dc-1336-4365-b852-969887186019	5	160891981	160899367	2	-2.2009
fb43b6dc-1336-4365-b852-969887186019	5	160899617	161170770	203	0.1274
fb43b6dc-1336-4365-b852-969887186019	5	161171884	161172535	3	-1.6759
fb43b6dc-1336-4365-b852-969887186019	5	161177883	168414841	4610	0.1244
fb43b6dc-1336-4365-b852-969887186019	5	168417168	180934240	7228	0.0774
fb43b6dc-1336-4365-b852-969887186019	6	1011760	9035818	5932	0.099
fb43b6dc-1336-4365-b852-969887186019	6	9042199	9042981	2	-1.2401
fb43b6dc-1336-4365-b852-969887186019	6	9045696	9612044	355	0.1305
fb43b6dc-1336-4365-b852-969887186019	6	9613076	9613364	2	-1.3967
fb43b6dc-1336-4365-b852-969887186019	6	9614502	24980654	10713	0.0998
