GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
555544dc-63bc-42ec-87cc-d7f83cd653b3	1	3301765	247650984	129835	0.001
555544dc-63bc-42ec-87cc-d7f83cd653b3	2	480597	241537572	132290	0.0022
555544dc-63bc-42ec-87cc-d7f83cd653b3	3	2170634	2261683	70	-0.0066
555544dc-63bc-42ec-87cc-d7f83cd653b3	3	2267695	2270714	10	-1.0534
555544dc-63bc-42ec-87cc-d7f83cd653b3	3	2270767	197812401	107166	0.0007
555544dc-63bc-42ec-87cc-d7f83cd653b3	4	1059384	187842528	103554	-0.0001
555544dc-63bc-42ec-87cc-d7f83cd653b3	5	913983	180934240	101176	-0.001
555544dc-63bc-42ec-87cc-d7f83cd653b3	6	1011760	135014291	75936	0.0005
555544dc-63bc-42ec-87cc-d7f83cd653b3	6	135021116	135022100	2	-2.1666
555544dc-63bc-42ec-87cc-d7f83cd653b3	6	135028432	170596889	21286	-0.0072
555544dc-63bc-42ec-87cc-d7f83cd653b3	7	664936	10824528	4018	0.0083
555544dc-63bc-42ec-87cc-d7f83cd653b3	7	10825927	10826800	2	-1.721
555544dc-63bc-42ec-87cc-d7f83cd653b3	7	10829912	28173353	11259	0.0021
555544dc-63bc-42ec-87cc-d7f83cd653b3	7	28174778	28175509	2	1.5259
555544dc-63bc-42ec-87cc-d7f83cd653b3	7	28177761	35913624	4872	-0.0066
555544dc-63bc-42ec-87cc-d7f83cd653b3	7	35922934	35933381	2	-1.7361
555544dc-63bc-42ec-87cc-d7f83cd653b3	7	35940798	158592540	61839	-0.0002
555544dc-63bc-42ec-87cc-d7f83cd653b3	8	667625	4410249	1978	-0.01
555544dc-63bc-42ec-87cc-d7f83cd653b3	8	4410448	4414390	2	-1.973
555544dc-63bc-42ec-87cc-d7f83cd653b3	8	4414500	144182542	80301	-0.0015
555544dc-63bc-42ec-87cc-d7f83cd653b3	9	789794	138044505	68529	-0.0003
555544dc-63bc-42ec-87cc-d7f83cd653b3	10	366509	133411599	81338	-0.0026
555544dc-63bc-42ec-87cc-d7f83cd653b3	11	456012	134272740	77626	-0.001
555544dc-63bc-42ec-87cc-d7f83cd653b3	12	780472	132605822	74394	-0.0004
555544dc-63bc-42ec-87cc-d7f83cd653b3	13	18874255	114226675	57031	-0.003
555544dc-63bc-42ec-87cc-d7f83cd653b3	14	20033191	105533894	49822	0.0001
555544dc-63bc-42ec-87cc-d7f83cd653b3	15	23437561	101344124	44813	0.0014
555544dc-63bc-42ec-87cc-d7f83cd653b3	16	603333	89317317	41236	0.0008
555544dc-63bc-42ec-87cc-d7f83cd653b3	17	1074619	82959812	37304	0.0021
555544dc-63bc-42ec-87cc-d7f83cd653b3	18	326691	79349796	42990	-0.0055
555544dc-63bc-42ec-87cc-d7f83cd653b3	19	283868	7665259	2196	0.0295
555544dc-63bc-42ec-87cc-d7f83cd653b3	19	7667068	7721238	27	0.5003
555544dc-63bc-42ec-87cc-d7f83cd653b3	19	7727381	58370362	21945	0.0083
555544dc-63bc-42ec-87cc-d7f83cd653b3	20	472817	63588502	37578	0.0012
555544dc-63bc-42ec-87cc-d7f83cd653b3	21	13974127	46262057	20611	0.0008
555544dc-63bc-42ec-87cc-d7f83cd653b3	22	16934932	48940621	17100	0.0008
555544dc-63bc-42ec-87cc-d7f83cd653b3	X	3236359	155677414	64008	0.0003
