GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
4925481a-9d16-4ca9-bbf3-b41a792ffea0	1	3301765	15581908	6912	-0.0012
4925481a-9d16-4ca9-bbf3-b41a792ffea0	1	15583355	15583508	3	-1.9841
4925481a-9d16-4ca9-bbf3-b41a792ffea0	1	15592181	247650984	122160	0.0086
4925481a-9d16-4ca9-bbf3-b41a792ffea0	2	480597	2674066	742	-0.0231
4925481a-9d16-4ca9-bbf3-b41a792ffea0	2	2674366	2684534	6	-3.4643
4925481a-9d16-4ca9-bbf3-b41a792ffea0	2	2684751	9174672	4563	-0.0124
4925481a-9d16-4ca9-bbf3-b41a792ffea0	2	9174883	9175094	2	-2.0674
4925481a-9d16-4ca9-bbf3-b41a792ffea0	2	9175103	14425529	3494	0.0237
4925481a-9d16-4ca9-bbf3-b41a792ffea0	2	14427171	15117504	499	-0.0629
4925481a-9d16-4ca9-bbf3-b41a792ffea0	2	15121109	15121227	2	-1.2665
4925481a-9d16-4ca9-bbf3-b41a792ffea0	2	15122243	15510256	241	-0.0499
4925481a-9d16-4ca9-bbf3-b41a792ffea0	2	15510762	16933645	1039	0.0069
4925481a-9d16-4ca9-bbf3-b41a792ffea0	2	16934165	16935917	4	-2.5448
4925481a-9d16-4ca9-bbf3-b41a792ffea0	2	16939375	20125958	2285	0.003
4925481a-9d16-4ca9-bbf3-b41a792ffea0	2	20126916	20127184	2	-3.3568
4925481a-9d16-4ca9-bbf3-b41a792ffea0	2	20127727	38170409	9518	0.0072
4925481a-9d16-4ca9-bbf3-b41a792ffea0	2	38170980	38171132	2	-2.0415
4925481a-9d16-4ca9-bbf3-b41a792ffea0	2	38174798	41651172	2032	0.0332
4925481a-9d16-4ca9-bbf3-b41a792ffea0	2	41651656	41652813	2	-1.7199
4925481a-9d16-4ca9-bbf3-b41a792ffea0	2	41654262	46652973	3467	0.0156
4925481a-9d16-4ca9-bbf3-b41a792ffea0	2	46654474	46654599	2	-2.0871
4925481a-9d16-4ca9-bbf3-b41a792ffea0	2	46656063	58009941	6040	0.0012
4925481a-9d16-4ca9-bbf3-b41a792ffea0	2	58010516	58010589	2	-2.44
4925481a-9d16-4ca9-bbf3-b41a792ffea0	2	58011459	241537572	97643	0.002
