GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
12e4dfcd-bca4-4d2f-994c-c25cde523184	1	3301765	63882667	34182	0.015
12e4dfcd-bca4-4d2f-994c-c25cde523184	1	63885847	63890767	7	-0.7552
12e4dfcd-bca4-4d2f-994c-c25cde523184	1	63890887	238775957	90311	0.0159
12e4dfcd-bca4-4d2f-994c-c25cde523184	1	238778579	238779037	2	-1.45
12e4dfcd-bca4-4d2f-994c-c25cde523184	1	238779289	247650984	5208	0.0099
12e4dfcd-bca4-4d2f-994c-c25cde523184	2	480597	58322203	34295	0.0183
12e4dfcd-bca4-4d2f-994c-c25cde523184	2	58330867	58392003	35	-0.6007
12e4dfcd-bca4-4d2f-994c-c25cde523184	2	58396325	241537572	97829	0.0154
12e4dfcd-bca4-4d2f-994c-c25cde523184	3	2170634	2915430	242	0.0178
12e4dfcd-bca4-4d2f-994c-c25cde523184	3	2915740	2920006	3	-1.1671
12e4dfcd-bca4-4d2f-994c-c25cde523184	3	2920527	63634825	35312	0.0137
12e4dfcd-bca4-4d2f-994c-c25cde523184	3	63635362	63642737	6	-0.7738
12e4dfcd-bca4-4d2f-994c-c25cde523184	3	63651414	197812401	71594	0.0126
12e4dfcd-bca4-4d2f-994c-c25cde523184	4	1059384	187842528	103470	0.0072
12e4dfcd-bca4-4d2f-994c-c25cde523184	5	913983	14662938	9572	0.0071
12e4dfcd-bca4-4d2f-994c-c25cde523184	5	14665304	14665506	2	-1.4984
12e4dfcd-bca4-4d2f-994c-c25cde523184	5	14667034	180934240	91501	0.0165
12e4dfcd-bca4-4d2f-994c-c25cde523184	6	1011760	170596889	97137	0.0221
12e4dfcd-bca4-4d2f-994c-c25cde523184	7	664936	3320052	1039	0.0221
12e4dfcd-bca4-4d2f-994c-c25cde523184	7	3320254	3618708	101	-0.3578
12e4dfcd-bca4-4d2f-994c-c25cde523184	7	3760085	53249136	30378	0.0199
12e4dfcd-bca4-4d2f-994c-c25cde523184	7	53250694	53251092	2	-1.7597
12e4dfcd-bca4-4d2f-994c-c25cde523184	7	53253990	158592540	50401	0.0196
12e4dfcd-bca4-4d2f-994c-c25cde523184	8	667625	144182542	82216	0.0187
12e4dfcd-bca4-4d2f-994c-c25cde523184	9	789794	89435913	38193	0.0156
12e4dfcd-bca4-4d2f-994c-c25cde523184	9	89435966	89437350	3	-1.2449
12e4dfcd-bca4-4d2f-994c-c25cde523184	9	89437979	138044505	30271	0.0137
12e4dfcd-bca4-4d2f-994c-c25cde523184	10	366509	133411599	81268	0.0095
12e4dfcd-bca4-4d2f-994c-c25cde523184	11	456012	40942710	25708	0.0101
12e4dfcd-bca4-4d2f-994c-c25cde523184	11	40945329	40945801	2	-2.3228
12e4dfcd-bca4-4d2f-994c-c25cde523184	11	40948255	134272740	51832	0.0124
12e4dfcd-bca4-4d2f-994c-c25cde523184	12	780472	132605822	74297	0.0159
12e4dfcd-bca4-4d2f-994c-c25cde523184	13	18874255	104867719	51287	0.0088
12e4dfcd-bca4-4d2f-994c-c25cde523184	13	104867868	104868133	2	-1.4668
12e4dfcd-bca4-4d2f-994c-c25cde523184	13	104870097	114226675	5688	0.0095
12e4dfcd-bca4-4d2f-994c-c25cde523184	14	20033191	105533894	49772	0.0178
12e4dfcd-bca4-4d2f-994c-c25cde523184	15	23437561	101344124	44774	0.0141
12e4dfcd-bca4-4d2f-994c-c25cde523184	16	603333	89317317	41196	0.0077
12e4dfcd-bca4-4d2f-994c-c25cde523184	17	1074619	82959812	37263	0.0202
12e4dfcd-bca4-4d2f-994c-c25cde523184	18	326691	79349796	42955	0.0154
12e4dfcd-bca4-4d2f-994c-c25cde523184	19	283868	58370362	24141	0.0135
12e4dfcd-bca4-4d2f-994c-c25cde523184	20	472817	63588502	37543	0.014
12e4dfcd-bca4-4d2f-994c-c25cde523184	21	13974127	46262057	20593	0.015
12e4dfcd-bca4-4d2f-994c-c25cde523184	22	16934932	48940621	17084	0.0067
12e4dfcd-bca4-4d2f-994c-c25cde523184	X	3236359	104558999	40456	0.0164
12e4dfcd-bca4-4d2f-994c-c25cde523184	X	104562074	104628400	37	-0.6243
12e4dfcd-bca4-4d2f-994c-c25cde523184	X	104631266	155677414	23449	0.0132
