GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
153eae8f-9ec2-4afe-bf8a-90d6c59754b4	1	3301765	60118240	31606	0.0157
153eae8f-9ec2-4afe-bf8a-90d6c59754b4	1	60121258	64447928	2997	0.0564
153eae8f-9ec2-4afe-bf8a-90d6c59754b4	1	64448378	117296317	31972	0.0162
153eae8f-9ec2-4afe-bf8a-90d6c59754b4	1	117298534	117298540	2	-2.1217
153eae8f-9ec2-4afe-bf8a-90d6c59754b4	1	117299534	247650984	63161	0.014
153eae8f-9ec2-4afe-bf8a-90d6c59754b4	2	480597	158200004	83949	0.0114
153eae8f-9ec2-4afe-bf8a-90d6c59754b4	2	158203406	190669181	18610	0.0403
153eae8f-9ec2-4afe-bf8a-90d6c59754b4	2	190669305	199455295	4291	0.0047
153eae8f-9ec2-4afe-bf8a-90d6c59754b4	2	199472056	228997216	18045	0.021
153eae8f-9ec2-4afe-bf8a-90d6c59754b4	2	229001498	241537572	7315	-0.0026
153eae8f-9ec2-4afe-bf8a-90d6c59754b4	3	2170634	4629709	1370	-0.0314
153eae8f-9ec2-4afe-bf8a-90d6c59754b4	3	4630151	63389492	34000	0.0177
153eae8f-9ec2-4afe-bf8a-90d6c59754b4	3	63390303	70690669	5384	0.0454
153eae8f-9ec2-4afe-bf8a-90d6c59754b4	3	70692295	115013374	22031	0.0153
153eae8f-9ec2-4afe-bf8a-90d6c59754b4	3	115014638	118660919	2514	-0.0243
153eae8f-9ec2-4afe-bf8a-90d6c59754b4	3	118661432	167377770	25909	0.0129
153eae8f-9ec2-4afe-bf8a-90d6c59754b4	3	167380485	169565894	1304	0.0689
153eae8f-9ec2-4afe-bf8a-90d6c59754b4	3	169572752	197812401	14666	0.019
153eae8f-9ec2-4afe-bf8a-90d6c59754b4	4	1059384	187842528	103501	0.0187
153eae8f-9ec2-4afe-bf8a-90d6c59754b4	5	913983	8966541	5836	-0.0185
153eae8f-9ec2-4afe-bf8a-90d6c59754b4	5	8968198	20153560	6403	0.0103
153eae8f-9ec2-4afe-bf8a-90d6c59754b4	5	20162267	29969204	5049	-0.0208
153eae8f-9ec2-4afe-bf8a-90d6c59754b4	5	29969759	38169299	4808	0.0407
153eae8f-9ec2-4afe-bf8a-90d6c59754b4	5	38177471	42902233	2959	-0.0094
153eae8f-9ec2-4afe-bf8a-90d6c59754b4	5	42903788	44706316	823	0.0427
153eae8f-9ec2-4afe-bf8a-90d6c59754b4	5	44708776	44715272	5	-1.0354
153eae8f-9ec2-4afe-bf8a-90d6c59754b4	5	44717636	142607973	51117	0.0198
153eae8f-9ec2-4afe-bf8a-90d6c59754b4	5	142614190	142616899	2	-2.0864
153eae8f-9ec2-4afe-bf8a-90d6c59754b4	5	142617532	156613141	9226	0.0163
153eae8f-9ec2-4afe-bf8a-90d6c59754b4	5	156627853	159951152	2238	0.0051
153eae8f-9ec2-4afe-bf8a-90d6c59754b4	5	159951575	167008476	4387	-0.0198
153eae8f-9ec2-4afe-bf8a-90d6c59754b4	5	167008802	180934240	8270	0.0176
153eae8f-9ec2-4afe-bf8a-90d6c59754b4	6	1011760	25926446	17504	0.0207
153eae8f-9ec2-4afe-bf8a-90d6c59754b4	6	25926542	29744982	1410	-0.0234
153eae8f-9ec2-4afe-bf8a-90d6c59754b4	6	29748220	29748613	2	-2.0137
153eae8f-9ec2-4afe-bf8a-90d6c59754b4	6	29756370	170596889	78259	0.0166
153eae8f-9ec2-4afe-bf8a-90d6c59754b4	7	664936	79662379	40310	0.0113
153eae8f-9ec2-4afe-bf8a-90d6c59754b4	7	79664867	119103979	20374	0.0289
153eae8f-9ec2-4afe-bf8a-90d6c59754b4	7	119104268	119465713	168	-0.0321
153eae8f-9ec2-4afe-bf8a-90d6c59754b4	7	119468394	119507968	2	-1.4379
153eae8f-9ec2-4afe-bf8a-90d6c59754b4	7	119508031	158592540	21104	0.0084
153eae8f-9ec2-4afe-bf8a-90d6c59754b4	8	667625	6759884	3059	-0.013
153eae8f-9ec2-4afe-bf8a-90d6c59754b4	8	6760584	131331754	71600	0.0182
153eae8f-9ec2-4afe-bf8a-90d6c59754b4	8	131333282	144182542	7581	-0.0009
153eae8f-9ec2-4afe-bf8a-90d6c59754b4	9	789794	22925245	14283	0.0279
153eae8f-9ec2-4afe-bf8a-90d6c59754b4	9	22929989	25144665	1433	-0.0281
153eae8f-9ec2-4afe-bf8a-90d6c59754b4	9	25149092	26444585	658	0.0333
153eae8f-9ec2-4afe-bf8a-90d6c59754b4	9	26461404	26669857	117	-0.7526
153eae8f-9ec2-4afe-bf8a-90d6c59754b4	9	26674662	88947738	21422	0.0214
153eae8f-9ec2-4afe-bf8a-90d6c59754b4	9	88947951	88947966	2	-1.3812
153eae8f-9ec2-4afe-bf8a-90d6c59754b4	9	88948048	102831857	8638	0.0143
153eae8f-9ec2-4afe-bf8a-90d6c59754b4	9	102832117	102837294	2	-1.4981
153eae8f-9ec2-4afe-bf8a-90d6c59754b4	9	102838041	109570699	4656	0.0116
153eae8f-9ec2-4afe-bf8a-90d6c59754b4	9	109573885	109583689	13	-1.0937
153eae8f-9ec2-4afe-bf8a-90d6c59754b4	9	109583742	138044505	17263	0.0159
153eae8f-9ec2-4afe-bf8a-90d6c59754b4	10	366509	23641770	16583	0.0031
153eae8f-9ec2-4afe-bf8a-90d6c59754b4	10	23646016	24643754	748	0.0791
153eae8f-9ec2-4afe-bf8a-90d6c59754b4	10	24644134	58360524	16964	0.0027
