GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	1	3301765	5221615	1355	-0.1119
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	1	5228499	55255646	26506	-0.0815
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	1	55257768	69004339	10007	-0.1108
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	1	69010166	72635218	1855	-0.1588
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	1	72637081	72637844	6	-0.8294
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	1	72642875	75329974	1480	-0.1474
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	1	75331836	76223101	622	-0.1128
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	1	76223257	76223453	2	-1.1945
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	1	76223952	78593986	1369	-0.1106
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	1	78598971	83752496	3053	-0.1617
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	1	83752690	96473077	8044	-0.1036
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	1	96473141	106841229	5711	-0.1341
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	1	106841374	108824363	1189	-0.0867
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	1	108827892	108829252	2	-1.4237
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	1	108830979	163340820	14481	-0.1008
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	1	163343472	163344090	5	-1.0428
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	1	163351684	194405589	20103	-0.1149
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	1	194405786	200555555	3445	-0.1439
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	1	200558247	212444116	7866	-0.1027
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	1	212451309	212451407	2	-1.919
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	1	212451485	213132974	457	-0.0952
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	1	213134010	213805016	447	-0.9271
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	1	213813730	215218902	1071	-0.0987
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	1	215219102	223025800	5174	-0.1381
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	1	223030659	232634124	5759	-0.0949
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	1	232634532	233172816	376	-0.481
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	1	233177692	233933540	651	-0.1505
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	1	233933949	236429931	1554	-0.0875
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	1	236430053	247650984	7190	-0.1373
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	2	480597	7143155	4087	-0.1586
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	2	7143460	11586160	2901	-0.0849
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	2	11586961	23662518	8200	-0.1285
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	2	23664528	29205384	2565	-0.0739
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	2	29205397	36059790	3745	-0.1368
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	2	36061037	41988566	3413	-0.095
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	2	41991194	41996881	2	-1.3231
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	2	41999704	50326053	5375	-0.0973
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	2	50329306	50329533	2	-1.7616
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	2	50331854	60493111	5528	-0.1413
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	2	60493622	76258631	8989	-0.104
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	2	76260645	83685488	3885	-0.1392
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	2	83685842	114245149	11813	-0.1053
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	2	114245855	138520629	12034	-0.1283
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	2	138520934	146071956	4476	-0.1572
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	2	146072353	168209392	12778	-0.1175
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	2	168212977	174983903	4369	-0.0894
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	2	174988625	185105366	5955	-0.1283
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	2	185106542	209259037	12431	-0.1062
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	2	209263369	230380395	13112	-0.1272
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	2	230380568	234400743	2237	-0.072
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	2	234400794	241537572	4313	-0.1143
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	3	2170634	7805496	3065	-0.1647
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	3	7805906	16239215	5607	-0.103
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	3	16239992	26721600	5849	-0.1566
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	3	26722068	54738414	15837	-0.1054
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	3	54739507	55812357	920	-0.1641
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	3	55812441	59634941	2247	-0.0929
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	3	59636384	61040679	106	0.4011
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	3	61040827	74825881	10052	-0.1225
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	3	74830462	118297386	21391	-0.1456
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	3	118297848	197812401	42125	-0.1235
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	4	1059384	12869205	6773	-0.1162
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	4	12871907	22703870	6813	-0.1475
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	4	22704291	25728643	1941	-0.1051
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	4	25728924	25729239	6	-0.9301
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	4	25729254	29453482	2376	-0.127
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	4	29454863	35180743	3222	-0.1698
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	4	35181739	42224680	4360	-0.1012
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	4	42224883	47850786	2749	-0.1569
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	4	47852602	58094095	4188	-0.1168
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	4	58094223	67935283	5406	-0.1688
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	4	67935632	80539194	6696	-0.1216
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	4	80542570	80543114	2	-1.6689
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	4	80548955	82011973	925	-0.1165
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	4	82012324	82012733	2	-1.3284
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	4	82015036	90560120	5067	-0.1248
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	4	90561637	90584089	14	-0.9245
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	4	90585864	175706612	46907	-0.1331
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	4	175711288	183494222	4098	-0.1662
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	4	183494871	186872725	1418	-0.1311
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	4	186975086	187135672	109	-0.9609
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	4	187138365	187842528	434	-0.1382
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	5	913983	2212179	349	0.3959
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	5	2212226	2778797	541	0.3257
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	5	2782251	2782394	2	-0.8588
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	5	2782601	6903049	3473	0.3415
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	5	6903358	6904678	2	-1.0541
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	5	6906312	13184317	4019	0.3454
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	5	13187643	17793406	2562	0.3886
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	5	17793674	30584966	6673	0.3145
ffffba1c-a0b9-47f3-ae43-1dd4213128c6	5	30585753	55735116	11515	0.35
