GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
a8f0961f-c4b2-45fe-a2b3-54e476718abe	1	3301765	247650984	129203	0.0031
a8f0961f-c4b2-45fe-a2b3-54e476718abe	2	480597	241537572	131690	0.0068
a8f0961f-c4b2-45fe-a2b3-54e476718abe	3	2170634	107561021	58377	0.0038
a8f0961f-c4b2-45fe-a2b3-54e476718abe	3	107563602	107564464	2	-3.6001
a8f0961f-c4b2-45fe-a2b3-54e476718abe	3	107564860	197812401	48352	-0.0058
a8f0961f-c4b2-45fe-a2b3-54e476718abe	4	1059384	107480680	59561	-0.0009
a8f0961f-c4b2-45fe-a2b3-54e476718abe	4	107482982	107483264	2	-2.5219
a8f0961f-c4b2-45fe-a2b3-54e476718abe	4	107485284	187842528	43487	-0.0073
a8f0961f-c4b2-45fe-a2b3-54e476718abe	5	913983	180934240	100646	-0.0031
a8f0961f-c4b2-45fe-a2b3-54e476718abe	6	1011760	5869573	3422	-0.0042
a8f0961f-c4b2-45fe-a2b3-54e476718abe	6	5869650	5869936	2	-2.4399
a8f0961f-c4b2-45fe-a2b3-54e476718abe	6	5870117	79215612	40315	0.0008
a8f0961f-c4b2-45fe-a2b3-54e476718abe	6	79219013	79224852	5	-2.0131
a8f0961f-c4b2-45fe-a2b3-54e476718abe	6	79224929	170596889	52952	-0.0044
a8f0961f-c4b2-45fe-a2b3-54e476718abe	7	664936	158592540	81639	0.0032
a8f0961f-c4b2-45fe-a2b3-54e476718abe	8	667625	144182542	81907	0.0033
a8f0961f-c4b2-45fe-a2b3-54e476718abe	9	789794	138044505	68197	-0.0055
a8f0961f-c4b2-45fe-a2b3-54e476718abe	10	366509	133411599	80929	0.0013
a8f0961f-c4b2-45fe-a2b3-54e476718abe	11	456012	134272740	77208	0.0001
a8f0961f-c4b2-45fe-a2b3-54e476718abe	12	780472	132605822	74023	0.0033
a8f0961f-c4b2-45fe-a2b3-54e476718abe	13	18874255	114226675	56713	0.001
a8f0961f-c4b2-45fe-a2b3-54e476718abe	14	20033191	30094183	4975	0.0022
a8f0961f-c4b2-45fe-a2b3-54e476718abe	14	30097220	30099492	2	2.3976
a8f0961f-c4b2-45fe-a2b3-54e476718abe	14	30103890	102608299	43535	0.002
a8f0961f-c4b2-45fe-a2b3-54e476718abe	14	102608925	102634521	11	-1.4729
a8f0961f-c4b2-45fe-a2b3-54e476718abe	14	102641463	105533894	1050	-0.0128
a8f0961f-c4b2-45fe-a2b3-54e476718abe	15	23437561	101344124	44585	-0.0009
a8f0961f-c4b2-45fe-a2b3-54e476718abe	16	603333	89317317	41036	-0.0005
a8f0961f-c4b2-45fe-a2b3-54e476718abe	17	1074619	52821706	21184	0.0076
a8f0961f-c4b2-45fe-a2b3-54e476718abe	17	52821841	52826244	3	-1.9241
a8f0961f-c4b2-45fe-a2b3-54e476718abe	17	52826852	82959812	15931	0.0055
a8f0961f-c4b2-45fe-a2b3-54e476718abe	18	326691	79349796	42771	0.0043
a8f0961f-c4b2-45fe-a2b3-54e476718abe	19	283868	21725238	8032	0.0038
a8f0961f-c4b2-45fe-a2b3-54e476718abe	19	21725570	21846216	58	-0.895
a8f0961f-c4b2-45fe-a2b3-54e476718abe	19	21848883	58370362	15985	-0.0045
a8f0961f-c4b2-45fe-a2b3-54e476718abe	20	472817	63588502	37388	0.0057
a8f0961f-c4b2-45fe-a2b3-54e476718abe	21	13974127	46262057	20505	0.005
a8f0961f-c4b2-45fe-a2b3-54e476718abe	22	16934932	25808414	1873	0.0008
a8f0961f-c4b2-45fe-a2b3-54e476718abe	22	25814883	25823797	11	-0.7762
a8f0961f-c4b2-45fe-a2b3-54e476718abe	22	25825368	48940621	15134	0.0058
a8f0961f-c4b2-45fe-a2b3-54e476718abe	X	3236359	155677414	63761	0.0024
