GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
578641c8-214e-4ef7-88ae-ffe7d62609b6	1	3301765	7874094	2973	0.1017
578641c8-214e-4ef7-88ae-ffe7d62609b6	1	7874111	10606408	1284	0.0484
578641c8-214e-4ef7-88ae-ffe7d62609b6	1	10608839	23247558	6977	0.0979
578641c8-214e-4ef7-88ae-ffe7d62609b6	1	23250580	26774710	1619	0.5791
578641c8-214e-4ef7-88ae-ffe7d62609b6	1	26780364	29307196	957	0.035
578641c8-214e-4ef7-88ae-ffe7d62609b6	1	29310520	39120667	5489	0.0868
578641c8-214e-4ef7-88ae-ffe7d62609b6	1	39123746	47051919	4131	0.0604
578641c8-214e-4ef7-88ae-ffe7d62609b6	1	47052288	49062731	1344	0.1211
578641c8-214e-4ef7-88ae-ffe7d62609b6	1	49062750	51997959	1163	0.0788
578641c8-214e-4ef7-88ae-ffe7d62609b6	1	52002874	55232610	1901	0.5949
578641c8-214e-4ef7-88ae-ffe7d62609b6	1	55233350	58341545	2553	0.0951
578641c8-214e-4ef7-88ae-ffe7d62609b6	1	58346091	61515383	2198	0.0628
578641c8-214e-4ef7-88ae-ffe7d62609b6	1	61518991	64669658	2178	0.109
578641c8-214e-4ef7-88ae-ffe7d62609b6	1	64670174	67103141	1809	0.0416
578641c8-214e-4ef7-88ae-ffe7d62609b6	1	67103901	68465658	995	0.091
578641c8-214e-4ef7-88ae-ffe7d62609b6	1	68465683	81968542	7624	0.0401
578641c8-214e-4ef7-88ae-ffe7d62609b6	1	81968632	88952235	4510	0.0741
578641c8-214e-4ef7-88ae-ffe7d62609b6	1	88952348	90039096	660	0.0148
578641c8-214e-4ef7-88ae-ffe7d62609b6	1	90039827	95706240	3463	0.0904
578641c8-214e-4ef7-88ae-ffe7d62609b6	1	95714889	111842925	9175	0.0436
578641c8-214e-4ef7-88ae-ffe7d62609b6	1	111846204	113517878	1079	0.0971
578641c8-214e-4ef7-88ae-ffe7d62609b6	1	113518650	115262432	1099	0.0387
578641c8-214e-4ef7-88ae-ffe7d62609b6	1	115264510	119984772	2958	0.0938
578641c8-214e-4ef7-88ae-ffe7d62609b6	1	146716041	149976135	32	0.4411
578641c8-214e-4ef7-88ae-ffe7d62609b6	1	149984051	153682575	1791	0.8887
578641c8-214e-4ef7-88ae-ffe7d62609b6	1	153684174	156305490	1155	0.524
578641c8-214e-4ef7-88ae-ffe7d62609b6	1	156305517	158181428	1171	0.5946
578641c8-214e-4ef7-88ae-ffe7d62609b6	1	158183736	158544724	242	0.5457
578641c8-214e-4ef7-88ae-ffe7d62609b6	1	158544739	158580290	11	0.0431
578641c8-214e-4ef7-88ae-ffe7d62609b6	1	158580643	160489349	1223	0.5646
578641c8-214e-4ef7-88ae-ffe7d62609b6	1	160489700	161968102	762	0.4943
578641c8-214e-4ef7-88ae-ffe7d62609b6	1	161970464	163974784	1550	0.5708
578641c8-214e-4ef7-88ae-ffe7d62609b6	1	163975475	165563768	1375	0.606
578641c8-214e-4ef7-88ae-ffe7d62609b6	1	165564743	176856777	7164	0.5579
578641c8-214e-4ef7-88ae-ffe7d62609b6	1	176857643	179017489	1372	0.6163
578641c8-214e-4ef7-88ae-ffe7d62609b6	1	179018282	185916123	4610	0.571
578641c8-214e-4ef7-88ae-ffe7d62609b6	1	185916499	199211153	7732	0.5246
578641c8-214e-4ef7-88ae-ffe7d62609b6	1	199212704	228816526	18965	0.5754
578641c8-214e-4ef7-88ae-ffe7d62609b6	1	228820500	228823292	5	-0.6897
578641c8-214e-4ef7-88ae-ffe7d62609b6	1	228826680	233353308	3237	0.5815
578641c8-214e-4ef7-88ae-ffe7d62609b6	1	233353359	233567996	197	0.0598
578641c8-214e-4ef7-88ae-ffe7d62609b6	1	233572564	236414050	1835	0.5672
578641c8-214e-4ef7-88ae-ffe7d62609b6	1	236414086	237291398	772	0.6309
578641c8-214e-4ef7-88ae-ffe7d62609b6	1	237291454	238691981	1142	0.5749
578641c8-214e-4ef7-88ae-ffe7d62609b6	1	238692338	238692794	3	-0.5023
578641c8-214e-4ef7-88ae-ffe7d62609b6	1	238699149	238804816	102	0.5087
578641c8-214e-4ef7-88ae-ffe7d62609b6	1	238805136	238911381	69	0.0009
578641c8-214e-4ef7-88ae-ffe7d62609b6	1	238911671	245966350	4646	0.5815
578641c8-214e-4ef7-88ae-ffe7d62609b6	1	245970721	246026700	37	0.0571
578641c8-214e-4ef7-88ae-ffe7d62609b6	1	246435044	247650984	436	0.5582
578641c8-214e-4ef7-88ae-ffe7d62609b6	2	480597	4192716	1729	0.0754
578641c8-214e-4ef7-88ae-ffe7d62609b6	2	4194793	9019534	3536	0.0478
578641c8-214e-4ef7-88ae-ffe7d62609b6	2	9025159	12912025	2790	0.0871
578641c8-214e-4ef7-88ae-ffe7d62609b6	2	12912941	15646727	1645	0.0292
578641c8-214e-4ef7-88ae-ffe7d62609b6	2	15647862	19645398	2883	0.0702
578641c8-214e-4ef7-88ae-ffe7d62609b6	2	19649830	21097137	955	0.1223
578641c8-214e-4ef7-88ae-ffe7d62609b6	2	21097609	44786399	13061	0.0609
578641c8-214e-4ef7-88ae-ffe7d62609b6	2	44786586	45372072	412	0.1317
578641c8-214e-4ef7-88ae-ffe7d62609b6	2	45373193	65496822	11252	0.0541
578641c8-214e-4ef7-88ae-ffe7d62609b6	2	65498670	67840457	1785	0.0982
578641c8-214e-4ef7-88ae-ffe7d62609b6	2	67842457	76770637	5073	0.057
578641c8-214e-4ef7-88ae-ffe7d62609b6	2	76770855	77600960	486	0.0083
578641c8-214e-4ef7-88ae-ffe7d62609b6	2	77606619	101611629	8156	0.0496
578641c8-214e-4ef7-88ae-ffe7d62609b6	2	101615125	104402620	1696	0.0111
578641c8-214e-4ef7-88ae-ffe7d62609b6	2	104402960	120327625	8186	0.0622
578641c8-214e-4ef7-88ae-ffe7d62609b6	2	120329103	121251989	629	0.1481
578641c8-214e-4ef7-88ae-ffe7d62609b6	2	121253349	133444835	5467	0.0698
578641c8-214e-4ef7-88ae-ffe7d62609b6	2	133445669	134187279	571	0.1429
578641c8-214e-4ef7-88ae-ffe7d62609b6	2	134187420	135246227	642	0.081
578641c8-214e-4ef7-88ae-ffe7d62609b6	2	135246410	144497027	5185	0.0198
578641c8-214e-4ef7-88ae-ffe7d62609b6	2	144497395	152691183	4820	0.0524
578641c8-214e-4ef7-88ae-ffe7d62609b6	2	152696637	158215377	2995	0.0157
578641c8-214e-4ef7-88ae-ffe7d62609b6	2	158215883	183616441	15441	0.0512
578641c8-214e-4ef7-88ae-ffe7d62609b6	2	183625470	192177619	4114	0.0183
578641c8-214e-4ef7-88ae-ffe7d62609b6	2	192177984	196330375	1583	-0.0296
578641c8-214e-4ef7-88ae-ffe7d62609b6	2	196331107	198335398	1073	0.0135
578641c8-214e-4ef7-88ae-ffe7d62609b6	2	198335455	216215503	10563	0.0532
578641c8-214e-4ef7-88ae-ffe7d62609b6	2	216218413	216321529	69	0.115
578641c8-214e-4ef7-88ae-ffe7d62609b6	2	216327469	216327861	2	1.0109
578641c8-214e-4ef7-88ae-ffe7d62609b6	2	216341133	218004665	1210	0.1023
578641c8-214e-4ef7-88ae-ffe7d62609b6	2	218004819	235000053	10312	0.0532
578641c8-214e-4ef7-88ae-ffe7d62609b6	2	235001157	238438000	2199	0.6047
578641c8-214e-4ef7-88ae-ffe7d62609b6	2	238440354	241537572	1679	0.0587
578641c8-214e-4ef7-88ae-ffe7d62609b6	3	2170634	16574490	8927	0.086
578641c8-214e-4ef7-88ae-ffe7d62609b6	3	16578783	22426018	2945	0.0249
578641c8-214e-4ef7-88ae-ffe7d62609b6	3	22426810	53326714	17476	0.072
578641c8-214e-4ef7-88ae-ffe7d62609b6	3	53327014	65390198	7736	0.1145
578641c8-214e-4ef7-88ae-ffe7d62609b6	3	65391035	73076005	5335	0.0738
578641c8-214e-4ef7-88ae-ffe7d62609b6	3	73080423	73753218	531	0.1463
578641c8-214e-4ef7-88ae-ffe7d62609b6	3	73754292	76098356	1085	0.0831
578641c8-214e-4ef7-88ae-ffe7d62609b6	3	76102186	116233952	19481	0.0353
578641c8-214e-4ef7-88ae-ffe7d62609b6	3	116233988	122024899	3435	0.0607
578641c8-214e-4ef7-88ae-ffe7d62609b6	3	122028869	127212964	3202	0.1041
578641c8-214e-4ef7-88ae-ffe7d62609b6	3	127214399	132728020	3040	0.0619
578641c8-214e-4ef7-88ae-ffe7d62609b6	3	132729506	135840015	2008	0.1066
578641c8-214e-4ef7-88ae-ffe7d62609b6	3	135841811	145761148	5158	0.0517
578641c8-214e-4ef7-88ae-ffe7d62609b6	3	145761336	145767368	2	1.131
578641c8-214e-4ef7-88ae-ffe7d62609b6	3	145767435	153746892	4278	0.0506
578641c8-214e-4ef7-88ae-ffe7d62609b6	3	153747636	153751442	4	-0.8307
