GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
6f6a5220-5d0c-4954-a95e-f25060179734	1	3301765	8400744	3239	0.1649
6f6a5220-5d0c-4954-a95e-f25060179734	1	8405609	8630844	102	-0.2945
6f6a5220-5d0c-4954-a95e-f25060179734	1	8658852	12255588	1767	0.1403
6f6a5220-5d0c-4954-a95e-f25060179734	1	12256314	21040276	4973	0.179
6f6a5220-5d0c-4954-a95e-f25060179734	1	21042805	23313056	1191	0.142
6f6a5220-5d0c-4954-a95e-f25060179734	1	23318962	23364180	27	-0.3517
6f6a5220-5d0c-4954-a95e-f25060179734	1	23364538	46623945	11912	0.1736
6f6a5220-5d0c-4954-a95e-f25060179734	1	46625477	52527749	2962	0.2356
6f6a5220-5d0c-4954-a95e-f25060179734	1	52528277	55101604	1615	0.1794
6f6a5220-5d0c-4954-a95e-f25060179734	1	55101737	64837707	7109	0.2734
6f6a5220-5d0c-4954-a95e-f25060179734	1	64838744	65277440	425	0.1788
6f6a5220-5d0c-4954-a95e-f25060179734	1	65279246	82351556	10096	0.2616
6f6a5220-5d0c-4954-a95e-f25060179734	1	82351766	86509720	2754	0.3046
6f6a5220-5d0c-4954-a95e-f25060179734	1	86510433	95102482	5272	0.2645
6f6a5220-5d0c-4954-a95e-f25060179734	1	95102609	99592794	2705	0.3282
6f6a5220-5d0c-4954-a95e-f25060179734	1	99592995	101768573	1389	0.2647
6f6a5220-5d0c-4954-a95e-f25060179734	1	101769408	104048386	1013	-0.2018
6f6a5220-5d0c-4954-a95e-f25060179734	1	104048489	117111220	7907	-0.2519
6f6a5220-5d0c-4954-a95e-f25060179734	1	117112016	119737931	1556	-0.18
6f6a5220-5d0c-4954-a95e-f25060179734	1	119765652	149906351	142	1.0004
6f6a5220-5d0c-4954-a95e-f25060179734	1	149907993	152440885	1064	0.7893
6f6a5220-5d0c-4954-a95e-f25060179734	1	152441223	153302849	573	0.8873
6f6a5220-5d0c-4954-a95e-f25060179734	1	153303030	156916588	1641	0.7431
6f6a5220-5d0c-4954-a95e-f25060179734	1	156917379	158341447	962	0.8329
6f6a5220-5d0c-4954-a95e-f25060179734	1	158341960	159646491	846	0.2706
6f6a5220-5d0c-4954-a95e-f25060179734	1	159649566	161746380	1172	0.1938
6f6a5220-5d0c-4954-a95e-f25060179734	1	161747029	164379450	1970	0.2938
6f6a5220-5d0c-4954-a95e-f25060179734	1	164381231	168558617	3213	0.2521
6f6a5220-5d0c-4954-a95e-f25060179734	1	168558662	169380527	678	0.3252
6f6a5220-5d0c-4954-a95e-f25060179734	1	169387110	169483672	55	-0.0351
6f6a5220-5d0c-4954-a95e-f25060179734	1	169486633	173314005	2571	0.3252
6f6a5220-5d0c-4954-a95e-f25060179734	1	173314165	185807555	7651	0.2788
6f6a5220-5d0c-4954-a95e-f25060179734	1	185810907	188613027	1803	0.3581
6f6a5220-5d0c-4954-a95e-f25060179734	1	188614310	199809515	6369	0.6708
6f6a5220-5d0c-4954-a95e-f25060179734	1	199809815	200904392	686	0.5956
6f6a5220-5d0c-4954-a95e-f25060179734	1	200905024	206543529	3565	0.5358
6f6a5220-5d0c-4954-a95e-f25060179734	1	206545085	209583366	2228	0.5928
6f6a5220-5d0c-4954-a95e-f25060179734	1	209585172	209826915	238	1.0204
6f6a5220-5d0c-4954-a95e-f25060179734	1	209829611	210187230	226	0.6741
6f6a5220-5d0c-4954-a95e-f25060179734	1	210194458	212991307	1848	0.5857
6f6a5220-5d0c-4954-a95e-f25060179734	1	212994420	225686357	8252	0.635
6f6a5220-5d0c-4954-a95e-f25060179734	1	225687307	230419488	2753	0.5556
