GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
fc7499c0-8414-4c01-ad6f-993088b7fd01	1	3301765	57808380	29933	0.0053
fc7499c0-8414-4c01-ad6f-993088b7fd01	1	57812255	57812380	2	-2.2649
fc7499c0-8414-4c01-ad6f-993088b7fd01	1	57812900	61566080	2647	0.0214
fc7499c0-8414-4c01-ad6f-993088b7fd01	1	61568669	61620336	52	0.4863
fc7499c0-8414-4c01-ad6f-993088b7fd01	1	61621419	236735742	90084	0.0061
fc7499c0-8414-4c01-ad6f-993088b7fd01	1	236736718	236740491	11	-0.7011
fc7499c0-8414-4c01-ad6f-993088b7fd01	1	236741721	247650984	6893	-0.0016
fc7499c0-8414-4c01-ad6f-993088b7fd01	2	480597	9370640	5505	-0.0096
fc7499c0-8414-4c01-ad6f-993088b7fd01	2	9370654	9373721	3	-1.3712
fc7499c0-8414-4c01-ad6f-993088b7fd01	2	9374838	15301091	3995	0.01
fc7499c0-8414-4c01-ad6f-993088b7fd01	2	15307601	15395739	58	-0.8411
fc7499c0-8414-4c01-ad6f-993088b7fd01	2	15402228	30255762	9034	0.0017
fc7499c0-8414-4c01-ad6f-993088b7fd01	2	30256230	30256991	2	-1.713
fc7499c0-8414-4c01-ad6f-993088b7fd01	2	30257579	50326053	11671	0.0059
fc7499c0-8414-4c01-ad6f-993088b7fd01	2	50329306	50329533	2	-1.5216
fc7499c0-8414-4c01-ad6f-993088b7fd01	2	50331854	114324624	30232	0.0053
fc7499c0-8414-4c01-ad6f-993088b7fd01	2	114325453	114325635	2	-1.8906
fc7499c0-8414-4c01-ad6f-993088b7fd01	2	114329102	121721047	3932	0.001
fc7499c0-8414-4c01-ad6f-993088b7fd01	2	121721563	121722033	4	-1.0603
fc7499c0-8414-4c01-ad6f-993088b7fd01	2	121724566	147780722	13391	-0.0076
fc7499c0-8414-4c01-ad6f-993088b7fd01	2	147780838	208375277	34091	0.0173
fc7499c0-8414-4c01-ad6f-993088b7fd01	2	208375351	235369257	16553	0.0005
fc7499c0-8414-4c01-ad6f-993088b7fd01	2	235375839	235376371	2	-1.7847
fc7499c0-8414-4c01-ad6f-993088b7fd01	2	235376570	241537572	3641	-0.0046
fc7499c0-8414-4c01-ad6f-993088b7fd01	3	2170634	139953178	77126	0.003
fc7499c0-8414-4c01-ad6f-993088b7fd01	3	139955159	139955659	2	-2.0828
fc7499c0-8414-4c01-ad6f-993088b7fd01	3	139956044	144161569	2324	0.0181
fc7499c0-8414-4c01-ad6f-993088b7fd01	3	144162147	144200989	19	-0.4461
fc7499c0-8414-4c01-ad6f-993088b7fd01	3	144201125	197812401	27629	0.0107
fc7499c0-8414-4c01-ad6f-993088b7fd01	4	1059384	26120542	15801	-0.0011
fc7499c0-8414-4c01-ad6f-993088b7fd01	4	26124727	26125216	2	-2.2067
fc7499c0-8414-4c01-ad6f-993088b7fd01	4	26125417	134859065	58656	0.0058
fc7499c0-8414-4c01-ad6f-993088b7fd01	4	134859230	134859332	3	-1.8512
fc7499c0-8414-4c01-ad6f-993088b7fd01	4	134864194	136815728	1011	-0.0136
fc7499c0-8414-4c01-ad6f-993088b7fd01	4	136818156	136819808	3	-1.043
fc7499c0-8414-4c01-ad6f-993088b7fd01	4	136828529	163067848	15219	0.012
fc7499c0-8414-4c01-ad6f-993088b7fd01	4	163068856	163070464	3	-1.2103
fc7499c0-8414-4c01-ad6f-993088b7fd01	4	163077019	187842528	12723	-0.0008
fc7499c0-8414-4c01-ad6f-993088b7fd01	5	914118	6161441	3711	-0.033
fc7499c0-8414-4c01-ad6f-993088b7fd01	5	6162332	10964214	3478	0.0067
fc7499c0-8414-4c01-ad6f-993088b7fd01	5	10964445	13540643	1434	-0.0339
fc7499c0-8414-4c01-ad6f-993088b7fd01	5	13548527	17462220	2259	0.0298
fc7499c0-8414-4c01-ad6f-993088b7fd01	5	17747964	23457483	2885	-0.0084
fc7499c0-8414-4c01-ad6f-993088b7fd01	5	23457654	23460915	3	-1.0345
fc7499c0-8414-4c01-ad6f-993088b7fd01	5	23461408	30163846	3623	-0.0156
fc7499c0-8414-4c01-ad6f-993088b7fd01	5	30164999	30165645	2	-1.3663
fc7499c0-8414-4c01-ad6f-993088b7fd01	5	30167730	40969978	6551	-0.0071
fc7499c0-8414-4c01-ad6f-993088b7fd01	5	40970936	74114367	15083	0.0112
fc7499c0-8414-4c01-ad6f-993088b7fd01	5	74118986	74119259	2	-1.7832
fc7499c0-8414-4c01-ad6f-993088b7fd01	5	74119708	152600909	44531	0.0085
fc7499c0-8414-4c01-ad6f-993088b7fd01	5	152603786	180934240	17483	-0.0055
fc7499c0-8414-4c01-ad6f-993088b7fd01	6	1011760	2030483	801	0.0169
fc7499c0-8414-4c01-ad6f-993088b7fd01	6	2033469	2136019	69	-0.802
fc7499c0-8414-4c01-ad6f-993088b7fd01	6	2139429	4861071	1847	0.0285
fc7499c0-8414-4c01-ad6f-993088b7fd01	6	4861879	4863643	2	-1.4672
fc7499c0-8414-4c01-ad6f-993088b7fd01	6	4863769	19327296	10240	0.001
fc7499c0-8414-4c01-ad6f-993088b7fd01	6	19327887	19328594	2	-1.6722
fc7499c0-8414-4c01-ad6f-993088b7fd01	6	19329783	67965889	24492	0.0071
fc7499c0-8414-4c01-ad6f-993088b7fd01	6	67966552	67973720	3	-1.488
fc7499c0-8414-4c01-ad6f-993088b7fd01	6	67973968	86490209	10462	0.0078
fc7499c0-8414-4c01-ad6f-993088b7fd01	6	86490413	100411313	7623	-0.0154
fc7499c0-8414-4c01-ad6f-993088b7fd01	6	100411472	133341074	19176	0.0101
fc7499c0-8414-4c01-ad6f-993088b7fd01	6	133342199	133342498	3	-1.4751
fc7499c0-8414-4c01-ad6f-993088b7fd01	6	133345033	161632086	18159	0.0107
fc7499c0-8414-4c01-ad6f-993088b7fd01	6	161633122	164245350	1408	-0.0511
fc7499c0-8414-4c01-ad6f-993088b7fd01	6	164245992	166240150	1323	0.0159
fc7499c0-8414-4c01-ad6f-993088b7fd01	6	166240304	166240391	2	-1.7131
fc7499c0-8414-4c01-ad6f-993088b7fd01	6	166240475	170596889	1480	0.0006
fc7499c0-8414-4c01-ad6f-993088b7fd01	7	664936	25733784	13745	0.0128
fc7499c0-8414-4c01-ad6f-993088b7fd01	7	25735223	25735885	2	-1.3051
fc7499c0-8414-4c01-ad6f-993088b7fd01	7	25736587	30971870	3145	0.0144
fc7499c0-8414-4c01-ad6f-993088b7fd01	7	30973889	30975915	2	-1.7174
fc7499c0-8414-4c01-ad6f-993088b7fd01	7	30978432	144678382	57607	0.0011
fc7499c0-8414-4c01-ad6f-993088b7fd01	7	144681758	144681818	2	-1.5139
fc7499c0-8414-4c01-ad6f-993088b7fd01	7	144682264	158592540	7400	-0.0019
fc7499c0-8414-4c01-ad6f-993088b7fd01	8	667625	28491109	16798	0.0017
fc7499c0-8414-4c01-ad6f-993088b7fd01	8	28495258	29047498	288	0.5297
fc7499c0-8414-4c01-ad6f-993088b7fd01	8	29050620	42298499	7564	0.0011
fc7499c0-8414-4c01-ad6f-993088b7fd01	8	42300125	42300928	9	-0.6631
fc7499c0-8414-4c01-ad6f-993088b7fd01	8	42301156	52356933	3391	0.0087
fc7499c0-8414-4c01-ad6f-993088b7fd01	8	52357181	52357798	2	-2.0544
fc7499c0-8414-4c01-ad6f-993088b7fd01	8	52357918	125662751	42559	0.0031
fc7499c0-8414-4c01-ad6f-993088b7fd01	8	125666057	125666677	2	-1.5153
fc7499c0-8414-4c01-ad6f-993088b7fd01	8	125666707	126654998	686	-0.0088
fc7499c0-8414-4c01-ad6f-993088b7fd01	8	126656681	128861292	1595	0.0361
fc7499c0-8414-4c01-ad6f-993088b7fd01	8	128861992	144182542	9264	-0.0101
fc7499c0-8414-4c01-ad6f-993088b7fd01	9	789794	22821339	14212	0.0086
