GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
ffae65f7-973f-462e-8dd6-165b8d6e21a6	1	3301765	4971809	1210	0.3307
ffae65f7-973f-462e-8dd6-165b8d6e21a6	1	4979033	4979320	2	-1.4384
ffae65f7-973f-462e-8dd6-165b8d6e21a6	1	4982142	5753238	552	0.3317
ffae65f7-973f-462e-8dd6-165b8d6e21a6	1	5753664	26218910	10871	0.2844
ffae65f7-973f-462e-8dd6-165b8d6e21a6	1	26219172	29153539	1088	0.2174
ffae65f7-973f-462e-8dd6-165b8d6e21a6	1	29153908	29439132	168	0.2794
ffae65f7-973f-462e-8dd6-165b8d6e21a6	1	29439544	30667100	930	0.3333
ffae65f7-973f-462e-8dd6-165b8d6e21a6	1	30789158	33927003	1570	-0.5363
ffae65f7-973f-462e-8dd6-165b8d6e21a6	1	33928658	34288759	279	0.8373
ffae65f7-973f-462e-8dd6-165b8d6e21a6	1	34291024	35061216	449	-0.5093
ffae65f7-973f-462e-8dd6-165b8d6e21a6	1	35066755	35150337	27	0.6035
ffae65f7-973f-462e-8dd6-165b8d6e21a6	1	35152030	37790494	1376	-0.5254
ffae65f7-973f-462e-8dd6-165b8d6e21a6	1	37792972	37810130	7	0.6172
ffae65f7-973f-462e-8dd6-165b8d6e21a6	1	37814315	37837353	9	-0.5507
ffae65f7-973f-462e-8dd6-165b8d6e21a6	1	37842018	37854376	7	0.5283
ffae65f7-973f-462e-8dd6-165b8d6e21a6	1	37863788	38091426	95	-0.5653
ffae65f7-973f-462e-8dd6-165b8d6e21a6	1	38093101	38547208	309	0.5063
ffae65f7-973f-462e-8dd6-165b8d6e21a6	1	38552519	39246176	390	-0.5453
ffae65f7-973f-462e-8dd6-165b8d6e21a6	1	39250120	39478719	116	-0.0788
ffae65f7-973f-462e-8dd6-165b8d6e21a6	1	39479505	40344186	405	-0.5137
ffae65f7-973f-462e-8dd6-165b8d6e21a6	1	40349245	40355826	3	0.2072
