GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
0e6ee79a-a579-4a32-981e-1e0ef090a887	1	3301765	247650984	129821	0.0002
0e6ee79a-a579-4a32-981e-1e0ef090a887	2	480597	136987369	72086	0.0087
0e6ee79a-a579-4a32-981e-1e0ef090a887	2	136990157	136999251	7	-1.0705
0e6ee79a-a579-4a32-981e-1e0ef090a887	2	137009978	241537572	60181	0.0077
0e6ee79a-a579-4a32-981e-1e0ef090a887	3	2170634	197812401	107240	0.0017
0e6ee79a-a579-4a32-981e-1e0ef090a887	4	1059384	187842528	103544	-0.0013
0e6ee79a-a579-4a32-981e-1e0ef090a887	5	913983	180934240	101163	-0.0033
0e6ee79a-a579-4a32-981e-1e0ef090a887	6	1011760	10815112	6944	0.0001
0e6ee79a-a579-4a32-981e-1e0ef090a887	6	10816673	10816918	2	-1.6094
0e6ee79a-a579-4a32-981e-1e0ef090a887	6	10817272	24946443	10023	-0.0014
0e6ee79a-a579-4a32-981e-1e0ef090a887	6	24947544	24947577	2	1.883
0e6ee79a-a579-4a32-981e-1e0ef090a887	6	24950971	170596889	80244	0.0043
0e6ee79a-a579-4a32-981e-1e0ef090a887	7	664936	158592540	81972	0.0032
0e6ee79a-a579-4a32-981e-1e0ef090a887	8	667625	144182542	82262	0.0034
0e6ee79a-a579-4a32-981e-1e0ef090a887	9	789794	138044505	68518	-0.002
0e6ee79a-a579-4a32-981e-1e0ef090a887	10	366509	69658457	41144	-0.0009
0e6ee79a-a579-4a32-981e-1e0ef090a887	10	69659818	69672768	22	-1.3314
0e6ee79a-a579-4a32-981e-1e0ef090a887	10	69674695	133411599	40163	0.0002
0e6ee79a-a579-4a32-981e-1e0ef090a887	11	456012	134272740	77615	-0.0008
0e6ee79a-a579-4a32-981e-1e0ef090a887	12	780472	132605822	74385	0.0031
0e6ee79a-a579-4a32-981e-1e0ef090a887	13	18874255	114226675	57029	0.0006
0e6ee79a-a579-4a32-981e-1e0ef090a887	14	20033191	73059440	29957	0.0038
0e6ee79a-a579-4a32-981e-1e0ef090a887	14	73059905	73062662	2	-1.8903
0e6ee79a-a579-4a32-981e-1e0ef090a887	14	73068167	105533894	19853	0.0005
0e6ee79a-a579-4a32-981e-1e0ef090a887	15	23437561	100988913	44585	-0.0048
0e6ee79a-a579-4a32-981e-1e0ef090a887	15	100988926	100989313	2	-1.7263
0e6ee79a-a579-4a32-981e-1e0ef090a887	15	100989389	101344124	223	0.014
0e6ee79a-a579-4a32-981e-1e0ef090a887	16	603333	89317317	41214	-0.0029
0e6ee79a-a579-4a32-981e-1e0ef090a887	17	1074619	82959812	37302	-0.0008
0e6ee79a-a579-4a32-981e-1e0ef090a887	18	326691	79349796	42990	-0.0029
0e6ee79a-a579-4a32-981e-1e0ef090a887	19	283868	58370362	24166	0.0038
0e6ee79a-a579-4a32-981e-1e0ef090a887	20	472817	63588502	37577	0.0022
0e6ee79a-a579-4a32-981e-1e0ef090a887	21	13974127	46262057	20603	0.0026
0e6ee79a-a579-4a32-981e-1e0ef090a887	22	16934932	48940621	17101	-0.0036
0e6ee79a-a579-4a32-981e-1e0ef090a887	X	3236359	9090284	1097	0.0024
0e6ee79a-a579-4a32-981e-1e0ef090a887	X	9093066	9093133	2	-4.8088
0e6ee79a-a579-4a32-981e-1e0ef090a887	X	9093771	10465388	677	0.0042
0e6ee79a-a579-4a32-981e-1e0ef090a887	X	10465510	10466175	2	-4.7308
0e6ee79a-a579-4a32-981e-1e0ef090a887	X	10467479	155677414	62112	0.0123
