GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
1533543f-7f47-466c-9a87-24668747af97	1	3301765	30274729	14498	-0.0068
1533543f-7f47-466c-9a87-24668747af97	1	30276813	30284173	9	-1.1297
1533543f-7f47-466c-9a87-24668747af97	1	30287109	247650984	115287	-0.0004
1533543f-7f47-466c-9a87-24668747af97	2	480597	241537572	132239	0.0016
1533543f-7f47-466c-9a87-24668747af97	3	2170634	197812401	107213	0.0016
1533543f-7f47-466c-9a87-24668747af97	4	1059384	187842528	103528	0.0008
1533543f-7f47-466c-9a87-24668747af97	5	914118	180934240	101144	-0.0006
1533543f-7f47-466c-9a87-24668747af97	6	1011760	170596889	97188	0.0019
1533543f-7f47-466c-9a87-24668747af97	7	664936	158592540	81961	0.0004
1533543f-7f47-466c-9a87-24668747af97	8	667625	62807285	34535	-0.0001
1533543f-7f47-466c-9a87-24668747af97	8	62808973	62809105	2	-1.2955
1533543f-7f47-466c-9a87-24668747af97	8	62810724	144182542	47713	0.0015
1533543f-7f47-466c-9a87-24668747af97	9	789794	23253670	14500	0.0045
1533543f-7f47-466c-9a87-24668747af97	9	23261655	23261801	2	-1.3828
1533543f-7f47-466c-9a87-24668747af97	9	23262263	115286185	40654	0.002
1533543f-7f47-466c-9a87-24668747af97	9	115286269	115298724	3	-1.132
1533543f-7f47-466c-9a87-24668747af97	9	115298800	138044505	13346	-0.0001
1533543f-7f47-466c-9a87-24668747af97	10	366509	133411599	81321	-0.0001
1533543f-7f47-466c-9a87-24668747af97	11	456012	118047829	66391	-0.0017
1533543f-7f47-466c-9a87-24668747af97	11	118047987	118049862	3	-1.0451
1533543f-7f47-466c-9a87-24668747af97	11	118054536	134272740	11206	0.0033
1533543f-7f47-466c-9a87-24668747af97	12	780472	132605822	74363	0.0008
1533543f-7f47-466c-9a87-24668747af97	13	18874255	114226675	57011	0.0016
1533543f-7f47-466c-9a87-24668747af97	14	20033191	105533894	49800	0.0005
1533543f-7f47-466c-9a87-24668747af97	15	23437561	101344124	44804	0.0001
1533543f-7f47-466c-9a87-24668747af97	16	603333	89317317	41226	0.037
1533543f-7f47-466c-9a87-24668747af97	17	1074619	82959812	37292	-0.0026
1533543f-7f47-466c-9a87-24668747af97	18	326691	79349796	42976	0.0038
1533543f-7f47-466c-9a87-24668747af97	19	283868	58370362	24161	-0.0052
1533543f-7f47-466c-9a87-24668747af97	20	472817	63588502	37571	-0.0016
1533543f-7f47-466c-9a87-24668747af97	21	13974127	46262057	20603	0.0001
1533543f-7f47-466c-9a87-24668747af97	22	16934932	48940621	17092	-0.0039
1533543f-7f47-466c-9a87-24668747af97	X	3236359	20362073	6884	0.0155
1533543f-7f47-466c-9a87-24668747af97	X	20362105	20376207	11	-0.8842
1533543f-7f47-466c-9a87-24668747af97	X	20378454	20381455	2	-3.8572
1533543f-7f47-466c-9a87-24668747af97	X	20382315	65144223	17802	0.0107
1533543f-7f47-466c-9a87-24668747af97	X	65144329	65145311	2	-3.9723
1533543f-7f47-466c-9a87-24668747af97	X	65147139	155677414	39130	0.0152
