GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
5b1bff34-5c81-4139-9f22-01c256754e2d	1	3301765	12455535	5172	0.0356
5b1bff34-5c81-4139-9f22-01c256754e2d	1	12459837	14434986	932	0.0985
5b1bff34-5c81-4139-9f22-01c256754e2d	1	14435176	19952431	3265	0.0391
5b1bff34-5c81-4139-9f22-01c256754e2d	1	19955052	21922564	1063	-0.8337
5b1bff34-5c81-4139-9f22-01c256754e2d	1	21925114	21925308	2	-4.3545
5b1bff34-5c81-4139-9f22-01c256754e2d	1	21925369	22871032	496	-0.9125
5b1bff34-5c81-4139-9f22-01c256754e2d	1	22871420	22873636	7	-3.2805
5b1bff34-5c81-4139-9f22-01c256754e2d	1	22873666	34134267	5404	-0.8488
5b1bff34-5c81-4139-9f22-01c256754e2d	1	34135952	36498277	1202	0.073
5b1bff34-5c81-4139-9f22-01c256754e2d	1	36508009	38089675	867	-0.8396
5b1bff34-5c81-4139-9f22-01c256754e2d	1	38091426	54733339	8857	0.0591
5b1bff34-5c81-4139-9f22-01c256754e2d	1	54741821	55590175	623	-0.8362
5b1bff34-5c81-4139-9f22-01c256754e2d	1	55592176	99676093	27967	0.0782
5b1bff34-5c81-4139-9f22-01c256754e2d	1	99677836	103067470	2025	-0.7608
5b1bff34-5c81-4139-9f22-01c256754e2d	1	103068609	105457777	988	0.1089
5b1bff34-5c81-4139-9f22-01c256754e2d	1	105548298	105713804	88	-0.6482
5b1bff34-5c81-4139-9f22-01c256754e2d	1	105726548	105994128	134	0.0493
5b1bff34-5c81-4139-9f22-01c256754e2d	1	105994763	107767797	1241	0.1194
5b1bff34-5c81-4139-9f22-01c256754e2d	1	107769889	114751166	4114	0.0626
5b1bff34-5c81-4139-9f22-01c256754e2d	1	114761069	116534942	1238	-0.851
5b1bff34-5c81-4139-9f22-01c256754e2d	1	116538219	119984772	2054	0.0858
5b1bff34-5c81-4139-9f22-01c256754e2d	1	146716041	152753153	1239	0.5245
5b1bff34-5c81-4139-9f22-01c256754e2d	1	152761914	153677583	583	0.0436
5b1bff34-5c81-4139-9f22-01c256754e2d	1	153682575	156305279	1156	0.5193
5b1bff34-5c81-4139-9f22-01c256754e2d	1	156305490	175177507	12727	0.5753
5b1bff34-5c81-4139-9f22-01c256754e2d	1	175177533	179153897	2271	0.6186
5b1bff34-5c81-4139-9f22-01c256754e2d	1	179154143	194032251	9422	0.5678
5b1bff34-5c81-4139-9f22-01c256754e2d	1	194032275	196050930	1090	0.6397
5b1bff34-5c81-4139-9f22-01c256754e2d	1	196051259	200342215	2453	0.5885
5b1bff34-5c81-4139-9f22-01c256754e2d	1	200345490	200348350	2	-0.4622
5b1bff34-5c81-4139-9f22-01c256754e2d	1	200348749	200877915	277	0.6044
5b1bff34-5c81-4139-9f22-01c256754e2d	1	200879958	205633549	3233	0.5332
5b1bff34-5c81-4139-9f22-01c256754e2d	1	205633873	220223030	9844	0.5764
5b1bff34-5c81-4139-9f22-01c256754e2d	1	220227258	234887945	9094	-0.8392
5b1bff34-5c81-4139-9f22-01c256754e2d	1	234889565	234891998	5	-3.6364
5b1bff34-5c81-4139-9f22-01c256754e2d	1	234894406	239971402	3565	-0.8319
5b1bff34-5c81-4139-9f22-01c256754e2d	1	239972472	239973057	3	-6.398
5b1bff34-5c81-4139-9f22-01c256754e2d	1	239973849	247650984	4269	-0.8217
5b1bff34-5c81-4139-9f22-01c256754e2d	2	480597	8059409	4584	0.0872
5b1bff34-5c81-4139-9f22-01c256754e2d	2	8059880	10548555	1707	0.0222
5b1bff34-5c81-4139-9f22-01c256754e2d	2	10548843	26293069	10015	0.0777
5b1bff34-5c81-4139-9f22-01c256754e2d	2	26293641	26487446	113	-0.0196
5b1bff34-5c81-4139-9f22-01c256754e2d	2	26487553	26487656	2	-1.5127
5b1bff34-5c81-4139-9f22-01c256754e2d	2	26487676	29546184	1605	0.0073
5b1bff34-5c81-4139-9f22-01c256754e2d	2	29547897	33246639	1892	0.0835
5b1bff34-5c81-4139-9f22-01c256754e2d	2	33249578	35067221	1151	0.1414
5b1bff34-5c81-4139-9f22-01c256754e2d	2	35070012	68993872	19524	0.0789
5b1bff34-5c81-4139-9f22-01c256754e2d	2	68993960	73919850	2730	0.0343
5b1bff34-5c81-4139-9f22-01c256754e2d	2	73920500	73920691	2	-1.2396
5b1bff34-5c81-4139-9f22-01c256754e2d	2	73923129	75551854	1011	0.0413
5b1bff34-5c81-4139-9f22-01c256754e2d	2	75552387	99691205	8048	0.0729
5b1bff34-5c81-4139-9f22-01c256754e2d	2	99691223	99691412	2	-1.3282
5b1bff34-5c81-4139-9f22-01c256754e2d	2	99692717	105006285	3347	0.0947
5b1bff34-5c81-4139-9f22-01c256754e2d	2	105020100	113390787	4261	0.0466
5b1bff34-5c81-4139-9f22-01c256754e2d	2	113391384	139835279	13155	0.0825
5b1bff34-5c81-4139-9f22-01c256754e2d	2	139836288	146129711	3697	-0.7877
5b1bff34-5c81-4139-9f22-01c256754e2d	2	146130445	146130496	2	-6.9194
5b1bff34-5c81-4139-9f22-01c256754e2d	2	146133505	150150835	2168	-0.7665
5b1bff34-5c81-4139-9f22-01c256754e2d	2	150155022	177988788	16783	0.0739
5b1bff34-5c81-4139-9f22-01c256754e2d	2	177989389	190259383	6295	0.1106
5b1bff34-5c81-4139-9f22-01c256754e2d	2	190259556	236134495	26658	0.0786
5b1bff34-5c81-4139-9f22-01c256754e2d	2	236140207	241537572	3146	0.0245
5b1bff34-5c81-4139-9f22-01c256754e2d	3	2170634	9828730	4464	0.0937
5b1bff34-5c81-4139-9f22-01c256754e2d	3	9830778	14924000	3352	0.0489
5b1bff34-5c81-4139-9f22-01c256754e2d	3	14926719	21690622	3831	0.0827
5b1bff34-5c81-4139-9f22-01c256754e2d	3	21691453	21704980	16	-0.3342
5b1bff34-5c81-4139-9f22-01c256754e2d	3	21705556	21740672	20	0.0616
5b1bff34-5c81-4139-9f22-01c256754e2d	3	22176672	22436350	167	-0.7638
5b1bff34-5c81-4139-9f22-01c256754e2d	3	22438152	24330557	1075	0.1332
5b1bff34-5c81-4139-9f22-01c256754e2d	3	24333468	42486573	11297	0.0834
5b1bff34-5c81-4139-9f22-01c256754e2d	3	42488451	52863200	4821	0.0303
5b1bff34-5c81-4139-9f22-01c256754e2d	3	52866248	59704936	4493	0.0965
5b1bff34-5c81-4139-9f22-01c256754e2d	3	59705352	59705967	5	-0.6874
5b1bff34-5c81-4139-9f22-01c256754e2d	3	59706442	62712884	1254	0.1211
5b1bff34-5c81-4139-9f22-01c256754e2d	3	62713217	91462299	16389	0.0721
