GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
951bc040-ed04-477b-a8e9-527f9d79124b	1	3301765	3628929	144	0.3436
951bc040-ed04-477b-a8e9-527f9d79124b	1	3629048	4951772	1044	0.25
951bc040-ed04-477b-a8e9-527f9d79124b	1	4951978	4952041	2	-1.2101
951bc040-ed04-477b-a8e9-527f9d79124b	1	4952241	7491906	1545	0.2699
951bc040-ed04-477b-a8e9-527f9d79124b	1	7492266	13687511	2797	0.2106
951bc040-ed04-477b-a8e9-527f9d79124b	1	13688168	17672282	2213	0.2548
951bc040-ed04-477b-a8e9-527f9d79124b	1	17672284	19125931	1113	0.3126
951bc040-ed04-477b-a8e9-527f9d79124b	1	19126871	41425875	11562	0.2487
951bc040-ed04-477b-a8e9-527f9d79124b	1	41428175	41976460	429	0.3409
951bc040-ed04-477b-a8e9-527f9d79124b	1	41977932	46446249	2245	0.2433
951bc040-ed04-477b-a8e9-527f9d79124b	1	46446321	49397304	1823	0.3295
951bc040-ed04-477b-a8e9-527f9d79124b	1	49399080	53297272	1710	0.2571
951bc040-ed04-477b-a8e9-527f9d79124b	1	53299747	67728468	10409	0.3183
951bc040-ed04-477b-a8e9-527f9d79124b	1	67729450	94063538	15543	-0.635
951bc040-ed04-477b-a8e9-527f9d79124b	1	94064187	94073743	10	-1.7031
951bc040-ed04-477b-a8e9-527f9d79124b	1	94074513	112817535	10996	-0.6496
951bc040-ed04-477b-a8e9-527f9d79124b	1	112817815	149907993	4436	0.3063
951bc040-ed04-477b-a8e9-527f9d79124b	1	149909846	151688352	660	0.1877
951bc040-ed04-477b-a8e9-527f9d79124b	1	151689637	153345716	1018	0.2663
951bc040-ed04-477b-a8e9-527f9d79124b	1	153346577	154580947	510	0.1794
951bc040-ed04-477b-a8e9-527f9d79124b	1	154580974	154925599	231	0.2904
951bc040-ed04-477b-a8e9-527f9d79124b	1	154926210	156321235	570	0.1702
951bc040-ed04-477b-a8e9-527f9d79124b	1	156321574	247650984	58637	0.294
951bc040-ed04-477b-a8e9-527f9d79124b	2	480597	17192573	10815	0.2675
951bc040-ed04-477b-a8e9-527f9d79124b	2	17192684	23679459	4386	0.3029
951bc040-ed04-477b-a8e9-527f9d79124b	2	23679852	28408551	2168	0.2396
951bc040-ed04-477b-a8e9-527f9d79124b	2	28413873	60496131	18445	0.2802
951bc040-ed04-477b-a8e9-527f9d79124b	2	60499892	61901576	671	0.2053
951bc040-ed04-477b-a8e9-527f9d79124b	2	61903152	65552052	1831	0.2594
951bc040-ed04-477b-a8e9-527f9d79124b	2	65554091	67413146	1361	0.3209
951bc040-ed04-477b-a8e9-527f9d79124b	2	67414477	67725962	266	0.2756
951bc040-ed04-477b-a8e9-527f9d79124b	2	67726241	68052033	218	0.4484
951bc040-ed04-477b-a8e9-527f9d79124b	2	68052876	131879910	29017	0.2645
951bc040-ed04-477b-a8e9-527f9d79124b	2	131880553	134056215	1040	0.3384
951bc040-ed04-477b-a8e9-527f9d79124b	2	134058686	141535757	4124	0.2681
951bc040-ed04-477b-a8e9-527f9d79124b	2	141535794	200930415	33434	0.2985
951bc040-ed04-477b-a8e9-527f9d79124b	2	200932953	201298088	153	0.1289
951bc040-ed04-477b-a8e9-527f9d79124b	2	201298760	217979275	10049	0.2975
951bc040-ed04-477b-a8e9-527f9d79124b	2	217980833	219882757	966	0.2496
951bc040-ed04-477b-a8e9-527f9d79124b	2	219886496	227334743	4933	0.2886
951bc040-ed04-477b-a8e9-527f9d79124b	2	227337353	240671904	7924	0.2565
951bc040-ed04-477b-a8e9-527f9d79124b	2	240776486	241449048	318	-0.7526
951bc040-ed04-477b-a8e9-527f9d79124b	2	241452390	241537572	64	0.2304
951bc040-ed04-477b-a8e9-527f9d79124b	3	2170634	17569636	9431	-0.666
951bc040-ed04-477b-a8e9-527f9d79124b	3	17572353	31312767	7997	-0.6114
951bc040-ed04-477b-a8e9-527f9d79124b	3	31312903	33142615	1115	-0.6744
951bc040-ed04-477b-a8e9-527f9d79124b	3	33144306	33144367	2	-2.8473
951bc040-ed04-477b-a8e9-527f9d79124b	3	33145590	38308603	3039	-0.6293
951bc040-ed04-477b-a8e9-527f9d79124b	3	38308643	38309028	4	-4.8009
951bc040-ed04-477b-a8e9-527f9d79124b	3	38309052	68967335	17686	-0.6508
951bc040-ed04-477b-a8e9-527f9d79124b	3	68969083	77436235	5333	0.3465
951bc040-ed04-477b-a8e9-527f9d79124b	3	77436274	77436347	2	-1.5731
951bc040-ed04-477b-a8e9-527f9d79124b	3	77436506	79080519	899	0.3397
951bc040-ed04-477b-a8e9-527f9d79124b	3	79083682	116808395	18196	-0.6318
951bc040-ed04-477b-a8e9-527f9d79124b	3	116808772	116839883	47	-1.2341
951bc040-ed04-477b-a8e9-527f9d79124b	3	116841789	123801647	3987	-0.6336
