GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
cd3018a7-8f01-4ab6-a8ca-886035fa3b66	1	3301765	46129164	22829	0.0088
cd3018a7-8f01-4ab6-a8ca-886035fa3b66	1	46130011	47834281	950	-0.6112
cd3018a7-8f01-4ab6-a8ca-886035fa3b66	1	47838589	68137903	13353	0.0331
cd3018a7-8f01-4ab6-a8ca-886035fa3b66	1	68140277	83734342	8830	0.0731
cd3018a7-8f01-4ab6-a8ca-886035fa3b66	1	83735173	84019829	213	0.5229
cd3018a7-8f01-4ab6-a8ca-886035fa3b66	1	84019915	101936192	11142	0.0603
cd3018a7-8f01-4ab6-a8ca-886035fa3b66	1	101936647	107425053	2734	0.0895
cd3018a7-8f01-4ab6-a8ca-886035fa3b66	1	107427443	149962017	7688	0.0489
cd3018a7-8f01-4ab6-a8ca-886035fa3b66	1	149963014	169236425	11936	0.1689
cd3018a7-8f01-4ab6-a8ca-886035fa3b66	1	169238714	169731615	348	0.2165
cd3018a7-8f01-4ab6-a8ca-886035fa3b66	1	169731712	169731967	2	-1.0023
cd3018a7-8f01-4ab6-a8ca-886035fa3b66	1	169732053	185433862	9709	0.2096
cd3018a7-8f01-4ab6-a8ca-886035fa3b66	1	185434040	199163917	7960	0.2422
cd3018a7-8f01-4ab6-a8ca-886035fa3b66	1	199168323	247650984	31299	0.4417
cd3018a7-8f01-4ab6-a8ca-886035fa3b66	2	480597	121947966	64241	0.048
cd3018a7-8f01-4ab6-a8ca-886035fa3b66	2	121948858	122674080	502	-0.5634
cd3018a7-8f01-4ab6-a8ca-886035fa3b66	2	122674222	122674420	5	0.6145
cd3018a7-8f01-4ab6-a8ca-886035fa3b66	2	122679485	122682252	7	-0.5721
cd3018a7-8f01-4ab6-a8ca-886035fa3b66	2	122682499	122694017	2	-3.0179
cd3018a7-8f01-4ab6-a8ca-886035fa3b66	2	122694219	129011759	2950	-0.5799
cd3018a7-8f01-4ab6-a8ca-886035fa3b66	2	129012104	130455273	698	0.0504
cd3018a7-8f01-4ab6-a8ca-886035fa3b66	2	130471073	130486519	2	2.1586
cd3018a7-8f01-4ab6-a8ca-886035fa3b66	2	130726392	150869874	10818	0.0674
cd3018a7-8f01-4ab6-a8ca-886035fa3b66	2	150870101	151440658	381	0.4527
cd3018a7-8f01-4ab6-a8ca-886035fa3b66	2	151449346	161342211	5834	0.0711
cd3018a7-8f01-4ab6-a8ca-886035fa3b66	2	161342482	167272994	3239	0.1123
cd3018a7-8f01-4ab6-a8ca-886035fa3b66	2	167276810	196220490	15727	0.0774
cd3018a7-8f01-4ab6-a8ca-886035fa3b66	2	196221099	207289314	6360	0.0527
cd3018a7-8f01-4ab6-a8ca-886035fa3b66	2	207291110	207291332	2	-1.2481
cd3018a7-8f01-4ab6-a8ca-886035fa3b66	2	207291651	207889598	311	0.0286
