GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
00a9cd7a-f609-4741-a261-79e844901abd	1	3301765	4931158	1155	0.9203
00a9cd7a-f609-4741-a261-79e844901abd	1	4934392	5575326	435	0.7159
00a9cd7a-f609-4741-a261-79e844901abd	1	5576281	5576770	6	0.239
00a9cd7a-f609-4741-a261-79e844901abd	1	5577019	5647403	79	0.6972
00a9cd7a-f609-4741-a261-79e844901abd	1	5647439	5647455	2	-1.1992
00a9cd7a-f609-4741-a261-79e844901abd	1	5647878	17911945	6224	0.7587
00a9cd7a-f609-4741-a261-79e844901abd	1	17912552	18417091	474	0.5428
00a9cd7a-f609-4741-a261-79e844901abd	1	18420290	26122744	4220	0.2475
00a9cd7a-f609-4741-a261-79e844901abd	1	26125895	26252584	58	0.5472
00a9cd7a-f609-4741-a261-79e844901abd	1	26260784	57329764	16893	0.2606
00a9cd7a-f609-4741-a261-79e844901abd	1	57330108	59974911	1962	0.2252
00a9cd7a-f609-4741-a261-79e844901abd	1	59976105	64831333	3355	0.2869
00a9cd7a-f609-4741-a261-79e844901abd	1	64833294	67175379	1753	0.2065
00a9cd7a-f609-4741-a261-79e844901abd	1	67176383	83900867	9767	0.249
00a9cd7a-f609-4741-a261-79e844901abd	1	83904684	87176667	2078	0.2985
00a9cd7a-f609-4741-a261-79e844901abd	1	87176703	87176721	2	-0.9139
00a9cd7a-f609-4741-a261-79e844901abd	1	87176744	96422852	5802	0.2861
00a9cd7a-f609-4741-a261-79e844901abd	1	96423702	102190128	3560	0.2445
00a9cd7a-f609-4741-a261-79e844901abd	1	102393290	107458685	2611	-0.1697
00a9cd7a-f609-4741-a261-79e844901abd	1	107458826	157783783	11551	-0.109
00a9cd7a-f609-4741-a261-79e844901abd	1	157785419	159126311	891	-0.1879
00a9cd7a-f609-4741-a261-79e844901abd	1	159128584	164594188	3631	-0.0799
00a9cd7a-f609-4741-a261-79e844901abd	1	164602134	166302053	1431	-0.1494
00a9cd7a-f609-4741-a261-79e844901abd	1	166302062	174509998	5546	-0.1054
00a9cd7a-f609-4741-a261-79e844901abd	1	174511292	177680074	1679	-0.1407
00a9cd7a-f609-4741-a261-79e844901abd	1	177682075	182415115	3155	-0.0937
00a9cd7a-f609-4741-a261-79e844901abd	1	182417175	184368838	1354	0.4891
00a9cd7a-f609-4741-a261-79e844901abd	1	184368903	187903751	2163	0.416
00a9cd7a-f609-4741-a261-79e844901abd	1	187903951	188826871	587	0.4835
00a9cd7a-f609-4741-a261-79e844901abd	1	188827916	190316406	749	0.2274
00a9cd7a-f609-4741-a261-79e844901abd	1	190318210	190326509	7	-0.4875
00a9cd7a-f609-4741-a261-79e844901abd	1	190330072	191686815	762	0.2319
00a9cd7a-f609-4741-a261-79e844901abd	1	191689687	191691704	2	-1.0591
00a9cd7a-f609-4741-a261-79e844901abd	1	191695184	191759320	36	0.2493
00a9cd7a-f609-4741-a261-79e844901abd	1	191765149	193905579	1449	0.7599
00a9cd7a-f609-4741-a261-79e844901abd	1	193906147	199351505	2979	0.2238
00a9cd7a-f609-4741-a261-79e844901abd	1	199351657	203433524	2655	0.2933
00a9cd7a-f609-4741-a261-79e844901abd	1	203433989	209203205	3810	0.2564
00a9cd7a-f609-4741-a261-79e844901abd	1	209204430	209205197	3	-0.5169
00a9cd7a-f609-4741-a261-79e844901abd	1	209210262	211673642	1777	0.2578
00a9cd7a-f609-4741-a261-79e844901abd	1	211674693	213369970	972	-0.1524
00a9cd7a-f609-4741-a261-79e844901abd	1	213370406	213371931	3	-1.5266
00a9cd7a-f609-4741-a261-79e844901abd	1	213373754	213444587	57	-0.2125
00a9cd7a-f609-4741-a261-79e844901abd	1	213445034	215947473	1776	-0.11
00a9cd7a-f609-4741-a261-79e844901abd	1	215947771	220735640	3290	-0.1657
00a9cd7a-f609-4741-a261-79e844901abd	1	220737254	221980587	886	-0.222
00a9cd7a-f609-4741-a261-79e844901abd	1	221980830	223643899	889	-0.1612
00a9cd7a-f609-4741-a261-79e844901abd	1	223644660	227963019	2507	-0.1252
00a9cd7a-f609-4741-a261-79e844901abd	1	227967062	227985977	3	-1.2613
00a9cd7a-f609-4741-a261-79e844901abd	1	227989116	238270816	7066	-0.1189
00a9cd7a-f609-4741-a261-79e844901abd	1	238271265	241367288	2369	-0.1806
00a9cd7a-f609-4741-a261-79e844901abd	1	241370076	241370092	2	-2.0448
00a9cd7a-f609-4741-a261-79e844901abd	1	241371012	243272562	1101	-0.1712
00a9cd7a-f609-4741-a261-79e844901abd	1	243283565	243984233	509	0.2279
00a9cd7a-f609-4741-a261-79e844901abd	1	243992424	243992458	2	-1.6313
00a9cd7a-f609-4741-a261-79e844901abd	1	243992897	245066428	537	0.2389
00a9cd7a-f609-4741-a261-79e844901abd	1	245069495	247650984	1120	-0.1037
00a9cd7a-f609-4741-a261-79e844901abd	2	480597	2054654	292	0.0855
00a9cd7a-f609-4741-a261-79e844901abd	2	2055805	3446047	893	0.2078
00a9cd7a-f609-4741-a261-79e844901abd	2	3451447	3548244	59	0.4891
00a9cd7a-f609-4741-a261-79e844901abd	2	3556257	4597362	804	0.2365
00a9cd7a-f609-4741-a261-79e844901abd	2	4602182	4602761	2	1.3131
00a9cd7a-f609-4741-a261-79e844901abd	2	4604202	4726063	83	0.2194
00a9cd7a-f609-4741-a261-79e844901abd	2	4726553	5026757	201	0.2069
00a9cd7a-f609-4741-a261-79e844901abd	2	5026974	8648309	2736	0.1498
00a9cd7a-f609-4741-a261-79e844901abd	2	8649069	9274853	351	0.217
00a9cd7a-f609-4741-a261-79e844901abd	2	9276528	9277205	2	-0.8354
00a9cd7a-f609-4741-a261-79e844901abd	2	9278145	10970385	1215	0.2187
00a9cd7a-f609-4741-a261-79e844901abd	2	10971420	11067198	75	-0.1639
00a9cd7a-f609-4741-a261-79e844901abd	2	11067557	12146770	732	0.1905
00a9cd7a-f609-4741-a261-79e844901abd	2	12147615	13585939	972	0.1348
00a9cd7a-f609-4741-a261-79e844901abd	2	13586488	14986315	835	0.1966
00a9cd7a-f609-4741-a261-79e844901abd	2	14986738	16189862	809	0.2509
00a9cd7a-f609-4741-a261-79e844901abd	2	16191096	16830627	522	0.3284
00a9cd7a-f609-4741-a261-79e844901abd	2	16833169	20174488	2423	0.2231
00a9cd7a-f609-4741-a261-79e844901abd	2	20174525	21240008	621	0.3531
00a9cd7a-f609-4741-a261-79e844901abd	2	21240840	26349200	2758	0.2569
00a9cd7a-f609-4741-a261-79e844901abd	2	26350584	27107063	392	0.0965
00a9cd7a-f609-4741-a261-79e844901abd	2	27122616	27122853	2	-0.7741
00a9cd7a-f609-4741-a261-79e844901abd	2	27123333	27243287	65	0.0698
00a9cd7a-f609-4741-a261-79e844901abd	2	27246652	27389375	42	0.4214
00a9cd7a-f609-4741-a261-79e844901abd	2	27391201	29460014	1111	0.0803
00a9cd7a-f609-4741-a261-79e844901abd	2	29460118	44507816	8444	0.1108
00a9cd7a-f609-4741-a261-79e844901abd	2	44508160	52173018	4705	0.0743
00a9cd7a-f609-4741-a261-79e844901abd	2	52358148	52728754	154	-0.1817
00a9cd7a-f609-4741-a261-79e844901abd	2	52731196	52834040	81	-0.7895
00a9cd7a-f609-4741-a261-79e844901abd	2	52835562	55492484	1375	-0.1461
00a9cd7a-f609-4741-a261-79e844901abd	2	55493603	57048160	888	-0.0843
00a9cd7a-f609-4741-a261-79e844901abd	2	57048839	77149443	11694	-0.1376
00a9cd7a-f609-4741-a261-79e844901abd	2	77150041	83274345	3135	-0.2036
00a9cd7a-f609-4741-a261-79e844901abd	2	83275068	88831554	2310	-0.137
00a9cd7a-f609-4741-a261-79e844901abd	2	94675825	98952870	1378	0.0638
00a9cd7a-f609-4741-a261-79e844901abd	2	98953929	99359407	138	0.416
00a9cd7a-f609-4741-a261-79e844901abd	2	99359828	103880476	2842	0.0452
00a9cd7a-f609-4741-a261-79e844901abd	2	103881440	103978813	65	0.2784
00a9cd7a-f609-4741-a261-79e844901abd	2	103978832	104470731	298	0.485
00a9cd7a-f609-4741-a261-79e844901abd	2	104470858	105718139	885	0.9127
00a9cd7a-f609-4741-a261-79e844901abd	2	105721262	106480065	506	0.7026
00a9cd7a-f609-4741-a261-79e844901abd	2	106486818	106516642	11	0.245
00a9cd7a-f609-4741-a261-79e844901abd	2	106522758	106636674	80	0.7709
00a9cd7a-f609-4741-a261-79e844901abd	2	106637563	106642298	8	0.5147
00a9cd7a-f609-4741-a261-79e844901abd	2	106687584	107054744	275	0.1987
00a9cd7a-f609-4741-a261-79e844901abd	2	107055451	107143810	68	0.4467
00a9cd7a-f609-4741-a261-79e844901abd	2	107146466	108727282	799	0.6242
00a9cd7a-f609-4741-a261-79e844901abd	2	108727501	111762497	1035	0.5304
00a9cd7a-f609-4741-a261-79e844901abd	2	111773105	111821754	6	-0.0266
00a9cd7a-f609-4741-a261-79e844901abd	2	111826247	112640165	354	0.5374
00a9cd7a-f609-4741-a261-79e844901abd	2	112641587	112642218	4	0.3686
00a9cd7a-f609-4741-a261-79e844901abd	2	112652438	112784242	120	0.0226
00a9cd7a-f609-4741-a261-79e844901abd	2	112784560	112833698	39	0.3061
00a9cd7a-f609-4741-a261-79e844901abd	2	112836810	112908921	41	-0.115
00a9cd7a-f609-4741-a261-79e844901abd	2	112910176	113795177	478	0.2765
00a9cd7a-f609-4741-a261-79e844901abd	2	113796101	114338224	336	-0.1203
00a9cd7a-f609-4741-a261-79e844901abd	2	114339213	114755923	243	0.2897
00a9cd7a-f609-4741-a261-79e844901abd	2	114756023	115333514	301	0.5597
00a9cd7a-f609-4741-a261-79e844901abd	2	115340562	116057224	346	0.7423
00a9cd7a-f609-4741-a261-79e844901abd	2	116057385	116214083	75	1.1185
00a9cd7a-f609-4741-a261-79e844901abd	2	116259983	116468142	115	0.7734
00a9cd7a-f609-4741-a261-79e844901abd	2	116468261	119055183	1304	0.7033
00a9cd7a-f609-4741-a261-79e844901abd	2	119055204	120141924	638	0.8288
00a9cd7a-f609-4741-a261-79e844901abd	2	120153957	120220390	36	0.3972
00a9cd7a-f609-4741-a261-79e844901abd	2	120228079	120261559	14	0.728
00a9cd7a-f609-4741-a261-79e844901abd	2	120261816	123624489	2007	0.3993
00a9cd7a-f609-4741-a261-79e844901abd	2	123625013	126420502	939	0.3309
00a9cd7a-f609-4741-a261-79e844901abd	2	126421004	127811626	807	0.3903
00a9cd7a-f609-4741-a261-79e844901abd	2	127811674	140656542	6398	0.2336
00a9cd7a-f609-4741-a261-79e844901abd	2	140656871	140657374	3	-0.8069
00a9cd7a-f609-4741-a261-79e844901abd	2	140658938	148404299	4376	0.2188
00a9cd7a-f609-4741-a261-79e844901abd	2	148404807	153217342	3100	0.2675
00a9cd7a-f609-4741-a261-79e844901abd	2	153217542	156960391	2029	0.2327
00a9cd7a-f609-4741-a261-79e844901abd	2	156962167	167531193	6027	-0.1359
00a9cd7a-f609-4741-a261-79e844901abd	2	167532834	167662894	87	0.2262
00a9cd7a-f609-4741-a261-79e844901abd	2	167668968	172649982	3197	-0.1161
00a9cd7a-f609-4741-a261-79e844901abd	2	172658402	173094321	358	0.1047
00a9cd7a-f609-4741-a261-79e844901abd	2	173098224	174558335	956	-0.1025
00a9cd7a-f609-4741-a261-79e844901abd	2	174562125	187652646	7147	-0.1661
00a9cd7a-f609-4741-a261-79e844901abd	2	187652749	188780466	430	-0.1359
00a9cd7a-f609-4741-a261-79e844901abd	2	188780536	190062434	735	-0.0538
00a9cd7a-f609-4741-a261-79e844901abd	2	190062531	199132996	4450	-0.1363
00a9cd7a-f609-4741-a261-79e844901abd	2	199139645	199150371	16	-0.7821
00a9cd7a-f609-4741-a261-79e844901abd	2	199150705	199667418	282	-0.1527
00a9cd7a-f609-4741-a261-79e844901abd	2	199671138	209305440	5589	-0.1075
00a9cd7a-f609-4741-a261-79e844901abd	2	209306599	214076369	2811	-0.1466
00a9cd7a-f609-4741-a261-79e844901abd	2	214076471	214076993	2	-1.3229
00a9cd7a-f609-4741-a261-79e844901abd	2	214077175	214425299	194	-0.155
00a9cd7a-f609-4741-a261-79e844901abd	2	214425658	222230203	5058	-0.0176
00a9cd7a-f609-4741-a261-79e844901abd	2	222233464	227648525	3452	-0.0792
00a9cd7a-f609-4741-a261-79e844901abd	2	227650507	231379723	2114	-0.0351
00a9cd7a-f609-4741-a261-79e844901abd	2	231383725	232299724	365	0.1562
00a9cd7a-f609-4741-a261-79e844901abd	2	232301058	233537865	650	0.0817
