GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
eb118aaa-c623-40fb-b489-bb0b846b082f	1	3301765	8430543	3249	0.2752
eb118aaa-c623-40fb-b489-bb0b846b082f	1	8431853	12688721	2070	0.2231
eb118aaa-c623-40fb-b489-bb0b846b082f	1	12691749	12693187	3	-0.7794
eb118aaa-c623-40fb-b489-bb0b846b082f	1	12696861	13769962	251	0.2205
eb118aaa-c623-40fb-b489-bb0b846b082f	1	13770044	15504368	1363	0.2779
eb118aaa-c623-40fb-b489-bb0b846b082f	1	15504965	17010382	393	0.2023
eb118aaa-c623-40fb-b489-bb0b846b082f	1	17014383	19467693	1737	0.2892
eb118aaa-c623-40fb-b489-bb0b846b082f	1	19470212	26306290	3601	0.234
eb118aaa-c623-40fb-b489-bb0b846b082f	1	26312653	29043372	1017	0.1842
eb118aaa-c623-40fb-b489-bb0b846b082f	1	29043462	30888095	1214	0.2717
eb118aaa-c623-40fb-b489-bb0b846b082f	1	30888963	33139414	956	0.2039
eb118aaa-c623-40fb-b489-bb0b846b082f	1	33141494	39445548	3585	0.2534
eb118aaa-c623-40fb-b489-bb0b846b082f	1	39447213	41317411	893	0.1906
eb118aaa-c623-40fb-b489-bb0b846b082f	1	41318201	54304194	6942	0.2381
eb118aaa-c623-40fb-b489-bb0b846b082f	1	54304751	58941181	3564	0.2605
eb118aaa-c623-40fb-b489-bb0b846b082f	1	58941228	111716365	32039	0.2155
eb118aaa-c623-40fb-b489-bb0b846b082f	1	111717059	112327792	532	0.292
eb118aaa-c623-40fb-b489-bb0b846b082f	1	112327916	114110834	974	0.2288
eb118aaa-c623-40fb-b489-bb0b846b082f	1	114112600	114261622	123	0.3555
eb118aaa-c623-40fb-b489-bb0b846b082f	1	114262145	118167674	2525	0.2338
eb118aaa-c623-40fb-b489-bb0b846b082f	1	118167781	119984772	1078	0.2701
eb118aaa-c623-40fb-b489-bb0b846b082f	1	146716041	151826291	739	0.6644
eb118aaa-c623-40fb-b489-bb0b846b082f	1	151831288	153509241	1015	0.7478
eb118aaa-c623-40fb-b489-bb0b846b082f	1	153510413	160364572	3775	0.7007
eb118aaa-c623-40fb-b489-bb0b846b082f	1	160369540	161747029	722	0.6385
