GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
c62dda8e-e972-4c15-a452-668dc1311a8b	1	3301765	38271109	18774	0.0974
c62dda8e-e972-4c15-a452-668dc1311a8b	1	38271202	38271921	2	-2.0245
c62dda8e-e972-4c15-a452-668dc1311a8b	1	38273018	56440602	10038	0.0969
c62dda8e-e972-4c15-a452-668dc1311a8b	1	56441055	65077572	6379	0.0717
c62dda8e-e972-4c15-a452-668dc1311a8b	1	65079524	75342505	6006	0.1041
c62dda8e-e972-4c15-a452-668dc1311a8b	1	75342903	76393816	745	0.0371
c62dda8e-e972-4c15-a452-668dc1311a8b	1	76394134	94620853	11069	0.0991
c62dda8e-e972-4c15-a452-668dc1311a8b	1	94624486	98479702	2346	0.0624
c62dda8e-e972-4c15-a452-668dc1311a8b	1	98488684	104340337	3313	0.0976
c62dda8e-e972-4c15-a452-668dc1311a8b	1	104341881	106788868	1282	0.1483
c62dda8e-e972-4c15-a452-668dc1311a8b	1	106788898	151437026	8696	0.0876
c62dda8e-e972-4c15-a452-668dc1311a8b	1	151437367	154274778	1501	-0.7564
c62dda8e-e972-4c15-a452-668dc1311a8b	1	154282794	166206806	7733	0.0848
c62dda8e-e972-4c15-a452-668dc1311a8b	1	166226465	168443941	1576	0.1249
c62dda8e-e972-4c15-a452-668dc1311a8b	1	168443983	169394108	767	0.0873
c62dda8e-e972-4c15-a452-668dc1311a8b	1	169399324	170894327	1041	-0.7455
c62dda8e-e972-4c15-a452-668dc1311a8b	1	170897365	223533651	33222	0.0939
c62dda8e-e972-4c15-a452-668dc1311a8b	1	223639485	245218815	14036	-0.7636
c62dda8e-e972-4c15-a452-668dc1311a8b	1	245219804	247650984	1061	0.0885
c62dda8e-e972-4c15-a452-668dc1311a8b	2	480597	2763217	799	-0.7924
c62dda8e-e972-4c15-a452-668dc1311a8b	2	2766103	2766429	2	-3.916
c62dda8e-e972-4c15-a452-668dc1311a8b	2	2766470	50006035	28880	-0.7533
c62dda8e-e972-4c15-a452-668dc1311a8b	2	50006214	50006468	3	-3.7929
c62dda8e-e972-4c15-a452-668dc1311a8b	2	50007279	60475631	5746	-0.7243
c62dda8e-e972-4c15-a452-668dc1311a8b	2	60477349	61240095	382	2.2645
c62dda8e-e972-4c15-a452-668dc1311a8b	2	61245497	61897813	307	1.8683
c62dda8e-e972-4c15-a452-668dc1311a8b	2	61901576	62374931	210	3.2743
c62dda8e-e972-4c15-a452-668dc1311a8b	2	62378835	62635298	168	2.3774
c62dda8e-e972-4c15-a452-668dc1311a8b	2	62635391	62645991	4	1.2687
c62dda8e-e972-4c15-a452-668dc1311a8b	2	62649111	63026181	168	1.8489
c62dda8e-e972-4c15-a452-668dc1311a8b	2	63035883	63134804	35	1.3693
c62dda8e-e972-4c15-a452-668dc1311a8b	2	63138756	63143467	3	1.1412
c62dda8e-e972-4c15-a452-668dc1311a8b	2	63156829	63233873	27	0.61
c62dda8e-e972-4c15-a452-668dc1311a8b	2	63237821	63446216	108	0.9847
c62dda8e-e972-4c15-a452-668dc1311a8b	2	63450268	63996815	235	1.5498
c62dda8e-e972-4c15-a452-668dc1311a8b	2	64001646	65260320	697	1.3577
c62dda8e-e972-4c15-a452-668dc1311a8b	2	65262608	65468261	120	1.5715
c62dda8e-e972-4c15-a452-668dc1311a8b	2	65479191	65947803	416	0.1262
c62dda8e-e972-4c15-a452-668dc1311a8b	2	65948328	66777131	546	0.6096
c62dda8e-e972-4c15-a452-668dc1311a8b	2	66778662	67760689	760	0.9525
c62dda8e-e972-4c15-a452-668dc1311a8b	2	67763101	78617923	6143	0.109
c62dda8e-e972-4c15-a452-668dc1311a8b	2	78618505	81542367	1433	0.0672
c62dda8e-e972-4c15-a452-668dc1311a8b	2	81542438	81542889	2	-1.1646
c62dda8e-e972-4c15-a452-668dc1311a8b	2	81545599	85248007	2029	0.1179
c62dda8e-e972-4c15-a452-668dc1311a8b	2	85248580	87894092	767	0.6083
c62dda8e-e972-4c15-a452-668dc1311a8b	2	87919224	104451326	5138	0.105
c62dda8e-e972-4c15-a452-668dc1311a8b	2	104454441	106847298	1607	0.0462
c62dda8e-e972-4c15-a452-668dc1311a8b	2	106849721	107440248	356	0.087
c62dda8e-e972-4c15-a452-668dc1311a8b	2	107447953	109704919	1262	0.5752
c62dda8e-e972-4c15-a452-668dc1311a8b	2	110640222	118540408	3850	0.1234
c62dda8e-e972-4c15-a452-668dc1311a8b	2	118541213	122233286	2215	0.0863
c62dda8e-e972-4c15-a452-668dc1311a8b	2	122234648	123484614	827	0.1523
