GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
d17cc543-60a9-46f4-b735-7b9f3960f0cc	1	3301765	13804396	5523	-0.5412
d17cc543-60a9-46f4-b735-7b9f3960f0cc	1	13806533	14518963	584	-0.4288
d17cc543-60a9-46f4-b735-7b9f3960f0cc	1	14519762	34796909	10623	-0.5388
d17cc543-60a9-46f4-b735-7b9f3960f0cc	1	34802767	46435375	5986	-0.2506
d17cc543-60a9-46f4-b735-7b9f3960f0cc	1	46435874	77832401	19329	-0.2106
d17cc543-60a9-46f4-b735-7b9f3960f0cc	1	77837473	77837557	2	-2.369
d17cc543-60a9-46f4-b735-7b9f3960f0cc	1	77837990	86912944	5420	-0.2006
d17cc543-60a9-46f4-b735-7b9f3960f0cc	1	86918436	86952788	16	-1.0659
d17cc543-60a9-46f4-b735-7b9f3960f0cc	1	86956377	109956533	13153	-0.2085
d17cc543-60a9-46f4-b735-7b9f3960f0cc	1	109957553	113098892	2121	-0.2519
d17cc543-60a9-46f4-b735-7b9f3960f0cc	1	113103246	119984772	4158	-0.8694
d17cc543-60a9-46f4-b735-7b9f3960f0cc	1	146716041	149967212	25	0.1623
d17cc543-60a9-46f4-b735-7b9f3960f0cc	1	149970206	150057713	47	0.5604
d17cc543-60a9-46f4-b735-7b9f3960f0cc	1	150058787	151826291	650	0.1788
d17cc543-60a9-46f4-b735-7b9f3960f0cc	1	151831288	153484450	966	0.2728
d17cc543-60a9-46f4-b735-7b9f3960f0cc	1	153487826	156143270	1159	0.1995
d17cc543-60a9-46f4-b735-7b9f3960f0cc	1	156144069	156917379	371	0.0996
d17cc543-60a9-46f4-b735-7b9f3960f0cc	1	156926372	162349734	3404	0.2155
d17cc543-60a9-46f4-b735-7b9f3960f0cc	1	162349961	162407526	53	0.6489
d17cc543-60a9-46f4-b735-7b9f3960f0cc	1	162408139	208348489	28741	0.2236
d17cc543-60a9-46f4-b735-7b9f3960f0cc	1	208348799	210874504	1933	0.2985
d17cc543-60a9-46f4-b735-7b9f3960f0cc	1	210876416	213388373	1455	0.2077
d17cc543-60a9-46f4-b735-7b9f3960f0cc	1	213388543	216315510	2007	0.282
d17cc543-60a9-46f4-b735-7b9f3960f0cc	1	216316585	220459333	2866	0.2292
d17cc543-60a9-46f4-b735-7b9f3960f0cc	1	220468945	220532350	39	0.6999
d17cc543-60a9-46f4-b735-7b9f3960f0cc	1	220532548	224478670	2315	0.2048
d17cc543-60a9-46f4-b735-7b9f3960f0cc	1	224479066	239921276	10160	0.2316
d17cc543-60a9-46f4-b735-7b9f3960f0cc	1	239928465	247650984	4328	0.1873
d17cc543-60a9-46f4-b735-7b9f3960f0cc	2	480597	2908533	930	0.7292
d17cc543-60a9-46f4-b735-7b9f3960f0cc	2	2909926	4597362	1103	0.777
d17cc543-60a9-46f4-b735-7b9f3960f0cc	2	4602182	16255224	7950	0.7099
d17cc543-60a9-46f4-b735-7b9f3960f0cc	2	16255359	36868752	11859	0.7581
d17cc543-60a9-46f4-b735-7b9f3960f0cc	2	36870278	62917406	14581	0.7265
d17cc543-60a9-46f4-b735-7b9f3960f0cc	2	62917560	65278812	1142	0.4041
d17cc543-60a9-46f4-b735-7b9f3960f0cc	2	65290548	65387442	67	0.0724
d17cc543-60a9-46f4-b735-7b9f3960f0cc	2	65388294	67210465	1284	0.4438
d17cc543-60a9-46f4-b735-7b9f3960f0cc	2	67210478	67210492	2	-1.8068
d17cc543-60a9-46f4-b735-7b9f3960f0cc	2	67210621	72092440	3064	0.426
d17cc543-60a9-46f4-b735-7b9f3960f0cc	2	72093723	72095833	3	-1.0659
d17cc543-60a9-46f4-b735-7b9f3960f0cc	2	72096087	77459260	2816	0.4233
d17cc543-60a9-46f4-b735-7b9f3960f0cc	2	77460143	77460152	2	-1.6293
d17cc543-60a9-46f4-b735-7b9f3960f0cc	2	77460672	85105322	3914	0.3996
d17cc543-60a9-46f4-b735-7b9f3960f0cc	2	85105337	85106283	2	-2.0104
d17cc543-60a9-46f4-b735-7b9f3960f0cc	2	85106853	88831554	1270	0.3772
d17cc543-60a9-46f4-b735-7b9f3960f0cc	2	94675825	105648279	5446	-0.0562
d17cc543-60a9-46f4-b735-7b9f3960f0cc	2	105648956	113947958	3903	0.3622
d17cc543-60a9-46f4-b735-7b9f3960f0cc	2	113950285	115308764	780	0.4461
d17cc543-60a9-46f4-b735-7b9f3960f0cc	2	115312272	120402633	2570	0.3784
d17cc543-60a9-46f4-b735-7b9f3960f0cc	2	120403826	123051838	1677	0.4548
d17cc543-60a9-46f4-b735-7b9f3960f0cc	2	123052132	132787433	3919	0.3612
d17cc543-60a9-46f4-b735-7b9f3960f0cc	2	132787673	133089557	245	-0.0445
d17cc543-60a9-46f4-b735-7b9f3960f0cc	2	133089907	134745027	1087	0.3641
d17cc543-60a9-46f4-b735-7b9f3960f0cc	2	134751196	140384835	2854	0.8604
d17cc543-60a9-46f4-b735-7b9f3960f0cc	2	140385055	140457137	33	0.4383
d17cc543-60a9-46f4-b735-7b9f3960f0cc	2	140457856	140538540	52	0.3217
d17cc543-60a9-46f4-b735-7b9f3960f0cc	2	140542855	140676785	96	-0.0245
d17cc543-60a9-46f4-b735-7b9f3960f0cc	2	140688862	140768050	56	0.5439
d17cc543-60a9-46f4-b735-7b9f3960f0cc	2	140768643	140852954	44	0.2719
d17cc543-60a9-46f4-b735-7b9f3960f0cc	2	140856706	140972761	55	-0.0992
d17cc543-60a9-46f4-b735-7b9f3960f0cc	2	140973692	141045927	70	0.3027
d17cc543-60a9-46f4-b735-7b9f3960f0cc	2	141050027	141116468	42	0.3884
d17cc543-60a9-46f4-b735-7b9f3960f0cc	2	141116841	141263078	78	0.7055
d17cc543-60a9-46f4-b735-7b9f3960f0cc	2	141264281	141280128	11	0.4634
d17cc543-60a9-46f4-b735-7b9f3960f0cc	2	141281806	141297564	14	0.2911
d17cc543-60a9-46f4-b735-7b9f3960f0cc	2	141303228	141320753	14	-0.085
d17cc543-60a9-46f4-b735-7b9f3960f0cc	2	141326250	141360811	20	0.2671
d17cc543-60a9-46f4-b735-7b9f3960f0cc	2	141360960	141629864	203	0.5127
d17cc543-60a9-46f4-b735-7b9f3960f0cc	2	141632802	148114668	3554	0.8213
d17cc543-60a9-46f4-b735-7b9f3960f0cc	2	148114944	148172368	21	0.3887
d17cc543-60a9-46f4-b735-7b9f3960f0cc	2	148174421	148283664	50	0.1078
d17cc543-60a9-46f4-b735-7b9f3960f0cc	2	148293336	148431824	66	0.4321
d17cc543-60a9-46f4-b735-7b9f3960f0cc	2	148435364	155577194	4286	0.8316
d17cc543-60a9-46f4-b735-7b9f3960f0cc	2	155577461	161471229	3446	0.8811
d17cc543-60a9-46f4-b735-7b9f3960f0cc	2	161473949	164042812	1310	0.8192
d17cc543-60a9-46f4-b735-7b9f3960f0cc	2	164048404	165792050	934	0.9323
d17cc543-60a9-46f4-b735-7b9f3960f0cc	2	165792161	176266875	6465	0.8452
