GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
d18e69d5-6b51-413c-8247-c24a2e688e2e	1	3301765	30274729	14496	-0.1831
d18e69d5-6b51-413c-8247-c24a2e688e2e	1	30276813	30284173	9	-0.9851
d18e69d5-6b51-413c-8247-c24a2e688e2e	1	30287109	53474056	12253	-0.1683
d18e69d5-6b51-413c-8247-c24a2e688e2e	1	53474116	82624618	18822	-0.1227
d18e69d5-6b51-413c-8247-c24a2e688e2e	1	82628504	90693889	5232	-0.0786
d18e69d5-6b51-413c-8247-c24a2e688e2e	1	90694029	103249475	7518	-0.1163
d18e69d5-6b51-413c-8247-c24a2e688e2e	1	103249800	151665941	10464	-0.1533
d18e69d5-6b51-413c-8247-c24a2e688e2e	1	151670336	153496983	1094	-0.0857
d18e69d5-6b51-413c-8247-c24a2e688e2e	1	153497852	156878314	1508	-0.1459
d18e69d5-6b51-413c-8247-c24a2e688e2e	1	156881249	165001654	5492	-0.0571
d18e69d5-6b51-413c-8247-c24a2e688e2e	1	165004385	165004406	2	-1.6134
d18e69d5-6b51-413c-8247-c24a2e688e2e	1	165005570	165992175	871	-0.0544
d18e69d5-6b51-413c-8247-c24a2e688e2e	1	165998654	165998889	3	-1.4615
d18e69d5-6b51-413c-8247-c24a2e688e2e	1	166001874	189178035	14885	-0.035
d18e69d5-6b51-413c-8247-c24a2e688e2e	1	189178049	189283727	48	-0.6552
d18e69d5-6b51-413c-8247-c24a2e688e2e	1	189287661	191207797	993	-0.0628
d18e69d5-6b51-413c-8247-c24a2e688e2e	1	191208195	199000306	4532	-0.0071
d18e69d5-6b51-413c-8247-c24a2e688e2e	1	199001177	207324642	5259	-0.059
d18e69d5-6b51-413c-8247-c24a2e688e2e	1	207327005	240389035	22294	-0.0239
d18e69d5-6b51-413c-8247-c24a2e688e2e	1	240390953	247650984	3998	-0.073
d18e69d5-6b51-413c-8247-c24a2e688e2e	2	480597	10987579	6647	0.1956
d18e69d5-6b51-413c-8247-c24a2e688e2e	2	10987848	33994208	13866	0.2392
d18e69d5-6b51-413c-8247-c24a2e688e2e	2	33997179	47133563	7900	0.2698
d18e69d5-6b51-413c-8247-c24a2e688e2e	2	47133882	49350528	1183	0.2128
d18e69d5-6b51-413c-8247-c24a2e688e2e	2	49352528	61424409	6672	0.2787
d18e69d5-6b51-413c-8247-c24a2e688e2e	2	61429713	62269588	381	0.1598
d18e69d5-6b51-413c-8247-c24a2e688e2e	2	62270035	69537915	4405	0.2829
d18e69d5-6b51-413c-8247-c24a2e688e2e	2	69538508	84797607	8318	0.2494
d18e69d5-6b51-413c-8247-c24a2e688e2e	2	84798245	85130119	163	0.1484
d18e69d5-6b51-413c-8247-c24a2e688e2e	2	85130210	88299374	1000	0.2203
d18e69d5-6b51-413c-8247-c24a2e688e2e	2	88311644	101020547	2929	0.1415
d18e69d5-6b51-413c-8247-c24a2e688e2e	2	101020649	103572870	1527	0.4401
d18e69d5-6b51-413c-8247-c24a2e688e2e	2	103573621	107708220	2586	0.3784
d18e69d5-6b51-413c-8247-c24a2e688e2e	2	107708821	122441149	7397	0.4208
d18e69d5-6b51-413c-8247-c24a2e688e2e	2	122441719	129045491	3184	0.2683
d18e69d5-6b51-413c-8247-c24a2e688e2e	2	129051610	137175515	4051	0.4918
d18e69d5-6b51-413c-8247-c24a2e688e2e	2	137175860	140664114	1602	0.2665
d18e69d5-6b51-413c-8247-c24a2e688e2e	2	140666853	141276106	367	-0.0091
d18e69d5-6b51-413c-8247-c24a2e688e2e	2	141276401	160718408	11371	0.2648
d18e69d5-6b51-413c-8247-c24a2e688e2e	2	160719438	168742919	4652	0.4289
d18e69d5-6b51-413c-8247-c24a2e688e2e	2	168744575	186323398	10212	0.4016
d18e69d5-6b51-413c-8247-c24a2e688e2e	2	186325437	192841741	3436	0.4449
d18e69d5-6b51-413c-8247-c24a2e688e2e	2	193057320	213759514	11378	-0.3423
d18e69d5-6b51-413c-8247-c24a2e688e2e	2	213769245	213793538	13	-1.0812
d18e69d5-6b51-413c-8247-c24a2e688e2e	2	213794862	225413682	7512	-0.3586
d18e69d5-6b51-413c-8247-c24a2e688e2e	2	225414552	241537572	9467	-0.3893
d18e69d5-6b51-413c-8247-c24a2e688e2e	3	2170634	6339859	2058	-0.1522
d18e69d5-6b51-413c-8247-c24a2e688e2e	3	6347388	6347485	2	-2.7121
d18e69d5-6b51-413c-8247-c24a2e688e2e	3	6350632	17261553	7297	-0.1331
d18e69d5-6b51-413c-8247-c24a2e688e2e	3	17262207	31314932	8169	-0.0952
d18e69d5-6b51-413c-8247-c24a2e688e2e	3	31316470	46118774	8799	-0.1276
d18e69d5-6b51-413c-8247-c24a2e688e2e	3	46120139	53554732	3154	-0.1738
d18e69d5-6b51-413c-8247-c24a2e688e2e	3	53557082	71822029	12018	-0.1017
d18e69d5-6b51-413c-8247-c24a2e688e2e	3	71822117	76298343	2625	-0.161
d18e69d5-6b51-413c-8247-c24a2e688e2e	3	76309717	82706220	3593	-0.106
d18e69d5-6b51-413c-8247-c24a2e688e2e	3	82706841	82707026	2	-1.8828
d18e69d5-6b51-413c-8247-c24a2e688e2e	3	82709592	86119044	1521	-0.16
d18e69d5-6b51-413c-8247-c24a2e688e2e	3	86120618	86360598	136	0.464
d18e69d5-6b51-413c-8247-c24a2e688e2e	3	86361840	87167801	412	0.2508
d18e69d5-6b51-413c-8247-c24a2e688e2e	3	87169497	87712691	285	-0.2242
d18e69d5-6b51-413c-8247-c24a2e688e2e	3	87726299	88053658	92	0.2022
d18e69d5-6b51-413c-8247-c24a2e688e2e	3	88061879	88745316	355	0.7454
d18e69d5-6b51-413c-8247-c24a2e688e2e	3	88752728	89526913	506	0.2214
d18e69d5-6b51-413c-8247-c24a2e688e2e	3	89530467	89586720	17	0.5103
d18e69d5-6b51-413c-8247-c24a2e688e2e	3	89590036	90200333	209	0.9701
d18e69d5-6b51-413c-8247-c24a2e688e2e	3	90203297	91462299	44	0.3691
d18e69d5-6b51-413c-8247-c24a2e688e2e	3	94015345	94314647	139	1.1435
d18e69d5-6b51-413c-8247-c24a2e688e2e	3	94314900	95261298	454	0.9121
d18e69d5-6b51-413c-8247-c24a2e688e2e	3	95265806	95315145	43	1.341
d18e69d5-6b51-413c-8247-c24a2e688e2e	3	95315212	96676935	698	0.928
d18e69d5-6b51-413c-8247-c24a2e688e2e	3	96677533	97710240	502	1.2631
d18e69d5-6b51-413c-8247-c24a2e688e2e	3	97710730	99695635	1102	0.9174
d18e69d5-6b51-413c-8247-c24a2e688e2e	3	99697599	102219533	1312	1.1795
d18e69d5-6b51-413c-8247-c24a2e688e2e	3	102225518	103444667	612	1.4437
d18e69d5-6b51-413c-8247-c24a2e688e2e	3	103445325	103659603	121	1.123
d18e69d5-6b51-413c-8247-c24a2e688e2e	3	103660759	104236890	348	1.3832
d18e69d5-6b51-413c-8247-c24a2e688e2e	3	104240243	104593766	218	-0.1798
d18e69d5-6b51-413c-8247-c24a2e688e2e	3	104604242	104653314	43	1.3641
d18e69d5-6b51-413c-8247-c24a2e688e2e	3	104653376	104825304	162	0.896
d18e69d5-6b51-413c-8247-c24a2e688e2e	3	104825535	106829752	1202	-0.18
d18e69d5-6b51-413c-8247-c24a2e688e2e	3	106831253	142375789	20385	-0.2237
d18e69d5-6b51-413c-8247-c24a2e688e2e	3	142375835	157473521	7968	-0.1964
d18e69d5-6b51-413c-8247-c24a2e688e2e	3	157474361	157525725	34	0.2378
d18e69d5-6b51-413c-8247-c24a2e688e2e	3	157526160	157622136	71	0.5301
d18e69d5-6b51-413c-8247-c24a2e688e2e	3	157622297	163994422	3182	-0.2344
d18e69d5-6b51-413c-8247-c24a2e688e2e	3	163994736	163997149	3	0.4523
d18e69d5-6b51-413c-8247-c24a2e688e2e	3	163998024	169832971	2781	0.9727
d18e69d5-6b51-413c-8247-c24a2e688e2e	3	169834467	169834593	2	-0.825
d18e69d5-6b51-413c-8247-c24a2e688e2e	3	169835193	179145078	4631	0.9583
d18e69d5-6b51-413c-8247-c24a2e688e2e	3	179146357	179841985	527	0.8495
d18e69d5-6b51-413c-8247-c24a2e688e2e	3	179843714	182976788	1646	0.9684
d18e69d5-6b51-413c-8247-c24a2e688e2e	3	182978381	187478816	2276	0.8812
d18e69d5-6b51-413c-8247-c24a2e688e2e	3	187479351	191706102	2941	0.9705
d18e69d5-6b51-413c-8247-c24a2e688e2e	3	191706197	192806437	585	1.2209
d18e69d5-6b51-413c-8247-c24a2e688e2e	3	192814530	197812401	1919	0.4833
d18e69d5-6b51-413c-8247-c24a2e688e2e	4	1059384	14346545	7905	-0.1943
d18e69d5-6b51-413c-8247-c24a2e688e2e	4	14349167	24278859	6692	-0.1491
d18e69d5-6b51-413c-8247-c24a2e688e2e	4	24278957	39900778	9564	-0.1768
d18e69d5-6b51-413c-8247-c24a2e688e2e	4	39916995	39924107	7	0.4135
d18e69d5-6b51-413c-8247-c24a2e688e2e	4	39924585	39934245	7	-0.1562
d18e69d5-6b51-413c-8247-c24a2e688e2e	4	39934335	40843535	400	0.3389
d18e69d5-6b51-413c-8247-c24a2e688e2e	4	40843862	43600789	1527	0.4358
d18e69d5-6b51-413c-8247-c24a2e688e2e	4	43602366	43964318	206	0.3567
