GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
ea3db49a-7294-4964-8bb5-96500ea47958	1	3301765	6299631	2026	-0.3773
ea3db49a-7294-4964-8bb5-96500ea47958	1	6300087	14496017	4157	-0.3233
ea3db49a-7294-4964-8bb5-96500ea47958	1	14496420	15055152	450	-0.4486
ea3db49a-7294-4964-8bb5-96500ea47958	1	15058369	17169841	807	-0.3136
ea3db49a-7294-4964-8bb5-96500ea47958	1	17170842	19066723	1344	-0.3989
ea3db49a-7294-4964-8bb5-96500ea47958	1	19067216	22886247	2216	-0.3289
ea3db49a-7294-4964-8bb5-96500ea47958	1	22888519	29218132	2725	-0.296
ea3db49a-7294-4964-8bb5-96500ea47958	1	29225504	29684712	295	-0.3536
ea3db49a-7294-4964-8bb5-96500ea47958	1	29685826	29691418	2	-3.5411
ea3db49a-7294-4964-8bb5-96500ea47958	1	29693860	30224092	405	-0.4028
ea3db49a-7294-4964-8bb5-96500ea47958	1	30225497	56136045	14074	-0.3014
ea3db49a-7294-4964-8bb5-96500ea47958	1	56136636	59610199	2740	-0.3419
ea3db49a-7294-4964-8bb5-96500ea47958	1	59616242	64735108	3527	-0.2992
ea3db49a-7294-4964-8bb5-96500ea47958	1	64737240	65806103	786	-0.2461
ea3db49a-7294-4964-8bb5-96500ea47958	1	65806117	66949978	884	-0.1805
ea3db49a-7294-4964-8bb5-96500ea47958	1	66951872	81313869	8185	-0.2656
ea3db49a-7294-4964-8bb5-96500ea47958	1	81314855	81322576	5	-1.2834
ea3db49a-7294-4964-8bb5-96500ea47958	1	81330396	81512555	183	-0.2321
ea3db49a-7294-4964-8bb5-96500ea47958	1	81512980	84586159	1959	-0.184
ea3db49a-7294-4964-8bb5-96500ea47958	1	84586748	90711890	3983	-0.2377
ea3db49a-7294-4964-8bb5-96500ea47958	1	90713093	97585087	4117	-0.2805
ea3db49a-7294-4964-8bb5-96500ea47958	1	97588724	108985482	6359	-0.2312
ea3db49a-7294-4964-8bb5-96500ea47958	1	109006710	110499528	783	-0.3128
ea3db49a-7294-4964-8bb5-96500ea47958	1	110501605	114151650	2369	-0.2549
ea3db49a-7294-4964-8bb5-96500ea47958	1	114154398	114154411	2	-2.0516
ea3db49a-7294-4964-8bb5-96500ea47958	1	114155472	115049801	513	-0.2458
ea3db49a-7294-4964-8bb5-96500ea47958	1	115055426	149910462	3176	-0.3043
ea3db49a-7294-4964-8bb5-96500ea47958	1	149913375	157300051	3497	0.329
ea3db49a-7294-4964-8bb5-96500ea47958	1	157300721	158919372	1123	0.4327
ea3db49a-7294-4964-8bb5-96500ea47958	1	158919634	169121422	7319	0.3593
ea3db49a-7294-4964-8bb5-96500ea47958	1	169121474	169997922	674	0.0669
ea3db49a-7294-4964-8bb5-96500ea47958	1	169998107	170137840	75	0.334
ea3db49a-7294-4964-8bb5-96500ea47958	1	170142962	171233025	703	0.0737
ea3db49a-7294-4964-8bb5-96500ea47958	1	171233788	190625890	11859	0.3597
ea3db49a-7294-4964-8bb5-96500ea47958	1	190626359	193033697	1359	0.4279
ea3db49a-7294-4964-8bb5-96500ea47958	1	193036714	197360737	2475	0.3819
ea3db49a-7294-4964-8bb5-96500ea47958	1	197366259	199853731	1501	0.4554
ea3db49a-7294-4964-8bb5-96500ea47958	1	199856276	206980414	4529	0.3304
ea3db49a-7294-4964-8bb5-96500ea47958	1	206980536	207461325	299	0.425
ea3db49a-7294-4964-8bb5-96500ea47958	1	207461425	211502255	2974	0.328
ea3db49a-7294-4964-8bb5-96500ea47958	1	211502423	223640921	8012	0.356
ea3db49a-7294-4964-8bb5-96500ea47958	1	223641075	223643899	3	1.5055
ea3db49a-7294-4964-8bb5-96500ea47958	1	223644660	227285743	2119	0.3664
ea3db49a-7294-4964-8bb5-96500ea47958	1	227290081	247650984	13104	0.3306
ea3db49a-7294-4964-8bb5-96500ea47958	2	480597	663676	168	0.1173
ea3db49a-7294-4964-8bb5-96500ea47958	2	664719	3584382	1091	0.0301
ea3db49a-7294-4964-8bb5-96500ea47958	2	3585315	11882677	5933	0.0961
ea3db49a-7294-4964-8bb5-96500ea47958	2	11897053	13545777	1194	0.1691
ea3db49a-7294-4964-8bb5-96500ea47958	2	13545883	30077170	10138	0.0827
ea3db49a-7294-4964-8bb5-96500ea47958	2	30078841	45731883	8741	0.1151
ea3db49a-7294-4964-8bb5-96500ea47958	2	45732020	51783424	3688	0.0937
ea3db49a-7294-4964-8bb5-96500ea47958	2	51784448	52039769	147	0.415
ea3db49a-7294-4964-8bb5-96500ea47958	2	52090091	64114589	6410	0.6267
ea3db49a-7294-4964-8bb5-96500ea47958	2	64285152	69147318	3293	0.1115
ea3db49a-7294-4964-8bb5-96500ea47958	2	69148801	81347634	6648	0.0699
ea3db49a-7294-4964-8bb5-96500ea47958	2	81352795	103686032	7572	-0.2744
ea3db49a-7294-4964-8bb5-96500ea47958	2	103688945	104661558	595	-0.7144
ea3db49a-7294-4964-8bb5-96500ea47958	2	104662177	106204009	1156	-0.8379
ea3db49a-7294-4964-8bb5-96500ea47958	2	106205383	108905308	1399	-0.7373
ea3db49a-7294-4964-8bb5-96500ea47958	2	108909074	109532407	442	-0.9217
ea3db49a-7294-4964-8bb5-96500ea47958	2	109532583	119115600	4322	-0.7666
ea3db49a-7294-4964-8bb5-96500ea47958	2	119116553	119257409	127	-1.0461
ea3db49a-7294-4964-8bb5-96500ea47958	2	119258332	120435076	576	-0.7467
ea3db49a-7294-4964-8bb5-96500ea47958	2	120437660	120967551	339	-1.0057
ea3db49a-7294-4964-8bb5-96500ea47958	2	120967842	120972394	4	-3.997
ea3db49a-7294-4964-8bb5-96500ea47958	2	120972448	121189789	173	-0.909
ea3db49a-7294-4964-8bb5-96500ea47958	2	121190053	121193499	6	-1.9736
ea3db49a-7294-4964-8bb5-96500ea47958	2	121197023	122250314	573	-0.8349
ea3db49a-7294-4964-8bb5-96500ea47958	2	122255849	126615312	1867	-0.7386
ea3db49a-7294-4964-8bb5-96500ea47958	2	126618414	134458353	3796	-0.8095
ea3db49a-7294-4964-8bb5-96500ea47958	2	134458704	144300510	5504	-0.7121
ea3db49a-7294-4964-8bb5-96500ea47958	2	144301006	147037364	1415	-0.623
ea3db49a-7294-4964-8bb5-96500ea47958	2	147037487	154696235	4634	-0.7452
ea3db49a-7294-4964-8bb5-96500ea47958	2	154696551	156027856	702	-0.6347
ea3db49a-7294-4964-8bb5-96500ea47958	2	156028003	160421101	2554	-0.7518
ea3db49a-7294-4964-8bb5-96500ea47958	2	160421236	165602100	2826	-0.6717
ea3db49a-7294-4964-8bb5-96500ea47958	2	165603969	166615366	626	-0.7263
ea3db49a-7294-4964-8bb5-96500ea47958	2	166615984	166616233	2	-3.9481
ea3db49a-7294-4964-8bb5-96500ea47958	2	166617915	166710919	64	-0.756
ea3db49a-7294-4964-8bb5-96500ea47958	2	166720850	184034780	10701	-0.2368
ea3db49a-7294-4964-8bb5-96500ea47958	2	184036665	186351214	796	0.11
ea3db49a-7294-4964-8bb5-96500ea47958	2	186361212	186367508	9	-4.1374
ea3db49a-7294-4964-8bb5-96500ea47958	2	186372833	199445894	6445	0.1223
ea3db49a-7294-4964-8bb5-96500ea47958	2	199451405	208394920	5186	0.0846
ea3db49a-7294-4964-8bb5-96500ea47958	2	208397396	214432121	3534	0.1286
ea3db49a-7294-4964-8bb5-96500ea47958	2	214433546	224068666	6260	0.0736
ea3db49a-7294-4964-8bb5-96500ea47958	2	224071200	225382547	868	0.156
ea3db49a-7294-4964-8bb5-96500ea47958	2	225385198	233429294	4443	0.0725
ea3db49a-7294-4964-8bb5-96500ea47958	2	233429533	234089990	495	0.127
ea3db49a-7294-4964-8bb5-96500ea47958	2	234093240	236296076	1491	0.0046
ea3db49a-7294-4964-8bb5-96500ea47958	2	236296406	238728587	1594	0.0717
ea3db49a-7294-4964-8bb5-96500ea47958	2	238729034	241537572	1471	0.0246
ea3db49a-7294-4964-8bb5-96500ea47958	3	2170634	7444027	2719	-0.2735
ea3db49a-7294-4964-8bb5-96500ea47958	3	7444334	14906632	5092	-0.3171
ea3db49a-7294-4964-8bb5-96500ea47958	3	14907195	16546766	1090	-0.2531
ea3db49a-7294-4964-8bb5-96500ea47958	3	16548314	19554410	1571	-0.1852
ea3db49a-7294-4964-8bb5-96500ea47958	3	19558204	36890183	10387	-0.2528
ea3db49a-7294-4964-8bb5-96500ea47958	3	36890205	55372834	10038	-0.2908
ea3db49a-7294-4964-8bb5-96500ea47958	3	55373257	56118222	598	-0.2016
ea3db49a-7294-4964-8bb5-96500ea47958	3	56118273	62172881	2949	-0.2844
ea3db49a-7294-4964-8bb5-96500ea47958	3	62172921	63530716	1026	-0.2031
ea3db49a-7294-4964-8bb5-96500ea47958	3	63530843	66586758	2373	-0.3103
ea3db49a-7294-4964-8bb5-96500ea47958	3	66587221	71025282	3103	-0.2411
ea3db49a-7294-4964-8bb5-96500ea47958	3	71027880	78803942	4615	-0.2815
ea3db49a-7294-4964-8bb5-96500ea47958	3	78804015	101951848	9771	-0.2493
ea3db49a-7294-4964-8bb5-96500ea47958	3	101952045	108677809	3979	-0.2089
ea3db49a-7294-4964-8bb5-96500ea47958	3	108681803	111454284	1318	-0.2689
ea3db49a-7294-4964-8bb5-96500ea47958	3	111454576	115579401	2431	-0.203
ea3db49a-7294-4964-8bb5-96500ea47958	3	115580533	123300916	4643	-0.2576
ea3db49a-7294-4964-8bb5-96500ea47958	3	123301319	127632828	2643	-0.3218
ea3db49a-7294-4964-8bb5-96500ea47958	3	127634944	132941805	2948	-0.275
ea3db49a-7294-4964-8bb5-96500ea47958	3	132942446	133384552	318	-0.1759
ea3db49a-7294-4964-8bb5-96500ea47958	3	133385244	134899977	947	-0.2978
ea3db49a-7294-4964-8bb5-96500ea47958	3	134900002	134900800	3	-1.3947
ea3db49a-7294-4964-8bb5-96500ea47958	3	134900882	137801122	1509	-0.2795
ea3db49a-7294-4964-8bb5-96500ea47958	3	137801712	140544380	1648	-0.3243
ea3db49a-7294-4964-8bb5-96500ea47958	3	140563242	167330051	13434	-0.2444
ea3db49a-7294-4964-8bb5-96500ea47958	3	167331385	169512713	1277	-0.19
ea3db49a-7294-4964-8bb5-96500ea47958	3	169513564	177685004	4055	-0.2641
ea3db49a-7294-4964-8bb5-96500ea47958	3	177685206	179962762	1388	-0.2049
ea3db49a-7294-4964-8bb5-96500ea47958	3	179963417	182971659	1546	-0.2619
ea3db49a-7294-4964-8bb5-96500ea47958	3	182971707	186843845	1802	-0.3006
ea3db49a-7294-4964-8bb5-96500ea47958	3	186849281	187736191	697	-0.2264
ea3db49a-7294-4964-8bb5-96500ea47958	3	187753578	189429957	1143	1.0246
ea3db49a-7294-4964-8bb5-96500ea47958	3	189448219	191333400	1297	0.1246
ea3db49a-7294-4964-8bb5-96500ea47958	3	191334745	192406266	622	0.9892
ea3db49a-7294-4964-8bb5-96500ea47958	3	192414348	194456702	1206	0.0882
ea3db49a-7294-4964-8bb5-96500ea47958	3	194466339	197812401	955	0.9436
ea3db49a-7294-4964-8bb5-96500ea47958	4	1059384	5344458	1982	-0.3309
ea3db49a-7294-4964-8bb5-96500ea47958	4	5344817	10151254	2730	-0.3833
ea3db49a-7294-4964-8bb5-96500ea47958	4	10152592	17706045	5694	-0.3107
ea3db49a-7294-4964-8bb5-96500ea47958	4	17706371	35764296	11023	-0.2627
ea3db49a-7294-4964-8bb5-96500ea47958	4	35765752	37407480	1126	-0.1869
ea3db49a-7294-4964-8bb5-96500ea47958	4	37407515	69982343	15760	-0.2673
ea3db49a-7294-4964-8bb5-96500ea47958	4	69983535	78441750	5022	-0.2424
ea3db49a-7294-4964-8bb5-96500ea47958	4	78451471	82039068	2127	-0.1758
ea3db49a-7294-4964-8bb5-96500ea47958	4	82040942	84697302	1585	-0.2614
ea3db49a-7294-4964-8bb5-96500ea47958	4	84704548	86816705	1244	-0.1842
ea3db49a-7294-4964-8bb5-96500ea47958	4	86817814	89704658	1788	-0.2623
ea3db49a-7294-4964-8bb5-96500ea47958	4	89706976	89707838	2	-1.7781
ea3db49a-7294-4964-8bb5-96500ea47958	4	89710565	100460613	5797	-0.2572
ea3db49a-7294-4964-8bb5-96500ea47958	4	100461457	103435470	1654	-0.1667
ea3db49a-7294-4964-8bb5-96500ea47958	4	103438674	106860040	1878	-0.2356
ea3db49a-7294-4964-8bb5-96500ea47958	4	106864400	110273514	2015	-0.2776
ea3db49a-7294-4964-8bb5-96500ea47958	4	110276217	118308597	4639	-0.2232
ea3db49a-7294-4964-8bb5-96500ea47958	4	118310502	119798662	759	-0.1541
ea3db49a-7294-4964-8bb5-96500ea47958	4	119799908	120046655	178	-0.2242
ea3db49a-7294-4964-8bb5-96500ea47958	4	120047738	120052596	5	-0.7371
ea3db49a-7294-4964-8bb5-96500ea47958	4	120053390	120070245	14	-0.3309
ea3db49a-7294-4964-8bb5-96500ea47958	4	120070614	120084603	5	-0.6752
ea3db49a-7294-4964-8bb5-96500ea47958	4	120086895	120483384	282	-0.1894
ea3db49a-7294-4964-8bb5-96500ea47958	4	120484016	129285447	4656	-0.2648
ea3db49a-7294-4964-8bb5-96500ea47958	4	129286245	153968686	13339	-0.2323
ea3db49a-7294-4964-8bb5-96500ea47958	4	153968825	161513690	4468	-0.2597
ea3db49a-7294-4964-8bb5-96500ea47958	4	161515682	161882866	181	-0.6953
ea3db49a-7294-4964-8bb5-96500ea47958	4	161886964	163033864	729	-0.2395
ea3db49a-7294-4964-8bb5-96500ea47958	4	163033897	163978656	531	-0.1429
ea3db49a-7294-4964-8bb5-96500ea47958	4	163981624	168159908	2023	-0.24
ea3db49a-7294-4964-8bb5-96500ea47958	4	168162316	170174602	1253	-0.3112
ea3db49a-7294-4964-8bb5-96500ea47958	4	170175001	171216180	572	-0.2617
ea3db49a-7294-4964-8bb5-96500ea47958	4	171216352	177252987	3342	-0.2029
ea3db49a-7294-4964-8bb5-96500ea47958	4	177258305	180235003	1517	-0.2582
ea3db49a-7294-4964-8bb5-96500ea47958	4	180235406	180237227	3	-1.5575
ea3db49a-7294-4964-8bb5-96500ea47958	4	180239392	181974678	975	-0.2811
ea3db49a-7294-4964-8bb5-96500ea47958	4	181975495	187842528	2582	-0.3058
ea3db49a-7294-4964-8bb5-96500ea47958	5	914118	2453263	590	0.0354
ea3db49a-7294-4964-8bb5-96500ea47958	5	2457859	3764971	1162	-0.0129
ea3db49a-7294-4964-8bb5-96500ea47958	5	3766514	13456270	6802	0.0439
ea3db49a-7294-4964-8bb5-96500ea47958	5	13459470	14535719	956	0.1123
ea3db49a-7294-4964-8bb5-96500ea47958	5	14535764	39744156	13716	0.0768
ea3db49a-7294-4964-8bb5-96500ea47958	5	39744750	66369094	12032	0.0994
ea3db49a-7294-4964-8bb5-96500ea47958	5	66369578	66848504	345	0.1998
ea3db49a-7294-4964-8bb5-96500ea47958	5	66851888	74054472	3410	0.1046
ea3db49a-7294-4964-8bb5-96500ea47958	5	74054712	77178769	1943	0.0598
ea3db49a-7294-4964-8bb5-96500ea47958	5	77184300	95147427	9657	0.1054
ea3db49a-7294-4964-8bb5-96500ea47958	5	95148095	97986016	1584	0.1564
ea3db49a-7294-4964-8bb5-96500ea47958	5	97986559	107055737	3748	0.0993
ea3db49a-7294-4964-8bb5-96500ea47958	5	107055964	108176444	893	0.1908
ea3db49a-7294-4964-8bb5-96500ea47958	5	108177065	108181098	4	-0.4812
ea3db49a-7294-4964-8bb5-96500ea47958	5	108182727	108415967	142	0.1766
ea3db49a-7294-4964-8bb5-96500ea47958	5	108416772	123035116	8789	0.0996
ea3db49a-7294-4964-8bb5-96500ea47958	5	123043095	125839367	1801	0.188
ea3db49a-7294-4964-8bb5-96500ea47958	5	125846761	127041262	651	0.0852
ea3db49a-7294-4964-8bb5-96500ea47958	5	127042811	128932160	1146	0.1466
ea3db49a-7294-4964-8bb5-96500ea47958	5	128932180	143250344	8147	0.0855
ea3db49a-7294-4964-8bb5-96500ea47958	5	143250853	144321421	701	0.1789
ea3db49a-7294-4964-8bb5-96500ea47958	5	144321553	144618067	166	0.0735
ea3db49a-7294-4964-8bb5-96500ea47958	5	144621588	144621980	2	-0.9005
ea3db49a-7294-4964-8bb5-96500ea47958	5	144623477	145566086	543	0.1087
ea3db49a-7294-4964-8bb5-96500ea47958	5	145568100	155886784	6779	0.0733
ea3db49a-7294-4964-8bb5-96500ea47958	5	155887322	165935711	6405	0.1015
ea3db49a-7294-4964-8bb5-96500ea47958	5	165935750	173307142	4936	0.0411
ea3db49a-7294-4964-8bb5-96500ea47958	5	173310011	174043535	617	0.1257
ea3db49a-7294-4964-8bb5-96500ea47958	5	174043914	179914731	2986	0.0364
ea3db49a-7294-4964-8bb5-96500ea47958	5	179915960	179916729	2	-1.297
ea3db49a-7294-4964-8bb5-96500ea47958	5	179919466	180934240	474	0.0349
ea3db49a-7294-4964-8bb5-96500ea47958	6	1011760	14036559	9395	0.5957
ea3db49a-7294-4964-8bb5-96500ea47958	6	14037510	15288695	900	0.5365
ea3db49a-7294-4964-8bb5-96500ea47958	6	15291673	39056672	12673	0.5762
ea3db49a-7294-4964-8bb5-96500ea47958	6	39056940	44262108	3292	0.5422
ea3db49a-7294-4964-8bb5-96500ea47958	6	44262851	45799025	875	0.612
ea3db49a-7294-4964-8bb5-96500ea47958	6	45800409	45800630	2	1.834
ea3db49a-7294-4964-8bb5-96500ea47958	6	45802515	57347009	7010	0.6073
