GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
d1a45f2d-e825-44ba-bf82-face4e17fe13	1	3301765	6551233	2122	-0.1728
d1a45f2d-e825-44ba-bf82-face4e17fe13	1	6553130	6555047	2	-2.5459
d1a45f2d-e825-44ba-bf82-face4e17fe13	1	6555305	71817816	37177	-0.1748
d1a45f2d-e825-44ba-bf82-face4e17fe13	1	71846449	71930270	36	-0.6024
d1a45f2d-e825-44ba-bf82-face4e17fe13	1	71932935	119484308	28440	-0.1731
d1a45f2d-e825-44ba-bf82-face4e17fe13	1	119486751	119984772	300	1.4419
d1a45f2d-e825-44ba-bf82-face4e17fe13	1	146716041	150057713	74	0.5891
d1a45f2d-e825-44ba-bf82-face4e17fe13	1	150057994	150058787	2	2.064
d1a45f2d-e825-44ba-bf82-face4e17fe13	1	150061347	155032459	2384	0.6928
d1a45f2d-e825-44ba-bf82-face4e17fe13	1	155033000	156593291	669	0.8654
d1a45f2d-e825-44ba-bf82-face4e17fe13	1	156594021	158196131	1036	0.7094
d1a45f2d-e825-44ba-bf82-face4e17fe13	1	158197421	197800691	25160	0.6778
d1a45f2d-e825-44ba-bf82-face4e17fe13	1	197801740	204545408	4339	0.7057
d1a45f2d-e825-44ba-bf82-face4e17fe13	1	204545424	216549508	8067	0.4542
d1a45f2d-e825-44ba-bf82-face4e17fe13	1	216551776	216551790	2	-1.1278
d1a45f2d-e825-44ba-bf82-face4e17fe13	1	216555419	234374850	11518	0.4481
d1a45f2d-e825-44ba-bf82-face4e17fe13	1	234375467	234920884	396	0.6913
d1a45f2d-e825-44ba-bf82-face4e17fe13	1	234921527	236925914	1221	0.8877
d1a45f2d-e825-44ba-bf82-face4e17fe13	1	236928845	237044242	111	0.7022
d1a45f2d-e825-44ba-bf82-face4e17fe13	1	237046629	247650984	6648	0.4415
d1a45f2d-e825-44ba-bf82-face4e17fe13	2	480597	23640943	15075	-0.6709
d1a45f2d-e825-44ba-bf82-face4e17fe13	2	23642144	23642306	3	-4.8341
d1a45f2d-e825-44ba-bf82-face4e17fe13	2	23646777	84311904	33740	-0.6355
d1a45f2d-e825-44ba-bf82-face4e17fe13	2	84317508	84321566	4	-2.9334
d1a45f2d-e825-44ba-bf82-face4e17fe13	2	84322180	88831554	1698	-0.6496
d1a45f2d-e825-44ba-bf82-face4e17fe13	2	94675825	105862828	5708	0.1259
d1a45f2d-e825-44ba-bf82-face4e17fe13	2	105863350	105864989	5	-2.4517
d1a45f2d-e825-44ba-bf82-face4e17fe13	2	105867134	155095579	25775	0.1236
