GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
c7823372-b451-4159-9cb8-d4de8479bda8	1	3301765	6183275	1984	-0.1562
c7823372-b451-4159-9cb8-d4de8479bda8	1	6190279	7334758	630	-0.0521
c7823372-b451-4159-9cb8-d4de8479bda8	1	7334776	8333158	594	-0.1677
c7823372-b451-4159-9cb8-d4de8479bda8	1	8334176	17052470	4137	-0.0548
c7823372-b451-4159-9cb8-d4de8479bda8	1	17052534	17340770	223	-0.1237
c7823372-b451-4159-9cb8-d4de8479bda8	1	17343416	19057752	1227	-0.2172
c7823372-b451-4159-9cb8-d4de8479bda8	1	19064614	19070242	8	-0.7484
c7823372-b451-4159-9cb8-d4de8479bda8	1	19070496	20533537	966	-0.1088
c7823372-b451-4159-9cb8-d4de8479bda8	1	20538827	21605696	528	-0.0267
c7823372-b451-4159-9cb8-d4de8479bda8	1	21605919	22952017	769	-0.1059
c7823372-b451-4159-9cb8-d4de8479bda8	1	22952139	29235558	2688	-0.0319
c7823372-b451-4159-9cb8-d4de8479bda8	1	29241271	30246554	724	-0.1417
c7823372-b451-4159-9cb8-d4de8479bda8	1	30246569	33710362	1716	-0.0605
c7823372-b451-4159-9cb8-d4de8479bda8	1	33710816	33932540	197	-0.128
c7823372-b451-4159-9cb8-d4de8479bda8	1	33932645	34294621	277	-0.214
c7823372-b451-4159-9cb8-d4de8479bda8	1	34294975	35259781	532	-0.0979
c7823372-b451-4159-9cb8-d4de8479bda8	1	35261188	36512402	545	-0.011
c7823372-b451-4159-9cb8-d4de8479bda8	1	36515022	37487375	620	-0.0994
c7823372-b451-4159-9cb8-d4de8479bda8	1	37490265	42163434	2591	-0.0158
c7823372-b451-4159-9cb8-d4de8479bda8	1	42163567	44443791	1291	-0.0743
c7823372-b451-4159-9cb8-d4de8479bda8	1	44446401	46802369	1066	-0.0111
c7823372-b451-4159-9cb8-d4de8479bda8	1	46802384	48293602	935	-0.097
c7823372-b451-4159-9cb8-d4de8479bda8	1	48294959	49405305	662	0.0585
c7823372-b451-4159-9cb8-d4de8479bda8	1	49405650	50373486	395	-0.0952
c7823372-b451-4159-9cb8-d4de8479bda8	1	50377874	54160183	1875	-0.0343
c7823372-b451-4159-9cb8-d4de8479bda8	1	54167870	55063514	558	-0.1239
c7823372-b451-4159-9cb8-d4de8479bda8	1	55064198	56947440	1471	-0.0325
c7823372-b451-4159-9cb8-d4de8479bda8	1	56949128	58464009	1277	-0.1169
c7823372-b451-4159-9cb8-d4de8479bda8	1	58464262	59489641	750	0.0644
c7823372-b451-4159-9cb8-d4de8479bda8	1	59492315	60354604	510	-0.0387
c7823372-b451-4159-9cb8-d4de8479bda8	1	60354932	62325377	1415	-0.1357
c7823372-b451-4159-9cb8-d4de8479bda8	1	62325628	64394703	1390	-0.0653
c7823372-b451-4159-9cb8-d4de8479bda8	1	64395633	65687420	926	0.0299
c7823372-b451-4159-9cb8-d4de8479bda8	1	65690794	65708267	27	-0.2103
c7823372-b451-4159-9cb8-d4de8479bda8	1	65708375	65974150	215	0.0035
c7823372-b451-4159-9cb8-d4de8479bda8	1	65976959	66596008	503	0.1386
c7823372-b451-4159-9cb8-d4de8479bda8	1	66597512	67255184	442	0.0437
c7823372-b451-4159-9cb8-d4de8479bda8	1	67255921	67614371	270	-0.0424
c7823372-b451-4159-9cb8-d4de8479bda8	1	67619417	67881798	215	0.0512
c7823372-b451-4159-9cb8-d4de8479bda8	1	67885698	69545262	987	-0.0658
c7823372-b451-4159-9cb8-d4de8479bda8	1	69546871	70948151	769	0.0403
c7823372-b451-4159-9cb8-d4de8479bda8	1	70948625	73872928	1527	-0.0769
c7823372-b451-4159-9cb8-d4de8479bda8	1	73873292	75272536	723	0.0581
c7823372-b451-4159-9cb8-d4de8479bda8	1	75273250	77104052	1225	-0.0501
c7823372-b451-4159-9cb8-d4de8479bda8	1	77104895	80832725	2040	0.0115
c7823372-b451-4159-9cb8-d4de8479bda8	1	80833685	83115380	1505	-0.0977
c7823372-b451-4159-9cb8-d4de8479bda8	1	83116351	83771438	343	-0.0286
