GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
d1e71696-b120-4ed8-a876-51a41c3be991	1	3301765	12229124	5083	-0.0165
d1e71696-b120-4ed8-a876-51a41c3be991	1	12236964	12591277	161	-1.3923
d1e71696-b120-4ed8-a876-51a41c3be991	1	12591460	12611698	12	-3.7784
d1e71696-b120-4ed8-a876-51a41c3be991	1	12612144	12650863	22	-1.3705
d1e71696-b120-4ed8-a876-51a41c3be991	1	12653396	162928716	70017	0.0104
d1e71696-b120-4ed8-a876-51a41c3be991	1	162928736	162928749	2	-2.3227
d1e71696-b120-4ed8-a876-51a41c3be991	1	162928942	247650984	54370	0.0089
d1e71696-b120-4ed8-a876-51a41c3be991	2	480597	8115199	4629	-0.0462
d1e71696-b120-4ed8-a876-51a41c3be991	2	8120371	105529850	51514	0.0046
d1e71696-b120-4ed8-a876-51a41c3be991	2	105529918	105536538	4	-2.4357
d1e71696-b120-4ed8-a876-51a41c3be991	2	105536927	145921835	20676	-0.0247
d1e71696-b120-4ed8-a876-51a41c3be991	2	145921914	164163525	10484	0.0187
d1e71696-b120-4ed8-a876-51a41c3be991	2	164165726	173409336	5734	0.046
d1e71696-b120-4ed8-a876-51a41c3be991	2	173410041	236309581	35968	0.0056
d1e71696-b120-4ed8-a876-51a41c3be991	2	236312278	241537572	3048	-0.035
d1e71696-b120-4ed8-a876-51a41c3be991	3	2170634	14414500	7466	0.0022
d1e71696-b120-4ed8-a876-51a41c3be991	3	14415230	14418417	3	-2.5328
d1e71696-b120-4ed8-a876-51a41c3be991	3	14420014	29027282	8396	-0.0186
d1e71696-b120-4ed8-a876-51a41c3be991	3	29030147	53617389	13644	0.0126
d1e71696-b120-4ed8-a876-51a41c3be991	3	53618148	56077344	1964	-0.0531
d1e71696-b120-4ed8-a876-51a41c3be991	3	56077965	59020289	1612	0.0249
d1e71696-b120-4ed8-a876-51a41c3be991	3	59022043	59700699	493	-0.0435
d1e71696-b120-4ed8-a876-51a41c3be991	3	59701698	66488882	4236	0.0445
d1e71696-b120-4ed8-a876-51a41c3be991	3	66489204	70911513	3079	0.0138
d1e71696-b120-4ed8-a876-51a41c3be991	3	70914691	99752512	13356	-0.021
d1e71696-b120-4ed8-a876-51a41c3be991	3	99752797	144582945	25452	0.0083
d1e71696-b120-4ed8-a876-51a41c3be991	3	144583072	144583087	2	-2.4529
d1e71696-b120-4ed8-a876-51a41c3be991	3	144587779	197812401	27457	0.0187
d1e71696-b120-4ed8-a876-51a41c3be991	4	1059384	7496148	3606	-0.0119
d1e71696-b120-4ed8-a876-51a41c3be991	4	7499283	7503569	4	-1.9996
d1e71696-b120-4ed8-a876-51a41c3be991	4	7506569	22539640	9852	0.0022
d1e71696-b120-4ed8-a876-51a41c3be991	4	22540002	23447640	479	0.0659
d1e71696-b120-4ed8-a876-51a41c3be991	4	23447660	23447911	6	0.8746
d1e71696-b120-4ed8-a876-51a41c3be991	4	23449584	25000010	1109	0.0556
d1e71696-b120-4ed8-a876-51a41c3be991	4	25000220	36488322	6874	-0.0155
d1e71696-b120-4ed8-a876-51a41c3be991	4	36490038	41657340	3226	0.0344
d1e71696-b120-4ed8-a876-51a41c3be991	4	41657469	47762276	3035	-0.036
d1e71696-b120-4ed8-a876-51a41c3be991	4	47762413	56806741	3346	0.0224
d1e71696-b120-4ed8-a876-51a41c3be991	4	56806852	60472476	2234	-0.0332
d1e71696-b120-4ed8-a876-51a41c3be991	4	60475615	64501342	1985	0.0273
d1e71696-b120-4ed8-a876-51a41c3be991	4	64501763	67913521	2048	-0.031
d1e71696-b120-4ed8-a876-51a41c3be991	4	67914323	69836861	449	0.0933
d1e71696-b120-4ed8-a876-51a41c3be991	4	69838824	69839158	2	-1.706
d1e71696-b120-4ed8-a876-51a41c3be991	4	69843489	83183495	7839	0.0355
d1e71696-b120-4ed8-a876-51a41c3be991	4	83183920	95814215	7302	0.0052
