GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
44e3672a-f771-4dec-9dd4-27357aeef66a	1	3301765	3876237	300	-0.0559
44e3672a-f771-4dec-9dd4-27357aeef66a	1	3876402	47418910	23234	-0.1
44e3672a-f771-4dec-9dd4-27357aeef66a	1	47426086	50365283	1686	-0.0454
44e3672a-f771-4dec-9dd4-27357aeef66a	1	50365335	53266466	1303	-0.0954
44e3672a-f771-4dec-9dd4-27357aeef66a	1	53266643	119975336	41382	-0.0388
44e3672a-f771-4dec-9dd4-27357aeef66a	1	119978092	152030187	880	0.1652
44e3672a-f771-4dec-9dd4-27357aeef66a	1	152032328	153682575	947	0.2529
44e3672a-f771-4dec-9dd4-27357aeef66a	1	153684174	158690821	2655	0.1991
44e3672a-f771-4dec-9dd4-27357aeef66a	1	158690842	185902341	17892	0.2522
44e3672a-f771-4dec-9dd4-27357aeef66a	1	185904814	188473023	1637	0.309
44e3672a-f771-4dec-9dd4-27357aeef66a	1	188473409	202743191	8339	0.261
44e3672a-f771-4dec-9dd4-27357aeef66a	1	202747862	207878514	3210	0.2158
44e3672a-f771-4dec-9dd4-27357aeef66a	1	207879303	210158240	1771	0.2946
44e3672a-f771-4dec-9dd4-27357aeef66a	1	210158648	213724986	2315	0.2421
44e3672a-f771-4dec-9dd4-27357aeef66a	1	213725095	219701688	4181	0.2883
44e3672a-f771-4dec-9dd4-27357aeef66a	1	219702239	243684422	15723	0.2449
44e3672a-f771-4dec-9dd4-27357aeef66a	1	243685314	243771219	71	0.3381
44e3672a-f771-4dec-9dd4-27357aeef66a	1	243771378	247650984	1784	0.2282
44e3672a-f771-4dec-9dd4-27357aeef66a	2	480597	666443	169	0.2183
44e3672a-f771-4dec-9dd4-27357aeef66a	2	666964	5511439	2558	0.1525
44e3672a-f771-4dec-9dd4-27357aeef66a	2	5511531	5520405	8	-0.5928
44e3672a-f771-4dec-9dd4-27357aeef66a	2	5522426	16240658	7330	0.1371
44e3672a-f771-4dec-9dd4-27357aeef66a	2	16240831	23722188	5111	0.1834
44e3672a-f771-4dec-9dd4-27357aeef66a	2	23722485	27686171	1759	0.1003
44e3672a-f771-4dec-9dd4-27357aeef66a	2	27687669	69288349	23830	0.1536
44e3672a-f771-4dec-9dd4-27357aeef66a	2	69288469	70327651	585	0.0699
44e3672a-f771-4dec-9dd4-27357aeef66a	2	70329097	74905296	2512	0.1477
44e3672a-f771-4dec-9dd4-27357aeef66a	2	74910758	84477130	5157	0.1852
44e3672a-f771-4dec-9dd4-27357aeef66a	2	84478978	153131532	31948	0.1656
44e3672a-f771-4dec-9dd4-27357aeef66a	2	153131861	164793858	6542	0.1903
44e3672a-f771-4dec-9dd4-27357aeef66a	2	164795060	164965379	80	0.542
44e3672a-f771-4dec-9dd4-27357aeef66a	2	164965972	186140769	12433	0.1845
44e3672a-f771-4dec-9dd4-27357aeef66a	2	186141054	186220606	55	-0.6211
44e3672a-f771-4dec-9dd4-27357aeef66a	2	186228567	194445508	4019	0.1908
44e3672a-f771-4dec-9dd4-27357aeef66a	2	194446049	203647571	4598	0.1412
44e3672a-f771-4dec-9dd4-27357aeef66a	2	203647913	212635946	5555	0.1744
44e3672a-f771-4dec-9dd4-27357aeef66a	2	212636218	213247141	419	0.2607
44e3672a-f771-4dec-9dd4-27357aeef66a	2	213251174	216708969	2121	0.1725
44e3672a-f771-4dec-9dd4-27357aeef66a	2	216709691	217983887	913	0.2346
44e3672a-f771-4dec-9dd4-27357aeef66a	2	217984161	223547888	3473	0.1635
44e3672a-f771-4dec-9dd4-27357aeef66a	2	223548509	241537572	10693	0.1412
44e3672a-f771-4dec-9dd4-27357aeef66a	3	2170634	20336661	10865	-0.4915
44e3672a-f771-4dec-9dd4-27357aeef66a	3	20337585	29386696	5177	-0.4318
44e3672a-f771-4dec-9dd4-27357aeef66a	3	29387019	84675753	32299	-0.4692
44e3672a-f771-4dec-9dd4-27357aeef66a	3	84676822	84681262	7	-1.9716
44e3672a-f771-4dec-9dd4-27357aeef66a	3	84682450	91462299	2714	-0.4658
44e3672a-f771-4dec-9dd4-27357aeef66a	3	94015345	106631577	6815	-0.0077
44e3672a-f771-4dec-9dd4-27357aeef66a	3	106632069	144540891	21516	-0.0309
44e3672a-f771-4dec-9dd4-27357aeef66a	3	144542482	168493552	12103	-0.0123
44e3672a-f771-4dec-9dd4-27357aeef66a	3	168495447	169677993	771	0.067
44e3672a-f771-4dec-9dd4-27357aeef66a	3	169678282	181749718	6180	-0.0244
44e3672a-f771-4dec-9dd4-27357aeef66a	3	181750922	182109910	214	0.3054
44e3672a-f771-4dec-9dd4-27357aeef66a	3	182111691	182887593	416	0.0352
44e3672a-f771-4dec-9dd4-27357aeef66a	3	182888334	187898858	2619	-0.0606
44e3672a-f771-4dec-9dd4-27357aeef66a	3	187898990	189205527	908	0.0004
44e3672a-f771-4dec-9dd4-27357aeef66a	3	189206655	190017672	574	0.3723
44e3672a-f771-4dec-9dd4-27357aeef66a	3	190017674	190684936	457	0.0557
44e3672a-f771-4dec-9dd4-27357aeef66a	3	190689366	197812401	3181	-0.0544
44e3672a-f771-4dec-9dd4-27357aeef66a	4	1059384	8494494	4196	-0.5261
44e3672a-f771-4dec-9dd4-27357aeef66a	4	8498271	57429804	27650	-0.4694
44e3672a-f771-4dec-9dd4-27357aeef66a	4	57429871	57502667	88	-0.5673
44e3672a-f771-4dec-9dd4-27357aeef66a	4	57502887	182273630	68860	-0.4421
44e3672a-f771-4dec-9dd4-27357aeef66a	4	182274400	187842528	2322	-0.4968
44e3672a-f771-4dec-9dd4-27357aeef66a	5	913983	45383300	26051	0.2648
44e3672a-f771-4dec-9dd4-27357aeef66a	5	50828231	62236065	7105	-0.4653
44e3672a-f771-4dec-9dd4-27357aeef66a	5	62239577	62240004	2	-2.4823
44e3672a-f771-4dec-9dd4-27357aeef66a	5	62244430	68230578	3349	-0.4575
44e3672a-f771-4dec-9dd4-27357aeef66a	5	68231361	68697754	299	0.0085
44e3672a-f771-4dec-9dd4-27357aeef66a	5	68698371	79053866	5199	-0.4705
44e3672a-f771-4dec-9dd4-27357aeef66a	5	79057071	79057236	2	-2.384
44e3672a-f771-4dec-9dd4-27357aeef66a	5	79060613	137714420	32425	-0.4505
44e3672a-f771-4dec-9dd4-27357aeef66a	5	137715093	143896384	3242	-0.5087
44e3672a-f771-4dec-9dd4-27357aeef66a	5	143896950	155451951	7488	-0.4588
44e3672a-f771-4dec-9dd4-27357aeef66a	5	155452073	155454209	2	-2.7605
44e3672a-f771-4dec-9dd4-27357aeef66a	5	155457056	169254470	9047	-0.465
44e3672a-f771-4dec-9dd4-27357aeef66a	5	169254720	170111184	652	-0.5275
44e3672a-f771-4dec-9dd4-27357aeef66a	5	170111432	170111784	2	-2.5341
44e3672a-f771-4dec-9dd4-27357aeef66a	5	170113200	180934240	5876	-0.5278
44e3672a-f771-4dec-9dd4-27357aeef66a	6	1011760	13305525	8895	0.2683
44e3672a-f771-4dec-9dd4-27357aeef66a	6	13305564	18261212	3257	0.2361
44e3672a-f771-4dec-9dd4-27357aeef66a	6	18262893	24344423	4367	0.2815
44e3672a-f771-4dec-9dd4-27357aeef66a	6	24347744	34156636	3536	0.2325
44e3672a-f771-4dec-9dd4-27357aeef66a	6	34157504	34157777	2	1.981
44e3672a-f771-4dec-9dd4-27357aeef66a	6	34179117	46286241	7278	0.234
44e3672a-f771-4dec-9dd4-27357aeef66a	6	46291923	53798806	4594	0.2943
44e3672a-f771-4dec-9dd4-27357aeef66a	6	53799598	56672549	1829	0.3438
44e3672a-f771-4dec-9dd4-27357aeef66a	6	56672921	106535671	25144	0.293
44e3672a-f771-4dec-9dd4-27357aeef66a	6	106536245	107077565	297	0.2283
44e3672a-f771-4dec-9dd4-27357aeef66a	6	107078623	107079161	2	-0.8006
44e3672a-f771-4dec-9dd4-27357aeef66a	6	107079451	111579386	2661	0.259
44e3672a-f771-4dec-9dd4-27357aeef66a	6	111579866	119713375	4415	0.3021
44e3672a-f771-4dec-9dd4-27357aeef66a	6	119713390	128714490	5150	0.3411
44e3672a-f771-4dec-9dd4-27357aeef66a	6	128717038	150917830	14089	0.2885
44e3672a-f771-4dec-9dd4-27357aeef66a	6	150919733	170596889	11381	0.2728
44e3672a-f771-4dec-9dd4-27357aeef66a	7	664936	7223672	2373	-0.0992
44e3672a-f771-4dec-9dd4-27357aeef66a	7	7223894	36125742	17847	-0.0391
44e3672a-f771-4dec-9dd4-27357aeef66a	7	36129655	40101030	2732	-0.0812
44e3672a-f771-4dec-9dd4-27357aeef66a	7	40101106	40369980	151	-0.457
44e3672a-f771-4dec-9dd4-27357aeef66a	7	40386107	57170928	10368	-0.0427
44e3672a-f771-4dec-9dd4-27357aeef66a	7	57176334	69847029	2506	-0.1043
44e3672a-f771-4dec-9dd4-27357aeef66a	7	69849848	70793296	585	-0.0116
44e3672a-f771-4dec-9dd4-27357aeef66a	7	70795063	77197121	1937	-0.1225
44e3672a-f771-4dec-9dd4-27357aeef66a	7	77197669	97730545	11299	-0.03
44e3672a-f771-4dec-9dd4-27357aeef66a	7	97740146	103463817	2113	-0.1094
44e3672a-f771-4dec-9dd4-27357aeef66a	7	103474759	105910311	1532	-0.0458
44e3672a-f771-4dec-9dd4-27357aeef66a	7	105913679	106924041	746	0.2905
