GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	1	3301765	8435345	3248	0.1152
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	1	8435459	8630844	87	-0.5721
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	1	8658852	49124134	21431	0.1193
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	1	49124216	52164514	1203	0.1542
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	1	52164624	52239755	19	0.7646
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	1	52239863	81378159	18638	0.1518
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	1	81378201	99046259	10958	0.1747
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	1	99046296	153414604	14087	0.1453
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	1	153417084	153558806	67	0.4038
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	1	153559644	162770163	5281	0.1236
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	1	162770950	164712784	1418	0.2083
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	1	164713074	186440460	14259	0.1502
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	1	186442447	186661147	107	0.3913
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	1	186662800	202224853	9267	0.1528
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	1	202227569	207596299	3310	0.1059
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	1	207597407	237590271	19894	0.1469
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	1	237591654	240095225	1916	0.2093
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	1	240095432	240331768	224	0.1468
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	1	240333222	247650984	4030	0.1139
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	2	480597	12746194	7936	0.1261
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	2	12749025	15142447	1428	0.177
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	2	15144575	16995798	1304	0.1201
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	2	16999366	22865750	3849	0.1859
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	2	22866099	54734401	17664	0.1445
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	2	54735692	68376473	8068	0.1751
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	2	68377470	141476070	33827	0.1296
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	2	141476414	198652183	31978	0.1482
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	2	198653019	219729817	12452	0.1241
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	2	219731662	222266906	1789	0.1771
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	2	222267243	241537572	11538	0.1116
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	3	2170634	3234806	502	-0.4936
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	3	3235753	3236161	2	-3.4986
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	3	3236897	21564237	11019	-0.4983
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	3	21570212	24954538	1818	-0.4228
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	3	24955089	24955733	2	-1.8846
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	3	24956021	25507439	547	-0.4128
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	3	25507471	90436812	37221	-0.4859
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	3	90453712	111984966	9707	0.6301
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	3	111987145	137851223	15089	0.5934
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	3	137852294	167071510	14923	0.6481
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	3	167074523	167146900	25	1.283
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	3	167150365	167930112	413	0.603
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	3	167930371	167951071	10	1.3344
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	3	167959679	167972866	10	0.7978
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	3	167973053	167977302	3	1.4567
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	3	167977868	177457481	4796	0.6465
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	3	177457535	177755446	230	1.0003
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	3	177755551	181681697	2166	0.6397
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	3	181683615	181736201	12	1.2108
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	3	181737731	182974658	688	1.013
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	3	182976788	188392141	2940	0.9338
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	3	188392335	189202964	527	1.0202
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	3	189205091	189417519	147	1.352
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	3	189418874	189512146	65	1.7219
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	3	189512415	189514826	3	0.1209
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	3	189514852	194755644	3219	1.2581
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	3	194755672	197536422	729	1.1667
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	3	197536530	197812401	61	1.2985
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	4	1059384	10385331	4889	-0.5606
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	4	10385349	11762871	1182	-0.4828
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	4	11763209	11868520	89	-0.6012
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	4	11868619	11875687	2	-3.1928
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	4	11876583	53831861	23296	-0.5262
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	4	53835382	175842091	67677	-0.5
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	4	175847013	177530423	1106	-0.5381
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	4	177535089	177536951	2	-2.7604
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	4	177538270	187842528	4848	-0.5248
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	5	913983	2609236	733	1.1156
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	5	2617121	3416258	711	0.4589
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	5	3417121	3418996	3	-1.3443
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	5	3419009	3589970	161	0.4446
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	5	3597716	3766514	141	1.078
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	5	3768379	3768824	2	-2.4429
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	5	3769168	4352164	417	1.1098
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	5	4352420	5012835	551	0.4828
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	5	5016199	10036320	3975	1.0795
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	5	10037334	10239166	173	0.5083
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	5	10240297	13723847	1886	0.8437
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	5	13724055	13759118	22	1.0327
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	5	13760612	15331291	1174	1.3497
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	5	15332460	15332597	6	0.271
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	5	15332903	18535467	1422	1.3198
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	5	18537439	18541538	2	-0.5666
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	5	18544234	21338696	1313	1.336
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	5	21338933	21361673	9	0.6099
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	5	21391680	22499720	495	1.3462
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	5	22501144	22644035	72	0.8581
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	5	22644085	29152644	3490	1.3607
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	5	29153887	45383300	9310	0.8658
d4a48b3a-1120-4c9e-ab21-df1a0488ee0c	5	50828231	52879390	1194	1.4199
