GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
f286cc79-b188-4ff9-9a16-d8f100d772f5	1	3301765	4226624	515	-0.1821
f286cc79-b188-4ff9-9a16-d8f100d772f5	1	4248843	4283374	24	-1.5843
f286cc79-b188-4ff9-9a16-d8f100d772f5	1	4283485	4285438	5	-5.4216
f286cc79-b188-4ff9-9a16-d8f100d772f5	1	4286218	4785832	493	-0.1882
f286cc79-b188-4ff9-9a16-d8f100d772f5	1	4787534	4857447	58	0.5403
f286cc79-b188-4ff9-9a16-d8f100d772f5	1	4860093	5444949	390	-0.164
f286cc79-b188-4ff9-9a16-d8f100d772f5	1	5452609	5599592	137	-3.0645
f286cc79-b188-4ff9-9a16-d8f100d772f5	1	5602334	29392963	12210	-0.1566
f286cc79-b188-4ff9-9a16-d8f100d772f5	1	29400160	35423115	3418	-0.1144
f286cc79-b188-4ff9-9a16-d8f100d772f5	1	35424956	36451700	437	-0.1483
f286cc79-b188-4ff9-9a16-d8f100d772f5	1	36455184	52730727	8549	-0.1785
f286cc79-b188-4ff9-9a16-d8f100d772f5	1	52732570	52734364	2	-1.9807
f286cc79-b188-4ff9-9a16-d8f100d772f5	1	52735029	55070330	1468	-0.1754
f286cc79-b188-4ff9-9a16-d8f100d772f5	1	55071525	102037709	29906	-0.1342
f286cc79-b188-4ff9-9a16-d8f100d772f5	1	102043546	209047699	46864	-0.1547
f286cc79-b188-4ff9-9a16-d8f100d772f5	1	209048135	247650984	24935	-0.1378
f286cc79-b188-4ff9-9a16-d8f100d772f5	2	480597	3805073	1466	-0.1998
f286cc79-b188-4ff9-9a16-d8f100d772f5	2	3805773	60547349	34288	-0.1299
f286cc79-b188-4ff9-9a16-d8f100d772f5	2	60553014	61702618	545	-0.2007
f286cc79-b188-4ff9-9a16-d8f100d772f5	2	61705065	61705069	2	-2.3205
f286cc79-b188-4ff9-9a16-d8f100d772f5	2	61705885	63940147	1019	-0.167
