GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
07f7c5a2-1da8-4f7c-b6ec-f2d24ad91a36	1	3301765	5690960	1722	-0.0976
07f7c5a2-1da8-4f7c-b6ec-f2d24ad91a36	1	5692280	17333061	5834	-0.0018
07f7c5a2-1da8-4f7c-b6ec-f2d24ad91a36	1	17335269	18968929	1188	-0.0842
07f7c5a2-1da8-4f7c-b6ec-f2d24ad91a36	1	18970210	47067958	14665	-0.0037
07f7c5a2-1da8-4f7c-b6ec-f2d24ad91a36	1	47068165	51002830	2087	-0.0556
07f7c5a2-1da8-4f7c-b6ec-f2d24ad91a36	1	51002880	55612680	2676	0.0095
07f7c5a2-1da8-4f7c-b6ec-f2d24ad91a36	1	55614066	58044697	1968	-0.0383
07f7c5a2-1da8-4f7c-b6ec-f2d24ad91a36	1	58047749	69337489	7856	0.011
07f7c5a2-1da8-4f7c-b6ec-f2d24ad91a36	1	69339263	83584979	8091	-0.0579
07f7c5a2-1da8-4f7c-b6ec-f2d24ad91a36	1	83587008	95706240	7695	-0.0071
07f7c5a2-1da8-4f7c-b6ec-f2d24ad91a36	1	95714889	107071584	6318	-0.0519
07f7c5a2-1da8-4f7c-b6ec-f2d24ad91a36	1	107074201	110526711	1944	0.0105
07f7c5a2-1da8-4f7c-b6ec-f2d24ad91a36	1	110526989	116575340	3983	-0.047
07f7c5a2-1da8-4f7c-b6ec-f2d24ad91a36	1	116577445	154707741	4305	-0.008
07f7c5a2-1da8-4f7c-b6ec-f2d24ad91a36	1	154710492	156795592	948	0.0688
07f7c5a2-1da8-4f7c-b6ec-f2d24ad91a36	1	156795674	158040572	815	-0.0439
07f7c5a2-1da8-4f7c-b6ec-f2d24ad91a36	1	158040754	158054952	9	-0.9792
07f7c5a2-1da8-4f7c-b6ec-f2d24ad91a36	1	158055546	168306297	7189	-0.019
07f7c5a2-1da8-4f7c-b6ec-f2d24ad91a36	1	168306715	174572256	4150	0.0237
