GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
a92eb16f-9474-4a2c-8060-05ef1c112357	1	3301765	247650984	128667	-0.0076
a92eb16f-9474-4a2c-8060-05ef1c112357	2	480597	240849278	130699	-0.0111
a92eb16f-9474-4a2c-8060-05ef1c112357	2	240853542	240853644	2	-2.924
a92eb16f-9474-4a2c-8060-05ef1c112357	2	240857657	241537572	352	-0.0164
a92eb16f-9474-4a2c-8060-05ef1c112357	3	2170634	197812401	106331	-0.0062
a92eb16f-9474-4a2c-8060-05ef1c112357	4	1059384	187842528	102756	-0.0023
a92eb16f-9474-4a2c-8060-05ef1c112357	5	913983	180934240	100289	-0.0035
a92eb16f-9474-4a2c-8060-05ef1c112357	6	1011760	170596889	96405	-0.0043
a92eb16f-9474-4a2c-8060-05ef1c112357	7	665647	92628502	46391	-0.0057
a92eb16f-9474-4a2c-8060-05ef1c112357	7	92634036	92637533	10	-1.0071
a92eb16f-9474-4a2c-8060-05ef1c112357	7	92639602	158592540	34933	-0.0035
a92eb16f-9474-4a2c-8060-05ef1c112357	8	667625	144182542	81629	-0.0037
a92eb16f-9474-4a2c-8060-05ef1c112357	9	789794	30161982	18204	-0.007
a92eb16f-9474-4a2c-8060-05ef1c112357	9	30165949	30311655	98	-1.0094
a92eb16f-9474-4a2c-8060-05ef1c112357	9	30314849	138044505	49531	-0.0079
a92eb16f-9474-4a2c-8060-05ef1c112357	10	366509	36900269	25172	-0.008
a92eb16f-9474-4a2c-8060-05ef1c112357	10	36907077	36907119	2	-2.3518
a92eb16f-9474-4a2c-8060-05ef1c112357	10	36911587	133411599	55399	-0.0053
a92eb16f-9474-4a2c-8060-05ef1c112357	11	456012	134272740	76906	-0.0078
a92eb16f-9474-4a2c-8060-05ef1c112357	12	780472	22411563	12496	-0.0077
a92eb16f-9474-4a2c-8060-05ef1c112357	12	22412714	22413420	2	-3.4125
a92eb16f-9474-4a2c-8060-05ef1c112357	12	22416747	98471098	42144	-0.0047
a92eb16f-9474-4a2c-8060-05ef1c112357	12	98471130	98471316	2	-2.949
a92eb16f-9474-4a2c-8060-05ef1c112357	12	98471511	132605822	19055	-0.007
a92eb16f-9474-4a2c-8060-05ef1c112357	13	18874255	114226675	56509	-0.0065
a92eb16f-9474-4a2c-8060-05ef1c112357	14	20033191	105533894	49398	-0.0087
a92eb16f-9474-4a2c-8060-05ef1c112357	15	23437561	101344124	44400	-0.0098
a92eb16f-9474-4a2c-8060-05ef1c112357	16	603333	89317317	40807	-0.0065
a92eb16f-9474-4a2c-8060-05ef1c112357	17	1074619	27260078	9747	-0.0048
a92eb16f-9474-4a2c-8060-05ef1c112357	17	27262158	27262787	2	-2.1979
a92eb16f-9474-4a2c-8060-05ef1c112357	17	27263733	82959812	27227	-0.0083
a92eb16f-9474-4a2c-8060-05ef1c112357	18	326691	79349796	42609	-0.0125
a92eb16f-9474-4a2c-8060-05ef1c112357	19	283868	58370362	23954	-0.0092
a92eb16f-9474-4a2c-8060-05ef1c112357	20	472817	33317006	17906	-0.0084
a92eb16f-9474-4a2c-8060-05ef1c112357	20	33318007	33337811	7	-2.2313
a92eb16f-9474-4a2c-8060-05ef1c112357	20	33337979	63588502	19292	-0.0105
a92eb16f-9474-4a2c-8060-05ef1c112357	21	13974127	46262057	20417	-0.0123
a92eb16f-9474-4a2c-8060-05ef1c112357	22	16934932	48940621	16920	-0.0079
a92eb16f-9474-4a2c-8060-05ef1c112357	X	3236359	80022788	29616	-0.0241
a92eb16f-9474-4a2c-8060-05ef1c112357	X	80023687	80025898	4	-3.4884
a92eb16f-9474-4a2c-8060-05ef1c112357	X	80028010	155677414	33006	-0.0143
