GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
da4d1dea-32d1-4f36-b2d0-ee976596e258	1	3301765	6479261	2091	-0.0099
da4d1dea-32d1-4f36-b2d0-ee976596e258	1	6481080	6487610	3	-1.3512
da4d1dea-32d1-4f36-b2d0-ee976596e258	1	6492439	34390012	14657	-0.0074
da4d1dea-32d1-4f36-b2d0-ee976596e258	1	34393533	34394268	2	-2.4933
da4d1dea-32d1-4f36-b2d0-ee976596e258	1	34396998	119984772	51336	0.0096
da4d1dea-32d1-4f36-b2d0-ee976596e258	1	146716041	247650984	61605	0.9003
da4d1dea-32d1-4f36-b2d0-ee976596e258	2	480597	10423787	6200	0.0188
da4d1dea-32d1-4f36-b2d0-ee976596e258	2	10424964	10511757	73	0.4973
da4d1dea-32d1-4f36-b2d0-ee976596e258	2	10513088	70716286	35526	0.0193
da4d1dea-32d1-4f36-b2d0-ee976596e258	2	70716497	70716577	2	-1.7772
da4d1dea-32d1-4f36-b2d0-ee976596e258	2	70716884	228104450	82544	0.0269
da4d1dea-32d1-4f36-b2d0-ee976596e258	2	228106326	228106362	2	-1.7395
da4d1dea-32d1-4f36-b2d0-ee976596e258	2	228108708	237618364	5668	0.0144
da4d1dea-32d1-4f36-b2d0-ee976596e258	2	237621788	241537572	2119	-1.0111
da4d1dea-32d1-4f36-b2d0-ee976596e258	3	2170634	59241606	33184	0.0186
da4d1dea-32d1-4f36-b2d0-ee976596e258	3	59244814	59720118	436	-0.998
da4d1dea-32d1-4f36-b2d0-ee976596e258	3	61040294	197812401	73540	0.0226
da4d1dea-32d1-4f36-b2d0-ee976596e258	4	1059384	187842528	103471	0.0317
da4d1dea-32d1-4f36-b2d0-ee976596e258	5	914118	39068224	22722	0.0208
da4d1dea-32d1-4f36-b2d0-ee976596e258	5	39081373	39098148	10	-0.7461
da4d1dea-32d1-4f36-b2d0-ee976596e258	5	39102016	96630153	28740	0.0259
da4d1dea-32d1-4f36-b2d0-ee976596e258	5	96631020	96633589	3	-1.5957
da4d1dea-32d1-4f36-b2d0-ee976596e258	5	96638558	165621275	40383	0.0251
da4d1dea-32d1-4f36-b2d0-ee976596e258	5	165621296	165621489	2	-2.2551
da4d1dea-32d1-4f36-b2d0-ee976596e258	5	165622208	180934240	9235	0.0158
da4d1dea-32d1-4f36-b2d0-ee976596e258	6	1011760	24319889	16546	0.5684
da4d1dea-32d1-4f36-b2d0-ee976596e258	6	24320985	33441169	3070	0.5429
da4d1dea-32d1-4f36-b2d0-ee976596e258	6	33441373	33446192	23	0.1787
da4d1dea-32d1-4f36-b2d0-ee976596e258	6	33449041	44533142	6806	0.5464
da4d1dea-32d1-4f36-b2d0-ee976596e258	6	44533769	44707628	156	0.6294
da4d1dea-32d1-4f36-b2d0-ee976596e258	6	44714579	57347009	7549	0.0277
da4d1dea-32d1-4f36-b2d0-ee976596e258	6	61527062	88575020	14988	-0.9271
da4d1dea-32d1-4f36-b2d0-ee976596e258	6	88575292	88577504	3	-6.2121
da4d1dea-32d1-4f36-b2d0-ee976596e258	6	88584026	107660652	10379	-0.9466
da4d1dea-32d1-4f36-b2d0-ee976596e258	6	107660793	107661721	2	-6.2199
da4d1dea-32d1-4f36-b2d0-ee976596e258	6	107661761	170596889	37151	-0.9666
da4d1dea-32d1-4f36-b2d0-ee976596e258	7	664936	10172265	3782	0.5484
da4d1dea-32d1-4f36-b2d0-ee976596e258	7	10173020	17017095	4712	0.5949
da4d1dea-32d1-4f36-b2d0-ee976596e258	7	17019550	31167801	8526	0.9413
da4d1dea-32d1-4f36-b2d0-ee976596e258	7	31172109	55032143	15589	0.5639
da4d1dea-32d1-4f36-b2d0-ee976596e258	7	55032144	56222017	771	0.5118
da4d1dea-32d1-4f36-b2d0-ee976596e258	7	56223380	56223477	2	-1.1956
da4d1dea-32d1-4f36-b2d0-ee976596e258	7	56228635	77728355	5571	0.5279
da4d1dea-32d1-4f36-b2d0-ee976596e258	7	77730253	97744224	11032	0.5717
da4d1dea-32d1-4f36-b2d0-ee976596e258	7	97744241	103012462	1913	0.5063
da4d1dea-32d1-4f36-b2d0-ee976596e258	7	103015022	158592540	30047	0.5585
da4d1dea-32d1-4f36-b2d0-ee976596e258	8	667625	144182542	82215	0.0214
da4d1dea-32d1-4f36-b2d0-ee976596e258	9	789794	68423153	23593	0.0276
da4d1dea-32d1-4f36-b2d0-ee976596e258	9	68424128	96132722	18817	-0.9469
da4d1dea-32d1-4f36-b2d0-ee976596e258	9	96132989	96150374	6	-3.6784
da4d1dea-32d1-4f36-b2d0-ee976596e258	9	96150960	96299690	117	-1.0163
da4d1dea-32d1-4f36-b2d0-ee976596e258	9	96299844	96302014	2	-7.2696
da4d1dea-32d1-4f36-b2d0-ee976596e258	9	96302506	99389519	1872	-0.9771
da4d1dea-32d1-4f36-b2d0-ee976596e258	9	99392663	106497963	4152	-0.9049
da4d1dea-32d1-4f36-b2d0-ee976596e258	9	106500282	126833545	14037	-0.9682
da4d1dea-32d1-4f36-b2d0-ee976596e258	9	126836262	126838723	3	-5.0174
da4d1dea-32d1-4f36-b2d0-ee976596e258	9	126838897	138044505	5485	-0.9973
da4d1dea-32d1-4f36-b2d0-ee976596e258	10	366509	2313123	1047	0.0393
da4d1dea-32d1-4f36-b2d0-ee976596e258	10	2313190	49837851	28666	0.0088
da4d1dea-32d1-4f36-b2d0-ee976596e258	10	49838032	51491946	543	0.0469
da4d1dea-32d1-4f36-b2d0-ee976596e258	10	51492097	51497367	10	0.602
da4d1dea-32d1-4f36-b2d0-ee976596e258	10	51501691	57956860	3725	0.0446
da4d1dea-32d1-4f36-b2d0-ee976596e258	10	57961039	57986315	30	-0.9664
