GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
63084c38-59d8-4293-a2c5-7f135a195fee	1	3301765	15791943	7030	0.0083
63084c38-59d8-4293-a2c5-7f135a195fee	1	15794878	15816465	26	0.4843
63084c38-59d8-4293-a2c5-7f135a195fee	1	15820537	65818053	28460	0.0094
63084c38-59d8-4293-a2c5-7f135a195fee	1	65818353	76890403	6659	-0.0171
63084c38-59d8-4293-a2c5-7f135a195fee	1	76890466	173349914	40425	0.0075
63084c38-59d8-4293-a2c5-7f135a195fee	1	173350155	177393877	2107	-0.0363
63084c38-59d8-4293-a2c5-7f135a195fee	1	177395369	208765216	19469	0.0126
63084c38-59d8-4293-a2c5-7f135a195fee	1	208765325	210787114	1552	-0.0361
63084c38-59d8-4293-a2c5-7f135a195fee	1	210787343	235441320	15819	0.0126
63084c38-59d8-4293-a2c5-7f135a195fee	1	235441656	244921850	6529	-0.0184
63084c38-59d8-4293-a2c5-7f135a195fee	1	244922488	247650984	1199	0.0131
63084c38-59d8-4293-a2c5-7f135a195fee	2	480597	24364702	15476	0.008
63084c38-59d8-4293-a2c5-7f135a195fee	2	24365387	47610847	13111	0.0265
63084c38-59d8-4293-a2c5-7f135a195fee	2	47612988	64317418	8824	-0.0008
63084c38-59d8-4293-a2c5-7f135a195fee	2	64320083	64477590	155	0.5005
63084c38-59d8-4293-a2c5-7f135a195fee	2	64480425	86698257	12583	0.0246
63084c38-59d8-4293-a2c5-7f135a195fee	2	86700715	140850708	23509	-0.0036
63084c38-59d8-4293-a2c5-7f135a195fee	2	140852037	141286101	270	-0.1722
63084c38-59d8-4293-a2c5-7f135a195fee	2	141289595	141650174	269	0.0039
63084c38-59d8-4293-a2c5-7f135a195fee	2	141651040	141954703	263	-0.736
63084c38-59d8-4293-a2c5-7f135a195fee	2	141958085	207635609	36744	0.0071
63084c38-59d8-4293-a2c5-7f135a195fee	2	207636221	207638827	2	-1.7778
63084c38-59d8-4293-a2c5-7f135a195fee	2	207639869	235528998	17043	0.0053
63084c38-59d8-4293-a2c5-7f135a195fee	2	235529151	235868311	219	-0.1681
63084c38-59d8-4293-a2c5-7f135a195fee	2	235870335	241537572	3306	0.0194
63084c38-59d8-4293-a2c5-7f135a195fee	3	2170634	197812401	106795	0.006
