GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
c1d32241-7aa6-4d30-beca-d96db4ae0f90	1	3301765	8014812	3036	-0.0908
c1d32241-7aa6-4d30-beca-d96db4ae0f90	1	8014849	107906109	57537	0.1453
c1d32241-7aa6-4d30-beca-d96db4ae0f90	1	107906755	119981332	7322	-0.0982
c1d32241-7aa6-4d30-beca-d96db4ae0f90	1	119984738	161846340	6273	0.2301
c1d32241-7aa6-4d30-beca-d96db4ae0f90	1	161849323	166835916	3918	0.3028
c1d32241-7aa6-4d30-beca-d96db4ae0f90	1	166836599	234853181	43197	0.2338
c1d32241-7aa6-4d30-beca-d96db4ae0f90	1	234854757	234869375	2	2.4623
c1d32241-7aa6-4d30-beca-d96db4ae0f90	1	234869763	247650984	8002	0.2379
c1d32241-7aa6-4d30-beca-d96db4ae0f90	2	480597	63811222	37252	0.1481
c1d32241-7aa6-4d30-beca-d96db4ae0f90	2	63827643	63902536	31	-0.648
c1d32241-7aa6-4d30-beca-d96db4ae0f90	2	63904712	100311624	15478	0.1418
c1d32241-7aa6-4d30-beca-d96db4ae0f90	2	100319814	187187636	47805	-0.0924
c1d32241-7aa6-4d30-beca-d96db4ae0f90	2	187188566	187204811	3	-1.445
c1d32241-7aa6-4d30-beca-d96db4ae0f90	2	187206551	241537572	31289	-0.0946
c1d32241-7aa6-4d30-beca-d96db4ae0f90	3	2170634	38799892	21994	0.1261
c1d32241-7aa6-4d30-beca-d96db4ae0f90	3	38803890	38807492	7	-0.6765
c1d32241-7aa6-4d30-beca-d96db4ae0f90	3	38808189	74905203	21581	0.121
c1d32241-7aa6-4d30-beca-d96db4ae0f90	3	74905409	116657625	20088	0.1406
c1d32241-7aa6-4d30-beca-d96db4ae0f90	3	116659939	116796438	126	0.1155
c1d32241-7aa6-4d30-beca-d96db4ae0f90	3	116803740	116809636	22	-0.1947
c1d32241-7aa6-4d30-beca-d96db4ae0f90	3	116814636	116823449	27	0.1273
c1d32241-7aa6-4d30-beca-d96db4ae0f90	3	116826014	116887989	38	-0.1601
c1d32241-7aa6-4d30-beca-d96db4ae0f90	3	116890745	116949081	40	-0.4685
c1d32241-7aa6-4d30-beca-d96db4ae0f90	3	116951235	116988709	34	-0.1854
c1d32241-7aa6-4d30-beca-d96db4ae0f90	3	116991618	117033609	31	-0.6756
c1d32241-7aa6-4d30-beca-d96db4ae0f90	3	117033809	117157149	112	-0.1236
c1d32241-7aa6-4d30-beca-d96db4ae0f90	3	117159427	197812401	42786	0.1376
c1d32241-7aa6-4d30-beca-d96db4ae0f90	4	1059384	30078074	18254	0.1388
c1d32241-7aa6-4d30-beca-d96db4ae0f90	4	30081582	30321369	136	-0.5583
c1d32241-7aa6-4d30-beca-d96db4ae0f90	4	30322332	84001175	28150	0.1371
c1d32241-7aa6-4d30-beca-d96db4ae0f90	4	84002793	84024339	2	-1.461
c1d32241-7aa6-4d30-beca-d96db4ae0f90	4	84025383	187842528	56693	0.1355
c1d32241-7aa6-4d30-beca-d96db4ae0f90	5	913983	8434605	5399	0.158
c1d32241-7aa6-4d30-beca-d96db4ae0f90	5	8434970	8444302	9	-0.6159
c1d32241-7aa6-4d30-beca-d96db4ae0f90	5	8444402	180934240	95418	0.1429
c1d32241-7aa6-4d30-beca-d96db4ae0f90	6	1011760	123628359	68397	-0.101
c1d32241-7aa6-4d30-beca-d96db4ae0f90	6	123628464	140447440	10724	0.1409
c1d32241-7aa6-4d30-beca-d96db4ae0f90	6	140450074	140615640	13	-0.4635
c1d32241-7aa6-4d30-beca-d96db4ae0f90	6	140617522	170596889	17737	0.1489
c1d32241-7aa6-4d30-beca-d96db4ae0f90	7	664936	48541318	28049	0.139
c1d32241-7aa6-4d30-beca-d96db4ae0f90	7	48541346	48561249	2	-1.3341
c1d32241-7aa6-4d30-beca-d96db4ae0f90	7	48563448	126911597	36702	0.1416
c1d32241-7aa6-4d30-beca-d96db4ae0f90	7	126914197	126961523	2	1.7738
c1d32241-7aa6-4d30-beca-d96db4ae0f90	7	126961577	142450035	8820	0.1367
c1d32241-7aa6-4d30-beca-d96db4ae0f90	7	142523008	142811078	13	0.6886
c1d32241-7aa6-4d30-beca-d96db4ae0f90	7	142815207	158592540	8151	0.1322
c1d32241-7aa6-4d30-beca-d96db4ae0f90	8	667625	42995933	24971	0.0122
c1d32241-7aa6-4d30-beca-d96db4ae0f90	8	42995996	137693700	54171	0.0525
c1d32241-7aa6-4d30-beca-d96db4ae0f90	8	137697698	144182542	2836	0.0289
c1d32241-7aa6-4d30-beca-d96db4ae0f90	9	789794	7127202	3715	-0.3842
c1d32241-7aa6-4d30-beca-d96db4ae0f90	9	7130110	7130475	4	-1.9769
c1d32241-7aa6-4d30-beca-d96db4ae0f90	9	7132610	17806201	6608	-0.3933
c1d32241-7aa6-4d30-beca-d96db4ae0f90	9	17806977	17807481	2	-2.243
c1d32241-7aa6-4d30-beca-d96db4ae0f90	9	17807510	68431371	13168	-0.3869
c1d32241-7aa6-4d30-beca-d96db4ae0f90	9	68435563	95568063	18473	-0.0893
c1d32241-7aa6-4d30-beca-d96db4ae0f90	9	95577690	116252461	13524	0.1258
c1d32241-7aa6-4d30-beca-d96db4ae0f90	9	116253021	116577184	247	-0.0242
c1d32241-7aa6-4d30-beca-d96db4ae0f90	9	116581653	138044505	12506	0.112
c1d32241-7aa6-4d30-beca-d96db4ae0f90	10	366509	379001	8	-0.0951
c1d32241-7aa6-4d30-beca-d96db4ae0f90	10	381671	18826224	13434	0.1554
c1d32241-7aa6-4d30-beca-d96db4ae0f90	10	18831077	38019963	12501	-0.0782
c1d32241-7aa6-4d30-beca-d96db4ae0f90	10	38020564	42452522	240	0.1022
c1d32241-7aa6-4d30-beca-d96db4ae0f90	10	42457632	133411599	54879	-0.0935
c1d32241-7aa6-4d30-beca-d96db4ae0f90	11	456012	57301448	31219	0.1448
c1d32241-7aa6-4d30-beca-d96db4ae0f90	11	57308211	72836641	6899	0.1206
c1d32241-7aa6-4d30-beca-d96db4ae0f90	11	72839990	134272740	39207	0.1464
c1d32241-7aa6-4d30-beca-d96db4ae0f90	12	780472	132605822	74116	-0.0897
c1d32241-7aa6-4d30-beca-d96db4ae0f90	13	18874255	67291898	27457	-0.3896
c1d32241-7aa6-4d30-beca-d96db4ae0f90	13	67294230	67323418	2	-2.1872
c1d32241-7aa6-4d30-beca-d96db4ae0f90	13	67323548	114226675	29331	-0.4033
c1d32241-7aa6-4d30-beca-d96db4ae0f90	14	20033191	105533894	49607	-0.3895
c1d32241-7aa6-4d30-beca-d96db4ae0f90	15	23437561	101344124	44639	-0.3959
c1d32241-7aa6-4d30-beca-d96db4ae0f90	16	603333	1869450	331	0.1547
c1d32241-7aa6-4d30-beca-d96db4ae0f90	16	1869852	1873702	2	-1.3571
c1d32241-7aa6-4d30-beca-d96db4ae0f90	16	1874800	3802528	663	0.1001
c1d32241-7aa6-4d30-beca-d96db4ae0f90	16	3805649	27185584	11663	0.1496
c1d32241-7aa6-4d30-beca-d96db4ae0f90	16	27186316	46473753	1349	0.1027
c1d32241-7aa6-4d30-beca-d96db4ae0f90	16	46474548	78896319	20041	-0.3894
c1d32241-7aa6-4d30-beca-d96db4ae0f90	16	78896496	79181785	327	-0.8613
c1d32241-7aa6-4d30-beca-d96db4ae0f90	16	79182381	88457407	6662	-0.4044
c1d32241-7aa6-4d30-beca-d96db4ae0f90	16	88459366	88459876	3	1.0809
c1d32241-7aa6-4d30-beca-d96db4ae0f90	16	89234014	89317317	36	-0.4714
c1d32241-7aa6-4d30-beca-d96db4ae0f90	17	1074619	3569577	1125	0.1216
c1d32241-7aa6-4d30-beca-d96db4ae0f90	17	3580388	3591067	4	1.2034
c1d32241-7aa6-4d30-beca-d96db4ae0f90	17	3591574	82959812	36051	0.1366
c1d32241-7aa6-4d30-beca-d96db4ae0f90	18	326691	32847698	15365	-0.0783
c1d32241-7aa6-4d30-beca-d96db4ae0f90	18	32848086	79349796	27436	-0.3971
c1d32241-7aa6-4d30-beca-d96db4ae0f90	19	283868	52634690	21684	-0.0936
c1d32241-7aa6-4d30-beca-d96db4ae0f90	19	52635191	52643509	2	1.434
c1d32241-7aa6-4d30-beca-d96db4ae0f90	19	52644517	58370362	2411	-0.095
c1d32241-7aa6-4d30-beca-d96db4ae0f90	20	472817	26217263	16914	0.1652
c1d32241-7aa6-4d30-beca-d96db4ae0f90	20	26217295	31256075	3	-1.0075
c1d32241-7aa6-4d30-beca-d96db4ae0f90	20	31256170	61260342	19473	0.1607
c1d32241-7aa6-4d30-beca-d96db4ae0f90	20	61261070	61274641	2	1.5641
c1d32241-7aa6-4d30-beca-d96db4ae0f90	20	61278882	63588502	1060	0.1309
c1d32241-7aa6-4d30-beca-d96db4ae0f90	21	13974127	46262057	20534	0.1257
c1d32241-7aa6-4d30-beca-d96db4ae0f90	22	16934932	48940621	17039	0.148
c1d32241-7aa6-4d30-beca-d96db4ae0f90	X	3236359	97508923	36646	0.0016
c1d32241-7aa6-4d30-beca-d96db4ae0f90	X	97588206	97728841	116	-0.2576
c1d32241-7aa6-4d30-beca-d96db4ae0f90	X	97728854	155677414	26430	0.0044
